variant_and_allele,p_value,trait,gene,location
rs12416331-<b>?</b>,7e-18,schizophrenia,NT5C2,10:103169157
rs58033671-<b>?</b>,9.000000000000001e-18,schizophrenia,TSNARE1,8:142238758
rs17592552-<b>?</b>,1e-17,schizophrenia,SPATS2L,2:200311348
rs2660304-<b>T</b>,1e-17,schizophrenia,MIR137HG,1:98046571
rs7085104-<b>A</b>,1e-17,schizophrenia,UNKNOWN,Mapping not available
rs1702294-<b>?</b>,1e-17,schizophrenia,UNKNOWN,Mapping not available
rs115344853-<b>A</b>,2e-17,schizophrenia,NOTCH4,6:32197667
rs144373461-<b>C</b>,2e-17,schizophrenia,HLA-V,6:29783228
rs144373461-<b>C</b>,2e-17,schizophrenia,IFITM4P,6:29783228
rs11191582-<b>A</b>,3e-17,schizophrenia,NT5C2,10:103153896
rs12668848-<b>G</b>,4e-17,schizophrenia,MAD1L1,7:1981360
rs10786736-<b>G</b>,4e-17,schizophrenia,CNNM2,10:103089359
rs10786736-<b>G</b>,4e-17,schizophrenia,NT5C2,10:103089359
rs187696124-<b>T</b>,7e-17,schizophrenia,HLA-DRB9,6:32469754
rs6065094-<b>?</b>,8e-17,schizophrenia,UNKNOWN,Mapping not available
rs848293-<b>?</b>,9.000000000000001e-17,schizophrenia,VRK2,2:58155355
rs2523722-<b>G</b>,1e-16,schizophrenia,TRIM26,6:30197496
rs13107325-<b>?</b>,1e-16,schizophrenia,SLC39A8,4:102267552
rs1198588-<b>?</b>,1e-16,schizophrenia,NFU1P2,1:98087276
rs796364-<b>C</b>,2e-16,schizophrenia,RN7SL717P,2:199851396
rs796364-<b>C</b>,2e-16,schizophrenia,FTCDNL1,2:199851396
rs10883832-<b>T</b>,2e-16,schizophrenia,NT5C2,10:103111522
rs138488080-<b>G</b>,3e-16,schizophrenia,SUMO2P1,6:29638984
rs138488080-<b>G</b>,3e-16,schizophrenia,MOG,6:29638984
rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMA,6:32946949
rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMB,6:32946949
rs4144797-<b>?</b>,4e-16,schizophrenia,GIGYF2,2:232697487
rs114618162-<b>G</b>,6e-16,schizophrenia,LINC01149,6:31446032
rs2851447-<b>?</b>,6e-16,schizophrenia,MPHOSPH9,12:123180566
rs114261345-<b>A</b>,9e-16,schizophrenia,FLOT1,6:30730764
rs11210892-<b>?</b>,1e-15,schizophrenia,PTPRF,1:43634413
rs11210892-<b>?</b>,1e-15,schizophrenia,KDM4A,1:43634413
rs4147157-<b>?</b>,1e-15,schizophrenia,WBP1L,10:102776603
rs4666990-<b>?</b>,2e-15,schizophrenia,ZNF804A,2:184798577
rs4702-<b>?</b>,2e-15,schizophrenia,FURIN,15:90883330
rs12293670-<b>?</b>,2e-15,schizophrenia,UNKNOWN,Mapping not available
rs56275179-<b>G</b>,2e-15,schizophrenia,HFE,6:26089112
rs4129585-<b>A</b>,2e-15,schizophrenia,UNKNOWN,Mapping not available
rs115687605-<b>C</b>,2e-15,schizophrenia,UBQLN1P1,6:30397852
rs115687605-<b>C</b>,2e-15,schizophrenia,MICC,6:30397852
rs1801133-<b>A</b>,4e-15,schizophrenia,MTHFR,1:11796321
rs13217239-<b>T</b>,4e-15,schizophrenia,POM121L2,6:27287188
rs62392365-<b>A</b>,4e-15,schizophrenia,CMAHP,6:25371141
rs62392365-<b>A</b>,4e-15,schizophrenia,CARMIL1,6:25371141
rs66691851-<b>C</b>,4e-15,schizophrenia,STAG1,3:136435986
rs7785663-<b>?</b>,4e-15,schizophrenia,DGKI,7:137385552
rs3929747-<b>?</b>,5.000000000000001e-15,schizophrenia,C10orf95-AS1,10:102454510
rs4855019-<b>?</b>,6.0000000000000005e-15,schizophrenia,SOX2-OT,3:181120856
rs35518360-<b>T</b>,8e-15,schizophrenia,BANK1,4:102225733
rs35518360-<b>T</b>,8e-15,schizophrenia,SLC39A8,4:102225733
rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,RN7SKP19,1:73302683
rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,LINC01360,1:73302683
rs144959664-<b>G</b>,1e-14,schizophrenia,ABCF1,6:30598076
rs144959664-<b>G</b>,1e-14,schizophrenia,PPP1R10,6:30598076
rs4391122-<b>G</b>,1e-14,schizophrenia,LINC02057,5:61302716
rs2102949-<b>G</b>,2e-14,schizophrenia,MPHOSPH9,12:123192216
rs2851447-<b>G</b>,2e-14,schizophrenia,MPHOSPH9,12:123180566
rs281768-<b>A</b>,2e-14,schizophrenia,MAIP1,2:199960517
rs6002655-<b>?</b>,2e-14,schizophrenia,TCF20,22:42207808
rs13262595-<b>?</b>,3e-14,schizophrenia,TSNARE1,8:142235609
rs10083370-<b>?</b>,3e-14,schizophrenia,LINC00637,14:103847845
rs4766428-<b>?</b>,3e-14,schizophrenia,ATP2A2,12:110285440
rs79780963-<b>?</b>,3e-14,schizophrenia,NT5C2,10:103192742
rs11693528-<b>?</b>,3e-14,schizophrenia,FTCDNL1,2:199871784
rs11693528-<b>?</b>,3e-14,schizophrenia,RN7SL717P,2:199871784
rs2577831-<b>?</b>,3e-14,schizophrenia,PBRM1,3:52594040
rs214475-<b>?</b>,4e-14,schizophrenia,IMMP2L,7:111227479
rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3-AS1,7:86798310
rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3,7:86798310
rs1926026-<b>?</b>,4e-14,schizophrenia,CACNB2,10:18436730
rs7701440-<b>?</b>,4e-14,schizophrenia,ZSWIM6,5:61325153
rs7701440-<b>?</b>,4e-14,schizophrenia,LINC02057,5:61325153
rs9834970-<b>?</b>,4e-14,schizophrenia,LINC02033,3:36814539
rs9834970-<b>?</b>,4e-14,schizophrenia,HSPD1P6,3:36814539
rs4936215-<b>?</b>,5e-14,schizophrenia,UNKNOWN,Mapping not available
rs5825114-<b>?</b>,5e-14,schizophrenia,LINC01929,18:55081986
rs4906338-<b>?</b>,6e-14,schizophrenia,UNKNOWN,Mapping not available
rs10873538-<b>?</b>,6e-14,schizophrenia,PPP1R13B,14:103789232
rs9859557-<b>A</b>,6e-14,schizophrenia,SOX2-OT,3:181113122
rs12887734-<b>T</b>,6e-14,schizophrenia,KLC1,14:103580497
rs12887734-<b>T</b>,6e-14,schizophrenia,COA8,14:103580497
rs4702-<b>G</b>,8e-14,schizophrenia,FURIN,15:90883330
rs6694545-<b>?</b>,8e-14,schizophrenia,UNKNOWN,Mapping not available
rs11633534-<b>?</b>,8e-14,schizophrenia,LINC00933,15:84581411
rs11633534-<b>?</b>,8e-14,schizophrenia,ZSCAN2,15:84581411
rs1198589-<b>C</b>,8e-14,schizophrenia,NFU1P2,1:98084855
rs1984658-<b>?</b>,9e-14,schizophrenia,PITPNM2,12:122998879
rs114002140-<b>A</b>,9e-14,schizophrenia,HLA-DRB9,6:32464185
rs7893279-<b>T</b>,9e-14,schizophrenia,UNKNOWN,Mapping not available
rs217289-<b>?</b>,1e-13,schizophrenia,SNAP91,6:83692088
rs185053056-<b>?</b>,1e-13,schizophrenia,RPSAP2,6:28712999
rs185053056-<b>?</b>,1e-13,schizophrenia,LINC00533,6:28712999
rs1024582-<b>?</b>,1e-13,schizophrenia,CACNA1C,12:2293080
rs4481150-<b>T</b>,1e-13,schizophrenia,ITIH3,3:52803777
rs6804239-<b>?</b>,1e-13,schizophrenia,UNKNOWN,3:162062700
rs4391122-<b>?</b>,1e-13,schizophrenia,LINC02057,5:61302716
rs7596038-<b>C</b>,1e-13,schizophrenia,VRK2,2:58156685
rs75968099-<b>T</b>,1e-13,schizophrenia,LINC02033,3:36817092
rs75968099-<b>T</b>,1e-13,schizophrenia,HSPD1P6,3:36817092
rs2073499-<b>?</b>,1e-13,schizophrenia,RASSF1,3:50336862
rs302321-<b>?</b>,1e-13,schizophrenia,TMTC1,12:29775455
rs67119537-<b>T</b>,1e-13,schizophrenia,RN7SL417P,15:84395671
rs67119537-<b>T</b>,1e-13,schizophrenia,DNM1P51,15:84395671
rs778371-<b>G</b>,2e-13,schizophrenia,SNORC,2:232878399
rs9636107-<b>G</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
rs2577831-<b>C</b>,2e-13,schizophrenia,PBRM1,3:52594040
rs75968099-<b>?</b>,2e-13,schizophrenia,LINC02033,3:36817092
rs75968099-<b>?</b>,2e-13,schizophrenia,HSPD1P6,3:36817092
rs115374247-<b>?</b>,2e-13,schizophrenia,SUMO2P1,6:29642504
rs115374247-<b>?</b>,2e-13,schizophrenia,MOG,6:29642504
rs12887734-<b>?</b>,2e-13,schizophrenia,KLC1,14:103580497
rs12887734-<b>?</b>,2e-13,schizophrenia,COA8,14:103580497
rs7001340-<b>?</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
rs217331-<b>G</b>,2e-13,schizophrenia,SNAP91,6:83634970
rs117325001-<b>?</b>,2e-13,schizophrenia,BNIP3L,8:26384756
rs2949006-<b>T</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
rs9636107-<b>A</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
rs8042374-<b>A</b>,2e-13,schizophrenia,CHRNA3,15:78615690
rs629444-<b>C</b>,2e-13,schizophrenia,H2BP5,6:25885586
rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL417P,15:84395671
rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,DNM1P51,15:84395671
rs7951870-<b>?</b>,3.0000000000000003e-13,schizophrenia,UNKNOWN,Mapping not available
rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL717P,2:199851396
rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,FTCDNL1,2:199851396
rs13240464-<b>T</b>,3.0000000000000003e-13,schizophrenia,IMMP2L,7:111258859
rs55661361-<b>G</b>,4e-13,schizophrenia,NRGN,11:124744061
rs1518395-<b>A</b>,4e-13,schizophrenia,VRK2,2:57980939
rs9607782-<b>?</b>,4e-13,schizophrenia,EP300-AS1,22:41191552
rs35225048-<b>C</b>,4e-13,schizophrenia,UNKNOWN,15:61564064
rs9607782-<b>A</b>,4e-13,schizophrenia,EP300-AS1,22:41191552
rs6434928-<b>?</b>,4e-13,schizophrenia,RNU6-1029P,2:197439853
rs6434928-<b>?</b>,4e-13,schizophrenia,SF3B1,2:197439853
rs4391122-<b>A</b>,5e-13,schizophrenia,LINC02057,5:61302716
rs7893279-<b>?</b>,5e-13,schizophrenia,UNKNOWN,Mapping not available
rs28681284-<b>C</b>,6.000000000000001e-13,schizophrenia,CHRNA3,15:78616223
rs61041384-<b>C</b>,6.000000000000001e-13,schizophrenia,MPHOSPH9,12:123159496
rs748455-<b>?</b>,6.000000000000001e-13,schizophrenia,ZSCAN2,15:84606344
rs4702-<b>A</b>,6.000000000000001e-13,schizophrenia,FURIN,15:90883330
rs2859368-<b>?</b>,6.000000000000001e-13,schizophrenia,UNKNOWN,Mapping not available
rs11646127-<b>?</b>,6.000000000000001e-13,schizophrenia,TMEM219,16:29954956
rs6461049-<b>T</b>,6.000000000000001e-13,schizophrenia,MAD1L1,7:1977810
rs7652637-<b>T</b>,7e-13,schizophrenia,TRANK1,3:36830016
rs1892252-<b>C</b>,7e-13,schizophrenia,SLC17A4,6:25772411
rs4129585-<b>?</b>,7e-13,schizophrenia,UNKNOWN,Mapping not available
rs10750450-<b>?</b>,7e-13,schizophrenia,LINC02551,11:130849166
rs2710323-<b>?</b>,7e-13,schizophrenia,UNKNOWN,Mapping not available
rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01416,18:55865958
rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01415,18:55865958
rs214467-<b>A</b>,8e-13,schizophrenia,IMMP2L,7:111218212
rs3814881-<b>G</b>,8e-13,schizophrenia,TAOK2,16:29989580
rs75059851-<b>A</b>,9e-13,schizophrenia,IGSF9B,11:133952674
rs13135092-<b>A</b>,9e-13,schizophrenia,SLC39A8,4:102276925
rs6874127-<b>?</b>,9e-13,schizophrenia,HCN1,5:45305513
rs62606711-<b>?</b>,1e-12,schizophrenia,PJA1,X:69157361
rs112537273-<b>T</b>,1e-12,schizophrenia,LETM2,8:38390788
rs9636107-<b>?</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
rs6932590-<b>T</b>,1e-12,schizophrenia,POM121L2,6:27281152
rs6932590-<b>T</b>,1e-12,schizophrenia,PRSS16,6:27281152
rs28681284-<b>T</b>,1e-12,schizophrenia,CHRNA3,15:78616223
rs3743078-<b>?</b>,1e-12,schizophrenia,CHRNA3,15:78602417
rs58120505-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
rs2970610-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
rs11682175-<b>C</b>,1e-12,schizophrenia,ACTG1P22,2:57760458
rs2153960-<b>?</b>,1e-12,schizophrenia,FOXO3,6:108666981
rs10791097-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
rs28735056-<b>?</b>,1e-12,schizophrenia,KCNG2,18:79862879
rs9890128-<b>?</b>,1e-12,schizophrenia,YWHAE,17:1370352
rs1518395-<b>G</b>,1e-12,schizophrenia,VRK2,2:57980939
rs217287-<b>?</b>,1e-12,schizophrenia,SNAP91,6:83697747
rs4632296-<b>?</b>,1e-12,schizophrenia,RBKS,2:27802117
rs4632296-<b>?</b>,1e-12,schizophrenia,MRPL33,2:27802117
rs2190864-<b>?</b>,1e-12,schizophrenia,RGS6,14:71949502
rs10791098-<b>T</b>,2e-12,schizophrenia,LINC02551,11:130848816
rs73219805-<b>A</b>,2e-12,schizophrenia,BNIP3L,8:26415252
rs2514218-<b>?</b>,2e-12,schizophrenia,DRD2,11:113522272
rs12129573-<b>A</b>,2e-12,schizophrenia,RN7SKP19,1:73302683
rs12129573-<b>A</b>,2e-12,schizophrenia,LINC01360,1:73302683
rs5757730-<b>?</b>,2e-12,schizophrenia,CACNA1I,22:39571425
rs13218591-<b>?</b>,2e-12,schizophrenia,BTN3A2,6:26376604
rs12826178-<b>G</b>,2e-12,schizophrenia,NXPH4,12:57228588
rs12826178-<b>G</b>,2e-12,schizophrenia,SHMT2,12:57228588
rs35346733-<b>?</b>,2e-12,schizophrenia,CNTN4,3:2479638
rs72799198-<b>?</b>,2e-12,schizophrenia,LINC01470,5:152811145
rs2057884-<b>T</b>,2e-12,schizophrenia,SRPK2,7:105289803
rs7926389-<b>?</b>,2e-12,schizophrenia,ARHGAP1,11:46690304
rs13107325-<b>T</b>,2e-12,schizophrenia,SLC39A8,4:102267552
rs13240464-<b>?</b>,2e-12,schizophrenia,IMMP2L,7:111258859
rs301797-<b>?</b>,2e-12,schizophrenia,RERE-AS1,1:8427263
rs301797-<b>?</b>,2e-12,schizophrenia,RERE,1:8427263
rs2021722-<b>C</b>,2e-12,schizophrenia,TRIM26,6:30206354
rs6704768-<b>G</b>,2e-12,schizophrenia,GIGYF2,2:232727791
rs4481150-<b>?</b>,2e-12,schizophrenia,ITIH3,3:52803777
rs11693094-<b>C</b>,2e-12,schizophrenia,ZNF804A,2:184736693
rs1198588-<b>T</b>,2e-12,schizophrenia,NFU1P2,1:98087276
rs1378559-<b>T</b>,2e-12,schizophrenia,CNKSR2,X:21362148
rs3802924-<b>?</b>,2e-12,schizophrenia,IGSF9B,11:133957838
rs3802924-<b>?</b>,2e-12,schizophrenia,LINC02730,11:133957838
rs17630293-<b>T</b>,3e-12,schizophrenia,SPATS2L,2:200282053
rs79249301-<b>?</b>,3e-12,schizophrenia,UNKNOWN,Mapping not available
rs17514846-<b>?</b>,3e-12,schizophrenia,FURIN,15:90873320
rs17687067-<b>C</b>,3e-12,schizophrenia,ZDHHC2,8:17178692
rs1150754-<b>C</b>,3e-12,schizophrenia,TNXB,6:32082981
rs72934570-<b>?</b>,3e-12,schizophrenia,LINC01416,18:55865958
rs72934570-<b>?</b>,3e-12,schizophrenia,LINC01415,18:55865958
rs215011-<b>?</b>,3e-12,schizophrenia,CMAHP,6:25384133
rs215011-<b>?</b>,3e-12,schizophrenia,CARMIL1,6:25384133
rs8043009-<b>?</b>,3e-12,schizophrenia,CHRNA3,15:78615812
rs34796896-<b>?</b>,3e-12,schizophrenia,FXR1,3:180905467
rs6449529-<b>?</b>,3e-12,schizophrenia,UNKNOWN,Mapping not available
rs28681284-<b>?</b>,3e-12,schizophrenia,CHRNA3,15:78616223
rs61637848-<b>?</b>,3e-12,schizophrenia,KLC1,14:103629694
rs3735025-<b>T</b>,4e-12,schizophrenia,DGKI,7:137390098
rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-A,6:29955302
rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-W,6:29955302
rs11682175-<b>T</b>,4e-12,schizophrenia,ACTG1P22,2:57760458
rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DOB,6:32793729
rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DQB2,6:32793729
rs11682175-<b>?</b>,4e-12,schizophrenia,ACTG1P22,2:57760458
rs55661361-<b>?</b>,4e-12,schizophrenia,NRGN,11:124744061
rs36043959-<b>?</b>,4e-12,schizophrenia,SGCZ,8:110459785
rs9461856-<b>A</b>,4e-12,schizophrenia,SYNGAP1,6:33427422
rs7432375-<b>?</b>,4e-12,schizophrenia,STAG1,3:136569563
rs7605813-<b>?</b>,5e-12,schizophrenia,HSPE1-MOB4,2:197510605
rs7605813-<b>?</b>,5e-12,schizophrenia,HSPD1,2:197510605
rs1006737-<b>A</b>,5e-12,schizophrenia,CACNA1C,12:2236129
rs35225048-<b>?</b>,5e-12,schizophrenia,UNKNOWN,15:61564064
rs950169-<b>C</b>,5e-12,schizophrenia,ADAMTSL3,15:84037709
rs38752-<b>T</b>,5e-12,schizophrenia,IMMP2L,7:111438856
rs1451488-<b>?</b>,5e-12,schizophrenia,RNU7-147P,2:199125384
rs172531-<b>?</b>,5e-12,schizophrenia,RERE,1:8435530
rs715170-<b>C</b>,5e-12,schizophrenia,LINC01539,18:56128283
rs715170-<b>C</b>,5e-12,schizophrenia,LINC01905,18:56128283
rs114508985-<b>G</b>,5e-12,schizophrenia,HLA-DMB,6:32932241
rs114508985-<b>G</b>,5e-12,schizophrenia,HLA-Z,6:32932241
rs11685299-<b>C</b>,5e-12,schizophrenia,CUL3,2:224526579
rs778371-<b>?</b>,5e-12,schizophrenia,SNORC,2:232878399
rs2103655-<b>?</b>,5e-12,schizophrenia,PPP1R16B,20:38797315
rs2103655-<b>?</b>,5e-12,schizophrenia,ACTR5,20:38797315
rs17164-<b>?</b>,5e-12,schizophrenia,GIGYF2,2:232728789
rs1700006-<b>?</b>,5e-12,schizophrenia,UNKNOWN,Mapping not available
rs61937595-<b>?</b>,6e-12,schizophrenia,R3HDM2,12:57289173
rs4132385-<b>?</b>,6e-12,schizophrenia,ZSWIM6,5:61319052
rs4132385-<b>?</b>,6e-12,schizophrenia,LINC02057,5:61319052
rs4380187-<b>?</b>,6e-12,schizophrenia,UNKNOWN,Mapping not available
rs3814881-<b>?</b>,7e-12,schizophrenia,TAOK2,16:29989580
rs4648845-<b>?</b>,7e-12,schizophrenia,PLCH2,1:2455662
rs3814883-<b>T</b>,7e-12,schizophrenia,TAOK2,16:29983601
rs61882743-<b>G</b>,7e-12,schizophrenia,AMBRA1,11:46527204
rs1635-<b>?</b>,7e-12,schizophrenia,NKAPL,6:28259826
rs2905432-<b>?</b>,7e-12,schizophrenia,MAU2,19:19373486
rs2905432-<b>?</b>,7e-12,schizophrenia,GATAD2A,19:19373486
rs11783093-<b>?</b>,8e-12,schizophrenia,GULOP,8:27567832
rs4380187-<b>A</b>,8e-12,schizophrenia,UNKNOWN,Mapping not available
rs4685-<b>T</b>,8e-12,schizophrenia,SF3B1,2:197393071
rs169738-<b>?</b>,8e-12,schizophrenia,GGNBP1,6:33569769
rs111294930-<b>?</b>,9e-12,schizophrenia,LINC01470,5:152797561
rs2057884-<b>?</b>,1e-11,schizophrenia,SRPK2,7:105289803
rs6434928-<b>G</b>,1e-11,schizophrenia,RNU6-1029P,2:197439853
rs6434928-<b>G</b>,1e-11,schizophrenia,SF3B1,2:197439853
rs6633421-<b>?</b>,1e-11,schizophrenia,CNKSR2,X:21551802
rs6065094-<b>G</b>,1e-11,schizophrenia,UNKNOWN,Mapping not available
rs2514218-<b>T</b>,1e-11,schizophrenia,DRD2,11:113522272
rs11038167-<b>?</b>,1e-11,schizophrenia,TSPAN18,11:44821583
rs17194490-<b>T</b>,1e-11,schizophrenia,CNTN4,3:2506102
rs62334820-<b>?</b>,1e-11,schizophrenia,GPM6A,4:175934070
rs2970610-<b>?</b>,1e-11,schizophrenia,UNKNOWN,Mapping not available
rs56807175-<b>?</b>,1e-11,schizophrenia,UNKNOWN,2:145678655
rs3617-<b>?</b>,1e-11,schizophrenia,ITIH3,3:52799789
rs760648-<b>?</b>,1e-11,schizophrenia,TCF20,22:42175022
