,variant_and_allele,p_value,trait,gene,location,maf
746,rs2710323-<b>?</b>,3.0000000000000003e-13,bipolar disorder,UNKNOWN,Mapping not available,-1.0
791,rs2336147-<b>T</b>,4e-13,bipolar disorder,PBRM1,3:52592427,0.48401270513499206
342,rs11191582-<b>A</b>,9e-13,bipolar disorder,NT5C2,10:103153896,0.0827621483375959
618,rs72799190-<b>?</b>,1e-12,bipolar disorder,LINC01470,5:152807563,-1.0
81,rs12202969-<b>G</b>,1e-12,bipolar i disorder,EIF4EBP2P3,6:98128347,0.5792482795129699
639,rs7098825-<b>?</b>,1e-12,bipolar disorder,U6,10:102868477,-1.0
639,rs7098825-<b>?</b>,1e-12,bipolar disorder,BORCS7-ASMT,10:102868477,-1.0
354,rs71395455-<b>A</b>,2e-12,bipolar disorder,UNKNOWN,Mapping not available,0.8689265536723164
761,rs71395455-<b>?</b>,2e-12,bipolar disorder,UNKNOWN,Mapping not available,-1.0
777,rs35050608-<b>?</b>,3e-12,bipolar disorder,UNKNOWN,Mapping not available,-1.0
650,rs12906474-<b>?</b>,5e-12,bipolar disorder,UBE2Q2P1,15:84566006,-1.0
373,rs4236274-<b>G</b>,8e-12,bipolar disorder,MAD1L1,7:1856777,0.4205399682371625
690,rs10994415-<b>T</b>,1e-11,bipolar disorder,ANK3,10:60562276,0.8670314336075206
352,rs12887734-<b>T</b>,2e-11,bipolar disorder,KLC1,14:103580497,0.27297755188479456
352,rs12887734-<b>T</b>,2e-11,bipolar disorder,COA8,14:103580497,0.27297755188479456
110,rs237475-<b>T</b>,2e-11,bipolar i disorder,KCNB1,20:49432969,0.4940464286263711
789,rs2273738-<b>C</b>,2e-11,bipolar disorder,XPNPEP1,10:109888901,0.9195471596998929
609,rs769950-<b>?</b>,3e-11,bipolar disorder,FTCDNL1,2:199865305,-1.0
609,rs769950-<b>?</b>,3e-11,bipolar disorder,RN7SL717P,2:199865305,-1.0
688,rs10866641-<b>T</b>,3e-11,bipolar disorder,DOCK2,5:169862202,0.5778721085219402
688,rs10866641-<b>T</b>,3e-11,bipolar disorder,INSYN2B,5:169862202,0.5778721085219402
357,rs9926049-<b>A</b>,3e-11,bipolar disorder,GRIN2A,16:9846103,0.3420857596611964
763,rs62489493-<b>C</b>,3e-11,bipolar disorder,MIR124-1HG,8:9906071,0.9333292668049287
625,rs78676616-<b>?</b>,4e-11,bipolar disorder,RN7SL480P,1:150171103,-1.0
625,rs78676616-<b>?</b>,4e-11,bipolar disorder,PLEKHO1,1:150171103,-1.0
765,rs67712855-<b>T</b>,4e-11,bipolar disorder,STK4,20:45053910,0.7183396865734858
651,rs4702-<b>?</b>,4.9999999999999995e-11,bipolar disorder,FURIN,15:90883330,-1.0
784,rs58120505-<b>?</b>,4.9999999999999995e-11,bipolar disorder,UNKNOWN,Mapping not available,-1.0
713,rs4619651-<b>G</b>,4.9999999999999995e-11,bipolar disorder,CNNM4,2:96750416,0.7096876654314452
713,rs4619651-<b>G</b>,4.9999999999999995e-11,bipolar disorder,LMAN2L,2:96750416,0.7096876654314452
774,rs748455-<b>T</b>,4.9999999999999995e-11,bipolar disorder,ZSCAN2,15:84606344,0.755214399152991
95,rs12575685-<b>G</b>,4.9999999999999995e-11,bipolar i disorder,SHANK2,11:70671822,0.7158042069903223
607,rs2439202-<b>?</b>,6e-11,bipolar disorder,UNKNOWN,2:193513924,-1.0
414,rs2302417-<b>A</b>,6e-11,bipolar disorder,ITIH1,3:52780240,0.4641831701391445
76,rs78308718-<b>T</b>,6.999999999999999e-11,bipolar i disorder,ADCY2,5:7533872,0.7942826892535734
287,rs2302417-<b>T</b>,6.999999999999999e-11,bipolar disorder,ITIH1,3:52780240,0.5358168298608554
363,rs10994415-<b>C</b>,6.999999999999999e-11,bipolar disorder,ANK3,10:60562276,0.13296856639247945
602,rs80256351-<b>?</b>,9e-11,bipolar disorder,ACTG1P22,2:57844458,-1.0
602,rs80256351-<b>?</b>,9e-11,bipolar disorder,VRK2,2:57844458,-1.0
427,rs11647445-<b>T</b>,9e-11,bipolar disorder,GRIN2A,16:9833109,0.6463404327248141
317,rs4380187-<b>A</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available,0.5506331390747535
759,rs4906338-<b>?</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
785,rs80012185-<b>?</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
355,rs4702-<b>A</b>,1e-10,bipolar disorder,FURIN,15:90883330,0.5620721222735233
288,rs11647445-<b>G</b>,1e-10,bipolar disorder,GRIN2A,16:9833109,0.35365956727518594
385,rs174576-<b>A</b>,1e-10,bipolar disorder,FADS2,11:61836038,0.34132189707366295
362,rs80256351-<b>A</b>,1e-10,bipolar disorder,ACTG1P22,2:57844458,0.013918872855357346
362,rs80256351-<b>A</b>,1e-10,bipolar disorder,VRK2,2:57844458,0.013918872855357346
732,rs72692857-<b>?</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
88,rs11137399-<b>T</b>,1e-10,bipolar i disorder,TUBBP5,9:138174172,0.6680254102699841
87,rs6993953-<b>C</b>,1e-10,bipolar i disorder,PLEC,8:143926153,0.6577554261514028
648,rs722637-<b>?</b>,1e-10,bipolar disorder,PPP1R13B,14:103795386,-1.0
93,rs489337-<b>A</b>,2e-10,bipolar i disorder,PACS1,11:66087090,0.3028695846359982
345,rs2514218-<b>T</b>,2e-10,bipolar disorder,DRD2,11:113522272,0.3516696419922226
103,rs61074241-<b>C</b>,2e-10,bipolar i disorder,ZNF592,15:84790165,0.7825242718446602
600,rs2339519-<b>?</b>,2e-10,bipolar disorder,LINC01830,2:22381268,-1.0
631,rs80195870-<b>?</b>,2e-10,bipolar disorder,GSDME,7:24734849,-1.0
742,rs2949006-<b>?</b>,2e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
739,rs4380187-<b>?</b>,2e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
724,rs7191999-<b>?</b>,2e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
333,rs116052126-<b>A</b>,2e-10,bipolar disorder,GSDME,7:24735895,0.07866649097377784
454,rs2271893-<b>G</b>,2e-10,bipolar disorder,LMAN2L,2:96739703,0.7134411217147745
321,rs1367858-<b>T</b>,3e-10,bipolar disorder,SPATS2L,2:200296048,0.31916357861302275
407,rs56361249-<b>?</b>,3e-10,bipolar disorder,LMAN2L,2:96714492,-1.0
795,rs28455634-<b>G</b>,3e-10,bipolar disorder,C16orf72,16:9136959,0.5631357984821572
795,rs28455634-<b>G</b>,3e-10,bipolar disorder,RPL21P119,16:9136959,0.5631357984821572
790,rs228768-<b>G</b>,3e-10,bipolar disorder,HDAC5,17:44114525,0.40709860268916426
455,rs7618915-<b>G</b>,3e-10,bipolar disorder,TWF2,3:52245578,0.6664956735515593
436,rs72692857-<b>T</b>,4e-10,bipolar disorder,UNKNOWN,Mapping not available,0.8633668607728957
289,rs10744560-<b>T</b>,4e-10,bipolar disorder,CACNA1C,12:2277933,0.3375225063017645
289,rs10744560-<b>T</b>,4e-10,bipolar disorder,CACNA1C-IT3,12:2277933,0.3375225063017645
457,rs4948418-<b>T</b>,4e-10,bipolar disorder,ANK3,10:60425736,0.07232371990712452
101,rs1197546-<b>A</b>,4e-10,bipolar i disorder,STARD9,15:42610048,0.18496559025939652
316,rs4619651-<b>A</b>,5e-10,bipolar disorder,CNNM4,2:96750416,0.29031233456855476
316,rs4619651-<b>A</b>,5e-10,bipolar disorder,LMAN2L,2:96750416,0.29031233456855476
431,rs111444407-<b>T</b>,5e-10,bipolar disorder,NCAN,19:19247398,0.19814716781365802
611,rs35346733-<b>?</b>,5e-10,bipolar disorder,CNTN4,3:2479638,-1.0
389,rs4926298-<b>G</b>,6e-10,bipolar disorder,NFIX,19:13042221,0.6185671749103214
290,chr7_140700006_I-<b>?</b>,6e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
770,rs6954854-<b>G</b>,6e-10,bipolar disorder,SP4,7:21452971,0.4665960825833774
429,rs884303-<b>A</b>,6e-10,bipolar disorder,HLF,17:55289939,0.589869966442953
608,rs6434928-<b>?</b>,8e-10,bipolar disorder,RNU6-1029P,2:197439853,-1.0
608,rs6434928-<b>?</b>,8e-10,bipolar disorder,SF3B1,2:197439853,-1.0
67,rs10917509-<b>T</b>,8e-10,bipolar i disorder,HTR6,1:19665573,0.43982844167858043
217,chr2_194465711_D-<b>?</b>,8e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
596,rs111444407-<b>?</b>,9e-10,bipolar disorder,NCAN,19:19247398,-1.0
412,chr2:194465711-<b>?</b>,9e-10,bipolar disorder,UNKNOWN,Mapping not available,-1.0
80,rs55706012-<b>A</b>,1e-09,bipolar i disorder,H2BC9,6:26266083,0.931981141341715
80,rs55706012-<b>A</b>,1e-09,bipolar i disorder,H3C8,6:26266083,0.931981141341715
100,rs6495988-<b>C</b>,1e-09,bipolar i disorder,LINC02694,15:38677344,0.8171983356449376
660,rs10946817-<b>?</b>,1e-09,bipolar disorder,BTN3A2,6:26363828,-1.0
660,rs10946817-<b>?</b>,1e-09,bipolar disorder,H3C9P,6:26363828,-1.0
659,rs11682175-<b>?</b>,1e-09,bipolar disorder,ACTG1P22,2:57760458,-1.0
653,rs12691307-<b>?</b>,1e-09,bipolar disorder,TMEM219,16:29928556,-1.0
653,rs12691307-<b>?</b>,1e-09,bipolar disorder,KCTD13,16:29928556,-1.0
637,rs11167136-<b>?</b>,1e-09,bipolar disorder,TSNARE1,8:142229454,-1.0
719,rs6032110-<b>A</b>,1e-09,bipolar disorder,RBPJL,20:45315683,0.510284139100933
757,rs4762557-<b>?</b>,1e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
218,rs12226877-<b>A</b>,1e-09,bipolar disorder,FADS1,11:61824435,-1.0
218,rs12226877-<b>A</b>,1e-09,bipolar disorder,FADS2,11:61824435,-1.0
219,rs73188321-<b>C</b>,1e-09,bipolar disorder,SRPK2,7:105407711,0.650926416093171
219,rs73188321-<b>C</b>,1e-09,bipolar disorder,PUS7,7:105407711,0.650926416093171
675,rs6079469-<b>A</b>,1e-09,bipolar disorder,MACROD2,20:14520495,0.1934435261707989
632,rs12704290-<b>?</b>,1e-09,bipolar disorder,GRM3-AS1,7:86798310,-1.0
632,rs12704290-<b>?</b>,1e-09,bipolar disorder,GRM3,7:86798310,-1.0
628,rs60730-<b>?</b>,1e-09,bipolar disorder,SNAP91,6:83663339,-1.0
108,rs6073621-<b>A</b>,1e-09,bipolar i disorder,STK4,20:45066802,0.817541883711108
78,rs10043984-<b>C</b>,1e-09,bipolar i disorder,KDM3B,5:138376432,0.745363299149029
603,rs4619651-<b>?</b>,1e-09,bipolar disorder,CNNM4,2:96750416,-1.0
603,rs4619651-<b>?</b>,1e-09,bipolar disorder,LMAN2L,2:96750416,-1.0
380,rs10994299-<b>?</b>,1e-09,bipolar disorder,ANK3,10:60316870,-1.0
365,rs12290811-<b>A</b>,1e-09,bipolar disorder,TENM4,11:79372576,0.14632234209356204
726,rs2011503-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
438,rs2339519-<b>A</b>,2e-09,bipolar disorder,LINC01830,2:22381268,0.4594914718888187
404,rs4332037-<b>T</b>,2e-09,bipolar disorder,MAD1L1,7:1911173,0.19074312612311753
699,rs12668848-<b>G</b>,2e-09,bipolar disorder,MAD1L1,7:1981360,0.7658227848101266
740,rs13003404-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
421,chr10:111745562-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
737,rs6746896-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
221,rs17183814-<b>G</b>,2e-09,bipolar disorder,SCN2A,2:165295879,0.929591712283068
415,rs3804640-<b>A</b>,2e-09,bipolar disorder,CD47,3:108074862,0.6020850631977119
716,rs475805-<b>G</b>,2e-09,bipolar disorder,PACS1,11:66081267,0.30167410714285714
411,rs17183814-<b>A</b>,2e-09,bipolar disorder,SCN2A,2:165295879,0.070408287716932
692,rs112481526-<b>A</b>,2e-09,bipolar disorder,KIAA1109,4:122154852,0.7566966649020646
706,rs28565152-<b>G</b>,2e-09,bipolar disorder,ADCY2,5:7542798,0.7773425092641609
319,rs6434928-<b>A</b>,2e-09,bipolar disorder,RNU6-1029P,2:197439853,0.6667041366906474
319,rs6434928-<b>A</b>,2e-09,bipolar disorder,SF3B1,2:197439853,0.6667041366906474
743,rs2880986-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
82,rs10455979-<b>C</b>,2e-09,bipolar i disorder,RPS6KA2,6:166581772,0.7767216642754663
74,rs9831123-<b>C</b>,2e-09,bipolar i disorder,CADM2,3:85002999,0.5066701958708312
634,rs13236223-<b>?</b>,2e-09,bipolar disorder,BRAF,7:140967165,-1.0
634,rs13236223-<b>?</b>,2e-09,bipolar disorder,CCT4P1,7:140967165,-1.0
73,rs7614498-<b>A</b>,2e-09,bipolar i disorder,PBRM1,3:52584925,0.706754991602911
361,rs138321-<b>A</b>,2e-09,bipolar disorder,SLC25A17,22:40813300,0.514081524616199
515,rs1064395-<b>A</b>,2e-09,bipolar disorder,NCAN,19:19250926,0.17690677368987695
652,rs11647445-<b>?</b>,2e-09,bipolar disorder,GRIN2A,16:9833109,-1.0
341,rs11191356-<b>A</b>,2e-09,bipolar disorder,SUFU,10:102633732,0.8781766200762389
341,rs11191356-<b>A</b>,2e-09,bipolar disorder,TRIM8,10:102633732,0.8781766200762389
772,rs6992333-<b>A</b>,2e-09,bipolar disorder,PLEC,8:143919209,0.5917846522568905
750,rs4284148-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
606,rs59979824-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,2:192983614,-1.0
788,rs2126180-<b>G</b>,2e-09,bipolar disorder,LINC01748,1:60639996,0.718839747271683
359,rs3814883-<b>T</b>,2e-09,bipolar disorder,TAOK2,16:29983601,0.44543650793650796
695,rs11764361-<b>A</b>,3.0000000000000004e-09,bipolar disorder,PUS7,7:105402782,0.6622113412294052
695,rs11764361-<b>A</b>,3.0000000000000004e-09,bipolar disorder,SRPK2,7:105402782,0.6622113412294052
335,rs12704290-<b>A</b>,3.0000000000000004e-09,bipolar disorder,GRM3-AS1,7:86798310,0.11201694017998941
335,rs12704290-<b>A</b>,3.0000000000000004e-09,bipolar disorder,GRM3,7:86798310,0.11201694017998941
674,rs12921204-<b>T</b>,3.0000000000000004e-09,bipolar disorder,C16orf72,16:9133864,0.5689506172839506
674,rs12921204-<b>T</b>,3.0000000000000004e-09,bipolar disorder,RPL21P119,16:9133864,0.5689506172839506
682,rs1180221-<b>T</b>,3.0000000000000004e-09,bipolar disorder,ME1,6:83243557,-1.0
382,rs4765913-<b>?</b>,3.0000000000000004e-09,bipolar disorder,CACNA1C,12:2310730,-1.0
673,rs62533709-<b>T</b>,3.0000000000000004e-09,bipolar disorder,PAX5,9:37003707,0.12408371401253586
647,rs11624408-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
222,rs113779084-<b>A</b>,3.0000000000000004e-09,bipolar disorder,THSD7A,7:11832161,0.269931180518793
90,rs61846516-<b>C</b>,3.0000000000000004e-09,bipolar i disorder,ANK3,10:60363680,0.9584755403868032
658,rs760648-<b>?</b>,3.0000000000000004e-09,bipolar disorder,TCF20,22:42175022,-1.0
387,rs12576775-<b>G</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available,0.16357627566757732
378,rs2302417-<b>?</b>,3.0000000000000004e-09,bipolar disorder,ITIH1,3:52780240,-1.0
700,rs12672003-<b>A</b>,3.0000000000000004e-09,bipolar disorder,MPP6,7:24607603,0.8984118581259926
725,rs12919683-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
751,rs7095057-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
712,rs4447398-<b>A</b>,3.0000000000000004e-09,bipolar disorder,STARD9,15:42612706,0.16929010736995725
723,rs8039305-<b>?</b>,3.0000000000000004e-09,bipolar disorder,FURIN,15:90879313,-1.0
736,rs77071813-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
714,rs4672-<b>G</b>,3.0000000000000004e-09,bipolar disorder,FKBP2,11:64242407,0.9276200805487818
792,rs237460-<b>C</b>,4e-09,bipolar disorder,KCNB1,20:49416590,0.5102170460561144
734,rs12474906-<b>?</b>,4e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
223,chr2_97376407_I-<b>?</b>,4e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
224,rs2388334-<b>G</b>,4e-09,bipolar disorder,EIF4EBP2P3,6:98143746,0.4235574377977766
224,rs2388334-<b>G</b>,4e-09,bipolar disorder,HLA-DRB5,6:98143746,0.4235574377977766
418,rs2388334-<b>A</b>,4e-09,bipolar disorder,EIF4EBP2P3,6:98143746,0.5764425622022235
418,rs2388334-<b>A</b>,4e-09,bipolar disorder,HLA-DRB5,6:98143746,0.5764425622022235
339,rs11167136-<b>A</b>,4e-09,bipolar disorder,TSNARE1,8:142229454,0.4450014160294534
598,rs6519227-<b>?</b>,4e-09,bipolar disorder,SLC25A17,22:40723895,-1.0
598,rs6519227-<b>?</b>,4e-09,bipolar disorder,MCHR1,22:40723895,-1.0
709,rs35306827-<b>G</b>,4e-09,bipolar disorder,CUL4A,13:113214731,0.779142403388036
776,rs56208248-<b>?</b>,4e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
715,rs4702-<b>G</b>,4e-09,bipolar disorder,FURIN,15:90883330,0.4379278777264767
327,rs12055234-<b>A</b>,4e-09,bipolar disorder,RNU6-334P,5:104702059,0.2641933069603336
410,rs41335055-<b>T</b>,5e-09,bipolar disorder,ACTG1P22,2:57734094,0.056940537394509654
642,rs2514218-<b>?</b>,5e-09,bipolar disorder,DRD2,11:113522272,-1.0
350,rs10745843-<b>A</b>,5e-09,bipolar disorder,ANKS1B,12:99102252,0.5881948120698782
323,rs35346733-<b>A</b>,5e-09,bipolar disorder,CNTN4,3:2479638,0.079292350770014
679,rs1948246-<b>G</b>,5e-09,bipolar disorder,LINC01378,4:117534962,0.4291344123856439
680,rs113799727-<b>G</b>,5e-09,bipolar disorder,LINC01470,5:152698812,0.8808599167822468
344,rs12805133-<b>A</b>,5e-09,bipolar disorder,SPTBN2,11:66715794,0.5577626381893795
434,rs12136984-<b>T</b>,5e-09,bipolar disorder,RN7SKP19,1:73260315,0.5434218406867638
434,rs12136984-<b>T</b>,5e-09,bipolar disorder,LINC01360,1:73260315,0.5434218406867638
766,rs678397-<b>T</b>,5e-09,bipolar disorder,ACTN3,11:66557112,0.4403335235558937
620,rs215011-<b>?</b>,5e-09,bipolar disorder,CMAHP,6:25384133,-1.0
620,rs215011-<b>?</b>,5e-09,bipolar disorder,CARMIL1,6:25384133,-1.0
69,rs2314398-<b>C</b>,5e-09,bipolar i disorder,CNNM4,2:96747751,0.7025963622655734
69,rs2314398-<b>C</b>,5e-09,bipolar i disorder,LMAN2L,2:96747751,0.7025963622655734
376,rs2517959-<b>T</b>,5e-09,bipolar disorder,ERBB2,17:39690259,0.641036717062635
376,rs2517959-<b>T</b>,5e-09,bipolar disorder,PGAP3,17:39690259,0.641036717062635
94,rs7122539-<b>G</b>,5e-09,bipolar i disorder,PC,11:66895260,0.6501099481585219
107,rs112219496-<b>G</b>,5e-09,bipolar i disorder,NCAN,19:19247277,0.8019057702488089
405,rs28456-<b>G</b>,6.000000000000001e-09,bipolar disorder,FADS1,11:61822009,0.20546456570674532
405,rs28456-<b>G</b>,6.000000000000001e-09,bipolar disorder,FADS2,11:61822009,0.20546456570674532
328,rs111294930-<b>A</b>,6.000000000000001e-09,bipolar disorder,LINC01470,5:152797561,0.7604552673372155
644,rs4762559-<b>?</b>,6.000000000000001e-09,bipolar disorder,ANKS1B,12:99104862,-1.0
432,rs6130764-<b>T</b>,6.000000000000001e-09,bipolar disorder,WFDC12,20:45121769,0.5938334445927904
432,rs6130764-<b>T</b>,6.000000000000001e-09,bipolar disorder,WFDC5,20:45121769,0.5938334445927904
747,rs6449529-<b>?</b>,6.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
347,rs2238044-<b>A</b>,6.000000000000001e-09,bipolar disorder,CACNA1C,12:2176565,0.3940160309563295
374,rs12553324-<b>C</b>,6.000000000000001e-09,bipolar disorder,LINC01239,9:23347867,0.7794964620701004
374,rs12553324-<b>C</b>,6.000000000000001e-09,bipolar disorder,SUMO2P2,9:23347867,0.7794964620701004
707,rs2953928-<b>G</b>,6.000000000000001e-09,bipolar disorder,RPL10AP3,8:34294974,0.9444866198519644
707,rs2953928-<b>G</b>,6.000000000000001e-09,bipolar disorder,VENTXP5,8:34294974,0.9444866198519644
33,rs10950456-<b>A</b>,6.000000000000001e-09,bipolar i disorder,MAD1L1,7:1940114,0.5870472861442858
728,rs103197-<b>?</b>,7.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
661,rs740417-<b>?</b>,7.000000000000001e-09,bipolar disorder,CACNA1C,12:2390683,-1.0
748,rs75836205-<b>?</b>,7.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
77,rs11744542-<b>G</b>,7.000000000000001e-09,bipolar i disorder,Y_RNA,5:79552534,0.7238236424531928
701,rs12932628-<b>G</b>,7.000000000000001e-09,bipolar disorder,RPL13,16:89566317,0.5326597682337724
701,rs12932628-<b>G</b>,7.000000000000001e-09,bipolar disorder,CPNE7,16:89566317,0.5326597682337724
741,rs4685-<b>?</b>,7.000000000000001e-09,bipolar disorder,SF3B1,2:197393071,-1.0
34,chr5_7587236_D-<b>?</b>,7.000000000000001e-09,bipolar i disorder,UNKNOWN,Mapping not available,-1.0
225,rs10994318-<b>C</b>,7.000000000000001e-09,bipolar disorder,ANK3,10:60366098,0.07623080995235575
686,rs10737496-<b>C</b>,7.000000000000001e-09,bipolar disorder,RNA5SP63,1:163776152,0.4404923874311629
686,rs10737496-<b>C</b>,7.000000000000001e-09,bipolar disorder,U3,1:163776152,0.4404923874311629
426,rs12902052-<b>A</b>,7.000000000000001e-09,bipolar disorder,ZSCAN2,15:84582607,0.7703563714902808
426,rs12902052-<b>A</b>,7.000000000000001e-09,bipolar disorder,LINC00933,15:84582607,0.7703563714902808
226,rs12575685-<b>A</b>,8e-09,bipolar disorder,SHANK2,11:70671822,0.2841957930096777
638,rs10764493-<b>?</b>,8e-09,bipolar disorder,CACNB2,10:18439070,-1.0
439,rs12474906-<b>A</b>,8e-09,bipolar disorder,UNKNOWN,Mapping not available,0.8576148136063301
353,rs28681284-<b>T</b>,8e-09,bipolar disorder,CHRNA3,15:78616223,0.20833333333333334
654,rs10423874-<b>?</b>,8e-09,bipolar disorder,NCAN,19:19248691,-1.0
453,rs4650608-<b>T</b>,8e-09,bipolar disorder,UNKNOWN,1:78772330,0.6877519328619573
519,rs420259-<b>?</b>,9.000000000000001e-09,bipolar disorder,PALB2,16:23622705,-1.0
487,rs10994336-<b>T</b>,9.000000000000001e-09,bipolar disorder,ANK3,10:60420054,0.06773924578358916
462,rs109944336-<b>?</b>,9.000000000000001e-09,bipolar disorder,ANK3,10:60420054,-1.0
753,rs7121067-<b>?</b>,9.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
768,rs6887473-<b>G</b>,9.000000000000001e-09,bipolar disorder,SSBP2,5:81665250,0.7555849655902594
783,rs9283801-<b>?</b>,9.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available,-1.0
702,rs13044225-<b>A</b>,9.000000000000001e-09,bipolar disorder,OSBPL2,20:62290759,0.5636671077782679
343,rs484201-<b>T</b>,9.000000000000001e-09,bipolar disorder,MACROD1,11:64023459,0.38764551565830463
36,rs35958438-<b>G</b>,1e-08,bipolar i disorder,LINC02694,15:38681592,0.7901005823186872
71,rs735931-<b>A</b>,1e-08,bipolar i disorder,ATP2B2,3:10483412,0.48658685984932526
79,rs6875495-<b>C</b>,1e-08,bipolar i disorder,VTRNA1-3,5:140727646,0.7914769719428268
79,rs6875495-<b>C</b>,1e-08,bipolar i disorder,PCDHA1,5:140727646,0.7914769719428268
629,rs9320913-<b>?</b>,1e-08,bipolar disorder,EIF4EBP2P3,6:98136857,-1.0
614,rs13135092-<b>?</b>,1e-08,bipolar disorder,SLC39A8,4:102276925,-1.0
762,rs62011709-<b>T</b>,1e-08,bipolar disorder,HOMER2,15:82863022,0.8551310652537646
627,rs169738-<b>?</b>,1e-08,bipolar disorder,GGNBP1,6:33569769,-1.0
318,rs2719169-<b>A</b>,1e-08,bipolar disorder,CNTNAP5,2:193579493,0.41684226369656835
430,rs11557713-<b>A</b>,1e-08,bipolar disorder,ZCCHC2,18:62576643,0.2402717441538035
636,rs6984358-<b>?</b>,1e-08,bipolar disorder,FGFR1,8:38427063,-1.0
