variant_and_allele,p_value,trait,gene,location
rs11668327-<b>C</b>,4e-20,alzheimer disease,TOMM40,19:44895376
rs4236673-<b>A</b>,5.999999999999999e-20,alzheimer disease,CLU,8:27607412
rs769450-<b>G</b>,6e-19,alzheimer disease,APOE,19:44907187
rs9331896-<b>C</b>,1e-18,alzheimer disease,CLU,8:27610169
rs10792832-<b>?</b>,4e-18,alzheimer disease,RNU6-560P,11:86156833
rs10792832-<b>?</b>,4e-18,alzheimer disease,LINC02695,11:86156833
rs6857-<b>T</b>,7e-18,alzheimer disease,NECTIN2,19:44888997
rs60049679-<b>C</b>,1e-17,alzheimer disease,APOC1,19:44926451
rs60049679-<b>C</b>,1e-17,alzheimer disease,APOC1P1,19:44926451
rs10792832-<b>A</b>,1e-17,alzheimer disease,RNU6-560P,11:86156833
rs10792832-<b>A</b>,1e-17,alzheimer disease,LINC02695,11:86156833
rs9369716-<b>?</b>,2e-17,late-onset alzheimers disease,CD2AP,6:47584444
rs3764650-<b>?</b>,5.0000000000000005e-17,alzheimer disease,ABCA7,19:1046521
rs12590654-<b>?</b>,7e-17,late-onset alzheimers disease,SLC24A4,14:92472511
rs4803748-<b>C</b>,3e-16,alzheimer disease,CEACAM16-AS1,19:44743791
rs4803748-<b>C</b>,3e-16,alzheimer disease,BCL3,19:44743791
rs983392-<b>A</b>,6e-16,alzheimer disease,LINC02705,11:60156035
rs983392-<b>A</b>,6e-16,alzheimer disease,MS4A2,11:60156035
rs28399664-<b>G</b>,6e-16,alzheimer disease,NECTIN2,19:44821499
rs28399664-<b>G</b>,6e-16,alzheimer disease,BCAM,19:44821499
APOE-<b>E4</b>,6.999999999999999e-16,alzheimer disease,UNKNOWN,Mapping not available
rs6069737-<b>?</b>,6.999999999999999e-16,late-onset alzheimers disease,CASS4,20:56420643
rs74846209-<b>T</b>,9e-16,alzheimer disease,MARK4,19:45146841
rs74846209-<b>T</b>,9e-16,alzheimer disease,PPP1R37,19:45146841
rs7384878-<b>?</b>,9e-16,late-onset alzheimers disease,PMS2P1,7:100334426
rs4147929-<b>A</b>,1e-15,alzheimer disease,ABCA7,19:1063444
rs283811-<b>G</b>,1e-15,alzheimer disease,NECTIN2,19:44885243
rs483082-<b>T</b>,1e-15,alzheimer disease,APOC1,19:44912921
rs483082-<b>T</b>,1e-15,alzheimer disease,APOE,19:44912921
rs7561528-<b>A</b>,2e-15,alzheimer disease,BIN1,2:127132061
rs7561528-<b>A</b>,2e-15,alzheimer disease,NIFKP9,2:127132061
rs12151021-<b>?</b>,3.0000000000000002e-15,late-onset alzheimers disease,ABCA7,19:1050875
rs602602-<b>?</b>,6.0000000000000005e-15,late-onset alzheimers disease,SNORD3P1,15:58764824
rs602602-<b>?</b>,6.0000000000000005e-15,late-onset alzheimers disease,MINDY2,15:58764824
rs9331896-<b>?</b>,6.0000000000000005e-15,alzheimer disease,CLU,8:27610169
rs7912495-<b>?</b>,8e-15,late-onset alzheimers disease,ECHDC3,10:11676714
rs7912495-<b>?</b>,8e-15,late-onset alzheimers disease,USP6NL-AS1,10:11676714
rs11218343-<b>T</b>,1e-14,alzheimer disease,SORL1,11:121564878
rs610932-<b>?</b>,2e-14,alzheimer disease,MS4A6A,11:60171834
rs610932-<b>?</b>,2e-14,alzheimer disease,LINC02705,11:60171834
rs143332484-<b>T</b>,2e-14,late-onset alzheimers disease,TREM2,6:41161469
rs6656401-<b>?</b>,2e-14,alzheimer disease,CR1,1:207518704
rs584007-<b>?</b>,3e-14,alzheimer disease,APOE,19:44913221
rs584007-<b>?</b>,3e-14,alzheimer disease,APOC1,19:44913221
rs71352239-<b>C</b>,3e-14,alzheimer disease,APOC1,19:44926286
rs71352239-<b>C</b>,3e-14,alzheimer disease,APOC1P1,19:44926286
rs1846190-<b>?</b>,3e-14,late-onset alzheimers disease,HLA-DRB1,6:32616036
rs1846190-<b>?</b>,3e-14,late-onset alzheimers disease,HLA-DQA1,6:32616036
rs10405693-<b>?</b>,3e-14,alzheimer disease,NECTIN2,19:44823407
rs10405693-<b>?</b>,3e-14,alzheimer disease,BCAM,19:44823407
rs744373-<b>?</b>,3e-14,alzheimer disease,BIN1,2:127137039
rs744373-<b>?</b>,3e-14,alzheimer disease,NIFKP9,2:127137039
rs3818361-<b>?</b>,4e-14,alzheimer disease,CR1,1:207611623
rs138607350-<b>G</b>,6e-14,alzheimer disease,NECTIN2,19:44860563
rs439401-<b>?</b>,6e-14,alzheimer disease,APOE,19:44911194
rs439401-<b>?</b>,6e-14,alzheimer disease,APOC1,19:44911194
rs10402271-<b>?</b>,7e-14,alzheimer disease,BCAM,19:44825957
rs10402271-<b>?</b>,7e-14,alzheimer disease,NECTIN2,19:44825957
rs28834970-<b>C</b>,7e-14,alzheimer disease,PTK2B,8:27337604
rs405697-<b>?</b>,1e-13,alzheimer disease,TOMM40,19:44901434
rs11771145-<b>G</b>,1e-13,alzheimer disease,EPHA1-AS1,7:143413669
rs11218343-<b>?</b>,1e-13,late-onset alzheimers disease,SORL1,11:121564878
rs114812713-<b>C</b>,2e-13,late-onset alzheimers disease,OARD1,6:41066261
rs79832570-<b>C</b>,4e-13,alzheimer disease,SPATC1,8:144042819
rs7935829-<b>G</b>,8e-13,alzheimer disease,MS4A6A,11:60175342
rs983392-<b>?</b>,9e-13,alzheimer disease,LINC02705,11:60156035
rs983392-<b>?</b>,9e-13,alzheimer disease,MS4A2,11:60156035
rs112724034-<b>?</b>,9e-13,alzheimer disease,PGAM5P1,5:109885325
rs2927468-<b>A</b>,1e-12,alzheimer disease,NECTIN2,19:44854682
rs111371860-<b>A</b>,1e-12,alzheimer disease,NECTIN2,19:44842530
rs111371860-<b>A</b>,1e-12,alzheimer disease,BCAM,19:44842530
rs9271192-<b>C</b>,3e-12,alzheimer disease,HLA-DRB1,6:32610753
rs9271192-<b>C</b>,3e-12,alzheimer disease,HLA-DQA1,6:32610753
rs4504245-<b>?</b>,5e-12,late-onset alzheimers disease,MIR572,4:11013198
rs4504245-<b>?</b>,5e-12,late-onset alzheimers disease,LINC02498,4:11013198
rs12444183-<b>A</b>,7e-12,alzheimer disease,PLCG2,16:81739604
rs117618017-<b>?</b>,7e-12,late-onset alzheimers disease,APH1B,15:63277703
rs4938933-<b>?</b>,8e-12,alzheimer disease,MS4A4A,11:60266956
rs4351014-<b>C</b>,9e-12,alzheimer disease,UNKNOWN,4:11025995
rs72832584-<b>?</b>,1e-11,alzheimer disease,BCAS3,17:61215075
rs141441332-<b>A</b>,1e-11,alzheimer disease,APOC1P1,19:44935318
rs141441332-<b>A</b>,1e-11,alzheimer disease,APOC4,19:44935318
rs2154481-<b>C</b>,1e-11,alzheimer disease,APP,21:26101558
rs7920721-<b>G</b>,2e-11,late-onset alzheimers disease,ECHDC3,10:11678309
rs7920721-<b>G</b>,2e-11,late-onset alzheimers disease,USP6NL-AS1,10:11678309
rs11763230-<b>T</b>,3e-11,alzheimer disease,EPHA1-AS1,7:143411748
rs2967668-<b>A</b>,3e-11,alzheimer disease,CBLC,19:44799694
rs1562990-<b>?</b>,4e-11,alzheimer disease,MS4A4A,11:60255614
rs10948363-<b>G</b>,4.9999999999999995e-11,alzheimer disease,CD2AP,6:47520026
rs3935067-<b>?</b>,4.9999999999999995e-11,late-onset alzheimers disease,EPHA1,7:143407238
rs983392-<b>G</b>,4.9999999999999995e-11,alzheimer disease,LINC02705,11:60156035
rs983392-<b>G</b>,4.9999999999999995e-11,alzheimer disease,MS4A2,11:60156035
rs11218343-<b>C</b>,6e-11,alzheimer disease,SORL1,11:121564878
rs7561528-<b>?</b>,6e-11,alzheimer disease,BIN1,2:127132061
rs7561528-<b>?</b>,6e-11,alzheimer disease,NIFKP9,2:127132061
rs58370486-<b>?</b>,6e-11,alzheimer disease,BZW2,7:16668236
rs11023139-<b>?</b>,6.999999999999999e-11,alzheimer disease,SPON1,11:14202800
rs7146179-<b>?</b>,6.999999999999999e-11,late-onset alzheimers disease,GNPNAT1,14:52832135
rs7146179-<b>?</b>,6.999999999999999e-11,late-onset alzheimers disease,FERMT2,14:52832135
rs394819-<b>T</b>,8e-11,alzheimer disease,TOMM40,19:44901322
rs8103315-<b>A</b>,8e-11,alzheimer disease,BCL3,19:44750911
rs144261139-<b>A</b>,1e-10,alzheimer disease,NECTIN2,19:44882099
rs79638902-<b>T</b>,1e-10,alzheimer disease,CEACAM16-AS1,19:44718495
rs2373115-<b>G</b>,1e-10,alzheimer disease,GAB2,11:78380104
"rs7081208-<b>A</b>, rs17314229-<b>C</b>, rs2446581-<b>A</b>",1e-10,alzheimer disease,FRMD4A; No mapped genes; No mapped genes,10:13949865
rs72835061-<b>A</b>,2e-10,alzheimer disease,CHRNE,17:4902142
rs72835061-<b>A</b>,2e-10,alzheimer disease,C17orf107,17:4902142
rs11754661-<b>A</b>,2e-10,alzheimer disease,MTHFD1L,6:150885942
rs1354106-<b>?</b>,2e-10,late-onset alzheimers disease,CD33,19:51234736
rs12989701-<b>?</b>,3e-10,alzheimer disease,BIN1,2:127130409
rs12989701-<b>?</b>,3e-10,alzheimer disease,NIFKP9,2:127130409
"rs6656401-<b>A</b>, rs3818361-<b>A</b>",3e-10,alzheimer disease,CR1; CR1,1:207518704|1:207611623
rs4985556-<b>A</b>,4e-10,alzheimer disease,IL34,16:70660097
rs616338-<b>T</b>,5e-10,late-onset alzheimers disease,ABI3,17:49219935
rs72824905-<b>?</b>,5e-10,late-onset alzheimers disease,PLCG2,16:81908423
rs11771145-<b>?</b>,5e-10,alzheimer disease,EPHA1-AS1,7:143413669
rs28394864-<b>?</b>,5e-10,late-onset alzheimers disease,ZNF652,17:49373413
rs28394864-<b>?</b>,5e-10,late-onset alzheimers disease,PHB,17:49373413
rs6701713-<b>A</b>,5e-10,alzheimer disease,CR1,1:207612944
rs6431220-<b>A</b>,5e-10,alzheimer disease,NIFKP9,2:127122873
rs6431220-<b>A</b>,5e-10,alzheimer disease,BIN1,2:127122873
rs11767557-<b>?</b>,6e-10,alzheimer disease,EPHA1-AS1,7:143412046
"rs9331888-<b>G</b>, rs2279590-<b>C</b>, rs11136000-<b>C</b>",6e-10,alzheimer disease,CLU; CLU; No mapped genes,8:27611345|8:27598736
rs139967528-<b>G</b>,6e-10,late-onset alzheimers disease,ATP5F1C,10:7799848
rs1476679-<b>T</b>,6e-10,alzheimer disease,ZCWPW1,7:100406823
rs2632516-<b>?</b>,7.000000000000001e-10,late-onset alzheimers disease,TSPOAP1-AS1,17:58331728
rs7175766-<b>?</b> x rs3733980-<b>?</b>,7.000000000000001e-10,alzheimer disease,No mapped genes x WWC1,5:168441804
rs6891966-<b>?</b>,8e-10,late-onset alzheimers disease,HAVCR2,5:157099320
rs13025717-<b>T</b>,8e-10,alzheimer disease,NIFKP9,2:127128582
rs13025717-<b>T</b>,8e-10,alzheimer disease,BIN1,2:127128582
rs2154482-<b>?</b>,8e-10,late-onset alzheimers disease,APP,21:26148613
rs11136000-<b>?</b>,9e-10,alzheimer disease,UNKNOWN,Mapping not available
rs35568738-<b>G</b>,9e-10,alzheimer disease,TOMM40,19:44899461
rs2632516-<b>C</b>,1e-09,alzheimer disease,TSPOAP1-AS1,17:58331728
rs6504163-<b>?</b>,1e-09,late-onset alzheimers disease,PPIAP55,17:63468418
rs6504163-<b>?</b>,1e-09,late-onset alzheimers disease,CYB561,17:63468418
rs117964204-<b>?</b>,1e-09,alzheimer disease,CACNA1G,17:50614721
rs3851179-<b>?</b>,1e-09,alzheimer disease,RNU6-560P,11:86157598
rs3851179-<b>?</b>,1e-09,alzheimer disease,LINC02695,11:86157598
rs871269-<b>?</b>,1e-09,late-onset alzheimers disease,TNIP1,5:151052827
rs876461-<b>A</b>,1e-09,alzheimer disease,PRKD3,2:37288815
rs2967668-<b>G</b>,2e-09,alzheimer disease,CBLC,19:44799694
rs79701229-<b>A</b>,2e-09,alzheimer disease,NECTIN2,19:44881674
rs35336243-<b>T</b>,2e-09,alzheimer disease,APOC1P1,19:44939262
rs35336243-<b>T</b>,2e-09,alzheimer disease,APOC4,19:44939262
rs570487962-<b>?</b>,2e-09,alzheimer disease,LINC02254,15:97449455
rs708382-<b>?</b>,2e-09,late-onset alzheimers disease,RPL7L1P5,17:44364976
rs708382-<b>?</b>,2e-09,late-onset alzheimers disease,FAM171A2,17:44364976
rs1582763-<b>G</b>,2e-09,alzheimer disease,MS4A4A,11:60254475
rs115550680-<b>G</b>,2e-09,alzheimer disease,ABCA7,19:1050421
rs3865444-<b>?</b>,2e-09,alzheimer disease,SIGLEC22P,19:51224706
rs3865444-<b>?</b>,2e-09,alzheimer disease,CD33,19:51224706
rs1761461-<b>?</b>,2e-09,late-onset alzheimers disease,VN1R104P,19:54313903
rs1761461-<b>?</b>,2e-09,late-onset alzheimers disease,LILRA5,19:54313903
rs4748424-<b>G</b>,3.0000000000000004e-09,alzheimer disease,MRC1,10:17846684
rs536841-<b>?</b>,3.0000000000000004e-09,alzheimer disease,PICALM,11:86076782
rs536841-<b>?</b>,3.0000000000000004e-09,alzheimer disease,RNU6-560P,11:86076782
rs4147929-<b>?</b>,3.0000000000000004e-09,alzheimer disease,ABCA7,19:1063444
rs5011436-<b>?</b>,3.0000000000000004e-09,late-onset alzheimers disease,TMEM106B,7:12229132
rs61732533-<b>?</b>,3.0000000000000004e-09,late-onset alzheimers disease,OPLAH,8:144053248
APOE-<b>E3</b>,4e-09,alzheimer disease,UNKNOWN,Mapping not available
rs76692773-<b>C</b>,4e-09,alzheimer disease,TOMM40,19:44890954
rs679515-<b>T</b>,4e-09,alzheimer disease,CR1,1:207577223
rs10948363-<b>?</b>,5e-09,alzheimer disease,CD2AP,6:47520026
rs2718058-<b>A</b>,5e-09,alzheimer disease,GPR141,7:37801932
rs2718058-<b>A</b>,5e-09,alzheimer disease,EPDR1,7:37801932
rs3818361-<b>A</b>,5e-09,alzheimer disease,CR1,1:207611623
rs9381563-<b>C</b>,5e-09,alzheimer disease,CD2AP-DT,6:47464901
rs9381563-<b>C</b>,5e-09,alzheimer disease,B3GNTL1P2,6:47464901
rs11257238-<b>T</b>,5e-09,alzheimer disease,ECHDC3,10:11675398
rs11257238-<b>T</b>,5e-09,alzheimer disease,USP6NL-AS1,10:11675398
rs920608-<b>C</b>,5e-09,alzheimer disease,SCARB2,4:76217307
rs920608-<b>C</b>,5e-09,alzheimer disease,FAM47E,4:76217307
rs7597763-<b>?</b>,5e-09,late-onset alzheimers disease,INPP5D,2:233173931
rs138190086-<b>A</b>,5e-09,late-onset alzheimers disease,PPIAP55,17:63460787
rs138190086-<b>A</b>,5e-09,late-onset alzheimers disease,CYB561,17:63460787
rs10498633-<b>G</b>,6.000000000000001e-09,alzheimer disease,SLC24A4,14:92460608
rs28834970-<b>?</b>,6.000000000000001e-09,alzheimer disease,PTK2B,8:27337604
rs2732703-<b>T</b>,6.000000000000001e-09,alzheimer disease,ARL17B,17:46275856
rs111371860-<b>T</b>,6.000000000000001e-09,alzheimer disease,NECTIN2,19:44842530
rs111371860-<b>T</b>,6.000000000000001e-09,alzheimer disease,BCAM,19:44842530
rs1859788-<b>A</b>,6.000000000000001e-09,alzheimer disease,PILRA,7:100374211
rs7342692-<b>T</b>,6.000000000000001e-09,alzheimer disease,PLCG2,16:81870119
rs593742-<b>A</b>,7.000000000000001e-09,late-onset alzheimers disease,ADAM10,15:58753575
rs593742-<b>A</b>,7.000000000000001e-09,late-onset alzheimers disease,SNORD3P1,15:58753575
rs11168036-<b>T</b>,7.000000000000001e-09,alzheimer disease,HBEGF,5:140327854
rs11168036-<b>T</b>,7.000000000000001e-09,alzheimer disease,PFDN1,5:140327854
rs640345-<b>T</b>,8e-09,alzheimer disease,KIR3DL2,19:54851404
rs17125944-<b>C</b>,8e-09,alzheimer disease,FERMT2,14:52933911
rs192775394-<b>C</b>,8e-09,alzheimer disease,MARK4,19:45168224
rs192775394-<b>C</b>,8e-09,alzheimer disease,TRAPPC6A,19:45168224
rs9349407-<b>C</b>,9.000000000000001e-09,alzheimer disease,CD2AP,6:47485642
rs3740688-<b>?</b>,9.000000000000001e-09,late-onset alzheimers disease,SPI1,11:47358789
rs6738962-<b>?</b>,1e-08,alzheimer disease,CTNNA2,2:80054047
rs10409808-<b>G</b>,1e-08,alzheimer disease,APOC4,19:44943004
rs10409808-<b>G</b>,1e-08,alzheimer disease,APOC4-APOC2,19:44943004
rs10838725-<b>C</b>,1e-08,alzheimer disease,CELF1,11:47536319
rs3851179-<b>C</b>,1e-08,alzheimer disease,RNU6-560P,11:86157598
rs3851179-<b>C</b>,1e-08,alzheimer disease,LINC02695,11:86157598
rs11154851-<b>?</b>,1e-08,alzheimer disease,PDE7B,6:136046867
rs148763909-<b>?</b>,1e-08,alzheimer disease,SAP30L,5:154457546
rs4700060-<b>?</b>,1e-08,alzheimer disease,ANKRD55,5:56214829
rs2927439-<b>G</b>,1e-08,alzheimer disease,BCL3,19:44739483
rs2927439-<b>G</b>,1e-08,alzheimer disease,CEACAM16-AS1,19:44739483
rs4704171-<b>?</b>,1e-08,alzheimer disease,ANKRD31,5:75072429
rs115186657-<b>?</b>,1e-08,late-onset alzheimers disease,FHL2,2:105618971
rs115186657-<b>?</b>,1e-08,late-onset alzheimers disease,NCK2,2:105618971
rs7225151-<b>?</b>,1e-08,alzheimer disease,SCIMP,17:5233752
rs7225151-<b>?</b>,1e-08,alzheimer disease,ZNF594-DT,17:5233752
rs9749589-<b>T</b>,2e-08,alzheimer disease,NFIC,19:3405594
rs17817600-<b>?</b>,2e-08,alzheimer disease,PICALM,11:85966428
rs2280575-<b>?</b>,2e-08,late-onset alzheimers disease,LRIG1,3:66492439
rs189753894-<b>?</b>,2e-08,late-onset alzheimers disease,CACNA1A,19:13513675
rs2452170-<b>?</b>,2e-08,late-onset alzheimers disease,MAMSTR,19:48710247
rs2452170-<b>?</b>,2e-08,late-onset alzheimers disease,FUT2,19:48710247
rs17393344-<b>?</b>,2e-08,alzheimer disease,MYO16,13:108821598
rs7657553-<b>A</b>,2e-08,alzheimer disease,LINC02360,4:11721611
rs115102486-<b>?</b>,2e-08,alzheimer disease,CLMN,14:95298227
rs12590654-<b>A</b>,2e-08,alzheimer disease,SLC24A4,14:92472511
rs7185636-<b>T</b>,2e-08,late-onset alzheimers disease,IQCK,16:19796841
rs11257242-<b>C</b>,2e-08,alzheimer disease,ECHDC3,10:11679120
rs11257242-<b>C</b>,2e-08,alzheimer disease,USP6NL-AS1,10:11679120
rs10098778-<b>?</b>,2e-08,alzheimer disease,NDUFAF6,8:94979792
rs1497525-<b>?</b>,2e-08,alzheimer disease,OR2B2,6:27915491
rs1497525-<b>?</b>,2e-08,alzheimer disease,OR2W6P,6:27915491
rs2830500-<b>C</b>,3.0000000000000004e-08,late-onset alzheimers disease,ADAMTS1,21:26784537
rs35349669-<b>T</b>,3.0000000000000004e-08,alzheimer disease,INPP5D,2:233159830
rs190982-<b>A</b>,3.0000000000000004e-08,alzheimer disease,MEF2C-AS1,5:88927603
rs7274581-<b>T</b>,3.0000000000000004e-08,alzheimer disease,CASS4,20:56443204
rs12358692-<b>T</b>,3.0000000000000004e-08,alzheimer disease,ECHDC3,10:11679103
rs12358692-<b>T</b>,3.0000000000000004e-08,alzheimer disease,USP6NL-AS1,10:11679103
rs34972666-<b>?</b>,3.0000000000000004e-08,alzheimer disease,TGM6,20:2404326
rs471470-<b>A</b>,3.0000000000000004e-08,alzheimer disease,RNU6-560P,11:86120499
rs471470-<b>A</b>,3.0000000000000004e-08,alzheimer disease,PICALM,11:86120499
rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset alzheimers disease,ZFP3-DT,17:5066645
rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset alzheimers disease,SLC52A1,17:5066645
rs35139934-<b>A</b>,3.0000000000000004e-08,alzheimer disease,PLEC,8:143921796
rs9269853-<b>A</b>,3.0000000000000004e-08,alzheimer disease,HLA-DRB1,6:32582545
rs62039712-<b>A</b>,4e-08,late-onset alzheimers disease,RNA5SP431,16:79321960
rs7902657-<b>?</b>,4e-08,late-onset alzheimers disease,LINC01553,10:59978394
rs7902657-<b>?</b>,4e-08,late-onset alzheimers disease,ANK3,10:59978394
rs8045064-<b>?</b>,4e-08,alzheimer disease,LINC01567,16:24664268
rs8045064-<b>?</b>,4e-08,alzheimer disease,TNRC6A,16:24664268
rs11771145-<b>A</b>,4e-08,alzheimer disease,EPHA1-AS1,7:143413669
rs113020870-<b>?</b>,4e-08,late-onset alzheimers disease,AGRN,1:1049997
rs569214-<b>?</b>,4e-08,alzheimer disease,CLU,8:27630273
rs569214-<b>?</b>,4e-08,alzheimer disease,SCARA3,8:27630273
rs3865444-<b>A</b>,4e-08,alzheimer disease,SIGLEC22P,19:51224706
rs3865444-<b>A</b>,4e-08,alzheimer disease,CD33,19:51224706
rs112404845-<b>A</b>,4e-08,late-onset alzheimers disease,ROBO2P1,7:51510325
rs4676049-<b>A</b>,4e-08,alzheimer disease,EDAR,2:109018801
rs2632516-<b>G</b>,4e-08,alzheimer disease,TSPOAP1-AS1,17:58331728
rs449647-<b>T</b>,4e-08,alzheimer disease,APOE,19:44905307
rs449647-<b>T</b>,4e-08,alzheimer disease,TOMM40,19:44905307
rs61144803-<b>?</b>,5e-08,alzheimer disease,CRADD,12:93841389
rs1060743-<b>?</b>,5e-08,late-onset alzheimers disease,BIN1,2:127068957
rs75002042-<b>T</b>,5e-08,alzheimer disease,FBXL7,5:15669858
rs8093731-<b>T</b>,5e-08,alzheimer disease,DSG2,18:31508995
rs16961023-<b>C</b>,5e-08,late-onset alzheimers disease,SLC10A2,13:103011595
rs78986976-<b>G</b>,5e-08,alzheimer disease,NECTIN2,19:44826181
rs78986976-<b>G</b>,5e-08,alzheimer disease,BCAM,19:44826181
rs145848414-<b>A</b>,7e-08,alzheimer disease,HIGD1AP3,5:174587111
rs145848414-<b>A</b>,7e-08,alzheimer disease,SUMO2P6,5:174587111
rs1892676-<b>C</b>,7e-08,alzheimer disease,APP-DT,21:26221221
rs143258881-<b>?</b>,7e-08,alzheimer disease,GPC6,13:93293605
rs12091371-<b>?</b>,7e-08,alzheimer disease,FMN2,1:240441752
rs6448799-<b>T</b>,7e-08,alzheimer disease,UNKNOWN,4:11628425
rs7818382-<b>T</b>,8e-08,alzheimer disease,NDUFAF6,8:95041772
rs4794202-<b>?</b>,8e-08,alzheimer disease,SP6,17:47853173
rs4735340-<b>T</b>,9e-08,late-onset alzheimers disease,NDUFAF6,8:94964023
rs7195572-<b>?</b>,9e-08,alzheimer disease,MTSS2,16:70667508
rs569584007-<b>?</b>,9e-08,alzheimer disease,HNRNPKP3,11:43145292
rs6014724-<b>G</b>,9e-08,alzheimer disease,CASS4,20:56423488
rs17645935-<b>A</b>,9e-08,alzheimer disease,SPPL2A,15:50699812
rs17645935-<b>A</b>,9e-08,alzheimer disease,RN7SL354P,15:50699812
rs2732703-<b>?</b>,1e-07,alzheimer disease,ARL17B,17:46275856
rs639012-<b>G</b>,1e-07,alzheimer disease,PICALM,11:85970540
