variant_and_allele,p_value,trait,gene,location
rs35346733-<b>?</b>,5e-10,bipolar disorder,CNTN4,3:2479638
rs4926298-<b>G</b>,6e-10,bipolar disorder,NFIX,19:13042221
chr7_140700006_I-<b>?</b>,6e-10,bipolar disorder,UNKNOWN,Mapping not available
rs6954854-<b>G</b>,6e-10,bipolar disorder,SP4,7:21452971
rs884303-<b>A</b>,6e-10,bipolar disorder,HLF,17:55289939
rs6434928-<b>?</b>,8e-10,bipolar disorder,RNU6-1029P,2:197439853
rs6434928-<b>?</b>,8e-10,bipolar disorder,SF3B1,2:197439853
rs10917509-<b>T</b>,8e-10,bipolar i disorder,HTR6,1:19665573
chr2_194465711_D-<b>?</b>,8e-10,bipolar disorder,UNKNOWN,Mapping not available
rs111444407-<b>?</b>,9e-10,bipolar disorder,NCAN,19:19247398
chr2:194465711-<b>?</b>,9e-10,bipolar disorder,UNKNOWN,Mapping not available
rs55706012-<b>A</b>,1e-09,bipolar i disorder,H2BC9,6:26266083
rs55706012-<b>A</b>,1e-09,bipolar i disorder,H3C8,6:26266083
rs6495988-<b>C</b>,1e-09,bipolar i disorder,LINC02694,15:38677344
rs10946817-<b>?</b>,1e-09,bipolar disorder,BTN3A2,6:26363828
rs10946817-<b>?</b>,1e-09,bipolar disorder,H3C9P,6:26363828
rs11682175-<b>?</b>,1e-09,bipolar disorder,ACTG1P22,2:57760458
rs12691307-<b>?</b>,1e-09,bipolar disorder,TMEM219,16:29928556
rs12691307-<b>?</b>,1e-09,bipolar disorder,KCTD13,16:29928556
rs11167136-<b>?</b>,1e-09,bipolar disorder,TSNARE1,8:142229454
rs6032110-<b>A</b>,1e-09,bipolar disorder,RBPJL,20:45315683
rs4762557-<b>?</b>,1e-09,bipolar disorder,UNKNOWN,Mapping not available
rs12226877-<b>A</b>,1e-09,bipolar disorder,FADS1,11:61824435
rs12226877-<b>A</b>,1e-09,bipolar disorder,FADS2,11:61824435
rs73188321-<b>C</b>,1e-09,bipolar disorder,SRPK2,7:105407711
rs73188321-<b>C</b>,1e-09,bipolar disorder,PUS7,7:105407711
rs6079469-<b>A</b>,1e-09,bipolar disorder,MACROD2,20:14520495
rs12704290-<b>?</b>,1e-09,bipolar disorder,GRM3-AS1,7:86798310
rs12704290-<b>?</b>,1e-09,bipolar disorder,GRM3,7:86798310
rs60730-<b>?</b>,1e-09,bipolar disorder,SNAP91,6:83663339
rs6073621-<b>A</b>,1e-09,bipolar i disorder,STK4,20:45066802
rs10043984-<b>C</b>,1e-09,bipolar i disorder,KDM3B,5:138376432
rs4619651-<b>?</b>,1e-09,bipolar disorder,CNNM4,2:96750416
rs4619651-<b>?</b>,1e-09,bipolar disorder,LMAN2L,2:96750416
rs10994299-<b>?</b>,1e-09,bipolar disorder,ANK3,10:60316870
rs12290811-<b>A</b>,1e-09,bipolar disorder,TENM4,11:79372576
rs2011503-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available
rs2339519-<b>A</b>,2e-09,bipolar disorder,LINC01830,2:22381268
rs4332037-<b>T</b>,2e-09,bipolar disorder,MAD1L1,7:1911173
rs12668848-<b>G</b>,2e-09,bipolar disorder,MAD1L1,7:1981360
rs13003404-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available
chr10:111745562-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available
rs6746896-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available
rs17183814-<b>G</b>,2e-09,bipolar disorder,SCN2A,2:165295879
rs3804640-<b>A</b>,2e-09,bipolar disorder,CD47,3:108074862
rs475805-<b>G</b>,2e-09,bipolar disorder,PACS1,11:66081267
rs17183814-<b>A</b>,2e-09,bipolar disorder,SCN2A,2:165295879
rs112481526-<b>A</b>,2e-09,bipolar disorder,KIAA1109,4:122154852
rs28565152-<b>G</b>,2e-09,bipolar disorder,ADCY2,5:7542798
rs6434928-<b>A</b>,2e-09,bipolar disorder,RNU6-1029P,2:197439853
rs6434928-<b>A</b>,2e-09,bipolar disorder,SF3B1,2:197439853
rs2880986-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available
rs10455979-<b>C</b>,2e-09,bipolar i disorder,RPS6KA2,6:166581772
rs9831123-<b>C</b>,2e-09,bipolar i disorder,CADM2,3:85002999
rs13236223-<b>?</b>,2e-09,bipolar disorder,BRAF,7:140967165
rs13236223-<b>?</b>,2e-09,bipolar disorder,CCT4P1,7:140967165
rs7614498-<b>A</b>,2e-09,bipolar i disorder,PBRM1,3:52584925
rs138321-<b>A</b>,2e-09,bipolar disorder,SLC25A17,22:40813300
rs1064395-<b>A</b>,2e-09,bipolar disorder,NCAN,19:19250926
rs11647445-<b>?</b>,2e-09,bipolar disorder,GRIN2A,16:9833109
rs11191356-<b>A</b>,2e-09,bipolar disorder,SUFU,10:102633732
rs11191356-<b>A</b>,2e-09,bipolar disorder,TRIM8,10:102633732
rs6992333-<b>A</b>,2e-09,bipolar disorder,PLEC,8:143919209
rs4284148-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,Mapping not available
rs59979824-<b>?</b>,2e-09,bipolar disorder,UNKNOWN,2:192983614
rs2126180-<b>G</b>,2e-09,bipolar disorder,LINC01748,1:60639996
rs3814883-<b>T</b>,2e-09,bipolar disorder,TAOK2,16:29983601
rs11764361-<b>A</b>,3.0000000000000004e-09,bipolar disorder,PUS7,7:105402782
rs11764361-<b>A</b>,3.0000000000000004e-09,bipolar disorder,SRPK2,7:105402782
rs12704290-<b>A</b>,3.0000000000000004e-09,bipolar disorder,GRM3-AS1,7:86798310
rs12704290-<b>A</b>,3.0000000000000004e-09,bipolar disorder,GRM3,7:86798310
rs12921204-<b>T</b>,3.0000000000000004e-09,bipolar disorder,C16orf72,16:9133864
rs12921204-<b>T</b>,3.0000000000000004e-09,bipolar disorder,RPL21P119,16:9133864
rs1180221-<b>T</b>,3.0000000000000004e-09,bipolar disorder,ME1,6:83243557
rs4765913-<b>?</b>,3.0000000000000004e-09,bipolar disorder,CACNA1C,12:2310730
rs62533709-<b>T</b>,3.0000000000000004e-09,bipolar disorder,PAX5,9:37003707
rs11624408-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available
rs113779084-<b>A</b>,3.0000000000000004e-09,bipolar disorder,THSD7A,7:11832161
rs61846516-<b>C</b>,3.0000000000000004e-09,bipolar i disorder,ANK3,10:60363680
rs760648-<b>?</b>,3.0000000000000004e-09,bipolar disorder,TCF20,22:42175022
rs12576775-<b>G</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available
rs2302417-<b>?</b>,3.0000000000000004e-09,bipolar disorder,ITIH1,3:52780240
rs12672003-<b>A</b>,3.0000000000000004e-09,bipolar disorder,MPP6,7:24607603
rs12919683-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available
rs7095057-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available
rs4447398-<b>A</b>,3.0000000000000004e-09,bipolar disorder,STARD9,15:42612706
rs8039305-<b>?</b>,3.0000000000000004e-09,bipolar disorder,FURIN,15:90879313
rs77071813-<b>?</b>,3.0000000000000004e-09,bipolar disorder,UNKNOWN,Mapping not available
rs4672-<b>G</b>,3.0000000000000004e-09,bipolar disorder,FKBP2,11:64242407
rs237460-<b>C</b>,4e-09,bipolar disorder,KCNB1,20:49416590
rs12474906-<b>?</b>,4e-09,bipolar disorder,UNKNOWN,Mapping not available
chr2_97376407_I-<b>?</b>,4e-09,bipolar disorder,UNKNOWN,Mapping not available
rs2388334-<b>G</b>,4e-09,bipolar disorder,EIF4EBP2P3,6:98143746
rs2388334-<b>G</b>,4e-09,bipolar disorder,HLA-DRB5,6:98143746
rs2388334-<b>A</b>,4e-09,bipolar disorder,EIF4EBP2P3,6:98143746
rs2388334-<b>A</b>,4e-09,bipolar disorder,HLA-DRB5,6:98143746
rs11167136-<b>A</b>,4e-09,bipolar disorder,TSNARE1,8:142229454
rs6519227-<b>?</b>,4e-09,bipolar disorder,SLC25A17,22:40723895
rs6519227-<b>?</b>,4e-09,bipolar disorder,MCHR1,22:40723895
rs35306827-<b>G</b>,4e-09,bipolar disorder,CUL4A,13:113214731
rs56208248-<b>?</b>,4e-09,bipolar disorder,UNKNOWN,Mapping not available
rs4702-<b>G</b>,4e-09,bipolar disorder,FURIN,15:90883330
rs12055234-<b>A</b>,4e-09,bipolar disorder,RNU6-334P,5:104702059
rs41335055-<b>T</b>,5e-09,bipolar disorder,ACTG1P22,2:57734094
rs2514218-<b>?</b>,5e-09,bipolar disorder,DRD2,11:113522272
rs10745843-<b>A</b>,5e-09,bipolar disorder,ANKS1B,12:99102252
rs35346733-<b>A</b>,5e-09,bipolar disorder,CNTN4,3:2479638
rs1948246-<b>G</b>,5e-09,bipolar disorder,LINC01378,4:117534962
rs113799727-<b>G</b>,5e-09,bipolar disorder,LINC01470,5:152698812
rs12805133-<b>A</b>,5e-09,bipolar disorder,SPTBN2,11:66715794
rs12136984-<b>T</b>,5e-09,bipolar disorder,RN7SKP19,1:73260315
rs12136984-<b>T</b>,5e-09,bipolar disorder,LINC01360,1:73260315
rs678397-<b>T</b>,5e-09,bipolar disorder,ACTN3,11:66557112
rs215011-<b>?</b>,5e-09,bipolar disorder,CMAHP,6:25384133
rs215011-<b>?</b>,5e-09,bipolar disorder,CARMIL1,6:25384133
rs2314398-<b>C</b>,5e-09,bipolar i disorder,CNNM4,2:96747751
rs2314398-<b>C</b>,5e-09,bipolar i disorder,LMAN2L,2:96747751
rs2517959-<b>T</b>,5e-09,bipolar disorder,ERBB2,17:39690259
rs2517959-<b>T</b>,5e-09,bipolar disorder,PGAP3,17:39690259
rs7122539-<b>G</b>,5e-09,bipolar i disorder,PC,11:66895260
rs112219496-<b>G</b>,5e-09,bipolar i disorder,NCAN,19:19247277
rs28456-<b>G</b>,6.000000000000001e-09,bipolar disorder,FADS1,11:61822009
rs28456-<b>G</b>,6.000000000000001e-09,bipolar disorder,FADS2,11:61822009
rs111294930-<b>A</b>,6.000000000000001e-09,bipolar disorder,LINC01470,5:152797561
rs4762559-<b>?</b>,6.000000000000001e-09,bipolar disorder,ANKS1B,12:99104862
rs6130764-<b>T</b>,6.000000000000001e-09,bipolar disorder,WFDC12,20:45121769
rs6130764-<b>T</b>,6.000000000000001e-09,bipolar disorder,WFDC5,20:45121769
rs6449529-<b>?</b>,6.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available
rs2238044-<b>A</b>,6.000000000000001e-09,bipolar disorder,CACNA1C,12:2176565
rs12553324-<b>C</b>,6.000000000000001e-09,bipolar disorder,LINC01239,9:23347867
rs12553324-<b>C</b>,6.000000000000001e-09,bipolar disorder,SUMO2P2,9:23347867
rs2953928-<b>G</b>,6.000000000000001e-09,bipolar disorder,RPL10AP3,8:34294974
rs2953928-<b>G</b>,6.000000000000001e-09,bipolar disorder,VENTXP5,8:34294974
rs10950456-<b>A</b>,6.000000000000001e-09,bipolar i disorder,MAD1L1,7:1940114
rs103197-<b>?</b>,7.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available
rs740417-<b>?</b>,7.000000000000001e-09,bipolar disorder,CACNA1C,12:2390683
rs75836205-<b>?</b>,7.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available
rs11744542-<b>G</b>,7.000000000000001e-09,bipolar i disorder,Y_RNA,5:79552534
rs12932628-<b>G</b>,7.000000000000001e-09,bipolar disorder,RPL13,16:89566317
rs12932628-<b>G</b>,7.000000000000001e-09,bipolar disorder,CPNE7,16:89566317
rs4685-<b>?</b>,7.000000000000001e-09,bipolar disorder,SF3B1,2:197393071
chr5_7587236_D-<b>?</b>,7.000000000000001e-09,bipolar i disorder,UNKNOWN,Mapping not available
rs10994318-<b>C</b>,7.000000000000001e-09,bipolar disorder,ANK3,10:60366098
rs10737496-<b>C</b>,7.000000000000001e-09,bipolar disorder,RNA5SP63,1:163776152
rs10737496-<b>C</b>,7.000000000000001e-09,bipolar disorder,U3,1:163776152
rs12902052-<b>A</b>,7.000000000000001e-09,bipolar disorder,ZSCAN2,15:84582607
rs12902052-<b>A</b>,7.000000000000001e-09,bipolar disorder,LINC00933,15:84582607
rs12575685-<b>A</b>,8e-09,bipolar disorder,SHANK2,11:70671822
rs10764493-<b>?</b>,8e-09,bipolar disorder,CACNB2,10:18439070
rs12474906-<b>A</b>,8e-09,bipolar disorder,UNKNOWN,Mapping not available
rs28681284-<b>T</b>,8e-09,bipolar disorder,CHRNA3,15:78616223
rs10423874-<b>?</b>,8e-09,bipolar disorder,NCAN,19:19248691
rs4650608-<b>T</b>,8e-09,bipolar disorder,UNKNOWN,1:78772330
rs420259-<b>?</b>,9.000000000000001e-09,bipolar disorder,PALB2,16:23622705
rs10994336-<b>T</b>,9.000000000000001e-09,bipolar disorder,ANK3,10:60420054
rs109944336-<b>?</b>,9.000000000000001e-09,bipolar disorder,ANK3,10:60420054
rs7121067-<b>?</b>,9.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available
rs6887473-<b>G</b>,9.000000000000001e-09,bipolar disorder,SSBP2,5:81665250
rs9283801-<b>?</b>,9.000000000000001e-09,bipolar disorder,UNKNOWN,Mapping not available
rs13044225-<b>A</b>,9.000000000000001e-09,bipolar disorder,OSBPL2,20:62290759
rs484201-<b>T</b>,9.000000000000001e-09,bipolar disorder,MACROD1,11:64023459
rs35958438-<b>G</b>,1e-08,bipolar i disorder,LINC02694,15:38681592
rs735931-<b>A</b>,1e-08,bipolar i disorder,ATP2B2,3:10483412
rs6875495-<b>C</b>,1e-08,bipolar i disorder,VTRNA1-3,5:140727646
rs6875495-<b>C</b>,1e-08,bipolar i disorder,PCDHA1,5:140727646
rs9320913-<b>?</b>,1e-08,bipolar disorder,EIF4EBP2P3,6:98136857
rs13135092-<b>?</b>,1e-08,bipolar disorder,SLC39A8,4:102276925
rs62011709-<b>T</b>,1e-08,bipolar disorder,HOMER2,15:82863022
rs169738-<b>?</b>,1e-08,bipolar disorder,GGNBP1,6:33569769
rs2719169-<b>A</b>,1e-08,bipolar disorder,CNTNAP5,2:193579493
rs11557713-<b>A</b>,1e-08,bipolar disorder,ZCCHC2,18:62576643
rs6984358-<b>?</b>,1e-08,bipolar disorder,FGFR1,8:38427063
rs7161596-<b>?</b>,1e-08,bipolar disorder,RGS6,14:71975895
rs4309187-<b>?</b>,1e-08,bipolar disorder,TMPRSS5,11:113541721
rs4309187-<b>?</b>,1e-08,bipolar disorder,DRD2,11:113541721
rs7001340-<b>T</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs9378249-<b>?</b>,1e-08,bipolar disorder,DHFRP2,6:31359924
rs9378249-<b>?</b>,1e-08,bipolar disorder,HLA-B,6:31359924
rs6694545-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs778353-<b>?</b>,1e-08,bipolar disorder,NGEF,2:232923640
chr20_43682549_I-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs11648559-<b>T</b>,1e-08,bipolar disorder,GRIN2A,16:9780842
chr10_111745562_I-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs1938526-<b>?</b>,1e-08,bipolar disorder,ANK3,10:60540625
rs4239639-<b>A</b>,1e-08,bipolar disorder,MAU2,19:19325067
rs4722033-<b>G</b>,1e-08,bipolar i disorder,SP4,7:21460210
rs1054442-<b>A</b>,1e-08,bipolar disorder,DDN,12:48995537
rs17826816-<b>G</b>,1e-08,bipolar disorder,ADCY2,5:7519185
rs55648125-<b>A</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs12202969-<b>A</b>,1e-08,bipolar disorder,EIF4EBP2P3,6:98128347
rs34771152-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs10744560-<b>?</b>,1e-08,bipolar disorder,CACNA1C,12:2277933
rs10744560-<b>?</b>,1e-08,bipolar disorder,CACNA1C-IT3,12:2277933
rs12563424-<b>T</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available
rs13236223-<b>T</b>,1e-08,bipolar disorder,BRAF,7:140967165
rs13236223-<b>T</b>,1e-08,bipolar disorder,CCT4P1,7:140967165
rs10129264-<b>T</b>,1e-08,bipolar disorder,BCL11B,14:99237631
rs11887562-<b>A</b>,2e-08,bipolar disorder,LINC01830,2:22400520
rs2693698-<b>A</b>,2e-08,bipolar disorder,BCL11B,14:99252882
rs6550435-<b>G</b>,2e-08,bipolar disorder,TRANK1,3:36822998
rs6550435-<b>G</b>,2e-08,bipolar disorder,LINC02033,3:36822998
rs1012053-<b>A</b>,2e-08,bipolar disorder,DGKH,13:42079301
rs13135092-<b>A</b>,2e-08,bipolar disorder,SLC39A8,4:102276925
rs6922815-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available
rs10043984-<b>?</b>,2e-08,bipolar disorder,KDM3B,5:138376432
rs329319-<b>?</b>,2e-08,bipolar disorder,JADE2,5:134570919
rs3803277-<b>C</b>,2e-08,bipolar i disorder,ALOX5AP,13:30744171
rs912983-<b>T</b>,2e-08,bipolar disorder,CACNB2,10:18454538
rs4765913-<b>A</b>,2e-08,bipolar disorder,CACNA1C,12:2310730
rs28379895-<b>T</b>,2e-08,bipolar i disorder,INSYN1-AS1,15:73856091
rs28379895-<b>T</b>,2e-08,bipolar i disorder,TBC1D21,15:73856091
rs7248205-<b>C</b>,2e-08,bipolar i disorder,ILF3,19:10659629
rs2592118-<b>T</b>,2e-08,bipolar disorder,NGEF,2:232927715
rs1023330-<b>?</b>,2e-08,bipolar disorder,TLCD4-RWDD3,1:95121217
rs1023330-<b>?</b>,2e-08,bipolar disorder,TLCD4,1:95121217
chr6:72519394-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available
rs489337-<b>G</b>,2e-08,bipolar i disorder,PACS1,11:66087090
rs10459221-<b>?</b>,2e-08,bipolar disorder,RHEBL1,12:49073211
rs10459221-<b>?</b>,2e-08,bipolar disorder,DHH,12:49073211
rs7001340-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available
rs72769124-<b>A</b>,2e-08,bipolar disorder,UNKNOWN,1:239046758
rs10497655-<b>?</b>,2e-08,bipolar disorder,MIR548AE1,2:184597314
rs10497655-<b>?</b>,2e-08,bipolar disorder,ZNF804A,2:184597314
rs10973201-<b>T</b>,2e-08,bipolar disorder,EBLN3P,9:37090541
rs6079463-<b>?</b>,2e-08,bipolar disorder,MACROD2,20:14495111
rs9863544-<b>T</b>,2e-08,bipolar disorder,NPHP3-AS1,3:132893820
rs6865469-<b>G</b>,2e-08,bipolar disorder,Y_RNA,5:79553682
rs1039002-<b>?</b>,2e-08,bipolar disorder,PDE10A,6:165741969
rs10255167-<b>G</b>,2e-08,bipolar disorder,BRAF,7:140976353
rs10255167-<b>G</b>,2e-08,bipolar disorder,CCT4P1,7:140976353
rs11742527-<b>G</b>,2e-08,bipolar disorder,DOCK2,5:169916213
rs11742527-<b>G</b>,2e-08,bipolar disorder,INSYN2B,5:169916213
rs8118905-<b>C</b>,2e-08,bipolar disorder,KCNG1,20:50994060
rs8118905-<b>C</b>,2e-08,bipolar disorder,MOCS3,20:50994060
rs112114764-<b>G</b>,2e-08,bipolar disorder,HDAC5,17:44123673
rs11724116-<b>C</b>,2e-08,bipolar disorder,FSTL5,4:161372886
rs10896090-<b>A</b>,2e-08,bipolar disorder,PACS1,11:66177715
