,variant_and_allele,p_value,trait,gene,location,maf
1416,rs55834529-<b>A</b>,9e-27,schizophrenia,UNKNOWN,Mapping not available,0.9348097967691505
2045,rs34706883-<b>?</b>,2e-26,schizophrenia,H2BC15,6:27837477,-1.0
2045,rs34706883-<b>?</b>,2e-26,schizophrenia,H4C12,6:27837477,-1.0
2330,rs116757206-<b>G</b>,1e-25,schizophrenia,OR2AD1P,6:29015497,-1.0
2330,rs116757206-<b>G</b>,1e-25,schizophrenia,ZNF311,6:29015497,-1.0
331,rs75970938-<b>?</b>,2e-25,schizophrenia,CNNM2,10:103033891,-1.0
2331,rs114071887-<b>G</b>,7e-25,schizophrenia,OR5V1,6:29374998,-1.0
2331,rs114071887-<b>G</b>,7e-25,schizophrenia,OR12D3,6:29374998,-1.0
356,rs1716180-<b>?</b>,2e-23,schizophrenia,MPHOSPH9,12:123197534,-1.0
2332,rs17720293-<b>C</b>,3e-23,schizophrenia,ZKSCAN4,6:28246920,0.9107217249693863
2223,rs182812355-<b>A</b>,7e-23,schizophrenia,TRIM27,6:28913267,-1.0
1993,rs7746199-<b>?</b>,7e-23,schizophrenia,POM121L2,6:27293545,-1.0
2224,rs9467711-<b>A</b>,2e-22,schizophrenia,BTN3A2,6:26332377,0.8598508746773731
2224,rs9467711-<b>A</b>,2e-22,schizophrenia,H3C9P,6:26332377,0.8598508746773731
2225,rs115123779-<b>G</b>,4e-22,schizophrenia,LINC02829,6:29510044,-1.0
1990,rs34661691-<b>?</b>,6e-22,schizophrenia,H2BC6,6:26173250,-1.0
447,rs7596038-<b>?</b>,7e-22,schizophrenia,VRK2,2:58156685,-1.0
2226,rs116408368-<b>T</b>,1e-21,schizophrenia,TRIM26,6:30202733,-1.0
2227,rs401754-<b>T</b>,2e-21,schizophrenia,H2AC14,6:27814760,0.910632985754149
2228,rs16894116-<b>G</b>,2.9999999999999995e-21,schizophrenia,COX11P1,6:28447190,0.7997052079921388
255,rs7766356-<b>?</b>,2.9999999999999995e-21,schizophrenia,ZSCAN23,6:28432761,-1.0
1254,rs13198474-<b>G</b>,2.9999999999999997e-20,schizophrenia,SLC17A3,6:25874195,0.9396357973348435
2229,rs115031589-<b>G</b>,2.9999999999999997e-20,schizophrenia,ZBED9,6:28594812,-1.0
2230,rs115123027-<b>T</b>,4e-20,schizophrenia,SFTA2,6:30939558,-1.0
2230,rs115123027-<b>T</b>,4e-20,schizophrenia,MUCL3,6:30939558,-1.0
69,rs11191424-<b>G</b>,4e-20,schizophrenia,BORCS7-ASMT,10:102866129,0.6443383094129506
2231,rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1A,6:31819390,-1.0
2231,rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1B,6:31819390,-1.0
2215,rs2007044-<b>?</b>,5.999999999999999e-20,schizophrenia,CACNA1C,12:2235794,-1.0
2232,rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,HLA-B,6:31345252,-1.0
2232,rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,LINC02571,6:31345252,-1.0
1778,rs2596500-<b>A</b>,8e-20,schizophrenia,HLA-B,6:31353490,0.9523071420054847
1778,rs2596500-<b>A</b>,8e-20,schizophrenia,LINC02571,6:31353490,0.9523071420054847
2233,rs34104395-<b>C</b>,8.999999999999999e-20,schizophrenia,BTN1A1P1,6:26478024,0.9163859012569652
346,rs2159100-<b>?</b>,1e-19,schizophrenia,CACNA1C,12:2237227,-1.0
1207,rs114200269-<b>T</b>,2e-19,schizophrenia,MICC,6:30368886,-1.0
1207,rs114200269-<b>T</b>,2e-19,schizophrenia,UBQLN1P1,6:30368886,-1.0
2524,rs4298967-<b>?</b>,2e-19,schizophrenia,UNKNOWN,Mapping not available,-1.0
1009,rs1702294-<b>C</b>,3e-19,schizophrenia,UNKNOWN,Mapping not available,0.8065170819709099
2234,rs116396069-<b>C</b>,3e-19,schizophrenia,LINC00243,6:30830920,-1.0
2234,rs116396069-<b>C</b>,3e-19,schizophrenia,LINC02570,6:30830920,-1.0
54,rs2159100-<b>T</b>,3e-19,schizophrenia,CACNA1C,12:2237227,0.3136395630575145
2235,rs77296290-<b>C</b>,4e-19,schizophrenia,HLA-DQB1,6:32667519,-1.0
1309,rs9274623-<b>G</b>,6e-19,schizophrenia,HLA-DQB1,6:32668221,0.8970766536440792
1036,rs11191419-<b>T</b>,6e-19,schizophrenia,BORCS7,10:102852578,0.6442212709911096
1036,rs11191419-<b>T</b>,6e-19,schizophrenia,PTGES3P4,10:102852578,0.6442212709911096
1300,rs67682613-<b>G</b>,6.999999999999999e-19,schizophrenia,NEU1,6:31858928,-1.0
2236,rs149979052-<b>C</b>,6.999999999999999e-19,schizophrenia,PSORS1C1,6:31137370,-1.0
405,rs7476192-<b>?</b>,9e-19,schizophrenia,AS3MT,10:102889618,-1.0
405,rs7476192-<b>?</b>,9e-19,schizophrenia,BORCS7-ASMT,10:102889618,-1.0
659,rs4298967-<b>A</b>,1e-18,schizophrenia,UNKNOWN,Mapping not available,0.32080497905213956
418,rs58120505-<b>?</b>,1e-18,schizophrenia,UNKNOWN,Mapping not available,-1.0
2216,rs10650434-<b>?</b>,1e-18,schizophrenia,MAD1L1,7:1985462,-1.0
2514,rs7085104-<b>?</b>,2e-18,schizophrenia,UNKNOWN,Mapping not available,-1.0
2238,rs35741362-<b>T</b>,2e-18,schizophrenia,LINC00240,6:27039908,0.951641192683538
256,rs12244388-<b>?</b>,2e-18,schizophrenia,AS3MT,10:102880295,-1.0
256,rs12244388-<b>?</b>,2e-18,schizophrenia,BORCS7-ASMT,10:102880295,-1.0
2237,rs115406947-<b>G</b>,2e-18,schizophrenia,HLA-DRB9,6:32464869,-1.0
2217,rs2660304-<b>?</b>,2e-18,schizophrenia,MIR137HG,1:98046571,-1.0
501,rs2949006-<b>?</b>,3.0000000000000002e-18,schizophrenia,UNKNOWN,Mapping not available,-1.0
1045,rs2007044-<b>G</b>,3.0000000000000002e-18,schizophrenia,CACNA1C,12:2235794,0.39503015568750294
521,rs66691851-<b>?</b>,4e-18,schizophrenia,STAG1,3:136435986,-1.0
938,rs1024582-<b>A</b>,6.0000000000000004e-18,schizophrenia,CACNA1C,12:2293080,0.3008589212403277
68,rs1615350-<b>C</b>,6.0000000000000004e-18,schizophrenia,MPHOSPH9,12:123165788,0.3576200794510654
2218,rs12416331-<b>?</b>,7e-18,schizophrenia,NT5C2,10:103169157,-1.0
2219,rs58033671-<b>?</b>,9.000000000000001e-18,schizophrenia,TSNARE1,8:142238758,-1.0
502,rs17592552-<b>?</b>,1e-17,schizophrenia,SPATS2L,2:200311348,-1.0
1779,rs2660304-<b>T</b>,1e-17,schizophrenia,MIR137HG,1:98046571,0.8125992588671255
939,rs7085104-<b>A</b>,1e-17,schizophrenia,UNKNOWN,Mapping not available,0.6446044843572324
258,rs1702294-<b>?</b>,1e-17,schizophrenia,UNKNOWN,Mapping not available,-1.0
2241,rs115344853-<b>A</b>,2e-17,schizophrenia,NOTCH4,6:32197667,-1.0
2240,rs144373461-<b>C</b>,2e-17,schizophrenia,HLA-V,6:29783228,-1.0
2240,rs144373461-<b>C</b>,2e-17,schizophrenia,IFITM4P,6:29783228,-1.0
638,rs11191582-<b>A</b>,3e-17,schizophrenia,NT5C2,10:103153896,0.0827621483375959
71,rs12668848-<b>G</b>,4e-17,schizophrenia,MAD1L1,7:1981360,0.7658227848101266
60,rs10786736-<b>G</b>,4e-17,schizophrenia,CNNM2,10:103089359,0.8976377952755905
60,rs10786736-<b>G</b>,4e-17,schizophrenia,NT5C2,10:103089359,0.8976377952755905
1276,rs187696124-<b>T</b>,7e-17,schizophrenia,HLA-DRB9,6:32469754,-1.0
2221,rs6065094-<b>?</b>,8e-17,schizophrenia,UNKNOWN,Mapping not available,-1.0
457,rs848293-<b>?</b>,9.000000000000001e-17,schizophrenia,VRK2,2:58155355,-1.0
1849,rs2523722-<b>G</b>,1e-16,schizophrenia,TRIM26,6:30197496,-1.0
2222,rs13107325-<b>?</b>,1e-16,schizophrenia,SLC39A8,4:102267552,-1.0
436,rs1198588-<b>?</b>,1e-16,schizophrenia,NFU1P2,1:98087276,-1.0
66,rs796364-<b>C</b>,2e-16,schizophrenia,RN7SL717P,2:199851396,0.19748330765279917
66,rs796364-<b>C</b>,2e-16,schizophrenia,FTCDNL1,2:199851396,0.19748330765279917
1752,rs10883832-<b>T</b>,2e-16,schizophrenia,NT5C2,10:103111522,0.9537946428571429
2242,rs138488080-<b>G</b>,3e-16,schizophrenia,SUMO2P1,6:29638984,-1.0
2242,rs138488080-<b>G</b>,3e-16,schizophrenia,MOG,6:29638984,-1.0
1469,rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMA,6:32946949,0.9340921122286925
1469,rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMB,6:32946949,0.9340921122286925
2115,rs4144797-<b>?</b>,4e-16,schizophrenia,GIGYF2,2:232697487,-1.0
2243,rs114618162-<b>G</b>,6e-16,schizophrenia,LINC01149,6:31446032,-1.0
2141,rs2851447-<b>?</b>,6e-16,schizophrenia,MPHOSPH9,12:123180566,-1.0
2244,rs114261345-<b>A</b>,9e-16,schizophrenia,FLOT1,6:30730764,-1.0
432,rs11210892-<b>?</b>,1e-15,schizophrenia,PTPRF,1:43634413,-1.0
432,rs11210892-<b>?</b>,1e-15,schizophrenia,KDM4A,1:43634413,-1.0
470,rs4147157-<b>?</b>,1e-15,schizophrenia,WBP1L,10:102776603,-1.0
455,rs4666990-<b>?</b>,2e-15,schizophrenia,ZNF804A,2:184798577,-1.0
374,rs4702-<b>?</b>,2e-15,schizophrenia,FURIN,15:90883330,-1.0
2117,rs12293670-<b>?</b>,2e-15,schizophrenia,UNKNOWN,Mapping not available,-1.0
2246,rs56275179-<b>G</b>,2e-15,schizophrenia,HFE,6:26089112,0.9691191864812322
1033,rs4129585-<b>A</b>,2e-15,schizophrenia,UNKNOWN,Mapping not available,0.41556752559809773
2245,rs115687605-<b>C</b>,2e-15,schizophrenia,UBQLN1P1,6:30397852,-1.0
2245,rs115687605-<b>C</b>,2e-15,schizophrenia,MICC,6:30397852,-1.0
2461,rs1801133-<b>A</b>,4e-15,schizophrenia,MTHFR,1:11796321,0.340157797278802
1255,rs13217239-<b>T</b>,4e-15,schizophrenia,POM121L2,6:27287188,0.6357377396462239
1454,rs62392365-<b>A</b>,4e-15,schizophrenia,CMAHP,6:25371141,0.9563790365272631
1454,rs62392365-<b>A</b>,4e-15,schizophrenia,CARMIL1,6:25371141,0.9563790365272631
77,rs66691851-<b>C</b>,4e-15,schizophrenia,STAG1,3:136435986,0.6119110640550556
430,rs7785663-<b>?</b>,4e-15,schizophrenia,DGKI,7:137385552,-1.0
404,rs3929747-<b>?</b>,5.000000000000001e-15,schizophrenia,C10orf95-AS1,10:102454510,-1.0
524,rs4855019-<b>?</b>,6.0000000000000005e-15,schizophrenia,SOX2-OT,3:181120856,-1.0
1007,rs35518360-<b>T</b>,8e-15,schizophrenia,BANK1,4:102225733,0.025760719225449515
1007,rs35518360-<b>T</b>,8e-15,schizophrenia,SLC39A8,4:102225733,0.025760719225449515
2143,rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,RN7SKP19,1:73302683,-1.0
2143,rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,LINC01360,1:73302683,-1.0
2247,rs144959664-<b>G</b>,1e-14,schizophrenia,ABCF1,6:30598076,-1.0
2247,rs144959664-<b>G</b>,1e-14,schizophrenia,PPP1R10,6:30598076,-1.0
1088,rs4391122-<b>G</b>,1e-14,schizophrenia,LINC02057,5:61302716,0.4952097970064702
1397,rs2102949-<b>G</b>,2e-14,schizophrenia,MPHOSPH9,12:123192216,0.33684489147697194
1051,rs2851447-<b>G</b>,2e-14,schizophrenia,MPHOSPH9,12:123180566,0.33525674960296453
1610,rs281768-<b>A</b>,2e-14,schizophrenia,MAIP1,2:199960517,0.18295394388565378
2119,rs6002655-<b>?</b>,2e-14,schizophrenia,TCF20,22:42207808,-1.0
396,rs13262595-<b>?</b>,3e-14,schizophrenia,TSNARE1,8:142235609,-1.0
2146,rs10083370-<b>?</b>,3e-14,schizophrenia,LINC00637,14:103847845,-1.0
2145,rs4766428-<b>?</b>,3e-14,schizophrenia,ATP2A2,12:110285440,-1.0
2091,rs79780963-<b>?</b>,3e-14,schizophrenia,NT5C2,10:103192742,-1.0
259,rs11693528-<b>?</b>,3e-14,schizophrenia,FTCDNL1,2:199871784,-1.0
259,rs11693528-<b>?</b>,3e-14,schizophrenia,RN7SL717P,2:199871784,-1.0
516,rs2577831-<b>?</b>,3e-14,schizophrenia,PBRM1,3:52594040,-1.0
429,rs214475-<b>?</b>,4e-14,schizophrenia,IMMP2L,7:111227479,-1.0
2122,rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3-AS1,7:86798310,-1.0
2122,rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3,7:86798310,-1.0
400,rs1926026-<b>?</b>,4e-14,schizophrenia,CACNB2,10:18436730,-1.0
2148,rs7701440-<b>?</b>,4e-14,schizophrenia,ZSWIM6,5:61325153,-1.0
2148,rs7701440-<b>?</b>,4e-14,schizophrenia,LINC02057,5:61325153,-1.0
2026,rs9834970-<b>?</b>,4e-14,schizophrenia,LINC02033,3:36814539,-1.0
2026,rs9834970-<b>?</b>,4e-14,schizophrenia,HSPD1P6,3:36814539,-1.0
2125,rs4936215-<b>?</b>,5e-14,schizophrenia,UNKNOWN,Mapping not available,-1.0
2124,rs5825114-<b>?</b>,5e-14,schizophrenia,LINC01929,18:55081986,-1.0
2483,rs4906338-<b>?</b>,6e-14,schizophrenia,UNKNOWN,Mapping not available,-1.0
366,rs10873538-<b>?</b>,6e-14,schizophrenia,PPP1R13B,14:103789232,-1.0
25,rs9859557-<b>A</b>,6e-14,schizophrenia,SOX2-OT,3:181113122,0.7833774483853891
669,rs12887734-<b>T</b>,6e-14,schizophrenia,KLC1,14:103580497,0.27297755188479456
669,rs12887734-<b>T</b>,6e-14,schizophrenia,COA8,14:103580497,0.27297755188479456
1061,rs4702-<b>G</b>,8e-14,schizophrenia,FURIN,15:90883330,0.4379278777264767
480,rs6694545-<b>?</b>,8e-14,schizophrenia,UNKNOWN,Mapping not available,-1.0
372,rs11633534-<b>?</b>,8e-14,schizophrenia,LINC00933,15:84581411,-1.0
372,rs11633534-<b>?</b>,8e-14,schizophrenia,ZSCAN2,15:84581411,-1.0
599,rs1198589-<b>C</b>,8e-14,schizophrenia,NFU1P2,1:98084855,0.8399872687267342
472,rs1984658-<b>?</b>,9e-14,schizophrenia,PITPNM2,12:122998879,-1.0
1854,rs114002140-<b>A</b>,9e-14,schizophrenia,HLA-DRB9,6:32464185,-1.0
802,rs7893279-<b>T</b>,9e-14,schizophrenia,UNKNOWN,Mapping not available,0.8889644351464435
413,rs217289-<b>?</b>,1e-13,schizophrenia,SNAP91,6:83692088,-1.0
1976,rs185053056-<b>?</b>,1e-13,schizophrenia,RPSAP2,6:28712999,-1.0
1976,rs185053056-<b>?</b>,1e-13,schizophrenia,LINC00533,6:28712999,-1.0
1932,rs1024582-<b>?</b>,1e-13,schizophrenia,CACNA1C,12:2293080,-1.0
698,rs4481150-<b>T</b>,1e-13,schizophrenia,ITIH3,3:52803777,0.5096970936610945
523,rs6804239-<b>?</b>,1e-13,schizophrenia,UNKNOWN,3:162062700,-1.0
261,rs4391122-<b>?</b>,1e-13,schizophrenia,LINC02057,5:61302716,-1.0
736,rs7596038-<b>C</b>,1e-13,schizophrenia,VRK2,2:58156685,0.5480677607199577
1099,rs75968099-<b>T</b>,1e-13,schizophrenia,LINC02033,3:36817092,0.3190511321718404
1099,rs75968099-<b>T</b>,1e-13,schizophrenia,HSPD1P6,3:36817092,0.3190511321718404
459,rs2073499-<b>?</b>,1e-13,schizophrenia,RASSF1,3:50336862,-1.0
347,rs302321-<b>?</b>,1e-13,schizophrenia,TMTC1,12:29775455,-1.0
672,rs67119537-<b>T</b>,1e-13,schizophrenia,RN7SL417P,15:84395671,0.9480913713288306
672,rs67119537-<b>T</b>,1e-13,schizophrenia,DNM1P51,15:84395671,0.9480913713288306
781,rs778371-<b>G</b>,2e-13,schizophrenia,SNORC,2:232878399,0.2790340734677172
2335,rs9636107-<b>G</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available,0.4789442320107265
806,rs2577831-<b>C</b>,2e-13,schizophrenia,PBRM1,3:52594040,0.5685235395612521
263,rs75968099-<b>?</b>,2e-13,schizophrenia,LINC02033,3:36817092,-1.0
263,rs75968099-<b>?</b>,2e-13,schizophrenia,HSPD1P6,3:36817092,-1.0
2050,rs115374247-<b>?</b>,2e-13,schizophrenia,SUMO2P1,6:29642504,-1.0
2050,rs115374247-<b>?</b>,2e-13,schizophrenia,MOG,6:29642504,-1.0
262,rs12887734-<b>?</b>,2e-13,schizophrenia,KLC1,14:103580497,-1.0
262,rs12887734-<b>?</b>,2e-13,schizophrenia,COA8,14:103580497,-1.0
389,rs7001340-<b>?</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0
94,rs217331-<b>G</b>,2e-13,schizophrenia,SNAP91,6:83634970,0.6102029621503017
386,rs117325001-<b>?</b>,2e-13,schizophrenia,BNIP3L,8:26384756,-1.0
694,rs2949006-<b>T</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available,0.1937331172339276
642,rs9636107-<b>A</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available,0.5210557679892734
1059,rs8042374-<b>A</b>,2e-13,schizophrenia,CHRNA3,15:78615690,0.749644247089684
2334,rs629444-<b>C</b>,2e-13,schizophrenia,H2BP5,6:25885586,0.8542991220102937
2487,rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL417P,15:84395671,-1.0
2487,rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,DNM1P51,15:84395671,-1.0
2126,rs7951870-<b>?</b>,3.0000000000000003e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0
2023,rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL717P,2:199851396,-1.0
2023,rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,FTCDNL1,2:199851396,-1.0
1359,rs13240464-<b>T</b>,3.0000000000000003e-13,schizophrenia,IMMP2L,7:111258859,0.666913710958179
767,rs55661361-<b>G</b>,4e-13,schizophrenia,NRGN,11:124744061,0.7045886730053741
178,rs1518395-<b>A</b>,4e-13,schizophrenia,VRK2,2:57980939,0.3699078812691914
264,rs9607782-<b>?</b>,4e-13,schizophrenia,EP300-AS1,22:41191552,-1.0
858,rs35225048-<b>C</b>,4e-13,schizophrenia,UNKNOWN,15:61564064,0.46352567496029645
936,rs9607782-<b>A</b>,4e-13,schizophrenia,EP300-AS1,22:41191552,0.23430054008260087
2127,rs6434928-<b>?</b>,4e-13,schizophrenia,RNU6-1029P,2:197439853,-1.0
2127,rs6434928-<b>?</b>,4e-13,schizophrenia,SF3B1,2:197439853,-1.0
2274,rs4391122-<b>A</b>,5e-13,schizophrenia,LINC02057,5:61302716,0.5047902029935297
2154,rs7893279-<b>?</b>,5e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0
2337,rs28681284-<b>C</b>,6.000000000000001e-13,schizophrenia,CHRNA3,15:78616223,0.7916666666666666
59,rs61041384-<b>C</b>,6.000000000000001e-13,schizophrenia,MPHOSPH9,12:123159496,0.03663313922710429
2113,rs748455-<b>?</b>,6.000000000000001e-13,schizophrenia,ZSCAN2,15:84606344,-1.0
673,rs4702-<b>A</b>,6.000000000000001e-13,schizophrenia,FURIN,15:90883330,0.5620721222735233
2561,rs2859368-<b>?</b>,6.000000000000001e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0
2129,rs11646127-<b>?</b>,6.000000000000001e-13,schizophrenia,TMEM219,16:29954956,-1.0
1856,rs6461049-<b>T</b>,6.000000000000001e-13,schizophrenia,MAD1L1,7:1977810,0.5615040970878425
697,rs7652637-<b>T</b>,7e-13,schizophrenia,TRANK1,3:36830016,0.6357016769638129
2338,rs1892252-<b>C</b>,7e-13,schizophrenia,SLC17A4,6:25772411,0.7777130757014293
266,rs4129585-<b>?</b>,7e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0
265,rs10750450-<b>?</b>,7e-13,schizophrenia,LINC02551,11:130849166,-1.0
2546,rs2710323-<b>?</b>,7e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0
1457,rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01416,18:55865958,0.9319216516675489
1457,rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01415,18:55865958,0.9319216516675489
13,rs214467-<b>A</b>,8e-13,schizophrenia,IMMP2L,7:111218212,0.6422965716646014
100,rs3814881-<b>G</b>,8e-13,schizophrenia,TAOK2,16:29989580,0.6196759368929738
28,rs75059851-<b>A</b>,9e-13,schizophrenia,IGSF9B,11:133952674,0.8104028392330384
702,rs13135092-<b>A</b>,9e-13,schizophrenia,SLC39A8,4:102276925,0.935627316040233
529,rs6874127-<b>?</b>,9e-13,schizophrenia,HCN1,5:45305513,-1.0
2158,rs62606711-<b>?</b>,1e-12,schizophrenia,PJA1,X:69157361,-1.0
788,rs112537273-<b>T</b>,1e-12,schizophrenia,LETM2,8:38390788,0.8095540726617944
267,rs9636107-<b>?</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,-1.0
1840,rs6932590-<b>T</b>,1e-12,schizophrenia,POM121L2,6:27281152,0.7551035666648722
1840,rs6932590-<b>T</b>,1e-12,schizophrenia,PRSS16,6:27281152,0.7551035666648722
671,rs28681284-<b>T</b>,1e-12,schizophrenia,CHRNA3,15:78616223,0.20833333333333334
2112,rs3743078-<b>?</b>,1e-12,schizophrenia,CHRNA3,15:78602417,-1.0
623,rs58120505-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,0.610109383011451
12,rs2970610-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,0.3732455265083483
1219,rs11682175-<b>C</b>,1e-12,schizophrenia,ACTG1P22,2:57760458,0.44219026754917495
416,rs2153960-<b>?</b>,1e-12,schizophrenia,FOXO3,6:108666981,-1.0
1043,rs10791097-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,0.4259120126888722
544,rs28735056-<b>?</b>,1e-12,schizophrenia,KCNG2,18:79862879,-1.0
380,rs9890128-<b>?</b>,1e-12,schizophrenia,YWHAE,17:1370352,-1.0
2282,rs1518395-<b>G</b>,1e-12,schizophrenia,VRK2,2:57980939,0.6300921187308086
2131,rs217287-<b>?</b>,1e-12,schizophrenia,SNAP91,6:83697747,-1.0
445,rs4632296-<b>?</b>,1e-12,schizophrenia,RBKS,2:27802117,-1.0
445,rs4632296-<b>?</b>,1e-12,schizophrenia,MRPL33,2:27802117,-1.0
364,rs2190864-<b>?</b>,1e-12,schizophrenia,RGS6,14:71949502,-1.0
943,rs10791098-<b>T</b>,2e-12,schizophrenia,LINC02551,11:130848816,0.44929337302390104
786,rs73219805-<b>A</b>,2e-12,schizophrenia,BNIP3L,8:26415252,0.1608940361510986
2136,rs2514218-<b>?</b>,2e-12,schizophrenia,DRD2,11:113522272,-1.0
1008,rs12129573-<b>A</b>,2e-12,schizophrenia,RN7SKP19,1:73302683,0.3363155108523028
1008,rs12129573-<b>A</b>,2e-12,schizophrenia,LINC01360,1:73302683,0.3363155108523028
2133,rs5757730-<b>?</b>,2e-12,schizophrenia,CACNA1I,22:39571425,-1.0
1991,rs13218591-<b>?</b>,2e-12,schizophrenia,BTN3A2,6:26376604,-1.0
1047,rs12826178-<b>G</b>,2e-12,schizophrenia,NXPH4,12:57228588,0.9384330333509794
1047,rs12826178-<b>G</b>,2e-12,schizophrenia,SHMT2,12:57228588,0.9384330333509794
2135,rs35346733-<b>?</b>,2e-12,schizophrenia,CNTN4,3:2479638,-1.0
2038,rs72799198-<b>?</b>,2e-12,schizophrenia,LINC01470,5:152811145,-1.0
7,rs2057884-<b>T</b>,2e-12,schizophrenia,SRPK2,7:105289803,0.36019687885359525
334,rs7926389-<b>?</b>,2e-12,schizophrenia,ARHGAP1,11:46690304,-1.0
1248,rs13107325-<b>T</b>,2e-12,schizophrenia,SLC39A8,4:102267552,0.07176104676104676
268,rs13240464-<b>?</b>,2e-12,schizophrenia,IMMP2L,7:111258859,-1.0
269,rs301797-<b>?</b>,2e-12,schizophrenia,RERE-AS1,1:8427263,-1.0
269,rs301797-<b>?</b>,2e-12,schizophrenia,RERE,1:8427263,-1.0
1899,rs2021722-<b>C</b>,2e-12,schizophrenia,TRIM26,6:30206354,0.7903530756716353
1022,rs6704768-<b>G</b>,2e-12,schizophrenia,GIGYF2,2:232727791,0.4504954239467514
2027,rs4481150-<b>?</b>,2e-12,schizophrenia,ITIH3,3:52803777,-1.0
1017,rs11693094-<b>C</b>,2e-12,schizophrenia,ZNF804A,2:184736693,0.729631959735766
1857,rs1198588-<b>T</b>,2e-12,schizophrenia,NFU1P2,1:98087276,0.7994472910143278
1079,rs1378559-<b>T</b>,2e-12,schizophrenia,CNKSR2,X:21362148,0.8667296786389413
345,rs3802924-<b>?</b>,2e-12,schizophrenia,IGSF9B,11:133957838,-1.0
345,rs3802924-<b>?</b>,2e-12,schizophrenia,LINC02730,11:133957838,-1.0
56,rs17630293-<b>T</b>,3e-12,schizophrenia,SPATS2L,2:200282053,0.9363200980119174
2554,rs79249301-<b>?</b>,3e-12,schizophrenia,UNKNOWN,Mapping not available,-1.0
2137,rs17514846-<b>?</b>,3e-12,schizophrenia,FURIN,15:90873320,-1.0
