variant_and_allele,p_value,trait,gene,location
rs183882582-<b>T</b>,2e-08,attention deficit hyperactivity disorder,RNU6-293P,6:158963192
rs3958046-<b>T</b>,2e-08,attention deficit hyperactivity disorder,FEZF1,7:122315274
rs3958046-<b>T</b>,2e-08,attention deficit hyperactivity disorder,CADPS2,7:122315274
rs12596294-<b>?</b>,2e-08,attention deficit hyperactivity disorder,LINC01572,16:72553194
rs1222063-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,RNU1-130P,1:96136884
rs1334561-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,UNKNOWN,10:8778125
rs200508662-<b>T</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,UNKNOWN,5:121055487
rs8039398-<b>T</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,SEMA6D,15:47438673
rs6686722-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,TNR,1:175764827
rs3952787-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,ST3GAL3,1:43857572
rs281324-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,SEMA6D,15:47461821
rs200721207-<b>T</b>,4e-08,attention deficit hyperactivity disorder,LINC02497,4:31149844
rs200721207-<b>T</b>,4e-08,attention deficit hyperactivity disorder,PCDH7,4:31149844
rs2243517-<b>C</b>,4e-08,attention deficit hyperactivity disorder,OBI1-AS1,13:78330662
rs304132-<b>?</b>,4e-08,attention deficit hyperactivity disorder,MEF2C-AS1,5:88919777
rs2391769-<b>?</b>,4e-08,attention deficit hyperactivity disorder,RN7SL831P,1:96513405
rs2391769-<b>?</b>,4e-08,attention deficit hyperactivity disorder,EEF1A1P11,1:96513405
rs11074258-<b>C</b>,4e-08,attention deficit hyperactivity disorder,H3P40,15:94227570
rs11074258-<b>C</b>,4e-08,attention deficit hyperactivity disorder,MCTP2,15:94227570
rs56135409-<b>C</b>,5e-08,attention deficit hyperactivity disorder,SGO1-AS1,3:20683524
rs34396552-<b>G</b>,5e-08,attention deficit hyperactivity disorder,CIDEA,18:12286114
rs34396552-<b>G</b>,5e-08,attention deficit hyperactivity disorder,RNU6-170P,18:12286114
rs1920644-<b>T</b>,5e-08,attention deficit hyperactivity disorder,ARL14,3:160595566
rs1920644-<b>T</b>,5e-08,attention deficit hyperactivity disorder,RPL6P8,3:160595566
rs11243897-<b>?</b>,6.000000000000001e-08,attention deficit hyperactivity disorder,AK8,9:132742896
rs1239704-<b>G</b>,8e-08,attention deficit hyperactivity disorder,DLEU7,13:50578475
rs1239704-<b>G</b>,8e-08,attention deficit hyperactivity disorder,DLEU1,13:50578475
rs35493881-<b>?</b>,8e-08,attention deficit hyperactivity disorder,RPS2P6,18:70486327
rs35493881-<b>?</b>,8e-08,attention deficit hyperactivity disorder,RN7SL795P,18:70486327
rs7181782-<b>C</b>,9e-08,attention deficit hyperactivity disorder,ARNT2,15:80394651
rs7181782-<b>C</b>,9e-08,attention deficit hyperactivity disorder,LINC00927,15:80394651
rs10983238-<b>?</b>,1e-07,attention deficit hyperactivity disorder,ASTN2,9:116571404
rs220470-<b>?</b>,1e-07,attention deficit hyperactivity disorder,ITGAE,17:3761681
rs7164335-<b>?</b>,1e-07,attention deficit hyperactivity disorder,ITGA11,15:68422693
rs11119570-<b>A</b>,1e-07,attention deficit hyperactivity disorder,IL19,1:206794890
rs3923931-<b>A</b>,2e-07,attention deficit hyperactivity disorder,CNBD1,8:87401743
rs6015071-<b>A</b>,2e-07,attention deficit hyperactivity disorder,NKILA,20:57739583
rs3116816-<b>A</b>,2e-07,attention deficit hyperactivity disorder,OR2J4P,6:29181665
rs55686778-<b>T</b>,2e-07,attention deficit hyperactivity disorder,TMEM114,16:8458589
rs191624305-<b>T</b>,2e-07,attention deficit hyperactivity disorder,TNR,1:175353170
rs4984687-<b>T</b>,2e-07,attention deficit hyperactivity disorder,FBXL16,16:704314
rs145108385-<b>A</b>,2e-07,attention deficit hyperactivity disorder,ZNF131,5:43054645
rs145108385-<b>A</b>,2e-07,attention deficit hyperactivity disorder,ANXA2R,5:43054645
rs112984125-<b>A</b>,2e-07,attention deficit hyperactivity disorder,KDM4A-AS1,1:43707752
rs112984125-<b>A</b>,2e-07,attention deficit hyperactivity disorder,ST3GAL3,1:43707752
rs6954881-<b>G</b>,2e-07,attention deficit hyperactivity disorder,RNU6-1335P,7:56302123
rs6954881-<b>G</b>,2e-07,attention deficit hyperactivity disorder,CCNJP1,7:56302123
rs806276-<b>A</b>,3e-07,attention deficit hyperactivity disorder,MAP3K7,6:90497632
rs62214554-<b>G</b>,3e-07,attention deficit hyperactivity disorder,PFDN4,20:54190723
rs62214554-<b>G</b>,3e-07,attention deficit hyperactivity disorder,CYP24A1,20:54190723
rs6073330-<b>A</b>,3e-07,attention deficit hyperactivity disorder,JPH2,20:44108854
rs74120710-<b>T</b>,3e-07,attention deficit hyperactivity disorder,CCDC3,10:12895634
rs74120710-<b>T</b>,3e-07,attention deficit hyperactivity disorder,CAMK1D,10:12895634
rs2587695-<b>?</b>,3e-07,attention deficit hyperactivity disorder,CFAP221,2:119564241
rs6796-<b>C</b>,3e-07,attention deficit hyperactivity disorder,DAGLB,7:6462736
rs6796-<b>C</b>,3e-07,attention deficit hyperactivity disorder,KDELR2,7:6462736
rs4836899-<b>T</b>,3e-07,attention deficit hyperactivity disorder,ASTN2,9:116894150
rs10800919-<b>C</b>,4e-07,attention deficit hyperactivity disorder,LARP7P1,1:203367680
rs10800919-<b>C</b>,4e-07,attention deficit hyperactivity disorder,FMOD,1:203367680
rs2410116-<b>?</b>,4e-07,attention deficit hyperactivity disorder,UNKNOWN,8:13815938
rs142458453-<b>T</b>,5e-07,attention deficit hyperactivity disorder,DENND5B,12:31377392
rs142458453-<b>T</b>,5e-07,attention deficit hyperactivity disorder,LINC02387,12:31377392
rs1517484-<b>C</b>,5e-07,attention deficit hyperactivity disorder,NYAP2,2:225373194
rs4858241-<b>T</b>,5e-07,attention deficit hyperactivity disorder,SGO1-AS1,3:20627579
rs2391769-<b>A</b>,5e-07,attention deficit hyperactivity disorder,RN7SL831P,1:96513405
rs2391769-<b>A</b>,5e-07,attention deficit hyperactivity disorder,EEF1A1P11,1:96513405
rs2281597-<b>?</b>,5e-07,attention deficit hyperactivity disorder,CSMD2,1:33894257
rs2110267-<b>C</b>,5e-07,attention deficit hyperactivity disorder,DPP6,7:153838604
rs10962864-<b>T</b>,5e-07,attention deficit hyperactivity disorder,RN7SL720P,9:17091466
rs10962864-<b>T</b>,5e-07,attention deficit hyperactivity disorder,RPS29P33,9:17091466
rs56135409-<b>A</b>,6e-07,attention deficit hyperactivity disorder,SGO1-AS1,3:20683524
rs11317767-<b>G</b>,6e-07,attention deficit hyperactivity disorder,MFSD6L,17:8770824
rs11317767-<b>G</b>,6e-07,attention deficit hyperactivity disorder,SPDYE4,17:8770824
rs7175404-<b>?</b>,6e-07,attention deficit hyperactivity disorder,SEPHS1P2,15:93493459
rs28768443-<b>?</b>,6e-07,attention deficit hyperactivity disorder,UNKNOWN,14:29285390
rs61975260-<b>?</b>,6e-07,attention deficit hyperactivity disorder,SPATA7,14:88429597
rs138596453-<b>?</b>,6e-07,attention deficit hyperactivity disorder,GAB4,22:17006586
rs16823921-<b>G</b>,6e-07,attention deficit hyperactivity disorder,TEX41,2:144618549
rs16823921-<b>G</b>,6e-07,attention deficit hyperactivity disorder,LINC01412,2:144618549
rs2817619-<b>T</b>,6e-07,attention deficit hyperactivity disorder,DISP3,1:11543006
rs2817619-<b>T</b>,6e-07,attention deficit hyperactivity disorder,LINC01647,1:11543006
rs2823819-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MIR99AHG,21:16455971
rs4916723-<b>C</b>,7e-07,attention deficit hyperactivity disorder,LINC00461,5:88558577
rs10868138-<b>C</b>,7e-07,attention deficit hyperactivity disorder,SLC28A3,9:84302386
rs9464011-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MLIP,6:54001468
rs9464011-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MLIP-IT1,6:54001468
rs9464011-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MLIP-AS1,6:54001468
rs9746958-<b>A</b>,7e-07,attention deficit hyperactivity disorder,GNPATP,16:60584735
rs11074889-<b>A</b>,7e-07,attention deficit hyperactivity disorder,EMP2,16:10539308
rs28600876-<b>C</b>,7e-07,attention deficit hyperactivity disorder,ANO1,11:69890712
rs28600876-<b>C</b>,7e-07,attention deficit hyperactivity disorder,FGF3,11:69890712
rs74129883-<b>A</b>,7e-07,attention deficit hyperactivity disorder,ZNF488,10:47411236
rs74129883-<b>A</b>,7e-07,attention deficit hyperactivity disorder,ANXA8,10:47411236
rs6699651-<b>T</b>,8e-07,attention deficit hyperactivity disorder,CAMTA1,1:7592327
rs114247285-<b>A</b>,8e-07,attention deficit hyperactivity disorder,BIN2P2,5:76044157
rs114247285-<b>A</b>,8e-07,attention deficit hyperactivity disorder,SAP18P1,5:76044157
rs1610098-<b>?</b>,8e-07,attention deficit hyperactivity disorder,SEMA6D,15:47513815
rs9316596-<b>A</b>,8e-07,attention deficit hyperactivity disorder,LINC00424,13:21895101
rs10514604-<b>?</b>,8e-07,attention deficit hyperactivity disorder,ATP2C2,16:84412778
rs9677504-<b>G</b>,9e-07,attention deficit hyperactivity disorder,SPAG16,2:214317165
rs4945333-<b>G</b>,9e-07,attention deficit hyperactivity disorder,TENM4,11:79209774
rs9941217-<b>C</b>,9e-07,attention deficit hyperactivity disorder,NPIPA8,16:17957069
rs9941217-<b>C</b>,9e-07,attention deficit hyperactivity disorder,RPL7P47,16:17957069
rs6947495-<b>A</b>,1e-06,attention deficit hyperactivity disorder,DPP6,7:153855979
rs12575642-<b>?</b>,1e-06,attention deficit hyperactivity disorder,FERMT3,11:64212171
rs5016282-<b>A</b>,1e-06,attention deficit hyperactivity disorder,GRM5,11:89008492
rs2192271-<b>T</b>,1e-06,attention deficit hyperactivity disorder,DPP6,7:153852211
rs12671878-<b>A</b>,1e-06,attention deficit hyperactivity disorder,DPP6,7:153861864
rs1464807-<b>T</b>,1e-06,attention deficit hyperactivity disorder,SEM1,7:96733032
rs7448069-<b>T</b>,1e-06,attention deficit hyperactivity disorder,CPLX2,5:175817031
rs2677744-<b>?</b>,1e-06,attention deficit hyperactivity disorder,MAN2A2,15:90907211
rs1858800-<b>T</b>,1e-06,attention deficit hyperactivity disorder,ZFHX3,16:72990377
rs522958-<b>?</b>,1e-06,attention deficit hyperactivity disorder,CCDC91,12:28075634
rs28612433-<b>?</b>,1e-06,attention deficit hyperactivity disorder,PI4K2B,4:25262751
rs214220-<b>C</b>,1e-06,attention deficit hyperactivity disorder,SKINT1L,1:48156510
rs296884-<b>?</b>,1e-06,attention deficit hyperactivity disorder,C9orf64,9:83968008
rs296884-<b>?</b>,1e-06,attention deficit hyperactivity disorder,HNRNPK,9:83968008
rs4778174-<b>?</b>,1e-06,attention deficit hyperactivity disorder,OCA2,15:27724420
rs79891548-<b>T</b>,1e-06,attention deficit hyperactivity disorder,CSRNP3,2:165481308
rs142295881-<b>A</b>,1e-06,attention deficit hyperactivity disorder,MLIP-AS1,6:54034290
rs142295881-<b>A</b>,1e-06,attention deficit hyperactivity disorder,MLIP,6:54034290
rs77224013-<b>A</b>,1e-06,attention deficit hyperactivity disorder,LINC01548,21:33171540
rs77224013-<b>A</b>,1e-06,attention deficit hyperactivity disorder,IFNAR2,21:33171540
rs8074751-<b>?</b>,1e-06,attention deficit hyperactivity disorder,CEP112,17:65646424
rs10956838-<b>A</b>,1e-06,attention deficit hyperactivity disorder,UNKNOWN,8:92392214
rs35835615-<b>?</b>,1e-06,attention deficit hyperactivity disorder,ERLIN1,10:100145181
rs35835615-<b>?</b>,1e-06,attention deficit hyperactivity disorder,SPCS2P2,10:100145181
rs13019774-<b>T</b>,1e-06,attention deficit hyperactivity disorder,RNA5SP107,2:154505440
rs13019774-<b>T</b>,1e-06,attention deficit hyperactivity disorder,GALNT13,2:154505440
rs11255938-<b>?</b>,2e-06,attention deficit hyperactivity disorder,LINC02676,10:8808772
rs795989-<b>A</b>,2e-06,attention deficit hyperactivity disorder,MAML3,4:139808192
rs12919130-<b>A</b>,2e-06,attention deficit hyperactivity disorder,GPR139,16:20115652
rs150844750-<b>T</b>,2e-06,attention deficit hyperactivity disorder,RANBP2,2:108742827
rs71450738-<b>T</b>,2e-06,attention deficit hyperactivity disorder,SOX5,12:24045898
rs770082-<b>A</b>,2e-06,attention deficit hyperactivity disorder,DUSP6,12:89382708
rs770082-<b>A</b>,2e-06,attention deficit hyperactivity disorder,POC1B,12:89382708
rs55654452-<b>G</b>,2e-06,attention deficit hyperactivity disorder,ZNF521,18:25064312
rs1537617-<b>A</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,10:2740611
rs910191-<b>A</b>,2e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48460486
rs910191-<b>A</b>,2e-06,attention deficit hyperactivity disorder,LINC00494,20:48460486
rs6968385-<b>T</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,7:110407414
rs34442475-<b>C</b>,2e-06,attention deficit hyperactivity disorder,UBBP1,2:136306815
rs4923705-<b>C</b>,2e-06,attention deficit hyperactivity disorder,LINC02853,15:36001404
rs2015560-<b>?</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,21:24656576
rs876538-<b>?</b>,2e-06,attention deficit hyperactivity disorder,CRP,1:159705927
rs876538-<b>?</b>,2e-06,attention deficit hyperactivity disorder,CRPP1,1:159705927
rs1859156-<b>?</b>,2e-06,attention deficit hyperactivity disorder,BMPR1B,4:94912883
rs10786284-<b>?</b>,2e-06,attention deficit hyperactivity disorder,TLL2,10:96375748
rs113773212-<b>?</b>,2e-06,attention deficit hyperactivity disorder,LINC00917,16:86361158
rs74030106-<b>?</b>,2e-06,attention deficit hyperactivity disorder,TMC3-AS1,15:81525290
rs35624673-<b>?</b>,2e-06,attention deficit hyperactivity disorder,FBN3,19:8069732
rs6540899-<b>A</b>,2e-06,attention deficit hyperactivity disorder,KCTD3,1:215479116
rs11719664-<b>?</b>,2e-06,attention deficit hyperactivity disorder,ZNF385D,3:21913706
rs2199161-<b>?</b>,2e-06,attention deficit hyperactivity disorder,MAP1B,5:72114529
rs2502731-<b>?</b>,2e-06,attention deficit hyperactivity disorder,DNM1,9:128214278
rs9661242-<b>?</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,1:29615908
rs526318-<b>T</b>,3e-06,attention deficit hyperactivity disorder,RNA5SP214,6:117070716
rs13043694-<b>A</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48459908
rs13043694-<b>A</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48459908
rs4810796-<b>A</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48459954
rs4810796-<b>A</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48459954
rs12596252-<b>A</b>,3e-06,attention deficit hyperactivity disorder,GPR139,16:20045671
rs13088735-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LMCD1-AS1,3:8123815
rs12926725-<b>T</b>,3e-06,attention deficit hyperactivity disorder,GPR139,16:20048355
rs57422381-<b>?</b>,3e-06,attention deficit hyperactivity disorder,MBNL2,13:97205239
rs57422381-<b>?</b>,3e-06,attention deficit hyperactivity disorder,LINC00456,13:97205239
rs79221481-<b>T</b>,3e-06,attention deficit hyperactivity disorder,EPCAM-DT,2:47277861
rs7463256-<b>T</b>,3e-06,attention deficit hyperactivity disorder,CHMP7,8:23244107
rs145190003-<b>?</b>,3e-06,attention deficit hyperactivity disorder,CNTLN,9:17263750
rs393488-<b>?</b>,3e-06,attention deficit hyperactivity disorder,RN7SL720P,9:17044973
rs35854754-<b>CT</b>,3e-06,attention deficit hyperactivity disorder,UNKNOWN,6:91356930
rs1902813-<b>C</b>,3e-06,attention deficit hyperactivity disorder,GPR139,16:20046339
rs17232800-<b>?</b>,3e-06,attention deficit hyperactivity disorder,MTL3P,18:68625022
rs17232800-<b>?</b>,3e-06,attention deficit hyperactivity disorder,TMX3,18:68625022
rs1979398-<b>?</b>,3e-06,attention deficit hyperactivity disorder,ITGA1,5:52898497
rs1514928-<b>?</b>,3e-06,attention deficit hyperactivity disorder,LINC00644,14:62211585
rs7577925-<b>?</b>,3e-06,attention deficit hyperactivity disorder,NCKAP5,2:133282947
rs7577925-<b>?</b>,3e-06,attention deficit hyperactivity disorder,NCKAP5-AS2,2:133282947
rs536749404-<b>T</b>,3e-06,attention deficit hyperactivity disorder,UNKNOWN,8:13806960
rs4458264-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48461291
rs4458264-<b>T</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48461291
rs10767556-<b>G</b>,3e-06,attention deficit hyperactivity disorder,ANO3,11:26602166
rs4402823-<b>T</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48461279
rs4402823-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48461279
rs2238652-<b>T</b>,3e-06,attention deficit hyperactivity disorder,COMP,19:18831750
rs2238652-<b>T</b>,3e-06,attention deficit hyperactivity disorder,UPF1,19:18831750
rs2842643-<b>?</b>,3e-06,attention deficit hyperactivity disorder,NPM1P51,6:41682998
rs2842643-<b>?</b>,3e-06,attention deficit hyperactivity disorder,TFEB,6:41682998
rs61913097-<b>C</b>,3e-06,attention deficit hyperactivity disorder,ERC1,12:1340033
rs117354149-<b>C</b>,3e-06,attention deficit hyperactivity disorder,SETD5,3:9464601
rs11134178-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC02196,5:6834054
rs11134178-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC02236,5:6834054
rs9627183-<b>C</b>,3e-06,attention deficit hyperactivity disorder,UNKNOWN,22:47888765
rs28452470-<b>A</b>,3e-06,attention deficit hyperactivity disorder,CADPS2,7:122317528
rs28452470-<b>A</b>,3e-06,attention deficit hyperactivity disorder,FEZF1,7:122317528
rs6758152-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC01965,2:104051280
rs6119285-<b>T</b>,4e-06,attention deficit hyperactivity disorder,DNMT3B,20:32789189
rs6057648-<b>A</b>,4e-06,attention deficit hyperactivity disorder,DNMT3B,20:32797074
rs12037173-<b>?</b>,4e-06,attention deficit hyperactivity disorder,LRRC7,1:69890298
rs12613775-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103964045
rs6119286-<b>A</b>,4e-06,attention deficit hyperactivity disorder,DNMT3B,20:32807671
rs1555322-<b>?</b>,4e-06,attention deficit hyperactivity disorder,MMP24OS,20:35261376
rs1555322-<b>?</b>,4e-06,attention deficit hyperactivity disorder,MMP24,20:35261376
rs515910-<b>?</b>,4e-06,attention deficit hyperactivity disorder,CFAP43,10:104206646
rs2602381-<b>A</b>,4e-06,attention deficit hyperactivity disorder,UGT1A10,2:233675678
rs2602381-<b>A</b>,4e-06,attention deficit hyperactivity disorder,UGT1A8,2:233675678
rs2602381-<b>A</b>,4e-06,attention deficit hyperactivity disorder,UGT1A9,2:233675678
rs9845475-<b>G</b>,4e-06,attention deficit hyperactivity disorder,RPL23AP43,3:32800609
rs9845475-<b>G</b>,4e-06,attention deficit hyperactivity disorder,TRIM71,3:32800609
rs874426-<b>C</b>,4e-06,attention deficit hyperactivity disorder,NAV2,11:19548016
rs8047014-<b>?</b>,4e-06,attention deficit hyperactivity disorder,HAS3,16:69101146
rs8047014-<b>?</b>,4e-06,attention deficit hyperactivity disorder,TANGO6,16:69101146
rs1059440-<b>?</b>,4e-06,attention deficit hyperactivity disorder,TRPT1,11:64224329
rs75311156-<b>?</b>,4e-06,attention deficit hyperactivity disorder,OR5H5P,3:98198801
rs75311156-<b>?</b>,4e-06,attention deficit hyperactivity disorder,OR5H3P,3:98198801
rs2832008-<b>?</b>,4e-06,attention deficit hyperactivity disorder,U6,21:28737676
rs438259-<b>?</b>,4e-06,attention deficit hyperactivity disorder,HULC,6:9030103
rs28609353-<b>?</b>,4e-06,attention deficit hyperactivity disorder,TRIM51,11:55884182
rs895614-<b>A</b>,4e-06,attention deficit hyperactivity disorder,RNU6-276P,4:55792612
rs34846424-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC02374,4:187244864
rs35782676-<b>T</b>,4e-06,attention deficit hyperactivity disorder,ZNF584,19:58414978
rs11917999-<b>G</b>,4e-06,attention deficit hyperactivity disorder,SOX2-OT,3:181538459
rs7442317-<b>?</b>,4e-06,attention deficit hyperactivity disorder,RPS3AP17,4:29901430
rs11607165-<b>?</b>,4e-06,attention deficit hyperactivity disorder,STIP1,11:64196475
rs11903187-<b>A</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103972680
rs16928529-<b>?</b>,4e-06,attention deficit hyperactivity disorder,UNC5B,10:71223228
rs1515641-<b>A</b>,4e-06,attention deficit hyperactivity disorder,CCDC192,5:127803924
rs1822881-<b>A</b>,4e-06,attention deficit hyperactivity disorder,RPL6P5,2:145286484
rs1822881-<b>A</b>,4e-06,attention deficit hyperactivity disorder,TEX41,2:145286484
rs2119507-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103956547
rs6057651-<b>A</b>,4e-06,attention deficit hyperactivity disorder,MAPRE1,20:32822531
rs10193430-<b>A</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103970893
rs1036736-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103962075
rs7270085-<b>A</b>,4e-06,attention deficit hyperactivity disorder,MAPRE1,20:32849801
rs6057652-<b>A</b>,4e-06,attention deficit hyperactivity disorder,MAPRE1,20:32832003
