variant_and_allele,p_value,trait,gene,location,af
rs2842198-<b>A</b>,8e-09,attention deficit hyperactivity disorder,PTPRF,1:43465067,0.3499670619235837
rs2842198-<b>A</b>,8e-09,attention deficit hyperactivity disorder,HYI-AS1,1:43465067,0.3499670619235837
rs9969232-<b>?</b>,8e-09,attention deficit hyperactivity disorder,FOXP2,7:114518899,-1.0
rs212178-<b>?</b>,8e-09,attention deficit hyperactivity disorder,LINC01572,16:72544232,-1.0
rs35947542-<b>?</b>,9.000000000000001e-09,attention deficit hyperactivity disorder,HYI-AS1,1:43518009,-1.0
rs35947542-<b>?</b>,9.000000000000001e-09,attention deficit hyperactivity disorder,PTPRF,1:43518009,-1.0
rs11591402-<b>?</b>,1e-08,attention deficit hyperactivity disorder,SORCS3,10:104987596,-1.0
rs7684645-<b>A</b>,1e-08,attention deficit hyperactivity disorder,APELA,4:164874994,0.5257054217757423
rs7684645-<b>A</b>,1e-08,attention deficit hyperactivity disorder,SMIM31,4:164874994,0.5257054217757423
rs9677504-<b>?</b>,1e-08,attention deficit hyperactivity disorder,SPAG16,2:214317165,-1.0
rs7995215-<b>?</b>,1e-08,attention deficit hyperactivity disorder,GPC6,13:93756253,-1.0
rs2243517-<b>?</b>,1e-08,attention deficit hyperactivity disorder,OBI1-AS1,13:78330662,-1.0
rs28411770-<b>?</b>,1e-08,attention deficit hyperactivity disorder,LINC02497,4:31149834,-1.0
rs28411770-<b>?</b>,1e-08,attention deficit hyperactivity disorder,PCDH7,4:31149834,-1.0
rs7952220-<b>?</b>,1e-08,attention deficit hyperactivity disorder,METTL15,11:28585698,-1.0
rs7952220-<b>?</b>,1e-08,attention deficit hyperactivity disorder,LINC02758,11:28585698,-1.0
rs349588-<b>A</b>,1e-08,attention deficit hyperactivity disorder,LINC02163,5:104336166,0.6798915370343942
rs10789368-<b>?</b>,1e-08,attention deficit hyperactivity disorder,LINC01360,1:73348476,-1.0
rs3001723-<b>A</b>,1e-08,attention deficit hyperactivity disorder,PTPRF,1:43572014,0.33631941434282137
rs864643-<b>?</b>,1e-08,attention deficit hyperactivity disorder,MOBP,3:39514089,-1.0
rs1484144-<b>T</b>,2e-08,attention deficit hyperactivity disorder,LINC01088,4:79296443,0.4264160931709899
rs1484144-<b>T</b>,2e-08,attention deficit hyperactivity disorder,NAA11,4:79296443,0.4264160931709899
rs5886709-<b>?</b>,2e-08,attention deficit hyperactivity disorder,FOXP2,7:114446079,-1.0
rs7585730-<b>?</b>,2e-08,attention deficit hyperactivity disorder,RNA5SP87,2:22316866,-1.0
rs4858241-<b>?</b>,2e-08,attention deficit hyperactivity disorder,SGO1-AS1,3:20627579,-1.0
rs1021938-<b>?</b>,2e-08,attention deficit hyperactivity disorder,SGO1-AS1,3:20531976,-1.0
rs56022653-<b>?</b>,2e-08,attention deficit hyperactivity disorder,LINC00461,5:88588020,-1.0
rs3047819-<b>T</b>,2e-08,attention deficit hyperactivity disorder,MEF2C,5:88879383,-1.0
rs12538843-<b>A</b>,2e-08,attention deficit hyperactivity disorder,POU6F2,7:39560498,0.09460123905988788
rs12538843-<b>A</b>,2e-08,attention deficit hyperactivity disorder,YAE1,7:39560498,0.09460123905988788
rs4916723-<b>?</b>,2e-08,attention deficit hyperactivity disorder,LINC00461,5:88558577,-1.0
rs183882582-<b>T</b>,2e-08,attention deficit hyperactivity disorder,RSPH3,6:158963192,0.9819481206987823
rs183882582-<b>T</b>,2e-08,attention deficit hyperactivity disorder,RNU6-293P,6:158963192,0.9819481206987823
rs3958046-<b>T</b>,2e-08,attention deficit hyperactivity disorder,FEZF1,7:122315274,-1.0
rs3958046-<b>T</b>,2e-08,attention deficit hyperactivity disorder,CADPS2,7:122315274,-1.0
rs12596294-<b>?</b>,2e-08,attention deficit hyperactivity disorder,LINC01572,16:72553194,-1.0
rs1222063-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,RNU1-130P,1:96136884,-1.0
rs1334561-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,UNKNOWN,10:8778125,-1.0
rs200508662-<b>T</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,UNKNOWN,5:121055487,-1.0
rs8039398-<b>T</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,SEMA6D,15:47438673,0.5262746888365611
rs6686722-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,TNR,1:175764827,-1.0
rs3952787-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,ST3GAL3,1:43857572,-1.0
rs281324-<b>?</b>,3.0000000000000004e-08,attention deficit hyperactivity disorder,SEMA6D,15:47461821,-1.0
rs200721207-<b>T</b>,4e-08,attention deficit hyperactivity disorder,LINC02497,4:31149844,-1.0
rs200721207-<b>T</b>,4e-08,attention deficit hyperactivity disorder,PCDH7,4:31149844,-1.0
rs2243517-<b>C</b>,4e-08,attention deficit hyperactivity disorder,OBI1-AS1,13:78330662,0.3520911152614728
rs304132-<b>?</b>,4e-08,attention deficit hyperactivity disorder,MEF2C-AS1,5:88919777,-1.0
rs2391769-<b>?</b>,4e-08,attention deficit hyperactivity disorder,RN7SL831P,1:96513405,-1.0
rs2391769-<b>?</b>,4e-08,attention deficit hyperactivity disorder,EEF1A1P11,1:96513405,-1.0
rs11074258-<b>C</b>,4e-08,attention deficit hyperactivity disorder,H3P40,15:94227570,0.4241565751953487
rs11074258-<b>C</b>,4e-08,attention deficit hyperactivity disorder,MCTP2,15:94227570,0.4241565751953487
rs56135409-<b>C</b>,5e-08,attention deficit hyperactivity disorder,SGO1-AS1,3:20683524,0.6805187930121758
rs34396552-<b>G</b>,5e-08,attention deficit hyperactivity disorder,CIDEA,18:12286114,0.5702458605117913
rs34396552-<b>G</b>,5e-08,attention deficit hyperactivity disorder,RNU6-170P,18:12286114,0.5702458605117913
rs1920644-<b>T</b>,5e-08,attention deficit hyperactivity disorder,ARL14,3:160595566,0.4816813048933501
rs1920644-<b>T</b>,5e-08,attention deficit hyperactivity disorder,RPL6P8,3:160595566,0.4816813048933501
rs11243897-<b>?</b>,6.000000000000001e-08,attention deficit hyperactivity disorder,AK8,9:132742896,-1.0
rs1239704-<b>G</b>,8e-08,attention deficit hyperactivity disorder,DLEU7,13:50578475,0.21564806368687287
rs1239704-<b>G</b>,8e-08,attention deficit hyperactivity disorder,DLEU1,13:50578475,0.21564806368687287
rs35493881-<b>?</b>,8e-08,attention deficit hyperactivity disorder,RPS2P6,18:70486327,-1.0
rs35493881-<b>?</b>,8e-08,attention deficit hyperactivity disorder,RN7SL795P,18:70486327,-1.0
rs7181782-<b>C</b>,9e-08,attention deficit hyperactivity disorder,ARNT2,15:80394651,0.19718886462882096
rs7181782-<b>C</b>,9e-08,attention deficit hyperactivity disorder,LINC00927,15:80394651,0.19718886462882096
rs10983238-<b>?</b>,1e-07,attention deficit hyperactivity disorder,ASTN2,9:116571404,-1.0
rs220470-<b>?</b>,1e-07,attention deficit hyperactivity disorder,ITGAE,17:3761681,-1.0
rs7164335-<b>?</b>,1e-07,attention deficit hyperactivity disorder,ITGA11,15:68422693,-1.0
rs11119570-<b>A</b>,1e-07,attention deficit hyperactivity disorder,IL19,1:206794890,0.6013633144475921
rs3923931-<b>A</b>,2e-07,attention deficit hyperactivity disorder,CNBD1,8:87401743,0.04329980344548503
rs6015071-<b>A</b>,2e-07,attention deficit hyperactivity disorder,NKILA,20:57739583,0.5718877208371596
rs3116816-<b>A</b>,2e-07,attention deficit hyperactivity disorder,OR2J4P,6:29181665,0.16866972806199326
rs55686778-<b>T</b>,2e-07,attention deficit hyperactivity disorder,TMEM114,16:8458589,0.13743218806509944
rs191624305-<b>T</b>,2e-07,attention deficit hyperactivity disorder,TNR,1:175353170,0.939143615005684
rs4984687-<b>T</b>,2e-07,attention deficit hyperactivity disorder,FBXL16,16:704314,0.21254468638284044
rs145108385-<b>A</b>,2e-07,attention deficit hyperactivity disorder,ZNF131,5:43054645,-1.0
rs145108385-<b>A</b>,2e-07,attention deficit hyperactivity disorder,ANXA2R,5:43054645,-1.0
rs112984125-<b>A</b>,2e-07,attention deficit hyperactivity disorder,KDM4A-AS1,1:43707752,0.2615735709628342
rs112984125-<b>A</b>,2e-07,attention deficit hyperactivity disorder,ST3GAL3,1:43707752,0.2615735709628342
rs6954881-<b>G</b>,2e-07,attention deficit hyperactivity disorder,RNU6-1335P,7:56302123,0.19482537086788929
rs6954881-<b>G</b>,2e-07,attention deficit hyperactivity disorder,CCNJP1,7:56302123,0.19482537086788929
rs806276-<b>A</b>,3e-07,attention deficit hyperactivity disorder,MAP3K7,6:90497632,0.6413139940221365
rs62214554-<b>G</b>,3e-07,attention deficit hyperactivity disorder,PFDN4,20:54190723,0.04621492853361567
rs62214554-<b>G</b>,3e-07,attention deficit hyperactivity disorder,CYP24A1,20:54190723,0.04621492853361567
rs6073330-<b>A</b>,3e-07,attention deficit hyperactivity disorder,JPH2,20:44108854,0.2726707584219771
rs74120710-<b>T</b>,3e-07,attention deficit hyperactivity disorder,CCDC3,10:12895634,0.09752721904410408
rs74120710-<b>T</b>,3e-07,attention deficit hyperactivity disorder,CAMK1D,10:12895634,0.09752721904410408
rs2587695-<b>?</b>,3e-07,attention deficit hyperactivity disorder,CFAP221,2:119564241,-1.0
rs6796-<b>C</b>,3e-07,attention deficit hyperactivity disorder,DAGLB,7:6462736,0.2884809924395698
rs6796-<b>C</b>,3e-07,attention deficit hyperactivity disorder,KDELR2,7:6462736,0.2884809924395698
rs4836899-<b>T</b>,3e-07,attention deficit hyperactivity disorder,ASTN2,9:116894150,0.4596408721675929
rs10800919-<b>C</b>,4e-07,attention deficit hyperactivity disorder,LARP7P1,1:203367680,0.4706215047146761
rs10800919-<b>C</b>,4e-07,attention deficit hyperactivity disorder,FMOD,1:203367680,0.4706215047146761
rs2410116-<b>?</b>,4e-07,attention deficit hyperactivity disorder,UNKNOWN,8:13815938,-1.0
rs142458453-<b>T</b>,5e-07,attention deficit hyperactivity disorder,DENND5B,12:31377392,-1.0
rs142458453-<b>T</b>,5e-07,attention deficit hyperactivity disorder,LINC02387,12:31377392,-1.0
rs1517484-<b>C</b>,5e-07,attention deficit hyperactivity disorder,NYAP2,2:225373194,0.5607181706600585
rs4858241-<b>T</b>,5e-07,attention deficit hyperactivity disorder,SGO1-AS1,3:20627579,0.6514876515200623
rs2391769-<b>A</b>,5e-07,attention deficit hyperactivity disorder,RN7SL831P,1:96513405,0.3279848448335877
rs2391769-<b>A</b>,5e-07,attention deficit hyperactivity disorder,EEF1A1P11,1:96513405,0.3279848448335877
rs2281597-<b>?</b>,5e-07,attention deficit hyperactivity disorder,CSMD2,1:33894257,-1.0
rs2110267-<b>C</b>,5e-07,attention deficit hyperactivity disorder,DPP6,7:153838604,0.7246217934663451
rs10962864-<b>T</b>,5e-07,attention deficit hyperactivity disorder,RN7SL720P,9:17091466,0.1335627316040233
rs10962864-<b>T</b>,5e-07,attention deficit hyperactivity disorder,RPS29P33,9:17091466,0.1335627316040233
rs56135409-<b>A</b>,6e-07,attention deficit hyperactivity disorder,SGO1-AS1,3:20683524,0.31948120698782423
rs11317767-<b>G</b>,6e-07,attention deficit hyperactivity disorder,MFSD6L,17:8770824,-1.0
rs11317767-<b>G</b>,6e-07,attention deficit hyperactivity disorder,SPDYE4,17:8770824,-1.0
rs7175404-<b>?</b>,6e-07,attention deficit hyperactivity disorder,SEPHS1P2,15:93493459,-1.0
rs28768443-<b>?</b>,6e-07,attention deficit hyperactivity disorder,UNKNOWN,14:29285390,-1.0
rs61975260-<b>?</b>,6e-07,attention deficit hyperactivity disorder,SPATA7,14:88429597,-1.0
rs138596453-<b>?</b>,6e-07,attention deficit hyperactivity disorder,GAB4,22:17006586,-1.0
rs16823921-<b>G</b>,6e-07,attention deficit hyperactivity disorder,TEX41,2:144618549,0.010526315789473684
rs16823921-<b>G</b>,6e-07,attention deficit hyperactivity disorder,LINC01412,2:144618549,0.010526315789473684
rs2817619-<b>T</b>,6e-07,attention deficit hyperactivity disorder,DISP3,1:11543006,0.16504112232050885
rs2817619-<b>T</b>,6e-07,attention deficit hyperactivity disorder,LINC01647,1:11543006,0.16504112232050885
rs2823819-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MIR99AHG,21:16455971,-1.0
rs4916723-<b>C</b>,7e-07,attention deficit hyperactivity disorder,LINC00461,5:88558577,0.3899126762873073
rs10868138-<b>C</b>,7e-07,attention deficit hyperactivity disorder,SLC28A3,9:84302386,0.08011834855851714
rs9464011-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MLIP,6:54001468,0.4706142778085224
rs9464011-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MLIP-IT1,6:54001468,0.4706142778085224
rs9464011-<b>C</b>,7e-07,attention deficit hyperactivity disorder,MLIP-AS1,6:54001468,0.4706142778085224
rs9746958-<b>A</b>,7e-07,attention deficit hyperactivity disorder,GNPATP,16:60584735,0.05224986765484383
rs11074889-<b>A</b>,7e-07,attention deficit hyperactivity disorder,EMP2,16:10539308,0.16328458278091104
rs28600876-<b>C</b>,7e-07,attention deficit hyperactivity disorder,ANO1,11:69890712,0.32477501323451563
rs28600876-<b>C</b>,7e-07,attention deficit hyperactivity disorder,FGF3,11:69890712,0.32477501323451563
rs74129883-<b>A</b>,7e-07,attention deficit hyperactivity disorder,ZNF488,10:47411236,-1.0
rs74129883-<b>A</b>,7e-07,attention deficit hyperactivity disorder,ANXA8,10:47411236,-1.0
rs6699651-<b>T</b>,8e-07,attention deficit hyperactivity disorder,CAMTA1,1:7592327,0.1950032446463336
rs114247285-<b>A</b>,8e-07,attention deficit hyperactivity disorder,BIN2P2,5:76044157,0.047273689782953945
rs114247285-<b>A</b>,8e-07,attention deficit hyperactivity disorder,SAP18P1,5:76044157,0.047273689782953945
rs1610098-<b>?</b>,8e-07,attention deficit hyperactivity disorder,SEMA6D,15:47513815,-1.0
rs9316596-<b>A</b>,8e-07,attention deficit hyperactivity disorder,LINC00424,13:21895101,0.05697162127248745
rs10514604-<b>?</b>,8e-07,attention deficit hyperactivity disorder,ATP2C2,16:84412778,-1.0
rs9677504-<b>G</b>,9.000000000000001e-07,attention deficit hyperactivity disorder,SPAG16,2:214317165,0.8871268656716418
rs4945333-<b>G</b>,9.000000000000001e-07,attention deficit hyperactivity disorder,TENM4,11:79209774,0.11746956061408152
rs9941217-<b>C</b>,9.000000000000001e-07,attention deficit hyperactivity disorder,NPIPA8,16:17957069,0.6013763896241398
rs9941217-<b>C</b>,9.000000000000001e-07,attention deficit hyperactivity disorder,RPL7P47,16:17957069,0.6013763896241398
rs6947495-<b>A</b>,1e-06,attention deficit hyperactivity disorder,DPP6,7:153855979,0.9340889402252384
rs12575642-<b>?</b>,1e-06,attention deficit hyperactivity disorder,FERMT3,11:64212171,-1.0
rs5016282-<b>A</b>,1e-06,attention deficit hyperactivity disorder,GRM5,11:89008492,0.8533432108206279
rs2192271-<b>T</b>,1e-06,attention deficit hyperactivity disorder,DPP6,7:153852211,0.21103932404804496
rs12671878-<b>A</b>,1e-06,attention deficit hyperactivity disorder,DPP6,7:153861864,0.20140822091019409
rs1464807-<b>T</b>,1e-06,attention deficit hyperactivity disorder,SEM1,7:96733032,0.10590880021705006
rs7448069-<b>T</b>,1e-06,attention deficit hyperactivity disorder,CPLX2,5:175817031,0.024738553475700854
rs2677744-<b>?</b>,1e-06,attention deficit hyperactivity disorder,MAN2A2,15:90907211,-1.0
rs1858800-<b>T</b>,1e-06,attention deficit hyperactivity disorder,ZFHX3,16:72990377,0.3415946559413826
rs522958-<b>?</b>,1e-06,attention deficit hyperactivity disorder,CCDC91,12:28075634,-1.0
rs28612433-<b>?</b>,1e-06,attention deficit hyperactivity disorder,PI4K2B,4:25262751,-1.0
rs214220-<b>C</b>,1e-06,attention deficit hyperactivity disorder,SKINT1L,1:48156510,-1.0
rs296884-<b>?</b>,1e-06,attention deficit hyperactivity disorder,C9orf64,9:83968008,-1.0
rs296884-<b>?</b>,1e-06,attention deficit hyperactivity disorder,HNRNPK,9:83968008,-1.0
rs4778174-<b>?</b>,1e-06,attention deficit hyperactivity disorder,OCA2,15:27724420,-1.0
rs79891548-<b>T</b>,1e-06,attention deficit hyperactivity disorder,CSRNP3,2:165481308,0.9340190359226279
rs142295881-<b>A</b>,1e-06,attention deficit hyperactivity disorder,MLIP-AS1,6:54034290,0.987752762143006
rs142295881-<b>A</b>,1e-06,attention deficit hyperactivity disorder,MLIP,6:54034290,0.987752762143006
rs77224013-<b>A</b>,1e-06,attention deficit hyperactivity disorder,LINC01548,21:33171540,0.06285208961090004
rs77224013-<b>A</b>,1e-06,attention deficit hyperactivity disorder,IFNAR2,21:33171540,0.06285208961090004
rs8074751-<b>?</b>,1e-06,attention deficit hyperactivity disorder,CEP112,17:65646424,-1.0
rs10956838-<b>A</b>,1e-06,attention deficit hyperactivity disorder,UNKNOWN,8:92392214,0.7264690312334569
rs35835615-<b>?</b>,1e-06,attention deficit hyperactivity disorder,ERLIN1,10:100145181,-1.0
rs35835615-<b>?</b>,1e-06,attention deficit hyperactivity disorder,SPCS2P2,10:100145181,-1.0
rs13019774-<b>T</b>,1e-06,attention deficit hyperactivity disorder,RNA5SP107,2:154505440,0.2538927335640138
rs13019774-<b>T</b>,1e-06,attention deficit hyperactivity disorder,GALNT13,2:154505440,0.2538927335640138
rs11255938-<b>?</b>,2e-06,attention deficit hyperactivity disorder,LINC02676,10:8808772,-1.0
rs795989-<b>A</b>,2e-06,attention deficit hyperactivity disorder,MAML3,4:139808192,0.6592186710459829
rs12919130-<b>A</b>,2e-06,attention deficit hyperactivity disorder,GPR139,16:20115652,0.7768409526416644
rs150844750-<b>T</b>,2e-06,attention deficit hyperactivity disorder,RANBP2,2:108742827,0.9417681312863948
rs71450738-<b>T</b>,2e-06,attention deficit hyperactivity disorder,SOX5,12:24045898,-1.0
rs770082-<b>A</b>,2e-06,attention deficit hyperactivity disorder,DUSP6,12:89382708,0.4490150485944195
rs770082-<b>A</b>,2e-06,attention deficit hyperactivity disorder,POC1B,12:89382708,0.4490150485944195
rs55654452-<b>G</b>,2e-06,attention deficit hyperactivity disorder,ZNF521,18:25064312,-1.0
rs1537617-<b>A</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,10:2740611,0.8157840140523644
rs910191-<b>A</b>,2e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48460486,0.6902967029840981
rs910191-<b>A</b>,2e-06,attention deficit hyperactivity disorder,LINC00494,20:48460486,0.6902967029840981
rs6968385-<b>T</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,7:110407414,0.4444536464169143
rs34442475-<b>C</b>,2e-06,attention deficit hyperactivity disorder,UBBP1,2:136306815,0.13693028426234716
rs4923705-<b>C</b>,2e-06,attention deficit hyperactivity disorder,LINC02853,15:36001404,-1.0
rs2015560-<b>?</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,21:24656576,-1.0
rs876538-<b>?</b>,2e-06,attention deficit hyperactivity disorder,CRP,1:159705927,-1.0
rs876538-<b>?</b>,2e-06,attention deficit hyperactivity disorder,CRPP1,1:159705927,-1.0
rs1859156-<b>?</b>,2e-06,attention deficit hyperactivity disorder,BMPR1B,4:94912883,-1.0
rs10786284-<b>?</b>,2e-06,attention deficit hyperactivity disorder,TLL2,10:96375748,-1.0
rs113773212-<b>?</b>,2e-06,attention deficit hyperactivity disorder,LINC00917,16:86361158,-1.0
rs74030106-<b>?</b>,2e-06,attention deficit hyperactivity disorder,TMC3-AS1,15:81525290,-1.0
rs35624673-<b>?</b>,2e-06,attention deficit hyperactivity disorder,FBN3,19:8069732,-1.0
rs6540899-<b>A</b>,2e-06,attention deficit hyperactivity disorder,KCTD3,1:215479116,0.08998366902558519
rs11719664-<b>?</b>,2e-06,attention deficit hyperactivity disorder,ZNF385D,3:21913706,-1.0
rs2199161-<b>?</b>,2e-06,attention deficit hyperactivity disorder,MAP1B,5:72114529,-1.0
rs2502731-<b>?</b>,2e-06,attention deficit hyperactivity disorder,DNM1,9:128214278,-1.0
rs9661242-<b>?</b>,2e-06,attention deficit hyperactivity disorder,UNKNOWN,1:29615908,-1.0
rs526318-<b>T</b>,3e-06,attention deficit hyperactivity disorder,RNA5SP214,6:117070716,0.5268395976707253
rs13043694-<b>A</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48459908,0.2958178930651138
rs13043694-<b>A</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48459908,0.2958178930651138
rs4810796-<b>A</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48459954,0.2951185208054612
rs4810796-<b>A</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48459954,0.2951185208054612
rs12596252-<b>A</b>,3e-06,attention deficit hyperactivity disorder,GPR139,16:20045671,0.16814350551113033
rs13088735-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LMCD1-AS1,3:8123815,0.0042725797728501895
rs12926725-<b>T</b>,3e-06,attention deficit hyperactivity disorder,GPR139,16:20048355,0.1976120019269149
rs57422381-<b>?</b>,3e-06,attention deficit hyperactivity disorder,MBNL2,13:97205239,-1.0
rs57422381-<b>?</b>,3e-06,attention deficit hyperactivity disorder,LINC00456,13:97205239,-1.0
rs79221481-<b>T</b>,3e-06,attention deficit hyperactivity disorder,EPCAM-DT,2:47277861,0.02705417314670814
rs7463256-<b>T</b>,3e-06,attention deficit hyperactivity disorder,CHMP7,8:23244107,0.6071265483189681
rs145190003-<b>?</b>,3e-06,attention deficit hyperactivity disorder,CNTLN,9:17263750,-1.0
rs393488-<b>?</b>,3e-06,attention deficit hyperactivity disorder,RN7SL720P,9:17044973,-1.0
rs35854754-<b>CT</b>,3e-06,attention deficit hyperactivity disorder,UNKNOWN,6:91356930,-1.0
rs1902813-<b>C</b>,3e-06,attention deficit hyperactivity disorder,GPR139,16:20046339,0.2101746065962492
rs17232800-<b>?</b>,3e-06,attention deficit hyperactivity disorder,MTL3P,18:68625022,-1.0
rs17232800-<b>?</b>,3e-06,attention deficit hyperactivity disorder,TMX3,18:68625022,-1.0
rs1979398-<b>?</b>,3e-06,attention deficit hyperactivity disorder,ITGA1,5:52898497,-1.0
rs1514928-<b>?</b>,3e-06,attention deficit hyperactivity disorder,LINC00644,14:62211585,-1.0
rs7577925-<b>?</b>,3e-06,attention deficit hyperactivity disorder,NCKAP5,2:133282947,-1.0
rs7577925-<b>?</b>,3e-06,attention deficit hyperactivity disorder,NCKAP5-AS2,2:133282947,-1.0
rs536749404-<b>T</b>,3e-06,attention deficit hyperactivity disorder,UNKNOWN,8:13806960,-1.0
rs4458264-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48461291,0.3191106405505558
rs4458264-<b>T</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48461291,0.3191106405505558
rs10767556-<b>G</b>,3e-06,attention deficit hyperactivity disorder,ANO3,11:26602166,0.25707343412527
rs4402823-<b>T</b>,3e-06,attention deficit hyperactivity disorder,RNU7-144P,20:48461279,0.6748014822657491
rs4402823-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC00494,20:48461279,0.6748014822657491
rs2238652-<b>T</b>,3e-06,attention deficit hyperactivity disorder,COMP,19:18831750,0.0008547008547008548
rs2238652-<b>T</b>,3e-06,attention deficit hyperactivity disorder,UPF1,19:18831750,0.0008547008547008548
rs2842643-<b>?</b>,3e-06,attention deficit hyperactivity disorder,NPM1P51,6:41682998,-1.0
rs2842643-<b>?</b>,3e-06,attention deficit hyperactivity disorder,TFEB,6:41682998,-1.0
rs61913097-<b>C</b>,3e-06,attention deficit hyperactivity disorder,ERC1,12:1340033,0.3772895712016941
rs117354149-<b>C</b>,3e-06,attention deficit hyperactivity disorder,SETD5,3:9464601,0.0007472916627001504
rs11134178-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC02196,5:6834054,0.9466843763378304
rs11134178-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC02236,5:6834054,0.9466843763378304
rs9627183-<b>C</b>,3e-06,attention deficit hyperactivity disorder,UNKNOWN,22:47888765,-1.0
rs28452470-<b>A</b>,3e-06,attention deficit hyperactivity disorder,CADPS2,7:122317528,0.3664686825053996
