variant_and_allele,p_value,trait,gene,location,af
rs11731003-<b>T</b>,4e-09,alcohol withdrawal,SORCS2,4:7388545,0.07820665083135392
rs61835088-<b>T</b>,4e-09,cocaine dependence,FAM78B,1:166069605,0.8507676019057703
rs904092-<b>G</b>,5e-09,alcohol dependence,ADH1A,4:99293007,0.8045696220721368
rs904092-<b>G</b>,5e-09,alcohol dependence,ADH1B,4:99293007,0.8045696220721368
rs2714674-<b>T</b>,7.0000000000000015e-09,nicotine dependence,GNAI1,7:79755934,0.4833245103229222
rs2273500-<b>C</b>,8e-09,nicotine dependence,CHRNA4,20:63355597,0.14715235617230413
rs1970606-<b>G</b>,8e-09,opioid dependence,RBBP4P4,6:58042294,0.3056643726839597
rs1970606-<b>G</b>,8e-09,opioid dependence,GAPDHP15,6:58042294,0.3056643726839597
rs1557219-<b>C</b>,9.000000000000001e-09,opioid dependence,GAPDHP15,6:58044647,0.3955444419186179
rs1557219-<b>C</b>,9.000000000000001e-09,opioid dependence,RBBP4P4,6:58044647,0.3955444419186179
rs7590720-<b>G</b>,1e-08,alcohol dependence,PECR,2:216033935,0.30159593140234764
rs7590720-<b>G</b>,1e-08,alcohol dependence,MREG,2:216033935,0.30159593140234764
rs1789891-<b>?</b>,1e-08,alcohol dependence,ADH1B,4:99329262,-1.0
rs12442183-<b>T</b>,1e-08,opioid dependence,UNKNOWN,15:93204756,0.26215731070496084
rs116544709-<b>T</b>,2e-08,drug dependence,LITAF,16:11442913,0.0029819694868238556
rs116544709-<b>T</b>,2e-08,drug dependence,RMI2,16:11442913,0.0029819694868238556
rs1789891-<b>A</b>,2e-08,alcohol dependence,ADH1B,4:99329262,0.15248594121038894
rs201123820-<b>T</b>,3.0000000000000004e-08,opioid dependence,LINC02837,18:49498978,-1.0
rs201123820-<b>T</b>,3.0000000000000004e-08,opioid dependence,SRP72P1,18:49498978,-1.0
rs9636470-<b>?</b>,3.0000000000000004e-08,alcohol and nicotine codependence,RGPD2,2:87866942,-1.0
rs2825295-<b>T</b>,3.0000000000000004e-08,cocaine dependence,UNKNOWN,21:19031918,0.5279418350780943
rs4478858-<b>G</b>,3.0000000000000004e-08,alcohol dependence,SERINC2,1:31411078,-1.0
rs2460187-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90742633,-1.0
rs2443065-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90757239,-1.0
rs2443064-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90757463,-1.0
rs2460186-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90741163,-1.0
rs2443066-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90738967,-1.0
rs144481999-<b>T</b>,4e-08,nicotine dependence,ARHGAP25,2:68746800,0.009880239520958085
rs910083-<b>C</b>,4e-08,nicotine dependence,DNMT3B,20:32790884,0.32865628840639083
rs56247223-<b>A</b>,4e-08,nicotine dependence,CACNA2D3,3:54608201,0.2547379565907888
rs2629540-<b>?</b>,4e-08,cocaine dependence,FAM53B,10:124737579,-1.0
rs2222243-<b>?</b>,5e-08,opioid dependence,ADGRV1,5:90737880,-1.0
rs2030272-<b>?</b>,5e-08,opioid dependence,ADGRV1,5:90730025,-1.0
rs671-<b>?</b>,5e-08,alcohol dependence,ALDH2,12:111803962,-1.0
rs2443067-<b>?</b>,5e-08,opioid dependence,ADGRV1,5:90738485,-1.0
rs4699741-<b>T</b>,6.000000000000001e-08,alcohol dependence,ADH7,4:99357540,0.9096722924392644
rs4699741-<b>T</b>,6.000000000000001e-08,alcohol dependence,ADH1B,4:99357540,0.9096722924392644
rs17028615-<b>A</b>,6.000000000000001e-08,alcohol dependence,ADH4,4:99150767,0.9909360686407328
rs12284594-<b>G</b>,7e-08,drug dependence,PKNOX2,11:125309957,0.1762761359654246
rs118129027-<b>C</b>,8e-08,drug dependence,POU6F2,7:39545812,0.04934861907243356
rs118129027-<b>C</b>,8e-08,drug dependence,YAE1,7:39545812,0.04934861907243356
rs8036747-<b>?</b>,8e-08,opioid dependence,UNKNOWN,15:93209226,-1.0
rs1789924-<b>T</b>,1e-07,alcohol dependence,ADH7,4:99353129,0.3697318460865142
rs1789924-<b>T</b>,1e-07,alcohol dependence,ADH1B,4:99353129,0.3697318460865142
rs57602752-<b>A</b>,1e-07,cannabis dependence,LDHAP5,10:118890460,0.9310746426680784
rs57602752-<b>A</b>,1e-07,cannabis dependence,RPL17P36,10:118890460,0.9310746426680784
rs9512637-<b>C</b>,1e-07,alcohol dependence,LINC01079,13:27346474,0.6108658585733329
rs9512637-<b>C</b>,1e-07,alcohol dependence,RNU6-70P,13:27346474,0.6108658585733329
rs116441240-<b>T</b>,1e-07,drug dependence,GNAO1,16:56343996,0.0008441193021947103
rs59675243-<b>A</b>,1e-07,opioid dependence,TACC2,10:122011107,0.07032875572201415
rs4860439-<b>T</b>,1e-07,opioid dependence,LINC02619,4:58960564,0.7647566798740222
rs115391335-<b>T</b>,1e-07,opioid dependence,LINC00474,9:115944964,0.008502289077828646
rs114341823-<b>?</b>,1e-07,opioid dependence,GRIN2B,12:13933717,-1.0
rs2173201-<b>C</b>,1e-07,alcohol dependence,ADH1B,4:99329813,0.7571016445913791
rs1872052-<b>?</b>,2e-07,opioid dependence,UNKNOWN,15:93209649,-1.0
rs75449825-<b>G</b>,2e-07,opioid dependence,TACC2,10:122010374,0.020018567947081352
rs114341823-<b>T</b>,2e-07,opioid dependence,GRIN2B,12:13933717,0.0050291159343568035
rs8063946-<b>?</b>,2e-07,opioid dependence,FTO,16:53779586,-1.0
rs1000579-<b>G</b>,2e-07,alcohol dependence,STX18-AS1,4:4717767,0.4283827109184825
rs17300532-<b>T</b>,2e-07,opioid dependence,MAP1B,5:72084528,0.20813093980992609
rs73404786-<b>A</b>,2e-07,cocaine dependence,NIPA2P1,7:91354149,0.039953859060402684
rs6701037-<b>C</b>,2e-07,alcohol dependence,KIAA0040,1:175150943,0.408200287080497
rs6701037-<b>C</b>,2e-07,alcohol dependence,TNN,1:175150943,0.408200287080497
rs4791746-<b>?</b>,2e-07,heroin dependence,MYH10,17:8723039,-1.0
rs4791746-<b>?</b>,2e-07,heroin dependence,CCDC42,17:8723039,-1.0
rs74426341-<b>C</b>,3e-07,cocaine dependence,NIPA2P1,7:91349301,0.03038644785600847
rs11500237-<b>C</b>,3e-07,drug dependence,KCNA4,11:30054653,0.11407053637031594
rs11764430-<b>T</b>,3e-07,drug dependence,CPVL,7:29022108,0.17199576495500266
rs73721103-<b>?</b>,3e-07,opioid dependence,AASS,7:122167872,-1.0
rs58356853-<b>T</b>,3e-07,opioid dependence,TACC2,10:122011617,0.0669119933658132
rs6062901-<b>G</b>,3e-07,nicotine dependence,CHRNA4,20:63348909,0.22529799247176915
rs2288156-<b>?</b>,3e-07,heroin dependence,CCDC42,17:8741536,-1.0
rs55670624-<b>T</b>,3e-07,drug dependence,RRN3P4,2:142785921,0.04166225516146109
rs8040009-<b>T</b>,3e-07,alcohol dependence,C15orf32,15:92501109,0.8137722759022578
rs192590503-<b>?</b>,3e-07,opioid dependence,NKAIN2,6:124215869,-1.0
rs1614972-<b>C</b>,4e-07,alcohol dependence,ADH1B,4:99336998,0.6756777761946089
rs1614972-<b>C</b>,4e-07,alcohol dependence,ADH1C,4:99336998,0.6756777761946089
rs1881736-<b>A</b>,4e-07,opioid dependence,MAPK8,10:48366783,0.9973190348525468
rs1000579-<b>?</b>,4e-07,alcohol dependence,STX18-AS1,4:4717767,-1.0
rs1318937-<b>?</b>,4e-07,alcohol and nicotine codependence,CAPN7,3:15253857,-1.0
rs1318937-<b>?</b>,4e-07,alcohol and nicotine codependence,SH3BP5-AS1,3:15253857,-1.0
rs2005290-<b>?</b>,4e-07,cocaine dependence,OR3A2,17:3284718,-1.0
rs6777876-<b>G</b>,4e-07,alcohol dependence,RN7SL147P,3:11915124,0.10632269952781297
rs6777876-<b>G</b>,4e-07,alcohol dependence,MARK2P14,3:11915124,0.10632269952781297
rs111325002-<b>?</b>,4e-07,cocaine dependence,UNKNOWN,3:96134788,-1.0
chr17:8631468-<b>?</b>,4e-07,heroin dependence,UNKNOWN,Mapping not available,-1.0
rs73721103-<b>T</b>,4e-07,cocaine dependence,AASS,7:122167872,0.01111699311805188
rs56116178-<b>G</b>,5e-07,nicotine dependence,FAM163B,9:133595102,0.07326627845420858
rs150954431-<b>?</b>,5e-07,cocaine dependence,NCOR2,12:124517777,-1.0
rs77109747-<b>A</b>,5e-07,nicotine dependence,GPR199P,1:34947470,0.029807541855734625
rs77109747-<b>A</b>,5e-07,nicotine dependence,DLGAP3,1:34947470,0.029807541855734625
rs112894747-<b>C</b>,5e-07,cocaine dependence,FGF18,5:171467315,0.007212205270457697
rs113142991-<b>A</b>,6e-07,opioid dependence,LINC01814,2:8512906,0.024722075172048705
rs74641711-<b>?</b>,6e-07,opioid dependence,CTDP1,18:79727394,-1.0
rs1019238-<b>?</b>,6e-07,cannabis dependence,ANKFN1,17:56201354,-1.0
rs187632-<b>A</b>,7e-07,nicotine dependence,UNKNOWN,5:5786589,0.4436337551215603
rs12639833-<b>C</b>,7e-07,alcohol dependence,ADH1C,4:99346215,0.7377977766013764
rs12639833-<b>C</b>,7e-07,alcohol dependence,ADH1B,4:99346215,0.7377977766013764
rs148586747-<b>A</b>,7e-07,nicotine dependence,NELL1,11:21450957,0.029274748544203283
rs114198947-<b>A</b>,7e-07,opioid dependence,KRT8,12:52911490,0.010065403890257368
rs6716455-<b>G</b>,7e-07,alcohol dependence,LINC01818,2:150269889,0.8528452861938107
rs9556711-<b>G</b>,8e-07,alcohol dependence,MBNL2,13:97364162,0.9127957299480668
rs1417205-<b>A</b>,8e-07,drug dependence,GNG5P5,13:47324744,0.9379628865979379
rs2253612-<b>C</b>,8e-07,alcohol dependence,AOX3P,2:200703710,0.1272053450255768
rs2253612-<b>C</b>,8e-07,alcohol dependence,AOX3P-AOX2P,2:200703710,0.1272053450255768
rs10042968-<b>G</b>,8e-07,alcohol and nicotine codependence,UNKNOWN,5:63737891,0.20810829767833344
rs55768019-<b>G</b>,8e-07,alcohol dependence,LINC02268,4:174106365,0.42911593435680256
rs2241894-<b>T</b>,8e-07,alcohol dependence,ADH1C,4:99344976,0.7988187023761215
rs2241894-<b>T</b>,8e-07,alcohol dependence,ADH1B,4:99344976,0.7988187023761215
rs13097862-<b>?</b>,9.000000000000001e-07,opioid dependence,SNTN,3:63733563,-1.0
rs13097862-<b>?</b>,9.000000000000001e-07,opioid dependence,C3orf49,3:63733563,-1.0
rs10995853-<b>?</b>,9.000000000000001e-07,opioid dependence,DBF4P1,10:64259979,-1.0
rs1431318-<b>?</b>,9.000000000000001e-07,cannabis dependence,ANKFN1,17:56115162,-1.0
rs6461441-<b>C</b>,9.000000000000001e-07,nicotine dependence,UNKNOWN,7:19526663,0.17183698011104742
rs4300379-<b>G</b>,9.000000000000001e-07,opioid dependence,OR4C46,11:54614287,-1.0
rs4300379-<b>G</b>,9.000000000000001e-07,opioid dependence,OR4C7P,11:54614287,-1.0
rs13279512-<b>?</b>,9.000000000000001e-07,opioid dependence,CLVS1,8:61045943,-1.0
rs17427389-<b>?</b>,1e-06,alcohol and nicotine codependence,PLEKHG1,6:150841979,-1.0
rs12348139-<b>T</b>,1e-06,nicotine dependence,GLIS3,9:4232743,0.922032030084938
rs55828312-<b>G</b>,1e-06,nicotine dependence,CHRNB3,8:42734459,0.29854615124535105
rs12680810-<b>A</b>,1e-06,nicotine dependence,UNKNOWN,8:77231908,0.3799894123875066
rs10759883-<b>T</b>,1e-06,nicotine dependence,LINC00476,9:95790481,0.5587083112758073
rs62392942-<b>T</b>,1e-06,nicotine dependence,SUMO2P1,6:29634161,0.9539626001780944
rs62392942-<b>T</b>,1e-06,nicotine dependence,GABBR1,6:29634161,0.9539626001780944
rs12491921-<b>?</b>,1e-06,cannabis dependence,LINC00882,3:106570103,-1.0
rs34361428-<b>G</b>,1e-06,alcohol dependence,ADH1B,4:99391552,0.9403867471363468
rs34361428-<b>G</b>,1e-06,alcohol dependence,ADH7,4:99391552,0.9403867471363468
rs74745534-<b>T</b>,1e-06,alcohol dependence,RHAG,6:49589080,0.02252111354394745
rs74745534-<b>T</b>,1e-06,alcohol dependence,CYP2AC1P,6:49589080,0.02252111354394745
rs750338-<b>C</b>,1e-06,alcohol dependence,PKNOX2,11:125302697,-1.0
rs181048070-<b>A</b>,1e-06,alcohol dependence,LINC01793,2:59316241,0.015352038115404976
rs11163319-<b>?</b>,1e-06,opioid dependence,ADGRL2,1:81506757,-1.0
rs10738186-<b>?</b>,1e-06,opioid dependence,IMP3P1,9:10753414,-1.0
rs16857949-<b>A</b>,1e-06,drug dependence,UNKNOWN,2:142719167,0.9683824385699312
rs11728570-<b>T</b>,1e-06,opioid dependence,BMPR1B,4:94826249,0.19249644840501096
rs117557854-<b>A</b>,2e-06,alcohol dependence,CNTN5,11:100268439,0.019854090672225117
rs61873668-<b>G</b>,2e-06,nicotine dependence,CRTAC1,10:98030641,0.0911941635735313
rs8065311-<b>?</b>,2e-06,cannabis dependence,ANKFN1,17:56125999,-1.0
rs188595723-<b>G</b>,2e-06,nicotine dependence,C14orf177,14:98809200,0.004368932038834953
rs237899-<b>?</b>,2e-06,alcohol dependence,OXTR,3:8766829,-1.0
rs237899-<b>?</b>,2e-06,alcohol dependence,CAV3,3:8766829,-1.0
rs9900808-<b>A</b>,2e-06,drug dependence,UNKNOWN,17:13159478,0.0446480558970046
rs2548145-<b>G</b>,2e-06,alcohol dependence,KRT18P56,5:40134675,0.5058943106364189
rs2836823-<b>T</b>,2e-06,nicotine dependence,LINC01700,21:39008323,0.4174045011399717
rs71575441-<b>T</b>,2e-06,cocaine dependence,EFNA5,5:107453116,0.9702906071613908
rs72685414-<b>A</b>,2e-06,cocaine dependence,UNKNOWN,1:104424250,0.09141024356018844
rs1426153-<b>?</b>,2e-06,alcohol and nicotine codependence,PKNOX2,11:125300743,-1.0
rs7675557-<b>A</b>,2e-06,cocaine dependence,HNRNPA3P13,4:82049663,0.18301345020402
rs7675557-<b>A</b>,2e-06,cocaine dependence,RASGEF1B,4:82049663,0.18301345020402
rs1570989-<b>?</b>,2e-06,alcohol and nicotine codependence,HIVEP1,6:12048594,-1.0
rs79309473-<b>T</b>,2e-06,cocaine dependence,CCNA1,13:36398065,0.4226943179902209
rs79309473-<b>T</b>,2e-06,cocaine dependence,SPART,13:36398065,0.4226943179902209
rs6810498-<b>A</b>,2e-06,alcohol dependence,LINC02357,4:26064749,0.4013234515616728
rs2369955-<b>A</b>,2e-06,alcohol dependence,TMEM108,3:132974744,0.8853338775902226
rs11944332-<b>?</b>,2e-06,cocaine dependence,HAND2-AS1,4:173633681,-1.0
rs890622-<b>C</b>,2e-06,nicotine dependence,TANC1,2:159108877,0.02991503422232712
rs79245542-<b>A</b>,2e-06,drug dependence,HOMER1,5:51549888,0.9304393859184754
rs55644503-<b>T</b>,2e-06,nicotine dependence,LINC02240,5:125190620,0.9889736477115116
rs6906329-<b>T</b>,2e-06,drug dependence,OFCC1,6:10013095,0.9914543194530764
rs148995264-<b>C</b>,2e-06,drug dependence,UNKNOWN,1:80022203,0.00555849655902594
rs3131513-<b>G</b>,2e-06,alcohol dependence,RUNX3,1:24866664,0.3792801090055765
rs3131513-<b>G</b>,2e-06,alcohol dependence,CLIC4,1:24866664,0.3792801090055765
rs804292-<b>G</b>,2e-06,alcohol dependence,NEIL2,8:11786406,0.2343548482130582
rs75433892-<b>A</b>,2e-06,alcohol dependence,GNAL,18:11712923,0.00013869625520110957
rs2154294-<b>G</b>,3e-06,alcohol dependence,UNKNOWN,14:42186072,0.5393656813340952
rs11086525-<b>C</b>,3e-06,cocaine dependence,CBLN4,20:55941282,0.3398094229751191
rs1372680-<b>A</b>,3e-06,alcohol dependence,ADH1B,4:99383388,0.09450937365835042
rs1372680-<b>A</b>,3e-06,alcohol dependence,ADH7,4:99383388,0.09450937365835042
rs11950-<b>G</b>,3e-06,alcohol dependence,TMEM14A,6:52668952,0.11754078050794962
rs11950-<b>G</b>,3e-06,alcohol dependence,TRAM2-AS1,6:52668952,0.11754078050794962
rs806973-<b>A</b>,3e-06,cocaine dependence,H2AC6,6:26148098,0.6173342943749445
rs806973-<b>A</b>,3e-06,cocaine dependence,H1-4,6:26148098,0.6173342943749445
rs72840936-<b>?</b>,3e-06,cocaine dependence,STEAP3-AS1,2:119266116,-1.0
rs2456778-<b>?</b>,3e-06,cocaine dependence,CDK1,10:60792132,-1.0
rs56401801-<b>A</b>,3e-06,cocaine dependence,ZNF204P,6:27333733,0.08306421726931018
rs56401801-<b>A</b>,3e-06,cocaine dependence,VN1R10P,6:27333733,0.08306421726931018
rs5968205-<b>?</b>,3e-06,alcohol dependence,TERF1P4,X:83699482,-1.0
rs75686122-<b>?</b>,3e-06,cocaine dependence,RIMS2,8:103561561,-1.0
rs4129566-<b>?</b>,3e-06,cocaine dependence,HAND2-AS1,4:173626006,-1.0
rs11007350-<b>?</b>,3e-06,cannabis dependence,LINC01517,10:29000102,-1.0
rs1864982-<b>A</b>,3e-06,alcohol dependence,PPP2R2B,5:146941260,-1.0
rs6822348-<b>T</b>,3e-06,alcohol dependence,ADH4,4:99132743,0.7118051879301217
rs16892135-<b>G</b>,3e-06,nicotine dependence,CC2D2A,4:15540574,0.2399693664076509
rs11933661-<b>?</b>,4e-06,alcohol dependence,UNKNOWN,4:130091985,-1.0
rs2810114-<b>?</b>,4e-06,alcohol dependence,PCNX1,14:70928887,-1.0
rs8111589-<b>?</b>,4e-06,alcohol dependence,OPA3,19:45531300,-1.0
rs2140418-<b>C</b>,4e-06,alcohol dependence,ANKS1A,6:35007638,0.7671891344413635
rs2400954-<b>C</b>,4e-06,alcohol dependence,PPFIA2,12:81539202,0.3906637862787983
rs8062326-<b>T</b>,4e-06,alcohol dependence,ITPRIPL2,16:19144694,-1.0
rs8062326-<b>T</b>,4e-06,alcohol dependence,SYT17,16:19144694,-1.0
rs12388359-<b>T</b>,4e-06,alcohol dependence,CLCN4,X:10263651,0.14109503825298966
rs3827730-<b>?</b>,4e-06,alcohol dependence,FAF1,1:50472176,-1.0
rs3738443-<b>A</b>,4e-06,alcohol dependence,ZNF731P,1:247184887,-1.0
rs3738443-<b>A</b>,4e-06,alcohol dependence,ZNF124,1:247184887,-1.0
rs9503551-<b>A</b>,4e-06,nicotine dependence,SLC22A23,6:3340483,0.1129857114814394
rs1881509-<b>?</b>,4e-06,heroin dependence,BRSK2,11:1404375,-1.0
rs4734387-<b>A</b>,4e-06,cocaine dependence,POP1,8:98181537,0.33181577554261515
rs4734387-<b>A</b>,4e-06,cocaine dependence,NIPAL2,8:98181537,0.33181577554261515
rs4739179-<b>?</b>,4e-06,heroin dependence,UNKNOWN,8:77873757,-1.0
rs1060061-<b>T</b>,4e-06,nicotine dependence,NR5A2,1:200174314,0.4442733241468753
rs77338073-<b>A</b>,4e-06,drug dependence,RPL9P21,10:44509847,0.009916782246879334
rs77114337-<b>T</b>,4e-06,nicotine dependence,SULT1B1,4:69758944,0.9469560614081524
rs1760803-<b>A</b>,4e-06,nicotine dependence,HAX1,1:154285418,0.4604910714285714
rs1760803-<b>A</b>,4e-06,nicotine dependence,RNU6-239P,1:154285418,0.4604910714285714
rs1484873-<b>A</b>,4e-06,cocaine dependence,SLC14A2,18:45627020,0.05959290147076074
rs17552189-<b>?</b>,4e-06,cannabis dependence,LINC01122,2:58845834,-1.0
rs1573535-<b>A</b>,4e-06,drug dependence,NELL1,11:21599402,0.5384330333509794
rs61109704-<b>C</b>,4e-06,nicotine dependence,CAMSAP2,1:200703078,0.04759266441354092
rs61109704-<b>C</b>,4e-06,nicotine dependence,DDX59-AS1,1:200703078,0.04759266441354092
rs728115-<b>?</b>,4e-06,alcohol and nicotine codependence,KCND2,7:120665095,-1.0
rs61735963-<b>?</b>,4e-06,nicotine dependence,DVL1,1:1341803,-1.0
rs112252907-<b>T</b>,4e-06,cocaine dependence,RBFOX1,16:6625140,0.020370577073334083
rs272043-<b>T</b>,4e-06,drug dependence,DPP10,2:115868208,0.6062573884791996
rs1109501-<b>G</b>,5e-06,alcohol dependence,MUC7,4:70463773,0.7198868468298214
rs6028335-<b>?</b>,5e-06,alcohol and nicotine codependence,LINC01734,20:39216834,-1.0
rs528301-<b>?</b>,5e-06,alcohol and nicotine codependence,LINC01833,2:44927769,-1.0
rs12632235-<b>T</b>,5e-06,alcohol dependence,ABI3BP,3:100817440,0.02880299487024744
rs62191099-<b>A</b>,5e-06,alcohol dependence,LINC01940,2:238936057,0.12893479482855535
rs10649162-<b>?</b>,5e-06,alcohol dependence,UNKNOWN,6:153299421,-1.0
rs7199896-<b>T</b>,5e-06,alcohol dependence,GINS3,16:58339080,0.05744083858330245
rs79978308-<b>T</b>,5e-06,alcohol dependence,B3GALT5,21:39648618,0.04189682126107348
rs36563-<b>A</b>,5e-06,alcohol dependence,PCNX1,14:70885931,-1.0
rs36563-<b>A</b>,5e-06,alcohol dependence,MAP3K9,14:70885931,-1.0
rs5922838-<b>?</b>,5e-06,alcohol dependence,POMPP1,X:83616187,-1.0
rs4789400-<b>A</b>,5e-06,drug dependence,Metazoa_SRP,17:77001815,0.049579274969742376
rs4789400-<b>A</b>,5e-06,drug dependence,MGAT5B,17:77001815,0.049579274969742376
rs1344694-<b>?</b>,5e-06,alcohol dependence,MREG,2:216028914,-1.0
rs1344694-<b>?</b>,5e-06,alcohol dependence,PECR,2:216028914,-1.0
rs59551326-<b>A</b>,5e-06,alcohol dependence,RPL13AP7,21:25384656,0.9052938062466914
rs59551326-<b>A</b>,5e-06,alcohol dependence,LINC00158,21:25384656,0.9052938062466914
rs199563603-<b>T</b>,5e-06,nicotine dependence,AK2,1:33075512,-1.0
rs56020557-<b>T</b>,5e-06,nicotine dependence,GABBR1,6:29596985,0.05727898358920064
rs17198023-<b>A</b>,5e-06,nicotine dependence,ADAMTSL1,9:18194385,0.8977036477036477
rs9427573-<b>?</b>,5e-06,cannabis dependence,UCHL5,1:193026083,-1.0
rs12020569-<b>C</b>,5e-06,alcohol dependence,RPS20P32,13:27012736,-1.0
rs12020569-<b>C</b>,5e-06,alcohol dependence,RPS21P8,13:27012736,-1.0
rs5894994-<b>A</b>,5e-06,nicotine dependence,CCDC26,8:129445289,-1.0
rs57361543-<b>A</b>,5e-06,cocaine dependence,GHSR,3:172494354,0.6518358531317494
rs57361543-<b>A</b>,5e-06,cocaine dependence,TNFSF10,3:172494354,0.6518358531317494
chr8:78718310-<b>?</b>,5e-06,heroin dependence,UNKNOWN,Mapping not available,-1.0
chr11:1421138-<b>?</b>,5e-06,heroin dependence,UNKNOWN,Mapping not available,-1.0
rs75012440-<b>A</b>,5e-06,nicotine dependence,KLF12,13:74057103,0.1502056386719914
rs6809441-<b>?</b>,6e-06,alcohol dependence,ULK4,3:41453114,-1.0
rs10253361-<b>T</b>,6e-06,alcohol dependence,UNKNOWN,7:121635175,0.5581320496752877
rs67769911-<b>A</b>,6e-06,cocaine dependence,ACTN4P1,4:116685914,0.08798283261802575
rs78158938-<b>?</b>,6e-06,heroin dependence,NPM1P18,7:36747191,-1.0
rs78158938-<b>?</b>,6e-06,heroin dependence,AOAH,7:36747191,-1.0
rs10908907-<b>G</b>,6e-06,alcohol dependence,GADD45G,9:89634669,0.6843726231359624
rs10908907-<b>G</b>,6e-06,alcohol dependence,UNQ6494,9:89634669,0.6843726231359624
rs73973283-<b>A</b>,6e-06,cocaine dependence,UNKNOWN,18:76045951,0.9842907385697538
rs2294231-<b>T</b>,6e-06,alcohol dependence,LINC02518,6:113433202,0.6267413806521909
rs10455657-<b>T</b>,6e-06,drug dependence,LINC02549,6:68275038,0.8071454748380004
rs4142041-<b>G</b>,6e-06,nicotine dependence,CTNNA3,10:66881193,0.3730726194472418
rs78018149-<b>A</b>,6e-06,nicotine dependence,SLC25A48,5:135785156,0.044196966812615014
rs4440177-<b>A</b>,6e-06,alcohol dependence,MTHFD2P4,4:162321901,0.37520951756303744
rs4770403-<b>?</b>,6e-06,alcohol dependence,SGCG,13:23180988,-1.0
rs57126985-<b>C</b>,6e-06,alcohol dependence,UNKNOWN,21:15217712,0.07578823132692633
rs17620991-<b>C</b>,6e-06,alcohol dependence,SUGCT,7:40796922,0.058101056382843325
rs7332726-<b>A</b>,7.000000000000001e-06,cocaine dependence,MIR4500HG,13:87498629,0.04247003647733194
rs9458975-<b>T</b>,7.000000000000001e-06,drug dependence,SYNJ2,6:157968709,0.4308087504143189
rs9458975-<b>T</b>,7.000000000000001e-06,drug dependence,SNX9,6:157968709,0.4308087504143189
