variant_and_allele,p_value,trait,gene,location,af,tissues
rs7259620-<b>G</b>,2e-23,alzheimer disease,TOMM40,19:44904531,0.5678858506792095,
rs7259620-<b>G</b>,2e-23,alzheimer disease,APOE,19:44904531,0.5678858506792095,
rs283815-<b>?</b>,9.000000000000001e-23,alzheimer disease,NECTIN2,19:44887076,-1.0,
rs1160985-<b>C</b>,9.999999999999999e-23,alzheimer disease,TOMM40,19:44900155,0.5361044223879721,
rs1532278-<b>?</b>,1.9999999999999999e-22,late-onset alzheimers disease,CLU,8:27608798,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Adipose_Subcutaneous&Heart_Left_Ventricle&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal
rs449647-<b>A</b>,9e-22,alzheimer disease,APOE,19:44905307,0.7984668913776232,
rs449647-<b>A</b>,9e-22,alzheimer disease,TOMM40,19:44905307,0.7984668913776232,
rs405509-<b>T</b>,2.0000000000000002e-21,alzheimer disease,APOE,19:44905579,0.4661386368093566,
rs405509-<b>T</b>,2.0000000000000002e-21,alzheimer disease,TOMM40,19:44905579,0.4661386368093566,
rs8106922-<b>A</b>,2.0000000000000002e-20,alzheimer disease,TOMM40,19:44898409,0.5968836751141757,
rs11668327-<b>C</b>,4.0000000000000004e-20,alzheimer disease,TOMM40,19:44895376,0.09620394491998513,
rs4236673-<b>A</b>,5.999999999999998e-20,alzheimer disease,CLU,8:27607412,0.33622881355932205,Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Heart_Left_Ventricle&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal
rs769450-<b>G</b>,6e-19,alzheimer disease,APOE,19:44907187,0.6032120159551121,
rs9331896-<b>C</b>,1e-18,alzheimer disease,CLU,8:27610169,0.4212722472962616,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Adipose_Subcutaneous&Heart_Left_Ventricle&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal
rs10792832-<b>?</b>,4e-18,alzheimer disease,RNU6-560P,11:86156833,-1.0,
rs10792832-<b>?</b>,4e-18,alzheimer disease,LINC02695,11:86156833,-1.0,
rs6857-<b>T</b>,7.000000000000001e-18,alzheimer disease,NECTIN2,19:44888997,0.1426038151642449,
rs60049679-<b>C</b>,1e-17,alzheimer disease,APOC1,19:44926451,0.02665776050522225,
rs60049679-<b>C</b>,1e-17,alzheimer disease,APOC1P1,19:44926451,0.02665776050522225,
rs10792832-<b>A</b>,1e-17,alzheimer disease,RNU6-560P,11:86156833,0.2987866531850354,
rs10792832-<b>A</b>,1e-17,alzheimer disease,LINC02695,11:86156833,0.2987866531850354,
rs9369716-<b>?</b>,2e-17,late-onset alzheimers disease,CD2AP,6:47584444,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Kidney_Cortex&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs3764650-<b>?</b>,5.0000000000000005e-17,alzheimer disease,ABCA7,19:1046521,-1.0,
rs12590654-<b>?</b>,6.999999999999999e-17,late-onset alzheimers disease,SLC24A4,14:92472511,-1.0,
rs4803748-<b>C</b>,3e-16,alzheimer disease,CEACAM16-AS1,19:44743791,0.7368724754760531,
rs4803748-<b>C</b>,3e-16,alzheimer disease,BCL3,19:44743791,0.7368724754760531,
rs983392-<b>A</b>,6e-16,alzheimer disease,LINC02705,11:60156035,0.6641609317098994,
rs983392-<b>A</b>,6e-16,alzheimer disease,MS4A2,11:60156035,0.6641609317098994,
rs28399664-<b>G</b>,6e-16,alzheimer disease,NECTIN2,19:44821499,0.013043276266579943,
rs28399664-<b>G</b>,6e-16,alzheimer disease,BCAM,19:44821499,0.013043276266579943,
APOE-<b>E4</b>,6.999999999999999e-16,alzheimer disease,UNKNOWN,Mapping not available,-1.0,
rs6069737-<b>?</b>,6.999999999999999e-16,late-onset alzheimers disease,CASS4,20:56420643,-1.0,
rs74846209-<b>T</b>,9e-16,alzheimer disease,MARK4,19:45146841,0.034048224887919545,
rs74846209-<b>T</b>,9e-16,alzheimer disease,PPP1R37,19:45146841,0.034048224887919545,
rs7384878-<b>?</b>,9e-16,late-onset alzheimers disease,PMS2P1,7:100334426,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs4147929-<b>A</b>,9.999999999999999e-16,alzheimer disease,ABCA7,19:1063444,0.15742916378714586,
rs283811-<b>G</b>,9.999999999999999e-16,alzheimer disease,NECTIN2,19:44885243,0.24706736677466204,
rs483082-<b>T</b>,9.999999999999999e-16,alzheimer disease,APOC1,19:44912921,0.2821690323777716,
rs483082-<b>T</b>,9.999999999999999e-16,alzheimer disease,APOE,19:44912921,0.2821690323777716,
rs7561528-<b>A</b>,1.9999999999999998e-15,alzheimer disease,BIN1,2:127132061,0.3146119685384122,Colon_Sigmoid&Esophagus_Muscularis&Pancreas
rs7561528-<b>A</b>,1.9999999999999998e-15,alzheimer disease,NIFKP9,2:127132061,0.3146119685384122,Colon_Sigmoid&Esophagus_Muscularis&Pancreas
rs12151021-<b>?</b>,3e-15,late-onset alzheimers disease,ABCA7,19:1050875,-1.0,
rs602602-<b>?</b>,6.0000000000000005e-15,late-onset alzheimers disease,SNORD3P1,15:58764824,-1.0,
rs602602-<b>?</b>,6.0000000000000005e-15,late-onset alzheimers disease,MINDY2,15:58764824,-1.0,
rs9331896-<b>?</b>,6.0000000000000005e-15,alzheimer disease,CLU,8:27610169,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Adipose_Subcutaneous&Heart_Left_Ventricle&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal
rs7912495-<b>?</b>,7.999999999999999e-15,late-onset alzheimers disease,ECHDC3,10:11676714,-1.0,
rs7912495-<b>?</b>,7.999999999999999e-15,late-onset alzheimers disease,USP6NL-AS1,10:11676714,-1.0,
rs11218343-<b>T</b>,1e-14,alzheimer disease,SORL1,11:121564878,0.972722091034932,
rs610932-<b>?</b>,2e-14,alzheimer disease,MS4A6A,11:60171834,-1.0,
rs610932-<b>?</b>,2e-14,alzheimer disease,LINC02705,11:60171834,-1.0,
rs143332484-<b>T</b>,2e-14,late-onset alzheimers disease,TREM2,6:41161469,0.0096997193730383,
rs6656401-<b>?</b>,2e-14,alzheimer disease,CR1,1:207518704,-1.0,Brain_Cortex&Adipose_Subcutaneous&Lung&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Frontal_Cortex_BA9&Esophagus_Muscularis&Brain_Putamen_basal_ganglia&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs584007-<b>?</b>,3e-14,alzheimer disease,APOE,19:44913221,-1.0,
rs584007-<b>?</b>,3e-14,alzheimer disease,APOC1,19:44913221,-1.0,
rs71352239-<b>C</b>,3e-14,alzheimer disease,APOC1,19:44926286,0.7016140157263071,
rs71352239-<b>C</b>,3e-14,alzheimer disease,APOC1P1,19:44926286,0.7016140157263071,
rs1846190-<b>?</b>,3e-14,late-onset alzheimers disease,HLA-DRB1,6:32616036,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs1846190-<b>?</b>,3e-14,late-onset alzheimers disease,HLA-DQA1,6:32616036,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs10405693-<b>?</b>,3e-14,alzheimer disease,NECTIN2,19:44823407,-1.0,
rs10405693-<b>?</b>,3e-14,alzheimer disease,BCAM,19:44823407,-1.0,
rs744373-<b>?</b>,3e-14,alzheimer disease,BIN1,2:127137039,-1.0,Esophagus_Muscularis&Artery_Aorta
rs744373-<b>?</b>,3e-14,alzheimer disease,NIFKP9,2:127137039,-1.0,Esophagus_Muscularis&Artery_Aorta
rs3818361-<b>?</b>,4e-14,alzheimer disease,CR1,1:207611623,-1.0,Brain_Cortex&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Putamen_basal_ganglia&Esophagus_Muscularis&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs138607350-<b>G</b>,6e-14,alzheimer disease,NECTIN2,19:44860563,0.01037106524911403,
rs439401-<b>?</b>,6e-14,alzheimer disease,APOE,19:44911194,-1.0,
rs439401-<b>?</b>,6e-14,alzheimer disease,APOC1,19:44911194,-1.0,
rs10402271-<b>?</b>,7e-14,alzheimer disease,BCAM,19:44825957,-1.0,
rs10402271-<b>?</b>,7e-14,alzheimer disease,NECTIN2,19:44825957,-1.0,
rs28834970-<b>C</b>,7e-14,alzheimer disease,PTK2B,8:27337604,0.31596057046979864,Whole_Blood&Lung
rs405697-<b>?</b>,1e-13,alzheimer disease,TOMM40,19:44901434,-1.0,
rs11771145-<b>G</b>,1e-13,alzheimer disease,EPHA1-AS1,7:143413669,0.6483950225419833,Whole_Blood&Adipose_Subcutaneous&Lung&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Adipose_Visceral_Omentum&Spleen&Esophagus_Mucosa
rs11218343-<b>?</b>,1e-13,late-onset alzheimers disease,SORL1,11:121564878,-1.0,
rs114812713-<b>C</b>,2e-13,late-onset alzheimers disease,OARD1,6:41066261,0.004183873071071507,
rs79832570-<b>C</b>,4e-13,alzheimer disease,SPATC1,8:144042819,0.07599388379204892,Lung&Testis&Artery_Tibial&Esophagus_Muscularis&Nerve_Tibial&Thyroid&Esophagus_Mucosa
rs7935829-<b>G</b>,8e-13,alzheimer disease,MS4A6A,11:60175342,0.3587936403868218,
rs983392-<b>?</b>,9.000000000000001e-13,alzheimer disease,LINC02705,11:60156035,-1.0,
rs983392-<b>?</b>,9.000000000000001e-13,alzheimer disease,MS4A2,11:60156035,-1.0,
rs112724034-<b>?</b>,9.000000000000001e-13,alzheimer disease,PGAM5P1,5:109885325,-1.0,
rs2927468-<b>A</b>,1e-12,alzheimer disease,NECTIN2,19:44854682,0.495076760190577,
rs111371860-<b>A</b>,1e-12,alzheimer disease,NECTIN2,19:44842530,0.9419737399407032,
rs111371860-<b>A</b>,1e-12,alzheimer disease,BCAM,19:44842530,0.9419737399407032,
rs9271192-<b>C</b>,2.9999999999999997e-12,alzheimer disease,HLA-DRB1,6:32610753,0.27091785594959666,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Kidney_Cortex&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs9271192-<b>C</b>,2.9999999999999997e-12,alzheimer disease,HLA-DQA1,6:32610753,0.27091785594959666,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Kidney_Cortex&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs4504245-<b>?</b>,5.0000000000000005e-12,late-onset alzheimers disease,MIR572,4:11013198,-1.0,
rs4504245-<b>?</b>,5.0000000000000005e-12,late-onset alzheimers disease,LINC02498,4:11013198,-1.0,
rs12444183-<b>A</b>,7e-12,alzheimer disease,PLCG2,16:81739604,0.3935240700289735,
rs117618017-<b>?</b>,7e-12,late-onset alzheimers disease,APH1B,15:63277703,-1.0,
rs4938933-<b>?</b>,8e-12,alzheimer disease,MS4A4A,11:60266956,-1.0,
rs4351014-<b>C</b>,9e-12,alzheimer disease,UNKNOWN,4:11025995,0.7183153880663975,
rs72832584-<b>?</b>,1.0000000000000001e-11,alzheimer disease,BCAS3,17:61215075,-1.0,
rs141441332-<b>A</b>,1.0000000000000001e-11,alzheimer disease,APOC1P1,19:44935318,0.011854867680517306,
rs141441332-<b>A</b>,1.0000000000000001e-11,alzheimer disease,APOC4,19:44935318,0.011854867680517306,
rs2154481-<b>C</b>,1.0000000000000001e-11,alzheimer disease,APP,21:26101558,0.5044135669570402,
rs7920721-<b>G</b>,2.0000000000000002e-11,late-onset alzheimers disease,ECHDC3,10:11678309,0.36511280730057066,
rs7920721-<b>G</b>,2.0000000000000002e-11,late-onset alzheimers disease,USP6NL-AS1,10:11678309,0.36511280730057066,
rs11763230-<b>T</b>,3e-11,alzheimer disease,EPHA1-AS1,7:143411748,0.20866396014024727,Whole_Blood&Adipose_Subcutaneous&Testis&Thyroid&Adipose_Visceral_Omentum&Esophagus_Mucosa
rs2967668-<b>A</b>,3e-11,alzheimer disease,CBLC,19:44799694,0.8461165048543691,
rs1562990-<b>?</b>,4.0000000000000004e-11,alzheimer disease,MS4A4A,11:60255614,-1.0,
rs10948363-<b>G</b>,5e-11,alzheimer disease,CD2AP,6:47520026,0.2459626677852349,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Kidney_Cortex&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs3935067-<b>?</b>,5e-11,late-onset alzheimers disease,EPHA1,7:143407238,-1.0,Whole_Blood&Adipose_Subcutaneous&Lung&Nerve_Tibial&Adipose_Visceral_Omentum&Spleen&Esophagus_Mucosa
rs983392-<b>G</b>,5e-11,alzheimer disease,LINC02705,11:60156035,0.3358390682901006,
rs983392-<b>G</b>,5e-11,alzheimer disease,MS4A2,11:60156035,0.3358390682901006,
rs11218343-<b>C</b>,6e-11,alzheimer disease,SORL1,11:121564878,0.02727790896506799,
rs7561528-<b>?</b>,6e-11,alzheimer disease,BIN1,2:127132061,-1.0,Colon_Sigmoid&Esophagus_Muscularis&Pancreas
rs7561528-<b>?</b>,6e-11,alzheimer disease,NIFKP9,2:127132061,-1.0,Colon_Sigmoid&Esophagus_Muscularis&Pancreas
rs58370486-<b>?</b>,6e-11,alzheimer disease,BZW2,7:16668236,-1.0,
rs11023139-<b>?</b>,6.999999999999999e-11,alzheimer disease,SPON1,11:14202800,-1.0,
rs7146179-<b>?</b>,6.999999999999999e-11,late-onset alzheimers disease,GNPNAT1,14:52832135,-1.0,
rs7146179-<b>?</b>,6.999999999999999e-11,late-onset alzheimers disease,FERMT2,14:52832135,-1.0,
rs394819-<b>T</b>,8.000000000000001e-11,alzheimer disease,TOMM40,19:44901322,0.004825153055930269,
rs8103315-<b>A</b>,8.000000000000001e-11,alzheimer disease,BCL3,19:44750911,0.11016362219721236,
rs144261139-<b>A</b>,1e-10,alzheimer disease,NECTIN2,19:44882099,0.008502917318912766,
rs79638902-<b>T</b>,1e-10,alzheimer disease,CEACAM16-AS1,19:44718495,0.11995505197115836,
rs2373115-<b>G</b>,1e-10,alzheimer disease,GAB2,11:78380104,-1.0,
"rs7081208-<b>A</b>, rs17314229-<b>C</b>, rs2446581-<b>A</b>",1e-10,alzheimer disease,FRMD4A; No mapped genes; No mapped genes,10:13949865,0.2405723104701949,
rs72835061-<b>A</b>,2e-10,alzheimer disease,CHRNE,17:4902142,0.048753623188405794,
rs72835061-<b>A</b>,2e-10,alzheimer disease,C17orf107,17:4902142,0.048753623188405794,
rs11754661-<b>A</b>,2e-10,alzheimer disease,MTHFD1L,6:150885942,0.06158340233692153,Pituitary
rs1354106-<b>?</b>,2e-10,late-onset alzheimers disease,CD33,19:51234736,-1.0,
rs12989701-<b>?</b>,3e-10,alzheimer disease,BIN1,2:127130409,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Testis&Heart_Left_Ventricle&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Liver&Colon_Sigmoid&Skin_Sun_Exposed_Lower_leg&Pituitary&Thyroid&Pancreas&Esophagus_Mucosa
