variant_and_allele,p_value,trait,gene,location,af,tissues
rs144447022-<b>G</b>,2e-28,schizophrenia,OR14J1,6:29276442,0.9283748014822656,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs144447022-<b>G</b>,2e-28,schizophrenia,OR2U2P,6:29276442,0.9283748014822656,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs33932084-<b>?</b>,2.9999999999999996e-28,schizophrenia,PGBD1,6:28301047,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum
rs144447022-<b>?</b>,9e-28,schizophrenia,OR14J1,6:29276442,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs144447022-<b>?</b>,9e-28,schizophrenia,OR2U2P,6:29276442,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs115329265-<b>?</b>,1e-27,schizophrenia,NOP56P1,6:28744470,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs115329265-<b>?</b>,1e-27,schizophrenia,RPSAP2,6:28744470,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs75782365-<b>?</b>,2e-27,schizophrenia,BTN3A1,6:26408323,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs34706883-<b>A</b>,5e-27,schizophrenia,H2BC15,6:27837477,0.929673174414842,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs34706883-<b>A</b>,5e-27,schizophrenia,H4C12,6:27837477,0.929673174414842,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs41266839-<b>G</b>,6.999999999999999e-27,schizophrenia,BTN3A1,6:26409662,0.9324732436155558,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs55834529-<b>A</b>,9.000000000000002e-27,schizophrenia,UNKNOWN,Mapping not available,0.9348097967691504,
rs34706883-<b>?</b>,2e-26,schizophrenia,H2BC15,6:27837477,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs34706883-<b>?</b>,2e-26,schizophrenia,H4C12,6:27837477,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs116757206-<b>G</b>,1e-25,schizophrenia,OR2AD1P,6:29015497,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs116757206-<b>G</b>,1e-25,schizophrenia,ZNF311,6:29015497,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs75970938-<b>?</b>,2e-25,schizophrenia,CNNM2,10:103033891,-1.0,
rs114071887-<b>G</b>,6.9999999999999995e-25,schizophrenia,OR5V1,6:29374998,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs114071887-<b>G</b>,6.9999999999999995e-25,schizophrenia,OR12D3,6:29374998,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs1716180-<b>?</b>,2e-23,schizophrenia,MPHOSPH9,12:123197534,-1.0,
rs17720293-<b>C</b>,3e-23,schizophrenia,ZKSCAN4,6:28246920,0.9107217249693864,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Brain_Substantia_nigra&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs182812355-<b>A</b>,7e-23,schizophrenia,TRIM27,6:28913267,-1.0,
rs7746199-<b>?</b>,7e-23,schizophrenia,POM121L2,6:27293545,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum
rs9467711-<b>A</b>,1.9999999999999999e-22,schizophrenia,BTN3A2,6:26332377,0.8598508746773731,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
