variant_and_allele,p_value,trait,gene,location,af,tissues
rs7107356-<b>A</b>,5.0000000000000005e-12,neurotic disorder,AGBL2,11:47654618,0.5360590258515477,
rs7107356-<b>A</b>,5.0000000000000005e-12,neurotic disorder,MTCH2,11:47654618,0.5360590258515477,
rs2042555-<b>A</b>,5.0000000000000005e-12,neurotic disorder,ACVR2A,2:147797920,0.393889400450174,Brain_Cortex&Whole_Blood&Testis&Artery_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Artery_Aorta&Cells_Cultured_fibroblasts&Esophagus_Mucosa
rs2042555-<b>A</b>,5.0000000000000005e-12,neurotic disorder,RNA5SP106,2:147797920,0.393889400450174,Brain_Cortex&Whole_Blood&Testis&Artery_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Artery_Aorta&Cells_Cultured_fibroblasts&Esophagus_Mucosa
rs11090045-<b>A</b>,1.0000000000000001e-11,neurotic disorder,ZC3H7B,22:41357599,0.13540309740917644,
rs10959883-<b>C</b>,3e-11,anxiety disorder,UNKNOWN,9:11519984,0.16781365802011647,
rs10896636-<b>G</b>,3e-11,neurotic disorder,ZDHHC5,11:57680560,0.30375860243515085,
rs2071754-<b>C</b>,4.0000000000000004e-11,neurotic disorder,PAX6,11:31791034,0.22306313387910048,
rs4140799-<b>G</b>,4.0000000000000004e-11,neurotic disorder,SIPA1L1,14:71704252,0.3957532491305144,
rs13226841-<b>C</b>,6e-11,neurotic disorder,GRM8,7:126749354,0.418567668348322,Thyroid
rs7845515-<b>A</b>,6.999999999999999e-11,neurotic disorder,SNORA70,8:5088706,0.238484155504737,
rs7845515-<b>A</b>,6.999999999999999e-11,neurotic disorder,CSMD1,8:5088706,0.238484155504737,
rs56084168-<b>T</b>,1e-10,neurotic disorder,AATK,17:81110774,0.15128664838641634,
rs56084168-<b>T</b>,1e-10,neurotic disorder,BAIAP2,17:81110774,0.15128664838641634,
rs4413518-<b>A</b>,1e-10,neurotic disorder,FBXL17,5:108402300,0.11630734316745014,Muscle_Skeletal&Artery_Tibial
rs11509880-<b>A</b>,2e-10,neurotic disorder,TMEM106B,7:12222285,0.39510524725551416,Heart_Left_Ventricle&Stomach&Whole_Blood&Brain_Cerebellum
rs56403421-<b>C</b>,4e-10,neurotic disorder,LINC01929,18:55098052,0.28364213869772364,
rs56403421-<b>C</b>,4e-10,neurotic disorder,CCDC68,18:55098052,0.28364213869772364,
rs1542212-<b>G</b>,4e-10,neurotic disorder,ARPP21,3:35642443,0.3844421837911156,Artery_Tibial&Artery_Aorta&Liver&Artery_Coronary
rs3741475-<b>A</b>,4e-10,neurotic disorder,NOS1,12:117232109,0.21610242457638792,
rs2278609-<b>C</b>,6e-10,neurotic disorder,PLCL2,3:16882947,0.221874789859458,Skin_Sun_Exposed_Lower_leg&Artery_Tibial&Cells_Cultured_fibroblasts&Whole_Blood
rs11608355-<b>C</b>,7.000000000000001e-10,neurotic disorder,MYO1H,12:109441487,0.3253369704749679,
rs1002656-<b>C</b>,8e-10,neurotic disorder,GRIK3,1:36727140,0.3353542904355353,
rs1002656-<b>C</b>,8e-10,neurotic disorder,FTLP18,1:36727140,0.3353542904355353,
rs10935184-<b>C</b>,1e-09,neurotic disorder,STAG1,3:136434626,0.3950297872340425,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs2210903-<b>G</b>,1e-09,neurotic disorder,SNRPFP3,13:69002843,0.4316314158695945,
rs2210903-<b>G</b>,1e-09,neurotic disorder,ZDHHC20P4,13:69002843,0.4316314158695945,
rs12903563-<b>T</b>,1e-09,neurotic disorder,LINGO1,15:77741393,0.4831723734269827,
rs274632-<b>A</b>,2e-09,neurotic disorder,GRM3,7:86639865,0.4105876124933828,Brain_Cerebellar_Hemisphere&Brain_Cerebellum
rs1033962-<b>A</b>,2e-09,post-traumatic stress disorder,PRTFDC1,10:24927877,-1.0,
rs12938775-<b>G</b>,2e-09,neurotic disorder,PAFAH1B1,17:2671527,0.5079331727087653,
rs28377268-<b>T</b>,2e-09,neurotic disorder,PTCH1,9:95462774,0.06986190089358245,Whole_Blood&Lung&Cells_Cultured_fibroblasts&Artery_Aorta&Spleen
rs8097041-<b>A</b>,3.0000000000000004e-09,neurotic disorder,DCC,18:53371847,0.39745897300158817,
rs6812849-<b>?</b>,3.0000000000000004e-09,post-traumatic stress disorder,TLL1,4:165951384,-1.0,
rs34517852-<b>A</b>,3.0000000000000004e-09,post-traumatic stress disorder,TMEM242-DT,6:157368301,0.3834233261339093,Esophagus_Muscularis
rs34517852-<b>A</b>,3.0000000000000004e-09,post-traumatic stress disorder,ZDHHC14,6:157368301,0.3834233261339093,Esophagus_Muscularis
rs2861139-<b>C</b>,3.0000000000000004e-09,anxiety disorder,LINC01938,5:165166549,0.5041854185418542,
rs6743916-<b>A</b>,3.0000000000000004e-09,neurotic disorder,LINC01122,2:58477314,0.30435483870967744,Testis
rs34796300-<b>T</b>,3.0000000000000004e-09,neurotic disorder,ARNTL,11:13293658,0.526945473795659,
rs2148254-<b>G</b>,4e-09,neurotic disorder,HIVEP1,6:11994529,0.7142729065805989,Heart_Atrial_Appendage&Artery_Tibial
rs12579350-<b>?</b>,4e-09,panic disorder,ANO2,12:5687935,-1.0,
rs10032297-<b>A</b>,4e-09,neurotic disorder,LINC00616,4:138092247,0.3675489677077819,Testis
rs10032297-<b>A</b>,4e-09,neurotic disorder,SLC7A11-AS1,4:138092247,0.3675489677077819,Testis
rs4977844-<b>C</b>,4e-09,neurotic disorder,UNKNOWN,9:23295901,0.5558473035750353,
rs7696796-<b>A</b>,5e-09,neurotic disorder,TENM3,4:182245316,0.2765066482472803,
rs2380937-<b>C</b>,5e-09,neurotic disorder,GLIS3,9:4145781,0.36564319745897295,
rs1187280-<b>G</b>,7.0000000000000015e-09,anxiety disorder,NTRK2,9:84801910,0.8130059553140266,Brain_Nucleus_accumbens_basal_ganglia
rs297343-<b>T</b>,7.0000000000000015e-09,neurotic disorder,SOX6,11:16333107,0.3703546850185283,
rs12145171-<b>C</b>,7.0000000000000015e-09,neurotic disorder,DNM3,1:171874109,0.43754152823920267,Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Testis&Nerve_Tibial&Brain_Cerebellum&Adipose_Visceral_Omentum
rs13102162-<b>G</b>,7.0000000000000015e-09,neurotic disorder,MMRN1,4:90018416,0.3015983321751216,Adipose_Visceral_Omentum
rs1028321-<b>A</b>,7.0000000000000015e-09,neurotic disorder,RPS19BP1,22:39530924,0.2888570360214384,
rs674437-<b>G</b>,9.000000000000001e-09,neurotic disorder,GRM5,11:88956785,0.7403574788334901,
rs35982947-<b>C</b>,1e-08,neurotic disorder,MED24,17:40058022,0.3084870848708487,
rs6976111-<b>A</b>,1e-08,neurotic disorder,CTTNBP2,7:117855613,0.1840848433768788,Skin_Sun_Exposed_Lower_leg&Cells_Cultured_fibroblasts
rs7869969-<b>G</b>,1e-08,neurotic disorder,FAM120A,9:93455165,0.3117522498676548,Skin_Not_Sun_Exposed_Suprapubic&Brain_Anterior_cingulate_cortex_BA24&Colon_Transverse&Thyroid&Breast_Mammary_Tissue&Adipose_Visceral_Omentum&Esophagus_Mucosa
rs406001-<b>?</b>,2e-08,post-traumatic stress disorder,UNKNOWN,7:51938719,-1.0,
rs73167875-<b>A</b>,2e-08,neurotic disorder,SEMA3E,7:83309780,0.1551614610905241,
rs1709393-<b>C</b>,2e-08,anxiety disorder,LINC02085,3:101980310,0.424534771359995,
rs9952522-<b>C</b>,2e-08,neurotic disorder,ASXL3,18:33706165,0.3389414441384265,
rs57838764-<b>C</b>,3.0000000000000004e-08,neurotic disorder,RASSF1,3:50337137,0.14807236700409218,Artery_Tibial&Brain_Cerebellar_Hemisphere&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Stomach&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum
rs4561025-<b>A</b>,3.0000000000000004e-08,neurotic disorder,LINC02609,1:90798200,0.3246691371095818,Esophagus_Muscularis
rs115539978-<b>T</b>,3.0000000000000004e-08,post-traumatic stress disorder,MIR5007,13:55185074,0.0180998613037448,
rs2094580-<b>G</b>,3.0000000000000004e-08,neurotic disorder,TLR4,9:117728579,0.3439554881133029,Spleen&Whole_Blood
rs6916891-<b>T</b>,3.0000000000000004e-08,neurotic disorder,MIR2113,6:98009719,0.05674808783617074,
rs7772160-<b>C</b>,3.0000000000000004e-08,neurotic disorder,ZNF184,6:27444607,0.4430037620073779,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Uterus&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs7772160-<b>C</b>,3.0000000000000004e-08,neurotic disorder,MCFD2P1,6:27444607,0.4430037620073779,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Uterus&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs10497655-<b>C</b>,3.0000000000000004e-08,neurotic disorder,MIR548AE1,2:184597314,0.28471100224110074,Artery_Tibial&Cells_Cultured_fibroblasts
rs10497655-<b>C</b>,3.0000000000000004e-08,neurotic disorder,ZNF804A,2:184597314,0.28471100224110074,Artery_Tibial&Cells_Cultured_fibroblasts
rs12466146-<b>T</b>,4e-08,neurotic disorder,MYCNOS,2:15937077,0.5043938591847539,
rs4855559-<b>T</b>,4e-08,anxiety disorder,MYH15,3:108396189,0.27810807489815403,Skin_Not_Sun_Exposed_Suprapubic&Lung&Colon_Transverse&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg
rs56226325-<b>T</b>,4e-08,neurotic disorder,MAD1L1,7:2039346,0.10077364810974636,Brain_Nucleus_accumbens_basal_ganglia
rs142174523-<b>G</b>,4e-08,post-traumatic stress disorder,LINC02571,6:31326513,0.6738324060023605,
rs142174523-<b>G</b>,4e-08,post-traumatic stress disorder,HLA-B,6:31326513,0.6738324060023605,
rs148757321-<b>CTGTG</b>,4e-08,post-traumatic stress disorder,KAZN,1:15109728,-1.0,
rs9364611-<b>C</b>,4e-08,post-traumatic stress disorder,PRKN,6:161742474,0.8758602435150874,
rs836927-<b>A</b>,4e-08,neurotic disorder,LINC01990,3:107482581,0.3900112233445567,Brain_Caudate_basal_ganglia&Brain_Putamen_basal_ganglia&Brain_Nucleus_accumbens_basal_ganglia
rs836927-<b>A</b>,4e-08,neurotic disorder,BBX,3:107482581,0.3900112233445567,Brain_Caudate_basal_ganglia&Brain_Putamen_basal_ganglia&Brain_Nucleus_accumbens_basal_ganglia
rs7567451-<b>G</b>,4e-08,neurotic disorder,LINC01876,2:156196868,0.293317344703026,
rs577242570-<b>G</b>,5e-08,acute stress reaction,LIN28AP1,2:183542373,0.0008499787505312367,
rs577242570-<b>G</b>,5e-08,acute stress reaction,CACYBPP2,2:183542373,0.0008499787505312367,
rs860554-<b>?</b>,5e-08,panic disorder,PKP1,1:201293304,-1.0,Muscle_Skeletal&Cells_Cultured_fibroblasts&Adipose_Subcutaneous
rs3807866-<b>A</b>,5e-08,anxiety disorder,TMEM106B,7:12210752,0.4154870940882598,Heart_Atrial_Appendage&Brain_Cortex&Whole_Blood&Cells_EBV-transformed_lymphocytes&Heart_Left_Ventricle&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Adrenal_Gland&Pancreas&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa
rs12635725-<b>?</b>,6.000000000000001e-08,obsessive-compulsive disorder,RPL21P17,3:1895465,-1.0,
rs159572-<b>A</b>,6.000000000000001e-08,post-traumatic stress disorder,ANKRD55,5:56211219,0.731236712850964,
rs3816995-<b>?</b>,2e-07,panic disorder,SDK2,17:73339121,-1.0,
rs2315551-<b>?</b>,2e-07,post-traumatic stress disorder,PRKN,6:161713962,-1.0,
rs518152-<b>G</b>,3e-07,post-traumatic stress disorder,KAZN,1:15107763,0.8364548996104285,Brain_Cerebellar_Hemisphere
rs9302001-<b>?</b>,3e-07,panic disorder,SOX21-AS1,13:94811138,-1.0,
rs12536521-<b>?</b>,3e-07,obsessive-compulsive disorder,FLNC,7:89349373,-1.0,
rs12536521-<b>?</b>,3e-07,obsessive-compulsive disorder,ZNF804B,7:89349373,-1.0,
rs9458519-<b>?</b>,3e-07,post-traumatic stress disorder,PRKN,6:162318277,-1.0,
rs144783209-<b>T</b>,3e-07,panic disorder,SMAD1,4:145482377,0.008243844234732617,
rs7528604-<b>?</b>,3e-07,anxiety disorder,PDE4B,1:65941669,-1.0,
rs9491140-<b>?</b>,3e-07,neurotic disorder,NKAIN2,6:124370091,-1.0,
rs941184-<b>?</b>,3e-07,panic disorder,CALCOCO1,12:53720374,-1.0,
rs77235638-<b>?</b>,4e-07,post-traumatic stress disorder,ABCA9-AS1,17:68961182,-1.0,
rs4401971-<b>?</b>,4e-07,obsessive-compulsive disorder,UNKNOWN,9:11890045,-1.0,
rs9372078-<b>?</b>,5e-07,panic disorder,PLEKHG1,6:150592825,-1.0,
rs297941-<b>?</b>,5e-07,obsessive-compulsive disorder,LINC02395,12:49925303,-1.0,
rs263232-<b>?</b>,6e-07,post-traumatic stress disorder,ADCY8,8:130795923,-1.0,
rs3747767-<b>A</b>,7e-07,obsessive-compulsive disorder,SH3BGRL2,6:79547564,0.05655189395493905,Testis
rs3747767-<b>A</b>,7e-07,obsessive-compulsive disorder,LCA5,6:79547564,0.05655189395493905,Testis
rs17466684-<b>?</b>,7e-07,panic disorder,GULOP,8:27595330,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Skin_Sun_Exposed_Lower_leg&Whole_Blood&Cells_Cultured_fibroblasts
rs17466684-<b>?</b>,7e-07,panic disorder,CLU,8:27595330,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Skin_Sun_Exposed_Lower_leg&Whole_Blood&Cells_Cultured_fibroblasts
rs12883384-<b>?</b>,7e-07,neurotic disorder,MDGA2,14:46934481,-1.0,
rs16904179-<b>?</b>,7e-07,post-traumatic stress disorder,CYRIB,8:129946705,-1.0,
rs4511180-<b>A</b>,8e-07,post-traumatic stress disorder,PTPRVP,1:202180311,0.3672746221990621,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Lung&Testis&Thyroid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs2364841-<b>?</b>,8e-07,obsessive-compulsive disorder,ADCK1,14:77817693,-1.0,
rs1755715-<b>?</b>,9.000000000000001e-07,obsessive-compulsive disorder,GPR135,14:59440374,-1.0,
rs58649573-<b>T</b>,9.000000000000001e-07,post-traumatic stress disorder,LHX2,9:124005148,-1.0,
rs4692589-<b>C</b>,9.000000000000001e-07,anxiety disorder,MFAP3L,4:170014094,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Brain_Cerebellum&Adipose_Subcutaneous&Heart_Left_Ventricle&Artery_Tibial&Esophagus_Muscularis&Brain_Cerebellar_Hemisphere&Nerve_Tibial&Colon_Sigmoid&Thyroid&Cells_Cultured_fibroblasts&Artery_Aorta&Brain_Hypothalamus&Muscle_Skeletal
rs58910976-<b>?</b>,1e-06,post-traumatic stress disorder,CSMD1,8:3695151,-1.0,
rs3100127-<b>A</b>,1e-06,post-traumatic stress disorder,PTPRVP,1:202191842,0.16463022508038586,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Lung&Testis&Nerve_Tibial&Thyroid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs3100127-<b>A</b>,1e-06,post-traumatic stress disorder,LGR6,1:202191842,0.16463022508038586,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Lung&Testis&Nerve_Tibial&Thyroid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs682457-<b>?</b>,1e-06,post-traumatic stress disorder,CTSC,11:88216364,-1.0,
rs682457-<b>?</b>,1e-06,post-traumatic stress disorder,MIR3166,11:88216364,-1.0,
rs10893268-<b>T</b>,1e-06,anxiety disorder,OR8A1,11:124568716,0.3772297727755362,
rs4965121-<b>?</b>,1e-06,neurotic disorder,LINC02251,15:97975562,-1.0,
rs4965121-<b>?</b>,1e-06,neurotic disorder,ARRDC4,15:97975562,-1.0,
rs28696717-<b>?</b>,1e-06,obsessive-compulsive disorder,RN7SL44P,1:153493087,-1.0,Skin_Sun_Exposed_Lower_leg
rs28696717-<b>?</b>,1e-06,obsessive-compulsive disorder,S100A7,1:153493087,-1.0,Skin_Sun_Exposed_Lower_leg
rs1518395-<b>?</b>,1e-06,neurotic disorder,VRK2,2:57980939,-1.0,Brain_Cerebellum
rs12061304-<b>?</b>,1e-06,panic disorder,KCNA3,1:110695063,-1.0,
rs12061304-<b>?</b>,1e-06,panic disorder,Y_RNA,1:110695063,-1.0,
rs7866350-<b>?</b>,1e-06,post-traumatic stress disorder,TBC1D2,9:98221544,-1.0,Brain_Cortex&Lung&Artery_Tibial&Esophagus_Muscularis&Brain_Cerebellar_Hemisphere&Nerve_Tibial&Thyroid&Cells_Cultured_fibroblasts&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa
rs12769537-<b>?</b>,2e-06,obsessive-compulsive disorder,NHLRC2,10:113985179,-1.0,
rs12769537-<b>?</b>,2e-06,obsessive-compulsive disorder,ADRB1,10:113985179,-1.0,
rs10457838-<b>C</b>,2e-06,post-traumatic stress disorder,UST,6:149036411,0.7540497617787189,Cells_Cultured_fibroblasts
rs2084346-<b>?</b>,2e-06,post-traumatic stress disorder,MIR7154,11:45729530,-1.0,
rs2084346-<b>?</b>,2e-06,post-traumatic stress disorder,LINC02690,11:45729530,-1.0,
rs2779551-<b>?</b>,2e-06,post-traumatic stress disorder,GABBR2,9:98490944,-1.0,
rs79919349-<b>A</b>,2e-06,panic disorder,RNU6-929P,20:56707790,0.014716781365802012,
rs79919349-<b>A</b>,2e-06,panic disorder,PTMAP6,20:56707790,0.014716781365802012,
rs7014900-<b>?</b>,2e-06,post-traumatic stress disorder,UNKNOWN,8:114566078,-1.0,
rs12232346-<b>?</b>,2e-06,post-traumatic stress disorder,ACTC1,15:34768262,-1.0,
rs12232346-<b>?</b>,2e-06,post-traumatic stress disorder,GJD2,15:34768262,-1.0,
rs76983293-<b>?</b>,2e-06,obsessive-compulsive disorder,LINC00702,10:4174671,-1.0,
rs4955793-<b>?</b>,2e-06,post-traumatic stress disorder,ZMAT3,3:179064233,-1.0,Breast_Mammary_Tissue
rs702543-<b>A</b>,2e-06,neurotic disorder,PDE4D,5:59546948,-1.0,
rs7158872-<b>?</b>,2e-06,post-traumatic stress disorder,UNKNOWN,14:48957639,-1.0,
rs1844437-<b>C</b>,2e-06,obsessive-compulsive disorder,LINC02101,5:58025127,0.17382724402345512,
rs6876547-<b>?</b>,2e-06,obsessive-compulsive disorder,UNKNOWN,5:25572192,-1.0,
rs12153327-<b>C</b>,2e-06,anxiety disorder,UNKNOWN,5:101365896,0.4811142964376692,
rs3749380-<b>?</b>,2e-06,panic disorder,GRM7,3:6861610,-1.0,
rs75502311-<b>?</b>,3e-06,obsessive-compulsive disorder,LMO7,13:75856884,-1.0,
