"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2240917-<b>T</b>,"5 x 10-8",,0.613,1.08872,'-,'-,ITIH4,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,3:52817121
rs1850-<b>C</b>,"6 x 10-8",,0.347,1.0911194,'-,[NR],KCNG1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,20:51003734
rs9295358-<b>A</b>,"7 x 10-8",,0.719,1.09527,'-,'-,RPS6KA2,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,6:166646138
rs4794820-<b>G</b>,"1 x 10-7",,0.55,1.0867556,'-,[NR],LRRC3C,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,17:39933091
rs6848834-<b>T</b>,"1 x 10-7",,0.328,1.08839,'-,'-,IL21,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,4:122588558
rs10147900-<b>T</b>,"2 x 10-7",,0.138,1.16137,'-,'-,"LINC02280, TMEM179","Bipolar I disorder","bipolar I disorder",'-,GCST008115,14:104625694
rs57681866-<b>G</b>,"2 x 10-7",,0.9384,1.1913697,'-,[NR],ACTG1P22,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,2:57748579
rs10092482-<b>T</b>,"2 x 10-7",,0.178,1.1055,'-,'-,RRS1-AS1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,8:66342488
rs2052387-<b>A</b>,"2 x 10-7",,0.357,1.08546,'-,'-,"RPSAP12, LINC02384","Bipolar I disorder","bipolar I disorder",'-,GCST008115,12:68483007
rs10058613-<b>C</b>,"2 x 10-7",,0.31599999999999995,1.0936253,'-,[NR],KDM3B,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,5:138358306
rs11972012-<b>G</b>,"2 x 10-7",,0.75,1.1122727,'-,[NR],"MYO1G, PURB","Bipolar I disorder","bipolar I disorder",'-,GCST008115,7:44946070
rs13231398-<b>G</b>,"2 x 10-7",,0.889,1.1363249,'-,[NR],'-,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,7:110557355
rs1948223-<b>C</b>,"6 x 10-7",,0.33899999999999997,1.0842576,'-,[NR],LINC01378,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,4:117624232
rs7613933-<b>G</b>,"7 x 10-7",,0.507,1.0792842,'-,[NR],WDR49,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,3:167586401
rs6079463-<b>G</b>,"8 x 10-7",,0.19499999999999995,1.0970205,'-,[NR],MACROD2,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,20:14495111
rs998817-<b>T</b>,"8 x 10-7",,0.507,1.07735,'-,'-,LINC01378,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,4:117548415
rs115858175-<b>G</b>,"8 x 10-7",,0.16500000000000004,1.1046184,'-,[NR],LINC01221,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,1:199032122
rs111998037-<b>C</b>,"8 x 10-7",,0.248,1.0910003,'-,[NR],"ANKHD1-EIF4EBP3, ANKHD1","Bipolar I disorder","bipolar I disorder",'-,GCST008115,5:140418422
rs9521159-<b>G</b>,"8 x 10-7",,0.604,1.0793891,'-,[NR],MYO16,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,13:109076822
rs11917269-<b>G</b>,"9 x 10-7",,0.738,1.0916554,'-,[NR],CACNA2D2,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,3:50443604
rs7858026-<b>T</b>,"1 x 10-6",,0.476,1.0790745,'-,[NR],ASTN2,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,9:117186184
rs143685090-<b>C</b>,"1 x 10-6",,0.009000000000000008,1.56816,'-,[NR],RPSAP74,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,8:89152810
rs9371601-<b>T</b>,"1 x 10-6",,0.349,1.07983,'-,'-,SYNE1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,6:152469438
rs10917509-<b>T</b>,"8 x 10-10",,0.365,1.0767,'-,[1.05-1.1],HTR6,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,1:19665573
rs1510606-<b>G</b>,"3 x 10-8",,0.583,1.06983,'-,[1.05-1.09],NUTF2P8,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,2:21308394
rs2314398-<b>C</b>,"5 x 10-9",,0.667,1.07627,'-,[1.05-1.1],"CNNM4, LMAN2L","Bipolar I disorder","bipolar I disorder",'-,GCST012464,2:96747751
rs4676412-<b>G</b>,"3 x 10-8",,0.214,0.92515,'-,[0.9-0.95],"GPR35, CAPN10","Bipolar I disorder","bipolar I disorder",'-,GCST012464,2:240614075
rs735931-<b>A</b>,"1 x 10-8",,0.494,1.06983,'-,[1.05-1.09],ATP2B2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,3:10483412
rs9834970-<b>T</b>,"1 x 10-21",,0.523,0.89565,'-,[0.87-0.92],"LINC02033, HSPD1P6","Bipolar I disorder","bipolar I disorder",'-,GCST012464,3:36814539
rs7614498-<b>A</b>,"2 x 10-9",,0.568,1.07229,'-,[1.05-1.1],PBRM1,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,3:52584925
rs9831123-<b>C</b>,"2 x 10-9",,0.504,0.93351,'-,[0.91-0.96],CADM2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,3:85002999
rs112481526-<b>A</b>,"2 x 10-9",,0.741,0.92533,'-,[0.9-0.95],KIAA1109,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,4:122154852
rs78308718-<b>T</b>,"7 x 10-11",,0.773,0.9175,'-,[0.89-0.94],ADCY2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,5:7533872
rs11744542-<b>G</b>,"7 x 10-9",,0.723,0.92886,'-,[0.9-0.95],Y_RNA,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,5:79552534
rs10043984-<b>C</b>,"1 x 10-9",,0.765,0.92238,'-,[0.9-0.95],KDM3B,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,5:138376432
rs6875495-<b>C</b>,"1 x 10-8",,0.718,0.92617,'-,[0.9-0.95],"VTRNA1-3, PCDHA1","Bipolar I disorder","bipolar I disorder",'-,GCST012464,5:140727646
rs55706012-<b>A</b>,"1 x 10-9",,0.923,1.14843,'-,[1.1-1.19],"H2BC9, H3C8","Bipolar I disorder","bipolar I disorder",'-,GCST012464,6:26266083
rs12202969-<b>G</b>,"1 x 10-12",,0.515,0.92146,'-,[0.9-0.94],EIF4EBP2P3,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,6:98128347
rs10455979-<b>C</b>,"2 x 10-9",,0.496,0.93221,'-,[0.91-0.95],RPS6KA2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,6:166581772
rs12154473-<b>A</b>,"9 x 10-15",,0.406,0.91156,'-,[0.89-0.93],MAD1L1,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,7:1942546
rs113779084-<b>G</b>,"2 x 10-11",,0.693,0.91916,'-,[0.89-0.94],THSD7A,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,7:11832161
rs4722033-<b>G</b>,"1 x 10-8",,0.386,1.06919,'-,[1.05-1.09],SP4,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,7:21460210
rs7013693-<b>G</b>,"3 x 10-8",,0.83,0.9209,'-,[0.89-0.95],MSRA,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,8:10023626
rs6993953-<b>C</b>,"1 x 10-10",,0.618,0.92496,'-,[0.9-0.95],PLEC,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,8:143926153
rs11137399-<b>T</b>,"1 x 10-10",,0.64,0.91165,'-,[0.88-0.94],TUBBP5,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,9:138174172
rs4748468-<b>G</b>,"3 x 10-8",,0.884,1.11149,'-,[1.07-1.15],CACNB2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,10:18453325
rs61846516-<b>C</b>,"3 x 10-9",,0.938,0.86675,'-,[0.82-0.91],ANK3,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,10:60363680
rs2273738-<b>C</b>,"5 x 10-10",,0.869,0.90357,'-,[0.87-0.94],XPNPEP1,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,10:109888901
rs174592-<b>A</b>,"7 x 10-11",,0.599,0.92506,'-,[0.9-0.95],FADS2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,11:61851136
rs489337-<b>A</b>,"2 x 10-10",,0.234,0.91649,'-,[0.89-0.94],PACS1,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,11:66087090
rs7122539-<b>G</b>,"5 x 10-9",,0.653,1.0738,'-,[1.05-1.1],PC,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,11:66895260
rs12575685-<b>G</b>,"5 x 10-11",,0.669,0.921,'-,[0.9-0.95],SHANK2,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,11:70671822
rs11062170-<b>G</b>,"2 x 10-16",,0.665,0.90538,'-,[0.88-0.93],CACNA1C,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,12:2239678
rs12315174-<b>G</b>,"4 x 10-8",,0.774,0.92524,'-,[0.9-0.95],IFT81,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,12:110148473
rs3803277-<b>C</b>,"2 x 10-8",,0.537,1.06748,'-,[1.04-1.09],ALOX5AP,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,13:30744171
rs1924817-<b>A</b>,"4 x 10-8",,0.233,1.07929,'-,[1.05-1.11],B3GLCT,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,13:31269461
rs6495988-<b>C</b>,"1 x 10-9",,0.778,1.09286,'-,[1.06-1.12],LINC02694,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,15:38677344
rs1197546-<b>A</b>,"4 x 10-10",,0.129,1.11204,'-,[1.08-1.15],STARD9,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,15:42610048
rs28379895-<b>T</b>,"2 x 10-8",,0.495,0.93725,'-,[0.91-0.96],"INSYN1-AS1, TBC1D21","Bipolar I disorder","bipolar I disorder",'-,GCST012464,15:73856091
rs61074241-<b>C</b>,"2 x 10-10",,0.754,1.08817,'-,[1.06-1.11],ZNF592,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,15:84790165
rs11650008-<b>C</b>,"5 x 10-8",,0.533,1.06524,'-,[1.04-1.09],"PIGW, MYO19","Bipolar I disorder","bipolar I disorder",'-,GCST012464,17:36536882
rs228768-<b>G</b>,"2 x 10-9",,0.294,1.0781,'-,[1.05-1.1],HDAC5,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,17:44114525
rs7248205-<b>C</b>,"2 x 10-8",,0.34,0.93473,'-,[0.91-0.96],ILF3,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,19:10659629
rs112219496-<b>G</b>,"5 x 10-9",,0.857,0.91192,'-,[0.88-0.94],NCAN,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,19:19247277
rs6073621-<b>A</b>,"1 x 10-9",,0.674,1.07972,'-,[1.06-1.1],STK4,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,20:45066802
rs6032110-<b>A</b>,"2 x 10-8",,0.511,1.06705,'-,[1.04-1.09],RBPJL,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,20:45315683
rs237475-<b>T</b>,"2 x 10-11",,0.521,0.9257,'-,[0.9-0.95],KCNB1,"Bipolar I disorder","bipolar I disorder",'-,GCST012464,20:49432969
rs75928006-<b>?</b>,"9 x 10-8",,NR,2.58,'-,[1.86-3.60],"RNU6-751P, MIR522","Bipolar disorder (early vs late onset)","bipolar I disorder",'-,GCST011908,19:53751134
rs11127876-<b>?</b>,"5 x 10-8",,NR,2.39,'-,[1.73-3.31],CADM2,"Bipolar disorder (early vs late onset)","bipolar I disorder",'-,GCST011908,3:85075546
rs7914868-<b>?</b>,"7 x 10-7",,NR,2.1,'-,[1.59-2.76],CUBN,"Bipolar disorder (early vs late onset)","bipolar I disorder",'-,GCST011908,10:16931723
rs10106565-<b>?</b>,"1 x 10-7",,NR,2.31,'-,[1.68-3.16],"ERI1, RPL10P19","Bipolar disorder (early vs late onset)","bipolar I disorder",'-,GCST011908,8:8997522
"rs12568010-<b>A</b>, rs1125777-<b>C</b>, rs41453448-<b>G</b>","2 x 10-7",,NR,2.5,'-,[NR],"NFIA; No mapped genes; No mapped genes","Bipolar disorder","bipolar disorder",'-,GCST001647,1:61366266
"rs12568010-<b>A</b>, rs1125777-<b>C</b>","2 x 10-7",,NR,2.34,'-,[NR],"NFIA; No mapped genes","Bipolar disorder","bipolar disorder",'-,GCST001647,1:61366266
"rs7556462-<b>C</b>, rs17121983-<b>C</b>","4 x 10-7",,NR,2.26,'-,[NR],"NFIA; No mapped genes","Bipolar disorder","bipolar disorder",'-,GCST001647,1:61356147
"rs7556462-<b>C</b>, rs4915737-<b>C</b>","4 x 10-7",,NR,2.26,'-,[NR],"NFIA; No mapped genes","Bipolar disorder","bipolar disorder",'-,GCST001647,1:61356147
rs10237317-<b>?</b>,"5 x 10-6","(SM vs. Control)",NR,1.775,'-,[NR],AUTS2,"Bipolar disorder","bipolar disorder",'-,GCST001647,7:70580955
rs2245641-<b>?</b>,"2 x 10-6","(SM vs. Control)",NR,1.896,'-,[NR],"TTC39B, RPL7P33","Bipolar disorder","bipolar disorder",'-,GCST001647,9:15309930
rs9995093-<b>?</b>,"7 x 10-6","(NSM vs. Control)",NR,2.067,'-,[NR],PPM1K-DT,"Bipolar disorder","bipolar disorder",'-,GCST001647,4:88299792
rs3750552-<b>?</b>,"5 x 10-6","(NSM vs. Control)",NR,1.679,'-,[NR],FAM189A2,"Bipolar disorder","bipolar disorder",'-,GCST001647,9:69328086
rs7897194-<b>?</b>,"8 x 10-6","(NSM vs. Control)",NR,2.91,'-,[NR],MIR4675,"Bipolar disorder","bipolar disorder",'-,GCST001647,10:20503405
rs312273-<b>?</b>,"9 x 10-6","(NSM vs. Control)",NR,1.566,'-,[NR],CNTN1,"Bipolar disorder","bipolar disorder",'-,GCST001647,12:40853940
rs4467006-<b>?</b>,"7 x 10-6","(NSM vs. Control)",NR,1.593,'-,[NR],TMEM63C,"Bipolar disorder","bipolar disorder",'-,GCST001647,14:77218327
rs2287375-<b>?</b>,"5 x 10-6","(NSM vs. Control)",NR,1.606,'-,[NR],TMEM63C,"Bipolar disorder","bipolar disorder",'-,GCST001647,14:77218499
rs6510489-<b>?</b>,"8 x 10-6","(NSM vs. Control)",NR,1.92,'-,[NR],"KRTDAP, FFAR2","Bipolar disorder","bipolar disorder",'-,GCST001647,19:35482387
rs41350144-<b>T</b>,"3 x 10-7","(SM vs. NSM)",0.477,2.269,'-,[1.66-3.11],NFIA,"Bipolar disorder","bipolar disorder",'-,GCST001647,1:61350127
rs6124684-<b>?</b>,"9 x 10-6","(NSM vs. Control)",NR,1.73,'-,[NR],KCNS1,"Bipolar disorder","bipolar disorder",'-,GCST001647,20:45092852
rs114034759-<b>A</b>,"6 x 10-7",,NR,1.83,'-,[NR],MKLN1,"Bipolar disorder (early onset)","bipolar disorder",'-,GCST003742,7:131128204
rs10168049-<b>G</b>,"1 x 10-6",,0.465,'-,'-,'-,"CLASP1, RPS17P7","Bipolar disorder","bipolar disorder",'-,GCST008905,2:121320830
rs7567409-<b>A</b>,"3 x 10-7",,0.155,1.08058,'-,[1.05-1.11],BABAM2,"Bipolar disorder","bipolar disorder",'-,GCST008103,2:28293404
rs12898460-<b>C</b>,"3 x 10-7",,0.69,1.0639656,'-,'-,LINC02694,"Bipolar disorder","bipolar disorder",'-,GCST008103,15:38694612
rs63722863-<b>G</b>,"3 x 10-7",,0.474,1.0619432,'-,'-,KIF15,"Bipolar disorder","bipolar disorder",'-,GCST008103,3:44780094
rs66752127-<b>G</b>,"4 x 10-7",,0.381,1.0613008,'-,'-,PDE3B,"Bipolar disorder","bipolar disorder",'-,GCST008103,11:14767417
rs1477143-<b>T</b>,"4 x 10-7",,0.259,1.06812,'-,[1.04-1.09],"HLF, STXBP4","Bipolar disorder","bipolar disorder",'-,GCST008103,17:55258467
chr17_49345320_D-<b>?</b>,"4 x 10-7",,0.552,1.05855,'-,[1.04-1.08],'-,"Bipolar disorder","bipolar disorder",'-,GCST008103,"Mapping not available"
rs73496688-<b>A</b>,"4 x 10-7",,0.144,1.08307,'-,[1.05-1.11],TENM4,"Bipolar disorder","bipolar disorder",'-,GCST008103,11:79445704
rs6954854-<b>G</b>,"4 x 10-7",,0.42600000000000005,1.0583354,'-,'-,SP4,"Bipolar disorder","bipolar disorder",'-,GCST008103,7:21452971
rs12833856-<b>G</b>,"4 x 10-7",,0.357,1.0670536,'-,'-,"RPL29P25, PPP1CC","Bipolar disorder","bipolar disorder",'-,GCST008103,12:110824378
rs7222752-<b>G</b>,"5 x 10-7",,0.17300000000000004,1.0842576,'-,'-,"NPTX1, RPL32P31","Bipolar disorder","bipolar disorder",'-,GCST008103,17:80489926
chr11_47580062_D-<b>?</b>,"5 x 10-7",,0.0881,1.12705,'-,[1.08-1.17],'-,"Bipolar disorder","bipolar disorder",'-,GCST008103,"Mapping not available"
rs8067817-<b>T</b>,"6 x 10-7",,0.557,1.05781,'-,[1.04-1.08],"PSMD3, CSF3","Bipolar disorder","bipolar disorder",'-,GCST008103,17:40007683
rs72966520-<b>C</b>,"6 x 10-7",,0.9361,1.1261388,'-,'-,"TLCD4-RWDD3, TLCD4","Bipolar disorder","bipolar disorder",'-,GCST008103,1:95142777
rs11709009-<b>A</b>,"6 x 10-7",,0.194,1.0724,'-,[1.04-1.1],"VIPR1, RPL35AP8","Bipolar disorder","bipolar disorder",'-,GCST008103,3:42473630
rs5754941-<b>C</b>,"6 x 10-7",,0.437,1.05792,'-,[1.04-1.08],"MAPK1, YPEL1","Bipolar disorder","bipolar disorder",'-,GCST008103,22:21747706
rs74577022-<b>A</b>,"7 x 10-7",,0.738,1.06823,'-,[1.04-1.09],"BICRA, RN7SL322P","Bipolar disorder","bipolar disorder",'-,GCST008103,19:47601390
rs116403057-<b>A</b>,"7 x 10-7",,0.111,1.09166,'-,[1.06-1.13],"TSBP1-AS1, TSBP1","Bipolar disorder","bipolar disorder",'-,GCST008103,6:32335895
rs778433-<b>A</b>,"7 x 10-7",,0.435,1.05802,'-,[1.04-1.08],"LGMNP1, STARP1","Bipolar disorder","bipolar disorder",'-,GCST008103,13:65233151
rs10878840-<b>G</b>,"7 x 10-7",,0.381,1.0585483,'-,'-,"LINC02384, RPSAP12","Bipolar disorder","bipolar disorder",'-,GCST008103,12:68487269
rs907162-<b>C</b>,"8 x 10-7",,0.401,1.0597149,'-,'-,ASAP2,"Bipolar disorder","bipolar disorder",'-,GCST008103,2:9270500
rs13411201-<b>A</b>,"8 x 10-7",,0.131,1.08589,'-,[1.05-1.12],"IFITM3P9, RN7SL361P","Bipolar disorder","bipolar disorder",'-,GCST008103,2:60680195
rs2956395-<b>C</b>,"8 x 10-7",,0.692,1.06396,'-,[1.04-1.09],MYRF-AS1,"Bipolar disorder","bipolar disorder",'-,GCST008103,11:61752514
rs17680579-<b>A</b>,"8 x 10-7",,0.877,1.08806,'-,[1.05-1.12],LAMA4-AS1,"Bipolar disorder","bipolar disorder",'-,GCST008103,6:112269480
rs10058613-<b>C</b>,"8 x 10-7",,0.31499999999999995,1.0643846,'-,'-,KDM3B,"Bipolar disorder","bipolar disorder",'-,GCST008103,5:138358306
rs6090435-<b>G</b>,"8 x 10-7",,0.497,1.0613008,'-,'-,"EEF1A2, PPDPF","Bipolar disorder","bipolar disorder",'-,GCST008103,20:63501358
rs115462819-<b>C</b>,"2 x 10-6",,0.9527,1.1660312,'-,'-,"RNU6-239P, HAX1","Bipolar disorder","bipolar disorder",'-,GCST008103,1:154293485
rs76420936-<b>A</b>,"2 x 10-6",,0.0137,1.26314,'-,[1.17-1.36],KCNN2,"Bipolar disorder","bipolar disorder",'-,GCST008103,5:114086246
rs191580074-<b>A</b>,"2 x 10-6",,0.0154,1.32287,'-,[1.21-1.44],"RNA5SP149, PEX5L","Bipolar disorder","bipolar disorder",'-,GCST008103,3:180084126
