"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4965121-<b>?</b>,"1 x 10-6",,0.38,'-,"0.84 unit decrease",[0.51-1.17],"LINC02251, ARRDC4",Neuroticism,"neurotic disorder",'-,GCST004569,15:97975562
rs702543-<b>A</b>,"2 x 10-6",,0.55,1.27,'-,[1.15-1.40],PDE4D,Neuroticism,"neurotic disorder",'-,GCST000063,5:59546948
rs12883384-<b>?</b>,"7 x 10-7",,NR,'-,'-,'-,MDGA2,Neuroticism,"neurotic disorder",'-,GCST000226,14:46934481
rs2349775-<b>?</b>,"7 x 10-6",,NR,'-,'-,'-,NXPH1,Neuroticism,"neurotic disorder",'-,GCST000226,7:8678450
rs2705293-<b>?</b>,"6 x 10-6",,NR,'-,'-,'-,'-,Neuroticism,"neurotic disorder",'-,GCST000226,8:137906702
rs62062288-<b>A</b>,"7 x 10-22",,0.2181,'-,"0.01863 unit increase",[0.015-0.022],MAPT,Neuroticism,"neurotic disorder",'-,GCST010017,17:46019187
rs2921036-<b>T</b>,"3 x 10-20",,0.4898,'-,"0.01775 unit increase",[0.014-0.022],"RN7SL178P, PRAG1",Neuroticism,"neurotic disorder",'-,GCST010017,8:8506387
rs11250117-<b>A</b>,"3 x 10-19",,0.4667,'-,"0.0172 unit increase",[0.013-0.021],XKR6,Neuroticism,"neurotic disorder",'-,GCST010017,8:11115230
rs35738585-<b>G</b>,"4 x 10-16",,0.4334,'-,"0.01561 unit decrease",[0.012-0.019],DRD2,Neuroticism,"neurotic disorder",'-,GCST010017,11:113515625
rs11665070-<b>G</b>,"3 x 10-16",,0.3313,'-,"0.01565 unit increase",[0.012-0.019],"MIR4318, CELF4",Neuroticism,"neurotic disorder",'-,GCST010017,18:37572600
rs477860-<b>T</b>,"6 x 10-14",,0.2968,'-,"0.01439 unit decrease",[0.011-0.018],MIR124-1HG,Neuroticism,"neurotic disorder",'-,GCST010017,8:9954255
rs10144845-<b>C</b>,"4 x 10-13",,0.317,'-,"0.01389 unit decrease",[0.01-0.018],YLPM1,Neuroticism,"neurotic disorder",'-,GCST010017,14:74771067
rs2042555-<b>A</b>,"5 x 10-12",,0.418,'-,"0.01323 unit increase",[0.0095-0.017],"ACVR2A, RNA5SP106",Neuroticism,"neurotic disorder",'-,GCST010017,2:147797920
rs2269426-<b>A</b>,"3 x 10-12",,0.3594,'-,"0.01334 unit increase",[0.0096-0.0171],TNXB,Neuroticism,"neurotic disorder",'-,GCST010017,6:32108722
rs7107356-<b>A</b>,"5 x 10-12",,0.4943,'-,"0.01319 unit decrease",[0.0094-0.0169],"AGBL2, MTCH2",Neuroticism,"neurotic disorder",'-,GCST010017,11:47654618
rs28377268-<b>T</b>,"2 x 10-9",,0.1071,'-,"0.01142 unit increase",[0.0077-0.0152],PTCH1,Neuroticism,"neurotic disorder",'-,GCST010017,9:95462774
rs34796300-<b>T</b>,"3 x 10-9",,0.4254,'-,"0.01137 unit increase",[0.0076-0.0151],ARNTL,Neuroticism,"neurotic disorder",'-,GCST010017,11:13293658
rs297343-<b>T</b>,"7 x 10-9",,0.3604,'-,"0.01107 unit increase",[0.0073-0.0148],SOX6,Neuroticism,"neurotic disorder",'-,GCST010017,11:16333107
rs674437-<b>G</b>,"9 x 10-9",,0.4843,'-,"0.01098 unit increase",[0.0072-0.0147],GRM5,Neuroticism,"neurotic disorder",'-,GCST010017,11:88956785
rs2210903-<b>G</b>,"1 x 10-9",,0.3692,'-,"0.01168 unit decrease",[0.0079-0.0154],"SNRPFP3, ZDHHC20P4",Neuroticism,"neurotic disorder",'-,GCST010017,13:69002843
rs12903563-<b>T</b>,"1 x 10-9",,0.4798,'-,"0.01176 unit increase",[0.008-0.0155],LINGO1,Neuroticism,"neurotic disorder",'-,GCST010017,15:77741393
rs12938775-<b>G</b>,"2 x 10-9",,0.4989,'-,"0.0114 unit increase",[0.0077-0.0151],PAFAH1B1,Neuroticism,"neurotic disorder",'-,GCST010017,17:2671527
rs8097041-<b>A</b>,"3 x 10-9",,0.3644,'-,"0.01159 unit decrease",[0.0078-0.0154],DCC,Neuroticism,"neurotic disorder",'-,GCST010017,18:53371847
rs1028321-<b>A</b>,"7 x 10-9",,0.3052,'-,"0.0111 unit decrease",[0.0073-0.0149],RPS19BP1,Neuroticism,"neurotic disorder",'-,GCST010017,22:39530924
rs4561025-<b>A</b>,"3 x 10-8",,0.3521,'-,"0.01059 unit increase",[0.0068-0.0143],LINC02609,Neuroticism,"neurotic disorder",'-,GCST010017,1:90798200
rs12466146-<b>T</b>,"4 x 10-8",,0.4219,'-,"0.01055 unit increase",[0.0068-0.0143],MYCNOS,Neuroticism,"neurotic disorder",'-,GCST010017,2:15937077
rs7567451-<b>G</b>,"4 x 10-8",,0.2672,'-,"0.01054 unit decrease",[0.0068-0.0143],LINC01876,Neuroticism,"neurotic disorder",'-,GCST010017,2:156196868
rs10497655-<b>C</b>,"3 x 10-8",,0.3206,'-,"0.0106 unit decrease",[0.0069-0.0143],"MIR548AE1, ZNF804A",Neuroticism,"neurotic disorder",'-,GCST010017,2:184597314
rs57838764-<b>C</b>,"3 x 10-8",,0.1142,'-,"0.01062 unit increase",[0.0069-0.0144],RASSF1,Neuroticism,"neurotic disorder",'-,GCST010017,3:50337137
rs836927-<b>A</b>,"4 x 10-8",,0.4257,'-,"0.01067 unit increase",[0.0069-0.0145],"LINC01990, BBX",Neuroticism,"neurotic disorder",'-,GCST010017,3:107482581
rs7772160-<b>C</b>,"3 x 10-8",,0.4783,'-,"0.01061 unit decrease",[0.0069-0.0144],"ZNF184, MCFD2P1",Neuroticism,"neurotic disorder",'-,GCST010017,6:27444607
rs6916891-<b>T</b>,"3 x 10-8",,0.1176,'-,"0.01064 unit increase",[0.0069-0.0144],MIR2113,Neuroticism,"neurotic disorder",'-,GCST010017,6:98009719
rs56226325-<b>T</b>,"4 x 10-8",,0.1534,'-,"0.01052 unit decrease",[0.0068-0.0143],MAD1L1,Neuroticism,"neurotic disorder",'-,GCST010017,7:2039346
rs73167875-<b>A</b>,"2 x 10-8",,0.2022,'-,"0.01083 unit decrease",[0.0071-0.0146],SEMA3E,Neuroticism,"neurotic disorder",'-,GCST010017,7:83309780
rs6976111-<b>A</b>,"1 x 10-8",,0.2993,'-,"0.01101 unit increase",[0.0072-0.0148],CTTNBP2,Neuroticism,"neurotic disorder",'-,GCST010017,7:117855613
rs7869969-<b>G</b>,"1 x 10-8",,0.3321,'-,"0.01087 unit decrease",[0.0071-0.0146],FAM120A,Neuroticism,"neurotic disorder",'-,GCST010017,9:93455165
rs2094580-<b>G</b>,"3 x 10-8",,0.2825,'-,"0.01071 unit increase",[0.0069-0.0145],TLR4,Neuroticism,"neurotic disorder",'-,GCST010017,9:117728579
rs35982947-<b>C</b>,"1 x 10-8",,0.3692,'-,"0.01109 unit decrease",[0.0073-0.0149],MED24,Neuroticism,"neurotic disorder",'-,GCST010017,17:40058022
rs9952522-<b>C</b>,"2 x 10-8",,0.4084,'-,"0.01074 unit decrease",[0.007-0.0145],ASXL3,Neuroticism,"neurotic disorder",'-,GCST010017,18:33706165
rs30266-<b>A</b>,"4 x 10-6",,NR,1.009,'-,[1.005-1.013],"RNU6-334P, LINC02163",Neuroticism,"neurotic disorder",'-,GCST010017,5:104636656
rs13226841-<b>C</b>,"6 x 10-11",,0.4896,'-,"0.0125 unit increase",[0.0088-0.0162],GRM8,Neuroticism,"neurotic disorder",'-,GCST010017,7:126749354
rs7845515-<b>A</b>,"7 x 10-11",,0.2875,'-,"0.01267 unit increase",[0.0089-0.0165],"SNORA70, CSMD1",Neuroticism,"neurotic disorder",'-,GCST010017,8:5088706
rs2071754-<b>C</b>,"4 x 10-11",,0.201,'-,"0.01262 unit increase",[0.0089-0.0164],PAX6,Neuroticism,"neurotic disorder",'-,GCST010017,11:31791034
rs10896636-<b>G</b>,"3 x 10-11",,0.3449,'-,"0.01281 unit increase",[0.009-0.0166],ZDHHC5,Neuroticism,"neurotic disorder",'-,GCST010017,11:57680560
rs4140799-<b>G</b>,"4 x 10-11",,0.47,'-,"0.01268 unit increase",[0.0089-0.0164],SIPA1L1,Neuroticism,"neurotic disorder",'-,GCST010017,14:71704252
rs11090045-<b>A</b>,"1 x 10-11",,0.3031,'-,"0.01321 unit increase",[0.0094-0.017],ZC3H7B,Neuroticism,"neurotic disorder",'-,GCST010017,22:41357599
rs1002656-<b>C</b>,"8 x 10-10",,0.2905,'-,"0.01183 unit increase",[0.0081-0.0156],"GRIK3, FTLP18",Neuroticism,"neurotic disorder",'-,GCST010017,1:36727140
rs2278609-<b>C</b>,"6 x 10-10",,0.216,'-,"0.01191 unit increase",[0.0081-0.0157],PLCL2,Neuroticism,"neurotic disorder",'-,GCST010017,3:16882947
rs1542212-<b>G</b>,"4 x 10-10",,0.3917,'-,"0.01205 unit increase",[0.0083-0.0158],ARPP21,Neuroticism,"neurotic disorder",'-,GCST010017,3:35642443
rs4413518-<b>A</b>,"1 x 10-10",,0.2189,'-,"0.01234 unit increase",[0.0086-0.0161],FBXL17,Neuroticism,"neurotic disorder",'-,GCST010017,5:108402300
rs11509880-<b>A</b>,"2 x 10-10",,0.3278,'-,"0.01211 unit increase",[0.0084-0.0159],TMEM106B,Neuroticism,"neurotic disorder",'-,GCST010017,7:12222285
rs11608355-<b>C</b>,"7 x 10-10",,0.3132,'-,"0.01181 unit increase",[0.0081-0.0156],MYO1H,Neuroticism,"neurotic disorder",'-,GCST010017,12:109441487
rs3741475-<b>A</b>,"4 x 10-10",,0.1944,'-,"0.01194 unit increase",[0.0082-0.0157],NOS1,Neuroticism,"neurotic disorder",'-,GCST010017,12:117232109
rs274632-<b>A</b>,"2 x 10-9",,0.4229,'-,"0.01153 unit decrease",[0.0078-0.0153],GRM3,Neuroticism,"neurotic disorder",'-,GCST010017,7:86639865
rs2380937-<b>C</b>,"5 x 10-9",,0.4011,'-,"0.01119 unit decrease",[0.0074-0.0149],GLIS3,Neuroticism,"neurotic disorder",'-,GCST010017,9:4145781
rs56084168-<b>T</b>,"1 x 10-10",,0.1478,'-,"0.0123 unit decrease",[0.0086-0.016],"AATK, BAIAP2",Neuroticism,"neurotic disorder",'-,GCST010017,17:81110774
rs56403421-<b>C</b>,"4 x 10-10",,0.3309,'-,"0.01207 unit increase",[0.0083-0.0159],"LINC01929, CCDC68",Neuroticism,"neurotic disorder",'-,GCST010017,18:55098052
rs12145171-<b>C</b>,"7 x 10-9",,0.4283,'-,"0.01105 unit decrease",[0.0073-0.0148],DNM3,Neuroticism,"neurotic disorder",'-,GCST010017,1:171874109
rs6743916-<b>A</b>,"3 x 10-9",,0.2927,'-,"0.01136 unit decrease",[0.0076-0.0151],LINC01122,Neuroticism,"neurotic disorder",'-,GCST010017,2:58477314
rs10935184-<b>C</b>,"1 x 10-9",,0.4093,'-,"0.01165 unit decrease",[0.0079-0.0154],STAG1,Neuroticism,"neurotic disorder",'-,GCST010017,3:136434626
rs13102162-<b>G</b>,"7 x 10-9",,0.3591,'-,"0.01124 unit decrease",[0.0074-0.015],MMRN1,Neuroticism,"neurotic disorder",'-,GCST010017,4:90018416
rs10032297-<b>A</b>,"4 x 10-9",,0.3958,'-,"0.01136 unit decrease",[0.0076-0.0151],"LINC00616, SLC7A11-AS1",Neuroticism,"neurotic disorder",'-,GCST010017,4:138092247
rs7696796-<b>A</b>,"5 x 10-9",,0.2464,'-,"0.01116 unit increase",[0.0074-0.0149],TENM3,Neuroticism,"neurotic disorder",'-,GCST010017,4:182245316
rs2148254-<b>G</b>,"4 x 10-9",,0.4928,'-,"0.01133 unit decrease",[0.0076-0.0151],HIVEP1,Neuroticism,"neurotic disorder",'-,GCST010017,6:11994529
rs4977844-<b>C</b>,"4 x 10-9",,0.3598,'-,"0.01136 unit increase",[0.0076-0.0152],'-,Neuroticism,"neurotic disorder",'-,GCST010017,9:23295901
rs3135296-<b>?</b>,"6 x 10-6",,NR,1.0090817,'-,[1.01-1.01],"NOP56P1, LINC01623",Neuroticism,"neurotic disorder",'-,GCST010017,6:28828079
rs1518395-<b>?</b>,"1 x 10-6",,NR,1.0090817,'-,[1.01-1.01],VRK2,Neuroticism,"neurotic disorder",'-,GCST010017,2:57980939
rs301806-<b>C</b>,"4 x 10-6",,NR,1.009,'-,[1.005-1.013],RERE,Neuroticism,"neurotic disorder",'-,GCST010017,1:8422018
rs4543289-<b>?</b>,"9 x 10-6",,NR,1.0080645,'-,[1.01-1.01],'-,Neuroticism,"neurotic disorder",'-,GCST010017,5:165057942
rs159572-<b>A</b>,"6 x 10-8","African Americans",'-,1.51,'-,[1.3-1.75],ANKRD55,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST003495,5:56211219
rs115539978-<b>T</b>,"3 x 10-8",(African),NR,1.33,'-,[1.20-1.47],MIR5007,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,13:55185074
rs142174523-<b>G</b>,"4 x 10-8","(African, male)",NR,1.3157895,'-,[1.19-1.45],"LINC02571, HLA-B","Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,6:31326513
rs148757321-<b>CTGTG</b>,"4 x 10-8","(EA, male)",NR,1.18,'-,[1.11-1.26],KAZN,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,1:15109728
rs34517852-<b>A</b>,"3 x 10-9",(EA),NR,1.12,'-,[1.08-1.16],"TMEM242-DT, ZDHHC14","Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,6:157368301
rs518152-<b>G</b>,"3 x 10-7","(EA, male)",NR,1.1627907,'-,NR,KAZN,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,1:15107763
rs571848662-<b>TATAC</b>,"3 x 10-6",(EA),NR,1.0869565,'-,NR,ZNF813,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,19:53485588
rs9364611-<b>C</b>,"4 x 10-8",(EA),NR,1.1363636,'-,[1.09-1.18],PRKN,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009315,6:161742474
rs4663116-<b>?</b>,"7 x 10-6",,'-,1.2540758,'-,[NR],RPS20P12,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009977,2:234236143
rs1541227-<b>G</b>,"3 x 10-6",,'-,1.362,'-,[NR],LINC02520,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009977,6:37534090
rs9297733-<b>G</b>,"5 x 10-6",,'-,1.252,'-,[NR],LINC00861,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009977,8:126235667
rs5014463-<b>?</b>,"5 x 10-6",,'-,1.3347571,'-,[NR],"RBM17, PFKFB3","Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST009977,10:6129672
rs9725031-<b>?</b>,"8 x 10-6",,'-,'-,"1.13 unit increase",[0.64-1.62],"RN7SL299P, SIPA1L2","Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,1:232308709
rs1915919-<b>?</b>,"8 x 10-6",,'-,'-,"0.74 unit increase",[0.43-1.05],KAT2B,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,3:20042389
rs71534169-<b>?</b>,"4 x 10-6",,'-,'-,"1.63 unit increase",[0.94-2.32],DPP6,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,7:154801156
rs2460905-<b>?</b>,"5 x 10-6",,'-,'-,"1.38 unit increase",[0.79-1.97],TRMT9B,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,8:12977091
rs263232-<b>?</b>,"6 x 10-7",,'-,'-,"1.43 unit increase",[0.88-1.98],ADCY8,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,8:130795923
rs682457-<b>?</b>,"1 x 10-6",,'-,'-,"1.11 unit increase",[0.68-1.54],"CTSC, MIR3166","Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,11:88216364
rs77963519-<b>?</b>,"4 x 10-6",,'-,'-,"1.56 unit increase",[0.91-2.21],'-,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002401,15:81901505
rs17504106-<b>?</b>,"5 x 10-6",AA,NR,2.97,'-,[NR],'-,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,5:161042632
rs12232346-<b>?</b>,"2 x 10-6",,NR,'-,'-,[NR],"ACTC1, GJD2","Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,15:34768262
rs10768747-<b>?</b>,"5 x 10-6",AA,NR,1.66,'-,[NR],LINC01499,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,11:41798900
rs73419609-<b>?</b>,"6 x 10-6",AA,NR,2.22,'-,[NR],UNC13C,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,15:54423444
rs834811-<b>?</b>,"7 x 10-6",AA,NR,1.63,'-,[NR],Y_RNA,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,7:136199823
rs7866350-<b>?</b>,"1 x 10-6",EA,NR,2.27,'-,[NR],TBC1D2,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,9:98221544
rs1116255-<b>?</b>,"5 x 10-6",EA,NR,2.19,'-,[NR],'-,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,13:54914870
rs2437772-<b>?</b>,"6 x 10-6",EA,NR,1.79,'-,[NR],SDC2,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,8:96500749
rs61793204-<b>?</b>,"9 x 10-6",EA,NR,2.5,'-,[NR],LINC02497,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002963,4:31288660
rs6812849-<b>?</b>,"3 x 10-9","(Whole cohort; EA)",NR,'-,'-,'-,TLL1,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002038,4:165951384
rs6812849-<b>?</b>,"1 x 10-6","(Trauma Exposed controls; EA)",NR,'-,'-,'-,TLL1,"Post-traumatic stress disorder","post-traumatic stress disorder",'-,GCST002038,4:165951384
rs7158872-<b>?</b>,"3 x 10-6","(Trauma exposed controls; AA)",NR,'-,'-,'-,'-,"Post-traumatic stress disorder (asjusted for relatedness)","post-traumatic stress disorder",'-,GCST002037,14:48957639
rs7076096-<b>?</b>,"5 x 10-6","(Trauma exposed controls; AA)",NR,'-,'-,'-,GRID1,"Post-traumatic stress disorder (asjusted for relatedness)","post-traumatic stress disorder",'-,GCST002037,10:85848703
rs406001-<b>?</b>,"2 x 10-8","(Whole cohort; EA)",NR,'-,'-,'-,'-,"Post-traumatic stress disorder (asjusted for relatedness)","post-traumatic stress disorder",'-,GCST002037,7:51938719
rs4491792-<b>?</b>,"4 x 10-6","(Whole cohort; EA)",NR,'-,'-,'-,OTOR,"Post-traumatic stress disorder (asjusted for relatedness)","post-traumatic stress disorder",'-,GCST002037,20:16760180
rs2272651-<b>?</b>,"3 x 10-6","(Whole cohort; EA)",NR,'-,'-,'-,NDRG1,"Post-traumatic stress disorder (asjusted for relatedness)","post-traumatic stress disorder",'-,GCST002037,8:133258305
rs2779551-<b>?</b>,"2 x 10-6","(Whole cohort; EA)",NR,'-,'-,'-,GABBR2,"Post-traumatic stress disorder (asjusted for relatedness)","post-traumatic stress disorder",'-,GCST002037,9:98490944
