,variant_and_allele,p_value,trait,gene,location
2148,rs7701440-<b>?</b>,4e-14,schizophrenia,ZSWIM6,5:61325153
2148,rs7701440-<b>?</b>,4e-14,schizophrenia,LINC02057,5:61325153
2026,rs9834970-<b>?</b>,4e-14,schizophrenia,LINC02033,3:36814539
2026,rs9834970-<b>?</b>,4e-14,schizophrenia,HSPD1P6,3:36814539
2125,rs4936215-<b>?</b>,5e-14,schizophrenia,UNKNOWN,Mapping not available
2124,rs5825114-<b>?</b>,5e-14,schizophrenia,LINC01929,18:55081986
2483,rs4906338-<b>?</b>,6e-14,schizophrenia,UNKNOWN,Mapping not available
366,rs10873538-<b>?</b>,6e-14,schizophrenia,PPP1R13B,14:103789232
25,rs9859557-<b>A</b>,6e-14,schizophrenia,SOX2-OT,3:181113122
669,rs12887734-<b>T</b>,6e-14,schizophrenia,KLC1,14:103580497
669,rs12887734-<b>T</b>,6e-14,schizophrenia,COA8,14:103580497
1061,rs4702-<b>G</b>,8e-14,schizophrenia,FURIN,15:90883330
480,rs6694545-<b>?</b>,8e-14,schizophrenia,UNKNOWN,Mapping not available
372,rs11633534-<b>?</b>,8e-14,schizophrenia,LINC00933,15:84581411
372,rs11633534-<b>?</b>,8e-14,schizophrenia,ZSCAN2,15:84581411
599,rs1198589-<b>C</b>,8e-14,schizophrenia,NFU1P2,1:98084855
472,rs1984658-<b>?</b>,9e-14,schizophrenia,PITPNM2,12:122998879
1854,rs114002140-<b>A</b>,9e-14,schizophrenia,HLA-DRB9,6:32464185
802,rs7893279-<b>T</b>,9e-14,schizophrenia,UNKNOWN,Mapping not available
413,rs217289-<b>?</b>,1e-13,schizophrenia,SNAP91,6:83692088
1976,rs185053056-<b>?</b>,1e-13,schizophrenia,RPSAP2,6:28712999
1976,rs185053056-<b>?</b>,1e-13,schizophrenia,LINC00533,6:28712999
1932,rs1024582-<b>?</b>,1e-13,schizophrenia,CACNA1C,12:2293080
698,rs4481150-<b>T</b>,1e-13,schizophrenia,ITIH3,3:52803777
523,rs6804239-<b>?</b>,1e-13,schizophrenia,UNKNOWN,3:162062700
261,rs4391122-<b>?</b>,1e-13,schizophrenia,LINC02057,5:61302716
736,rs7596038-<b>C</b>,1e-13,schizophrenia,VRK2,2:58156685
1099,rs75968099-<b>T</b>,1e-13,schizophrenia,LINC02033,3:36817092
1099,rs75968099-<b>T</b>,1e-13,schizophrenia,HSPD1P6,3:36817092
459,rs2073499-<b>?</b>,1e-13,schizophrenia,RASSF1,3:50336862
347,rs302321-<b>?</b>,1e-13,schizophrenia,TMTC1,12:29775455
672,rs67119537-<b>T</b>,1e-13,schizophrenia,RN7SL417P,15:84395671
672,rs67119537-<b>T</b>,1e-13,schizophrenia,DNM1P51,15:84395671
781,rs778371-<b>G</b>,2e-13,schizophrenia,SNORC,2:232878399
2335,rs9636107-<b>G</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
806,rs2577831-<b>C</b>,2e-13,schizophrenia,PBRM1,3:52594040
263,rs75968099-<b>?</b>,2e-13,schizophrenia,LINC02033,3:36817092
263,rs75968099-<b>?</b>,2e-13,schizophrenia,HSPD1P6,3:36817092
2050,rs115374247-<b>?</b>,2e-13,schizophrenia,SUMO2P1,6:29642504
2050,rs115374247-<b>?</b>,2e-13,schizophrenia,MOG,6:29642504
262,rs12887734-<b>?</b>,2e-13,schizophrenia,KLC1,14:103580497
262,rs12887734-<b>?</b>,2e-13,schizophrenia,COA8,14:103580497
389,rs7001340-<b>?</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
94,rs217331-<b>G</b>,2e-13,schizophrenia,SNAP91,6:83634970
386,rs117325001-<b>?</b>,2e-13,schizophrenia,BNIP3L,8:26384756
694,rs2949006-<b>T</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
642,rs9636107-<b>A</b>,2e-13,schizophrenia,UNKNOWN,Mapping not available
1059,rs8042374-<b>A</b>,2e-13,schizophrenia,CHRNA3,15:78615690
2334,rs629444-<b>C</b>,2e-13,schizophrenia,H2BP5,6:25885586
2487,rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL417P,15:84395671
2487,rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,DNM1P51,15:84395671
2126,rs7951870-<b>?</b>,3.0000000000000003e-13,schizophrenia,UNKNOWN,Mapping not available
2023,rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL717P,2:199851396
2023,rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,FTCDNL1,2:199851396
1359,rs13240464-<b>T</b>,3.0000000000000003e-13,schizophrenia,IMMP2L,7:111258859
767,rs55661361-<b>G</b>,4e-13,schizophrenia,NRGN,11:124744061
178,rs1518395-<b>A</b>,4e-13,schizophrenia,VRK2,2:57980939
264,rs9607782-<b>?</b>,4e-13,schizophrenia,EP300-AS1,22:41191552
858,rs35225048-<b>C</b>,4e-13,schizophrenia,UNKNOWN,15:61564064
936,rs9607782-<b>A</b>,4e-13,schizophrenia,EP300-AS1,22:41191552
2127,rs6434928-<b>?</b>,4e-13,schizophrenia,RNU6-1029P,2:197439853
2127,rs6434928-<b>?</b>,4e-13,schizophrenia,SF3B1,2:197439853
2274,rs4391122-<b>A</b>,5e-13,schizophrenia,LINC02057,5:61302716
2154,rs7893279-<b>?</b>,5e-13,schizophrenia,UNKNOWN,Mapping not available
2337,rs28681284-<b>C</b>,6.000000000000001e-13,schizophrenia,CHRNA3,15:78616223
59,rs61041384-<b>C</b>,6.000000000000001e-13,schizophrenia,MPHOSPH9,12:123159496
2113,rs748455-<b>?</b>,6.000000000000001e-13,schizophrenia,ZSCAN2,15:84606344
673,rs4702-<b>A</b>,6.000000000000001e-13,schizophrenia,FURIN,15:90883330
2561,rs2859368-<b>?</b>,6.000000000000001e-13,schizophrenia,UNKNOWN,Mapping not available
2129,rs11646127-<b>?</b>,6.000000000000001e-13,schizophrenia,TMEM219,16:29954956
1856,rs6461049-<b>T</b>,6.000000000000001e-13,schizophrenia,MAD1L1,7:1977810
697,rs7652637-<b>T</b>,7e-13,schizophrenia,TRANK1,3:36830016
2338,rs1892252-<b>C</b>,7e-13,schizophrenia,SLC17A4,6:25772411
266,rs4129585-<b>?</b>,7e-13,schizophrenia,UNKNOWN,Mapping not available
265,rs10750450-<b>?</b>,7e-13,schizophrenia,LINC02551,11:130849166
2546,rs2710323-<b>?</b>,7e-13,schizophrenia,UNKNOWN,Mapping not available
1457,rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01416,18:55865958
1457,rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01415,18:55865958
13,rs214467-<b>A</b>,8e-13,schizophrenia,IMMP2L,7:111218212
100,rs3814881-<b>G</b>,8e-13,schizophrenia,TAOK2,16:29989580
28,rs75059851-<b>A</b>,9e-13,schizophrenia,IGSF9B,11:133952674
702,rs13135092-<b>A</b>,9e-13,schizophrenia,SLC39A8,4:102276925
529,rs6874127-<b>?</b>,9e-13,schizophrenia,HCN1,5:45305513
2158,rs62606711-<b>?</b>,1e-12,schizophrenia,PJA1,X:69157361
788,rs112537273-<b>T</b>,1e-12,schizophrenia,LETM2,8:38390788
267,rs9636107-<b>?</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
1840,rs6932590-<b>T</b>,1e-12,schizophrenia,POM121L2,6:27281152
1840,rs6932590-<b>T</b>,1e-12,schizophrenia,PRSS16,6:27281152
671,rs28681284-<b>T</b>,1e-12,schizophrenia,CHRNA3,15:78616223
2112,rs3743078-<b>?</b>,1e-12,schizophrenia,CHRNA3,15:78602417
623,rs58120505-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
12,rs2970610-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
1219,rs11682175-<b>C</b>,1e-12,schizophrenia,ACTG1P22,2:57760458
416,rs2153960-<b>?</b>,1e-12,schizophrenia,FOXO3,6:108666981
1043,rs10791097-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available
544,rs28735056-<b>?</b>,1e-12,schizophrenia,KCNG2,18:79862879
380,rs9890128-<b>?</b>,1e-12,schizophrenia,YWHAE,17:1370352
2282,rs1518395-<b>G</b>,1e-12,schizophrenia,VRK2,2:57980939
2131,rs217287-<b>?</b>,1e-12,schizophrenia,SNAP91,6:83697747
445,rs4632296-<b>?</b>,1e-12,schizophrenia,RBKS,2:27802117
445,rs4632296-<b>?</b>,1e-12,schizophrenia,MRPL33,2:27802117
364,rs2190864-<b>?</b>,1e-12,schizophrenia,RGS6,14:71949502
943,rs10791098-<b>T</b>,2e-12,schizophrenia,LINC02551,11:130848816
786,rs73219805-<b>A</b>,2e-12,schizophrenia,BNIP3L,8:26415252
2136,rs2514218-<b>?</b>,2e-12,schizophrenia,DRD2,11:113522272
1008,rs12129573-<b>A</b>,2e-12,schizophrenia,RN7SKP19,1:73302683
1008,rs12129573-<b>A</b>,2e-12,schizophrenia,LINC01360,1:73302683
2133,rs5757730-<b>?</b>,2e-12,schizophrenia,CACNA1I,22:39571425
1991,rs13218591-<b>?</b>,2e-12,schizophrenia,BTN3A2,6:26376604
1047,rs12826178-<b>G</b>,2e-12,schizophrenia,NXPH4,12:57228588
1047,rs12826178-<b>G</b>,2e-12,schizophrenia,SHMT2,12:57228588
2135,rs35346733-<b>?</b>,2e-12,schizophrenia,CNTN4,3:2479638
2038,rs72799198-<b>?</b>,2e-12,schizophrenia,LINC01470,5:152811145
7,rs2057884-<b>T</b>,2e-12,schizophrenia,SRPK2,7:105289803
334,rs7926389-<b>?</b>,2e-12,schizophrenia,ARHGAP1,11:46690304
1248,rs13107325-<b>T</b>,2e-12,schizophrenia,SLC39A8,4:102267552
268,rs13240464-<b>?</b>,2e-12,schizophrenia,IMMP2L,7:111258859
269,rs301797-<b>?</b>,2e-12,schizophrenia,RERE-AS1,1:8427263
269,rs301797-<b>?</b>,2e-12,schizophrenia,RERE,1:8427263
1899,rs2021722-<b>C</b>,2e-12,schizophrenia,TRIM26,6:30206354
1022,rs6704768-<b>G</b>,2e-12,schizophrenia,GIGYF2,2:232727791
2027,rs4481150-<b>?</b>,2e-12,schizophrenia,ITIH3,3:52803777
1017,rs11693094-<b>C</b>,2e-12,schizophrenia,ZNF804A,2:184736693
1857,rs1198588-<b>T</b>,2e-12,schizophrenia,NFU1P2,1:98087276
1079,rs1378559-<b>T</b>,2e-12,schizophrenia,CNKSR2,X:21362148
345,rs3802924-<b>?</b>,2e-12,schizophrenia,IGSF9B,11:133957838
345,rs3802924-<b>?</b>,2e-12,schizophrenia,LINC02730,11:133957838
56,rs17630293-<b>T</b>,3e-12,schizophrenia,SPATS2L,2:200282053
2554,rs79249301-<b>?</b>,3e-12,schizophrenia,UNKNOWN,Mapping not available
2137,rs17514846-<b>?</b>,3e-12,schizophrenia,FURIN,15:90873320
76,rs17687067-<b>C</b>,3e-12,schizophrenia,ZDHHC2,8:17178692
816,rs1150754-<b>C</b>,3e-12,schizophrenia,TNXB,6:32082981
540,rs72934570-<b>?</b>,3e-12,schizophrenia,LINC01416,18:55865958
540,rs72934570-<b>?</b>,3e-12,schizophrenia,LINC01415,18:55865958
2041,rs215011-<b>?</b>,3e-12,schizophrenia,CMAHP,6:25384133
2041,rs215011-<b>?</b>,3e-12,schizophrenia,CARMIL1,6:25384133
270,rs8043009-<b>?</b>,3e-12,schizophrenia,CHRNA3,15:78615812
2139,rs34796896-<b>?</b>,3e-12,schizophrenia,FXR1,3:180905467
2551,rs6449529-<b>?</b>,3e-12,schizophrenia,UNKNOWN,Mapping not available
370,rs28681284-<b>?</b>,3e-12,schizophrenia,CHRNA3,15:78616223
2111,rs61637848-<b>?</b>,3e-12,schizophrenia,KLC1,14:103629694
6,rs3735025-<b>T</b>,4e-12,schizophrenia,DGKI,7:137390098
819,rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-A,6:29955302
819,rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-W,6:29955302
689,rs11682175-<b>T</b>,4e-12,schizophrenia,ACTG1P22,2:57760458
818,rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DOB,6:32793729
818,rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DQB2,6:32793729
271,rs11682175-<b>?</b>,4e-12,schizophrenia,ACTG1P22,2:57760458
272,rs55661361-<b>?</b>,4e-12,schizophrenia,NRGN,11:124744061
2116,rs36043959-<b>?</b>,4e-12,schizophrenia,SGCZ,8:110459785
1320,rs9461856-<b>A</b>,4e-12,schizophrenia,SYNGAP1,6:33427422
2140,rs7432375-<b>?</b>,4e-12,schizophrenia,STAG1,3:136569563
498,rs7605813-<b>?</b>,5e-12,schizophrenia,HSPE1-MOB4,2:197510605
498,rs7605813-<b>?</b>,5e-12,schizophrenia,HSPD1,2:197510605
1858,rs1006737-<b>A</b>,5e-12,schizophrenia,CACNA1C,12:2236129
369,rs35225048-<b>?</b>,5e-12,schizophrenia,UNKNOWN,15:61564064
73,rs950169-<b>C</b>,5e-12,schizophrenia,ADAMTSL3,15:84037709
946,rs38752-<b>T</b>,5e-12,schizophrenia,IMMP2L,7:111438856
2142,rs1451488-<b>?</b>,5e-12,schizophrenia,RNU7-147P,2:199125384
478,rs172531-<b>?</b>,5e-12,schizophrenia,RERE,1:8435530
80,rs715170-<b>C</b>,5e-12,schizophrenia,LINC01539,18:56128283
80,rs715170-<b>C</b>,5e-12,schizophrenia,LINC01905,18:56128283
821,rs114508985-<b>G</b>,5e-12,schizophrenia,HLA-DMB,6:32932241
821,rs114508985-<b>G</b>,5e-12,schizophrenia,HLA-Z,6:32932241
91,rs11685299-<b>C</b>,5e-12,schizophrenia,CUL3,2:224526579
273,rs778371-<b>?</b>,5e-12,schizophrenia,SNORC,2:232878399
1953,rs2103655-<b>?</b>,5e-12,schizophrenia,PPP1R16B,20:38797315
1953,rs2103655-<b>?</b>,5e-12,schizophrenia,ACTR5,20:38797315
504,rs17164-<b>?</b>,5e-12,schizophrenia,GIGYF2,2:232728789
2485,rs1700006-<b>?</b>,5e-12,schizophrenia,UNKNOWN,Mapping not available
348,rs61937595-<b>?</b>,6e-12,schizophrenia,R3HDM2,12:57289173
490,rs4132385-<b>?</b>,6e-12,schizophrenia,ZSWIM6,5:61319052
490,rs4132385-<b>?</b>,6e-12,schizophrenia,LINC02057,5:61319052
2537,rs4380187-<b>?</b>,6e-12,schizophrenia,UNKNOWN,Mapping not available
378,rs3814881-<b>?</b>,7e-12,schizophrenia,TAOK2,16:29989580
2120,rs4648845-<b>?</b>,7e-12,schizophrenia,PLCH2,1:2455662
