,variant_and_allele,p_value,trait,gene
49,rs846858-<b>A</b>,3e-06,late-onset Alzheimers disease,IGSF23
126,rs12661302-<b>C</b>,3e-06,late-onset Alzheimers disease,UNKNOWN
125,rs138449900-<b>C</b>,3e-06,late-onset Alzheimers disease,CNTNAP5
125,rs138449900-<b>C</b>,3e-06,late-onset Alzheimers disease,RN7SKP102
63,rs145848414-<b>A</b>,3e-06,late-onset Alzheimers disease,HIGD1AP3
63,rs145848414-<b>A</b>,3e-06,late-onset Alzheimers disease,SUMO2P6
64,rs147985478-<b>A</b>,3e-06,late-onset Alzheimers disease,PRANCR
135,rs79930850-<b>A</b>,3e-06,late-onset Alzheimers disease,CASP12
156,rs192326911-<b>?</b>,3e-06,late-onset Alzheimers disease,STAU2-AS1
156,rs192326911-<b>?</b>,3e-06,late-onset Alzheimers disease,RDH10-AS1
136,rs143261188-<b>C</b>,3e-06,late-onset Alzheimers disease,TENM4
27,rs117760708-<b>T</b>,3e-06,late-onset Alzheimers disease,JPH3
94,rs144471255-<b>A</b>,3e-06,late-onset Alzheimers disease,RDX
115,rs150291119-<b>A</b>,3e-06,late-onset Alzheimers disease,NAALADL2
38,rs192232892-<b>T</b>,3e-06,late-onset Alzheimers disease,TBXAS1
44,rs1034435-<b>A</b>,3e-06,late-onset Alzheimers disease,TAFA5
158,rs35833468-<b>?</b>,3e-06,late-onset Alzheimers disease,EGLN3
20,rs141521929-<b>T</b>,4e-06,late-onset Alzheimers disease,TUSC1
26,rs141387448-<b>T</b>,4e-06,late-onset Alzheimers disease,ZNF438
26,rs141387448-<b>T</b>,4e-06,late-onset Alzheimers disease,LINC02664
28,rs187423924-<b>A</b>,4e-06,late-onset Alzheimers disease,AQP4-AS1
164,rs6806784-<b>?</b>,4e-06,late-onset Alzheimers disease,SENP7
160,rs19213255-<b>?</b>,4e-06,late-onset Alzheimers disease,UNKNOWN
154,rs190094306-<b>?</b>,4e-06,late-onset Alzheimers disease,NHLRC3
15,rs201879533-<b>?</b>,4e-06,late-onset Alzheimers disease,THSD4
52,rs2699450-<b>A</b>,4e-06,late-onset Alzheimers disease,CDCA7L
52,rs2699450-<b>A</b>,4e-06,late-onset Alzheimers disease,RAPGEF5
128,rs115443594-<b>T</b>,4e-06,late-onset Alzheimers disease,PRPF19P1
102,rs182972826-<b>T</b>,4e-06,late-onset Alzheimers disease,SEC24B
113,rs184695264-<b>T</b>,4e-06,late-onset Alzheimers disease,LINC02421
116,rs181990369-<b>A</b>,4e-06,late-onset Alzheimers disease,DLC1
68,rs147285445-<b>T</b>,4e-06,late-onset Alzheimers disease,ANKRD22
90,rs853656-<b>T</b>,4e-06,late-onset Alzheimers disease,RASSF8
127,rs117022236-<b>A</b>,4e-06,late-onset Alzheimers disease,AKR7A3
130,rs142076474-<b>A</b>,4e-06,late-onset Alzheimers disease,CEP63
131,rs181299481-<b>A</b>,4e-06,late-onset Alzheimers disease,RNY4P18
60,rs73681522-<b>A</b>,4e-06,late-onset Alzheimers disease,UNKNOWN
71,rs77544685-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,UNKNOWN
36,rs180751169-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,ADAM18
36,rs180751169-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,ADAM3A
24,rs150061627-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,MIR548Y
24,rs150061627-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,MDGA2
25,rs190457471-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,OSER1-DT
25,rs190457471-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,GDAP1L1
78,rs140587050-<b>C</b>,4.9999999999999996e-06,late-onset Alzheimers disease,IRAK1BP1
31,rs188699384-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,MIR924HG
32,rs148003968-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,TFEB
33,rs185867524-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,DNAH6
73,rs75635567-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,BAALC-AS1
73,rs75635567-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,BAALC
132,rs191404864-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,BICRA
81,rs10075047-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,CCDC112
81,rs10075047-<b>A</b>,4.9999999999999996e-06,late-onset Alzheimers disease,CTNNA1P1
50,rs5771225-<b>T</b>,4.9999999999999996e-06,late-onset Alzheimers disease,SELENOO
53,rs6945197-<b>T</b>,6e-06,late-onset Alzheimers disease,ZP3P2
53,rs6945197-<b>T</b>,6e-06,late-onset Alzheimers disease,PLXNA4
55,rs115972394-<b>A</b>,6e-06,late-onset Alzheimers disease,ATP6V0E2
69,rs187295598-<b>T</b>,6e-06,late-onset Alzheimers disease,GPR180
47,rs12716755-<b>A</b>,6e-06,late-onset Alzheimers disease,USP10
47,rs12716755-<b>A</b>,6e-06,late-onset Alzheimers disease,KLHL36
22,rs184614511-<b>T</b>,6e-06,late-onset Alzheimers disease,KSR2
107,rs150269952-<b>T</b>,6e-06,late-onset Alzheimers disease,RASSF5
77,rs186588455-<b>A</b>,6e-06,late-onset Alzheimers disease,MRPL45
77,rs186588455-<b>A</b>,6e-06,late-onset Alzheimers disease,NPEPPSP1
106,rs191707442-<b>T</b>,6e-06,late-onset Alzheimers disease,PPP1R3B
80,rs145840463-<b>A</b>,6e-06,late-onset Alzheimers disease,CFAP74
42,rs2244526-<b>T</b>,6e-06,late-onset Alzheimers disease,SELP
163,rs11038990-<b>?</b>,6e-06,late-onset Alzheimers disease,CKAP5
19,rs186076999-<b>T</b>,7e-06,late-onset Alzheimers disease,UNKNOWN
159,rs190217640-<b>?</b>,7e-06,late-onset Alzheimers disease,NEGR1
30,rs145228677-<b>C</b>,7e-06,late-onset Alzheimers disease,RPS18P12
61,rs2234017-<b>C</b>,7e-06,late-onset Alzheimers disease,TAS2R5
137,rs115078773-<b>A</b>,7e-06,late-onset Alzheimers disease,TMCO4
157,rs192098867-<b>?</b>,7e-06,late-onset Alzheimers disease,TRPM1
98,rs148587130-<b>T</b>,7e-06,late-onset Alzheimers disease,NEK10
89,rs61233297-<b>A</b>,8e-06,late-onset Alzheimers disease,IQGAP2
82,rs10060040-<b>A</b>,8e-06,late-onset Alzheimers disease,ADGRV1
82,rs10060040-<b>A</b>,8e-06,late-onset Alzheimers disease,CTNND2
18,rs186542490-<b>A</b>,8e-06,late-onset Alzheimers disease,UNKNOWN
57,rs79926713-<b>T</b>,8e-06,late-onset Alzheimers disease,SYNGAP1
46,rs7260181-<b>T</b>,8e-06,late-onset Alzheimers disease,PPP5D1
56,rs73215707-<b>T</b>,8e-06,late-onset Alzheimers disease,CYRIA
86,rs75770912-<b>A</b>,8e-06,late-onset Alzheimers disease,AOX1
45,rs4760243-<b>A</b>,8e-06,late-onset Alzheimers disease,LINC02388
45,rs4760243-<b>A</b>,8e-06,late-onset Alzheimers disease,LRIG3
43,rs17022021-<b>T</b>,8e-06,late-onset Alzheimers disease,RBMS3
79,rs114179644-<b>T</b>,8e-06,late-onset Alzheimers disease,CPSF6
29,rs181634374-<b>T</b>,8e-06,late-onset Alzheimers disease,RPL23AP44
35,rs184457411-<b>A</b>,8e-06,late-onset Alzheimers disease,SHANK2
104,rs141104697-<b>A</b>,8e-06,late-onset Alzheimers disease,GTF2H3
95,rs144216026-<b>A</b>,8e-06,late-onset Alzheimers disease,ABCA8
101,rs113884973-<b>C</b>,8e-06,late-onset Alzheimers disease,UNKNOWN
99,rs185126971-<b>A</b>,8e-06,late-onset Alzheimers disease,ERO1A
99,rs185126971-<b>A</b>,8e-06,late-onset Alzheimers disease,PSMC6
14,rs201850688-<b>G</b>,9e-06,late-onset Alzheimers disease,BSG
124,rs146997164-<b>C</b>,9e-06,late-onset Alzheimers disease,OR7E39P
124,rs146997164-<b>C</b>,9e-06,late-onset Alzheimers disease,CCZ1B
39,rs149839710-<b>A</b>,9e-06,late-onset Alzheimers disease,KIFC3
39,rs149839710-<b>A</b>,9e-06,late-onset Alzheimers disease,CNGB1
92,rs147582129-<b>T</b>,9e-06,late-onset Alzheimers disease,FAT3
72,rs185170954-<b>A</b>,9e-06,late-onset Alzheimers disease,SEMA3A
91,rs116530595-<b>T</b>,9e-06,late-onset Alzheimers disease,TXN
91,rs116530595-<b>T</b>,9e-06,late-onset Alzheimers disease,C9orf152
103,rs112920270-<b>A</b>,9e-06,late-onset Alzheimers disease,STK31
34,rs117756856-<b>A</b>,9e-06,late-onset Alzheimers disease,HDAC9
119,rs186891871-<b>C</b>,9e-06,late-onset Alzheimers disease,ADGRL2
76,rs141846544-<b>T</b>,9e-06,late-onset Alzheimers disease,RNU6-1213P
76,rs141846544-<b>T</b>,9e-06,late-onset Alzheimers disease,Y_RNA
