,variant_and_allele,p_value,trait,gene,location
198,rs4950-<b>A</b>,2e-09,nicotine dependence,CHRNB3,8:42697490
80,rs2366929-<b>?</b>,2e-09,opioid dependence,ADGRV1,5:90730817
35,rs4732724-<b>C</b>,3.0000000000000004e-09,cannabis dependence,GULOP,8:27565545
100,rs10799590-<b>G</b>,4e-09,opioid dependence,CNIH3,1:224634780
3,rs11731003-<b>T</b>,4e-09,alcohol withdrawal,SORCS2,4:7388545
76,rs61835088-<b>T</b>,4e-09,cocaine dependence,FAM78B,1:166069605
221,rs904092-<b>G</b>,5e-09,alcohol dependence,ADH1A,4:99293007
221,rs904092-<b>G</b>,5e-09,alcohol dependence,ADH1B,4:99293007
197,rs2714674-<b>T</b>,7.000000000000001e-09,nicotine dependence,GNAI1,7:79755934
183,rs2273500-<b>C</b>,8e-09,nicotine dependence,CHRNA4,20:63355597
101,rs1970606-<b>G</b>,8e-09,opioid dependence,RBBP4P4,6:58042294
101,rs1970606-<b>G</b>,8e-09,opioid dependence,GAPDHP15,6:58042294
102,rs1557219-<b>C</b>,9.000000000000001e-09,opioid dependence,GAPDHP15,6:58044647
102,rs1557219-<b>C</b>,9.000000000000001e-09,opioid dependence,RBBP4P4,6:58044647
253,rs7590720-<b>G</b>,1e-08,alcohol dependence,PECR,2:216033935
253,rs7590720-<b>G</b>,1e-08,alcohol dependence,MREG,2:216033935
291,rs1789891-<b>?</b>,1e-08,alcohol dependence,ADH1B,4:99329262
89,rs12442183-<b>T</b>,1e-08,opioid dependence,UNKNOWN,15:93204756
131,rs116544709-<b>T</b>,2e-08,drug dependence,LITAF,16:11442913
131,rs116544709-<b>T</b>,2e-08,drug dependence,RMI2,16:11442913
206,rs1789891-<b>A</b>,2e-08,alcohol dependence,ADH1B,4:99329262
88,rs201123820-<b>T</b>,3.0000000000000004e-08,opioid dependence,LINC02837,18:49498978
88,rs201123820-<b>T</b>,3.0000000000000004e-08,opioid dependence,SRP72P1,18:49498978
7,rs9636470-<b>?</b>,3.0000000000000004e-08,alcohol and nicotine codependence,RGPD2,2:87866942
75,rs2825295-<b>T</b>,3.0000000000000004e-08,cocaine dependence,UNKNOWN,21:19031918
283,rs4478858-<b>G</b>,3.0000000000000004e-08,alcohol dependence,SERINC2,1:31411078
85,rs2460187-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90742633
86,rs2443065-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90757239
87,rs2443064-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90757463
84,rs2460186-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90741163
83,rs2443066-<b>?</b>,4e-08,opioid dependence,ADGRV1,5:90738967
196,rs144481999-<b>T</b>,4e-08,nicotine dependence,ARHGAP25,2:68746800
186,rs910083-<b>C</b>,4e-08,nicotine dependence,DNMT3B,20:32790884
155,rs56247223-<b>A</b>,4e-08,nicotine dependence,CACNA2D3,3:54608201
39,rs2629540-<b>?</b>,4e-08,cocaine dependence,FAM53B,10:124737579
81,rs2222243-<b>?</b>,5e-08,opioid dependence,ADGRV1,5:90737880
79,rs2030272-<b>?</b>,5e-08,opioid dependence,ADGRV1,5:90730025
306,rs671-<b>?</b>,5e-08,alcohol dependence,ALDH2,12:111803962
82,rs2443067-<b>?</b>,5e-08,opioid dependence,ADGRV1,5:90738485
216,rs4699741-<b>T</b>,6.000000000000001e-08,alcohol dependence,ADH7,4:99357540
216,rs4699741-<b>T</b>,6.000000000000001e-08,alcohol dependence,ADH1B,4:99357540
222,rs17028615-<b>A</b>,6.000000000000001e-08,alcohol dependence,ADH4,4:99150767
129,rs12284594-<b>G</b>,7e-08,drug dependence,PKNOX2,11:125309957
119,rs118129027-<b>C</b>,8e-08,drug dependence,POU6F2,7:39545812
119,rs118129027-<b>C</b>,8e-08,drug dependence,YAE1,7:39545812
90,rs8036747-<b>?</b>,8e-08,opioid dependence,UNKNOWN,15:93209226
205,rs1789924-<b>T</b>,1e-07,alcohol dependence,ADH7,4:99353129
205,rs1789924-<b>T</b>,1e-07,alcohol dependence,ADH1B,4:99353129
22,rs57602752-<b>A</b>,1e-07,cannabis dependence,LDHAP5,10:118890460
22,rs57602752-<b>A</b>,1e-07,cannabis dependence,RPL17P36,10:118890460
262,rs9512637-<b>C</b>,1e-07,alcohol dependence,LINC01079,13:27346474
262,rs9512637-<b>C</b>,1e-07,alcohol dependence,RNU6-70P,13:27346474
139,rs116441240-<b>T</b>,1e-07,drug dependence,GNAO1,16:56343996
103,rs59675243-<b>A</b>,1e-07,opioid dependence,TACC2,10:122011107
109,rs4860439-<b>T</b>,1e-07,opioid dependence,LINC02619,4:58960564
111,rs115391335-<b>T</b>,1e-07,opioid dependence,LINC00474,9:115944964
116,rs114341823-<b>?</b>,1e-07,opioid dependence,GRIN2B,12:13933717
223,rs2173201-<b>C</b>,1e-07,alcohol dependence,ADH1B,4:99329813
91,rs1872052-<b>?</b>,2e-07,opioid dependence,UNKNOWN,15:93209649
104,rs75449825-<b>G</b>,2e-07,opioid dependence,TACC2,10:122010374
113,rs114341823-<b>T</b>,2e-07,opioid dependence,GRIN2B,12:13933717
115,rs8063946-<b>?</b>,2e-07,opioid dependence,FTO,16:53779586
207,rs1000579-<b>G</b>,2e-07,alcohol dependence,STX18-AS1,4:4717767
105,rs17300532-<b>T</b>,2e-07,opioid dependence,MAP1B,5:72084528
73,rs73404786-<b>A</b>,2e-07,cocaine dependence,NIPA2P1,7:91354149
284,rs6701037-<b>C</b>,2e-07,alcohol dependence,KIAA0040,1:175150943
284,rs6701037-<b>C</b>,2e-07,alcohol dependence,TNN,1:175150943
14,rs4791746-<b>?</b>,2e-07,heroin dependence,MYH10,17:8723039
14,rs4791746-<b>?</b>,2e-07,heroin dependence,CCDC42,17:8723039
77,rs74426341-<b>C</b>,3e-07,cocaine dependence,NIPA2P1,7:91349301
149,rs11500237-<b>C</b>,3e-07,drug dependence,KCNA4,11:30054653
136,rs11764430-<b>T</b>,3e-07,drug dependence,CPVL,7:29022108
117,rs73721103-<b>?</b>,3e-07,opioid dependence,AASS,7:122167872
106,rs58356853-<b>T</b>,3e-07,opioid dependence,TACC2,10:122011617
188,rs6062901-<b>G</b>,3e-07,nicotine dependence,CHRNA4,20:63348909
18,rs2288156-<b>?</b>,3e-07,heroin dependence,CCDC42,17:8741536
143,rs55670624-<b>T</b>,3e-07,drug dependence,RRN3P4,2:142785921
264,rs8040009-<b>T</b>,3e-07,alcohol dependence,C15orf32,15:92501109
92,rs192590503-<b>?</b>,3e-07,opioid dependence,NKAIN2,6:124215869
224,rs1614972-<b>C</b>,4e-07,alcohol dependence,ADH1B,4:99336998
224,rs1614972-<b>C</b>,4e-07,alcohol dependence,ADH1C,4:99336998
112,rs1881736-<b>A</b>,4e-07,opioid dependence,MAPK8,10:48366783
288,rs1000579-<b>?</b>,4e-07,alcohol dependence,STX18-AS1,4:4717767
8,rs1318937-<b>?</b>,4e-07,alcohol and nicotine codependence,CAPN7,3:15253857
8,rs1318937-<b>?</b>,4e-07,alcohol and nicotine codependence,SH3BP5-AS1,3:15253857
49,rs2005290-<b>?</b>,4e-07,cocaine dependence,OR3A2,17:3284718
280,rs6777876-<b>G</b>,4e-07,alcohol dependence,RN7SL147P,3:11915124
280,rs6777876-<b>G</b>,4e-07,alcohol dependence,MARK2P14,3:11915124
47,rs111325002-<b>?</b>,4e-07,cocaine dependence,UNKNOWN,3:96134788
19,chr17:8631468-<b>?</b>,4e-07,heroin dependence,UNKNOWN,Mapping not available
74,rs73721103-<b>T</b>,4e-07,cocaine dependence,AASS,7:122167872
191,rs56116178-<b>G</b>,5e-07,nicotine dependence,FAM163B,9:133595102
50,rs150954431-<b>?</b>,5e-07,cocaine dependence,NCOR2,12:124517777
152,rs77109747-<b>A</b>,5e-07,nicotine dependence,GPR199P,1:34947470
152,rs77109747-<b>A</b>,5e-07,nicotine dependence,DLGAP3,1:34947470
78,rs112894747-<b>C</b>,5e-07,cocaine dependence,FGF18,5:171467315
108,rs113142991-<b>A</b>,6e-07,opioid dependence,LINC01814,2:8512906
93,rs74641711-<b>?</b>,6e-07,opioid dependence,CTDP1,18:79727394
28,rs1019238-<b>?</b>,6e-07,cannabis dependence,ANKFN1,17:56201354
166,rs187632-<b>A</b>,7e-07,nicotine dependence,UNKNOWN,5:5786589
225,rs12639833-<b>C</b>,7e-07,alcohol dependence,ADH1C,4:99346215
225,rs12639833-<b>C</b>,7e-07,alcohol dependence,ADH1B,4:99346215
175,rs148586747-<b>A</b>,7e-07,nicotine dependence,NELL1,11:21450957
114,rs114198947-<b>A</b>,7e-07,opioid dependence,KRT8,12:52911490
268,rs6716455-<b>G</b>,7e-07,alcohol dependence,LINC01818,2:150269889
277,rs9556711-<b>G</b>,8e-07,alcohol dependence,MBNL2,13:97364162
120,rs1417205-<b>A</b>,8e-07,drug dependence,GNG5P5,13:47324744
235,rs2253612-<b>C</b>,8e-07,alcohol dependence,AOX3P,2:200703710
235,rs2253612-<b>C</b>,8e-07,alcohol dependence,AOX3P-AOX2P,2:200703710
4,rs10042968-<b>G</b>,8e-07,alcohol and nicotine codependence,UNKNOWN,5:63737891
234,rs55768019-<b>G</b>,8e-07,alcohol dependence,LINC02268,4:174106365
226,rs2241894-<b>T</b>,8e-07,alcohol dependence,ADH1C,4:99344976
226,rs2241894-<b>T</b>,8e-07,alcohol dependence,ADH1B,4:99344976
94,rs13097862-<b>?</b>,9e-07,opioid dependence,SNTN,3:63733563
94,rs13097862-<b>?</b>,9e-07,opioid dependence,C3orf49,3:63733563
95,rs10995853-<b>?</b>,9e-07,opioid dependence,DBF4P1,10:64259979
26,rs1431318-<b>?</b>,9e-07,cannabis dependence,ANKFN1,17:56115162
169,rs6461441-<b>C</b>,9e-07,nicotine dependence,UNKNOWN,7:19526663
107,rs4300379-<b>G</b>,9e-07,opioid dependence,OR4C46,11:54614287
107,rs4300379-<b>G</b>,9e-07,opioid dependence,OR4C7P,11:54614287
96,rs13279512-<b>?</b>,9e-07,opioid dependence,CLVS1,8:61045943
10,rs17427389-<b>?</b>,1e-06,alcohol and nicotine codependence,PLEKHG1,6:150841979
163,rs12348139-<b>T</b>,1e-06,nicotine dependence,GLIS3,9:4232743
185,rs55828312-<b>G</b>,1e-06,nicotine dependence,CHRNB3,8:42734459
162,rs12680810-<b>A</b>,1e-06,nicotine dependence,UNKNOWN,8:77231908
164,rs10759883-<b>T</b>,1e-06,nicotine dependence,LINC00476,9:95790481
165,rs62392942-<b>T</b>,1e-06,nicotine dependence,SUMO2P1,6:29634161
165,rs62392942-<b>T</b>,1e-06,nicotine dependence,GABBR1,6:29634161
24,rs12491921-<b>?</b>,1e-06,cannabis dependence,LINC00882,3:106570103
308,rs34361428-<b>G</b>,1e-06,alcohol dependence,ADH1B,4:99391552
308,rs34361428-<b>G</b>,1e-06,alcohol dependence,ADH7,4:99391552
236,rs74745534-<b>T</b>,1e-06,alcohol dependence,RHAG,6:49589080
236,rs74745534-<b>T</b>,1e-06,alcohol dependence,CYP2AC1P,6:49589080
285,rs750338-<b>C</b>,1e-06,alcohol dependence,PKNOX2,11:125302697
237,rs181048070-<b>A</b>,1e-06,alcohol dependence,LINC01793,2:59316241
97,rs11163319-<b>?</b>,1e-06,opioid dependence,ADGRL2,1:81506757
98,rs10738186-<b>?</b>,1e-06,opioid dependence,IMP3P1,9:10753414
134,rs16857949-<b>A</b>,1e-06,drug dependence,UNKNOWN,2:142719167
110,rs11728570-<b>T</b>,1e-06,opioid dependence,BMPR1B,4:94826249
238,rs117557854-<b>A</b>,2e-06,alcohol dependence,CNTN5,11:100268439
173,rs61873668-<b>G</b>,2e-06,nicotine dependence,CRTAC1,10:98030641
29,rs8065311-<b>?</b>,2e-06,cannabis dependence,ANKFN1,17:56125999
177,rs188595723-<b>G</b>,2e-06,nicotine dependence,C14orf177,14:98809200
296,rs237899-<b>?</b>,2e-06,alcohol dependence,OXTR,3:8766829
296,rs237899-<b>?</b>,2e-06,alcohol dependence,CAV3,3:8766829
121,rs9900808-<b>A</b>,2e-06,drug dependence,UNKNOWN,17:13159478
270,rs2548145-<b>G</b>,2e-06,alcohol dependence,KRT18P56,5:40134675
193,rs2836823-<b>T</b>,2e-06,nicotine dependence,LINC01700,21:39008323
66,rs71575441-<b>T</b>,2e-06,cocaine dependence,EFNA5,5:107453116
67,rs72685414-<b>A</b>,2e-06,cocaine dependence,UNKNOWN,1:104424250
11,rs1426153-<b>?</b>,2e-06,alcohol and nicotine codependence,PKNOX2,11:125300743
70,rs7675557-<b>A</b>,2e-06,cocaine dependence,HNRNPA3P13,4:82049663
70,rs7675557-<b>A</b>,2e-06,cocaine dependence,RASGEF1B,4:82049663
9,rs1570989-<b>?</b>,2e-06,alcohol and nicotine codependence,HIVEP1,6:12048594
71,rs79309473-<b>T</b>,2e-06,cocaine dependence,CCNA1,13:36398065
71,rs79309473-<b>T</b>,2e-06,cocaine dependence,SPART,13:36398065
210,rs6810498-<b>A</b>,2e-06,alcohol dependence,LINC02357,4:26064749
259,rs2369955-<b>A</b>,2e-06,alcohol dependence,TMEM108,3:132974744
42,rs11944332-<b>?</b>,2e-06,cocaine dependence,HAND2-AS1,4:173633681
154,rs890622-<b>C</b>,2e-06,nicotine dependence,TANC1,2:159108877
144,rs79245542-<b>A</b>,2e-06,drug dependence,HOMER1,5:51549888
157,rs55644503-<b>T</b>,2e-06,nicotine dependence,LINC02240,5:125190620
145,rs6906329-<b>T</b>,2e-06,drug dependence,OFCC1,6:10013095
132,rs148995264-<b>C</b>,2e-06,drug dependence,UNKNOWN,1:80022203
230,rs3131513-<b>G</b>,2e-06,alcohol dependence,RUNX3,1:24866664
230,rs3131513-<b>G</b>,2e-06,alcohol dependence,CLIC4,1:24866664
232,rs804292-<b>G</b>,2e-06,alcohol dependence,NEIL2,8:11786406
239,rs75433892-<b>A</b>,2e-06,alcohol dependence,GNAL,18:11712923
266,rs2154294-<b>G</b>,3e-06,alcohol dependence,UNKNOWN,14:42186072
53,rs11086525-<b>C</b>,3e-06,cocaine dependence,CBLN4,20:55941282
204,rs1372680-<b>A</b>,3e-06,alcohol dependence,ADH1B,4:99383388
204,rs1372680-<b>A</b>,3e-06,alcohol dependence,ADH7,4:99383388
309,rs11950-<b>G</b>,3e-06,alcohol dependence,TMEM14A,6:52668952
309,rs11950-<b>G</b>,3e-06,alcohol dependence,TRAM2-AS1,6:52668952
72,rs806973-<b>A</b>,3e-06,cocaine dependence,H2AC6,6:26148098
72,rs806973-<b>A</b>,3e-06,cocaine dependence,H1-4,6:26148098
46,rs72840936-<b>?</b>,3e-06,cocaine dependence,STEAP3-AS1,2:119266116
45,rs2456778-<b>?</b>,3e-06,cocaine dependence,CDK1,10:60792132
62,rs56401801-<b>A</b>,3e-06,cocaine dependence,ZNF204P,6:27333733
62,rs56401801-<b>A</b>,3e-06,cocaine dependence,VN1R10P,6:27333733
297,rs5968205-<b>?</b>,3e-06,alcohol dependence,TERF1P4,X:83699482
38,rs75686122-<b>?</b>,3e-06,cocaine dependence,RIMS2,8:103561561
37,rs4129566-<b>?</b>,3e-06,cocaine dependence,HAND2-AS1,4:173626006
32,rs11007350-<b>?</b>,3e-06,cannabis dependence,LINC01517,10:29000102
255,rs1864982-<b>A</b>,3e-06,alcohol dependence,PPP2R2B,5:146941260
227,rs6822348-<b>T</b>,3e-06,alcohol dependence,ADH4,4:99132743
181,rs16892135-<b>G</b>,3e-06,nicotine dependence,CC2D2A,4:15540574
305,rs11933661-<b>?</b>,4e-06,alcohol dependence,UNKNOWN,4:130091985
290,rs2810114-<b>?</b>,4e-06,alcohol dependence,PCNX1,14:70928887
299,rs8111589-<b>?</b>,4e-06,alcohol dependence,OPA3,19:45531300
275,rs2140418-<b>C</b>,4e-06,alcohol dependence,ANKS1A,6:35007638
240,rs2400954-<b>C</b>,4e-06,alcohol dependence,PPFIA2,12:81539202
292,rs8062326-<b>T</b>,4e-06,alcohol dependence,ITPRIPL2,16:19144694
292,rs8062326-<b>T</b>,4e-06,alcohol dependence,SYT17,16:19144694
252,rs12388359-<b>T</b>,4e-06,alcohol dependence,CLCN4,X:10263651
298,rs3827730-<b>?</b>,4e-06,alcohol dependence,FAF1,1:50472176
282,rs3738443-<b>A</b>,4e-06,alcohol dependence,ZNF731P,1:247184887
282,rs3738443-<b>A</b>,4e-06,alcohol dependence,ZNF124,1:247184887
158,rs9503551-<b>A</b>,4e-06,nicotine dependence,SLC22A23,6:3340483
16,rs1881509-<b>?</b>,4e-06,heroin dependence,BRSK2,11:1404375
61,rs4734387-<b>A</b>,4e-06,cocaine dependence,POP1,8:98181537
61,rs4734387-<b>A</b>,4e-06,cocaine dependence,NIPAL2,8:98181537
15,rs4739179-<b>?</b>,4e-06,heroin dependence,UNKNOWN,8:77873757
153,rs1060061-<b>T</b>,4e-06,nicotine dependence,NR5A2,1:200174314
137,rs77338073-<b>A</b>,4e-06,drug dependence,RPL9P21,10:44509847
156,rs77114337-<b>T</b>,4e-06,nicotine dependence,SULT1B1,4:69758944
159,rs1760803-<b>A</b>,4e-06,nicotine dependence,HAX1,1:154285418
159,rs1760803-<b>A</b>,4e-06,nicotine dependence,RNU6-239P,1:154285418
56,rs1484873-<b>A</b>,4e-06,cocaine dependence,SLC14A2,18:45627020
23,rs17552189-<b>?</b>,4e-06,cannabis dependence,LINC01122,2:58845834
122,rs1573535-<b>A</b>,4e-06,drug dependence,NELL1,11:21599402
180,rs61109704-<b>C</b>,4e-06,nicotine dependence,CAMSAP2,1:200703078
180,rs61109704-<b>C</b>,4e-06,nicotine dependence,DDX59-AS1,1:200703078
12,rs728115-<b>?</b>,4e-06,alcohol and nicotine codependence,KCND2,7:120665095
182,rs61735963-<b>?</b>,4e-06,nicotine dependence,DVL1,1:1341803
54,rs112252907-<b>T</b>,4e-06,cocaine dependence,RBFOX1,16:6625140
142,rs272043-<b>T</b>,4e-06,drug dependence,DPP10,2:115868208
260,rs1109501-<b>G</b>,4.9999999999999996e-06,alcohol dependence,MUC7,4:70463773
13,rs6028335-<b>?</b>,4.9999999999999996e-06,alcohol and nicotine codependence,LINC01734,20:39216834
6,rs528301-<b>?</b>,4.9999999999999996e-06,alcohol and nicotine codependence,LINC01833,2:44927769
245,rs12632235-<b>T</b>,4.9999999999999996e-06,alcohol dependence,ABI3BP,3:100817440
244,rs62191099-<b>A</b>,4.9999999999999996e-06,alcohol dependence,LINC01940,2:238936057
243,rs10649162-<b>?</b>,4.9999999999999996e-06,alcohol dependence,UNKNOWN,6:153299421
242,rs7199896-<b>T</b>,4.9999999999999996e-06,alcohol dependence,GINS3,16:58339080
241,rs79978308-<b>T</b>,4.9999999999999996e-06,alcohol dependence,B3GALT5,21:39648618
257,rs36563-<b>A</b>,4.9999999999999996e-06,alcohol dependence,PCNX1,14:70885931
257,rs36563-<b>A</b>,4.9999999999999996e-06,alcohol dependence,MAP3K9,14:70885931
300,rs5922838-<b>?</b>,4.9999999999999996e-06,alcohol dependence,POMPP1,X:83616187
123,rs4789400-<b>A</b>,4.9999999999999996e-06,drug dependence,Metazoa_SRP,17:77001815
123,rs4789400-<b>A</b>,4.9999999999999996e-06,drug dependence,MGAT5B,17:77001815
286,rs1344694-<b>?</b>,4.9999999999999996e-06,alcohol dependence,MREG,2:216028914
286,rs1344694-<b>?</b>,4.9999999999999996e-06,alcohol dependence,PECR,2:216028914
215,rs59551326-<b>A</b>,4.9999999999999996e-06,alcohol dependence,RPL13AP7,21:25384656
215,rs59551326-<b>A</b>,4.9999999999999996e-06,alcohol dependence,LINC00158,21:25384656
179,rs199563603-<b>T</b>,4.9999999999999996e-06,nicotine dependence,AK2,1:33075512
160,rs56020557-<b>T</b>,4.9999999999999996e-06,nicotine dependence,GABBR1,6:29596985
161,rs17198023-<b>A</b>,4.9999999999999996e-06,nicotine dependence,ADAMTSL1,9:18194385
31,rs9427573-<b>?</b>,4.9999999999999996e-06,cannabis dependence,UCHL5,1:193026083
281,rs12020569-<b>C</b>,4.9999999999999996e-06,alcohol dependence,RPS20P32,13:27012736
281,rs12020569-<b>C</b>,4.9999999999999996e-06,alcohol dependence,RPS21P8,13:27012736
171,rs5894994-<b>A</b>,4.9999999999999996e-06,nicotine dependence,CCDC26,8:129445289
63,rs57361543-<b>A</b>,4.9999999999999996e-06,cocaine dependence,GHSR,3:172494354
63,rs57361543-<b>A</b>,4.9999999999999996e-06,cocaine dependence,TNFSF10,3:172494354
20,chr8:78718310-<b>?</b>,4.9999999999999996e-06,heroin dependence,UNKNOWN,Mapping not available
21,chr11:1421138-<b>?</b>,4.9999999999999996e-06,heroin dependence,UNKNOWN,Mapping not available
176,rs75012440-<b>A</b>,4.9999999999999996e-06,nicotine dependence,KLF12,13:74057103
208,rs6809441-<b>?</b>,6e-06,alcohol dependence,ULK4,3:41453114
276,rs10253361-<b>T</b>,6e-06,alcohol dependence,UNKNOWN,7:121635175
65,rs67769911-<b>A</b>,6e-06,cocaine dependence,ACTN4P1,4:116685914
17,rs78158938-<b>?</b>,6e-06,heroin dependence,NPM1P18,7:36747191
17,rs78158938-<b>?</b>,6e-06,heroin dependence,AOAH,7:36747191
261,rs10908907-<b>G</b>,6e-06,alcohol dependence,GADD45G,9:89634669
261,rs10908907-<b>G</b>,6e-06,alcohol dependence,UNQ6494,9:89634669
69,rs73973283-<b>A</b>,6e-06,cocaine dependence,UNKNOWN,18:76045951
310,rs2294231-<b>T</b>,6e-06,alcohol dependence,LINC02518,6:113433202
124,rs10455657-<b>T</b>,6e-06,drug dependence,LINC02549,6:68275038
194,rs4142041-<b>G</b>,6e-06,nicotine dependence,CTNNA3,10:66881193
168,rs78018149-<b>A</b>,6e-06,nicotine dependence,SLC25A48,5:135785156
231,rs4440177-<b>A</b>,6e-06,alcohol dependence,MTHFD2P4,4:162321901
289,rs4770403-<b>?</b>,6e-06,alcohol dependence,SGCG,13:23180988
247,rs57126985-<b>C</b>,6e-06,alcohol dependence,UNKNOWN,21:15217712
246,rs17620991-<b>C</b>,6e-06,alcohol dependence,SUGCT,7:40796922
68,rs7332726-<b>A</b>,7e-06,cocaine dependence,MIR4500HG,13:87498629
125,rs9458975-<b>T</b>,7e-06,drug dependence,SYNJ2,6:157968709
125,rs9458975-<b>T</b>,7e-06,drug dependence,SNX9,6:157968709
52,rs10121366-<b>T</b>,7e-06,cocaine dependence,DELEC1,9:115481743
311,rs11245976-<b>A</b>,7e-06,alcohol dependence,MUC5AC,11:1136660
311,rs11245976-<b>A</b>,7e-06,alcohol dependence,MUC2,11:1136660
55,rs148179194-<b>T</b>,7e-06,cocaine dependence,DOCK3,3:50761221
174,rs144182682-<b>A</b>,7e-06,nicotine dependence,LINC02870,10:132474917
174,rs144182682-<b>A</b>,7e-06,nicotine dependence,LINC01165,10:132474917
312,rs1519302-<b>C</b>,7e-06,alcohol dependence,UNKNOWN,2:123207111
303,rs9805786-<b>?</b>,7e-06,alcohol dependence,SPATA13,13:24084217
279,rs4293630-<b>A</b>,7e-06,alcohol dependence,PSMA6P3,21:46025877
279,rs4293630-<b>A</b>,7e-06,alcohol dependence,COL6A1,21:46025877
278,rs933769-<b>T</b>,7e-06,alcohol dependence,LINC00924,15:95509513
167,rs374098-<b>T</b>,7e-06,nicotine dependence,Metazoa_SRP,5:24459734
167,rs374098-<b>T</b>,7e-06,nicotine dependence,CDH10,5:24459734
313,rs1442493-<b>G</b>,7e-06,alcohol dependence,ADH1B,4:99400208
313,rs1442493-<b>G</b>,7e-06,alcohol dependence,ADH7,4:99400208
254,rs13160562-<b>G</b>,7e-06,alcohol dependence,ERAP1,5:96775667
254,rs13160562-<b>G</b>,7e-06,alcohol dependence,CAST,5:96775667
233,rs1793257-<b>A</b>,7e-06,alcohol dependence,OPCML,11:132714224
141,rs115062292-<b>T</b>,7e-06,drug dependence,NRXN1,2:50318451
267,rs237238-<b>A</b>,7e-06,alcohol dependence,HIP1,7:75582098
59,rs35735220-<b>T</b>,7e-06,cocaine dependence,MIR873,9:28963291
25,rs12811699-<b>?</b>,8e-06,cannabis dependence,CHST11,12:104623386
295,rs10893366-<b>?</b>,8e-06,alcohol dependence,PKNOX2,11:125308507
27,rs9507041-<b>?</b>,8e-06,cannabis dependence,LINC00362,13:23170240
294,rs9636231-<b>?</b>,8e-06,alcohol dependence,AHCYP4,2:138914385
302,rs10090288-<b>?</b>,8e-06,alcohol dependence,MICU3,8:17072126
30,rs28372448-<b>?</b>,8e-06,cannabis dependence,PIM3,22:49957323
30,rs28372448-<b>?</b>,8e-06,cannabis dependence,CRELD2,22:49957323
256,rs6902771-<b>C</b>,8e-06,alcohol dependence,ESR1,6:151836746
58,rs334878-<b>A</b>,8e-06,cocaine dependence,MCIDAS,5:55224050
273,rs768048-<b>C</b>,8e-06,alcohol dependence,DCC,18:52759028
269,rs3930234-<b>C</b>,8e-06,alcohol dependence,LINC02054,3:184498342
269,rs3930234-<b>C</b>,8e-06,alcohol dependence,LINC01839,3:184498342
265,rs2827312-<b>G</b>,8e-06,alcohol dependence,RNU4-45P,21:22259356
151,rs1460212-<b>A</b>,8e-06,drug dependence,MYCBPAP,17:50501142
151,rs1460212-<b>A</b>,8e-06,drug dependence,RSAD1,17:50501142
170,rs11779702-<b>G</b>,8e-06,nicotine dependence,GFRA2,8:21639886
