,variant_and_allele,p_value,trait,gene,location,maf
148,rs7920721-<b>G</b>,2e-11,late-onset alzheimers disease,USP6NL-AS1,10:11678309,0.36511280730057066
230,rs11763230-<b>T</b>,3e-11,alzheimer disease,EPHA1-AS1,7:143411748,0.20866396014024727
308,rs2967668-<b>A</b>,3e-11,alzheimer disease,CBLC,19:44799694,0.846116504854369
381,rs1562990-<b>?</b>,4e-11,alzheimer disease,MS4A4A,11:60255614,-1.0
474,rs10948363-<b>G</b>,4.9999999999999995e-11,alzheimer disease,CD2AP,6:47520026,0.2459626677852349
178,rs3935067-<b>?</b>,4.9999999999999995e-11,late-onset alzheimers disease,EPHA1,7:143407238,-1.0
249,rs983392-<b>G</b>,4.9999999999999995e-11,alzheimer disease,LINC02705,11:60156035,0.3358390682901006
249,rs983392-<b>G</b>,4.9999999999999995e-11,alzheimer disease,MS4A2,11:60156035,0.3358390682901006
251,rs11218343-<b>C</b>,6e-11,alzheimer disease,SORL1,11:121564878,0.02727790896506799
393,rs7561528-<b>?</b>,6e-11,alzheimer disease,BIN1,2:127132061,-1.0
393,rs7561528-<b>?</b>,6e-11,alzheimer disease,NIFKP9,2:127132061,-1.0
441,rs58370486-<b>?</b>,6e-11,alzheimer disease,BZW2,7:16668236,-1.0
449,rs11023139-<b>?</b>,6.999999999999999e-11,alzheimer disease,SPON1,11:14202800,-1.0
187,rs7146179-<b>?</b>,6.999999999999999e-11,late-onset alzheimers disease,GNPNAT1,14:52832135,-1.0
187,rs7146179-<b>?</b>,6.999999999999999e-11,late-onset alzheimers disease,FERMT2,14:52832135,-1.0
357,rs394819-<b>T</b>,8e-11,alzheimer disease,TOMM40,19:44901322,0.004825153055930269
725,rs8103315-<b>A</b>,8e-11,alzheimer disease,BCL3,19:44750911,0.11016362219721236
323,rs144261139-<b>A</b>,1e-10,alzheimer disease,NECTIN2,19:44882099,0.008502917318912765
317,rs79638902-<b>T</b>,1e-10,alzheimer disease,CEACAM16-AS1,19:44718495,0.11995505197115834
422,rs2373115-<b>G</b>,1e-10,alzheimer disease,GAB2,11:78380104,-1.0
423,"rs7081208-<b>A</b>, rs17314229-<b>C</b>, rs2446581-<b>A</b>",1e-10,alzheimer disease,FRMD4A; No mapped genes; No mapped genes,10:13949865,0.24057231047019495
671,rs72835061-<b>A</b>,2e-10,alzheimer disease,CHRNE,17:4902142,0.048753623188405794
671,rs72835061-<b>A</b>,2e-10,alzheimer disease,C17orf107,17:4902142,0.048753623188405794
369,rs11754661-<b>A</b>,2e-10,alzheimer disease,MTHFD1L,6:150885942,0.06158340233692152
199,rs1354106-<b>?</b>,2e-10,late-onset alzheimers disease,CD33,19:51234736,-1.0
397,rs12989701-<b>?</b>,3e-10,alzheimer disease,BIN1,2:127130409,-1.0
397,rs12989701-<b>?</b>,3e-10,alzheimer disease,NIFKP9,2:127130409,-1.0
387,"rs6656401-<b>A</b>, rs3818361-<b>A</b>",3e-10,alzheimer disease,CR1; CR1,1:207518704|1:207611623,0.17943424530323596
669,rs4985556-<b>A</b>,4e-10,alzheimer disease,IL34,16:70660097,0.10599406627667242
8,rs616338-<b>T</b>,5e-10,late-onset alzheimers disease,ABI3,17:49219935,0.008465463546263327
9,rs72824905-<b>?</b>,5e-10,late-onset alzheimers disease,PLCG2,16:81908423,-1.0
283,rs11771145-<b>?</b>,5e-10,alzheimer disease,EPHA1-AS1,7:143413669,-1.0
193,rs28394864-<b>?</b>,5e-10,late-onset alzheimers disease,ZNF652,17:49373413,-1.0
193,rs28394864-<b>?</b>,5e-10,late-onset alzheimers disease,PHB,17:49373413,-1.0
506,rs6701713-<b>A</b>,5e-10,alzheimer disease,CR1,1:207612944,0.20343183135000223
714,rs6431220-<b>A</b>,5e-10,alzheimer disease,NIFKP9,2:127122873,0.24943222373629226
714,rs6431220-<b>A</b>,5e-10,alzheimer disease,BIN1,2:127122873,0.24943222373629226
512,rs11767557-<b>?</b>,6e-10,alzheimer disease,EPHA1-AS1,7:143412046,-1.0
386,"rs9331888-<b>G</b>, rs2279590-<b>C</b>, rs11136000-<b>C</b>",6e-10,alzheimer disease,CLU; CLU; No mapped genes,8:27611345|8:27598736,0.2922632158590308
13,rs139967528-<b>G</b>,6e-10,late-onset alzheimers disease,ATP5F1C,10:7799848,9.661680166180898e-05
482,rs1476679-<b>T</b>,6e-10,alzheimer disease,ZCWPW1,7:100406823,0.7210453577416285
194,rs2632516-<b>?</b>,7.000000000000001e-10,late-onset alzheimers disease,TSPOAP1-AS1,17:58331728,-1.0
297,rs7175766-<b>?</b> x rs3733980-<b>?</b>,7.000000000000001e-10,alzheimer disease,No mapped genes x WWC1,5:168441804,-1.0
172,rs6891966-<b>?</b>,8e-10,late-onset alzheimers disease,HAVCR2,5:157099320,-1.0
313,rs13025717-<b>T</b>,8e-10,alzheimer disease,NIFKP9,2:127128582,0.28544123364001556
313,rs13025717-<b>T</b>,8e-10,alzheimer disease,BIN1,2:127128582,0.28544123364001556
202,rs2154482-<b>?</b>,8e-10,late-onset alzheimers disease,APP,21:26148613,-1.0
417,rs11136000-<b>?</b>,9e-10,alzheimer disease,UNKNOWN,Mapping not available,-1.0
306,rs35568738-<b>G</b>,9e-10,alzheimer disease,TOMM40,19:44899461,0.9867553433378808
224,rs2632516-<b>C</b>,1e-09,alzheimer disease,TSPOAP1-AS1,17:58331728,0.3452783211808643
195,rs6504163-<b>?</b>,1e-09,late-onset alzheimers disease,PPIAP55,17:63468418,-1.0
195,rs6504163-<b>?</b>,1e-09,late-onset alzheimers disease,CYB561,17:63468418,-1.0
462,rs117964204-<b>?</b>,1e-09,alzheimer disease,CACNA1G,17:50614721,-1.0
418,rs3851179-<b>?</b>,1e-09,alzheimer disease,RNU6-560P,11:86157598,-1.0
418,rs3851179-<b>?</b>,1e-09,alzheimer disease,LINC02695,11:86157598,-1.0
171,rs871269-<b>?</b>,1e-09,late-onset alzheimers disease,TNIP1,5:151052827,-1.0
675,rs876461-<b>A</b>,1e-09,alzheimer disease,PRKD3,2:37288815,0.06345800122624157
726,rs2967668-<b>G</b>,2e-09,alzheimer disease,CBLC,19:44799694,0.15388349514563107
327,rs79701229-<b>A</b>,2e-09,alzheimer disease,NECTIN2,19:44881674,0.007146638433033351
315,rs35336243-<b>T</b>,2e-09,alzheimer disease,APOC1P1,19:44939262,0.3332335329341317
315,rs35336243-<b>T</b>,2e-09,alzheimer disease,APOC4,19:44939262,0.3332335329341317
698,rs570487962-<b>?</b>,2e-09,alzheimer disease,LINC02254,15:97449455,-1.0
192,rs708382-<b>?</b>,2e-09,late-onset alzheimers disease,RPL7L1P5,17:44364976,-1.0
192,rs708382-<b>?</b>,2e-09,late-onset alzheimers disease,FAM171A2,17:44364976,-1.0
551,rs1582763-<b>G</b>,2e-09,alzheimer disease,MS4A4A,11:60254475,0.6328071997230875
407,rs115550680-<b>G</b>,2e-09,alzheimer disease,ABCA7,19:1050421,0.010957403095466374
511,rs3865444-<b>?</b>,2e-09,alzheimer disease,SIGLEC22P,19:51224706,-1.0
511,rs3865444-<b>?</b>,2e-09,alzheimer disease,CD33,19:51224706,-1.0
200,rs1761461-<b>?</b>,2e-09,late-onset alzheimers disease,VN1R104P,19:54313903,-1.0
200,rs1761461-<b>?</b>,2e-09,late-onset alzheimers disease,LILRA5,19:54313903,-1.0
715,rs4748424-<b>G</b>,3.0000000000000004e-09,alzheimer disease,MRC1,10:17846684,0.1225381414701803
383,rs536841-<b>?</b>,3.0000000000000004e-09,alzheimer disease,PICALM,11:86076782,-1.0
383,rs536841-<b>?</b>,3.0000000000000004e-09,alzheimer disease,RNU6-560P,11:86076782,-1.0
293,rs4147929-<b>?</b>,3.0000000000000004e-09,alzheimer disease,ABCA7,19:1063444,-1.0
176,rs5011436-<b>?</b>,3.0000000000000004e-09,late-onset alzheimers disease,TMEM106B,7:12229132,-1.0
180,rs61732533-<b>?</b>,3.0000000000000004e-09,late-onset alzheimers disease,OPLAH,8:144053248,-1.0
560,APOE-<b>E3</b>,4e-09,alzheimer disease,UNKNOWN,Mapping not available,-1.0
309,rs76692773-<b>C</b>,4e-09,alzheimer disease,TOMM40,19:44890954,0.9210679048171794
514,rs679515-<b>T</b>,4e-09,alzheimer disease,CR1,1:207577223,0.24320987654320989
292,rs10948363-<b>?</b>,5e-09,alzheimer disease,CD2AP,6:47520026,-1.0
469,rs2718058-<b>A</b>,5e-09,alzheimer disease,GPR141,7:37801932,0.6452050570459451
469,rs2718058-<b>A</b>,5e-09,alzheimer disease,EPDR1,7:37801932,0.6452050570459451
314,rs3818361-<b>A</b>,5e-09,alzheimer disease,CR1,1:207611623,0.20198008855994087
226,rs9381563-<b>C</b>,5e-09,alzheimer disease,CD2AP-DT,6:47464901,0.3976708200993566
226,rs9381563-<b>C</b>,5e-09,alzheimer disease,B3GNTL1P2,6:47464901,0.3976708200993566
220,rs11257238-<b>T</b>,5e-09,alzheimer disease,ECHDC3,10:11675398,0.670691637916872
220,rs11257238-<b>T</b>,5e-09,alzheimer disease,USP6NL-AS1,10:11675398,0.670691637916872
678,rs920608-<b>C</b>,5e-09,alzheimer disease,SCARB2,4:76217307,0.02967359050445104
678,rs920608-<b>C</b>,5e-09,alzheimer disease,FAM47E,4:76217307,0.02967359050445104
169,rs7597763-<b>?</b>,5e-09,late-onset alzheimers disease,INPP5D,2:233173931,-1.0
149,rs138190086-<b>A</b>,5e-09,late-onset alzheimers disease,PPIAP55,17:63460787,0.015457914240338804
149,rs138190086-<b>A</b>,5e-09,late-onset alzheimers disease,CYB561,17:63460787,0.015457914240338804
487,rs10498633-<b>G</b>,6.000000000000001e-09,alzheimer disease,SLC24A4,14:92460608,0.7940214402192267
291,rs28834970-<b>?</b>,6.000000000000001e-09,alzheimer disease,PTK2B,8:27337604,-1.0
555,rs2732703-<b>T</b>,6.000000000000001e-09,alzheimer disease,ARL17B,17:46275856,0.8636898458642194
727,rs111371860-<b>T</b>,6.000000000000001e-09,alzheimer disease,NECTIN2,19:44842530,0.05802626005929691
727,rs111371860-<b>T</b>,6.000000000000001e-09,alzheimer disease,BCAM,19:44842530,0.05802626005929691
238,rs1859788-<b>A</b>,6.000000000000001e-09,alzheimer disease,PILRA,7:100374211,0.3136458306549073
672,rs7342692-<b>T</b>,6.000000000000001e-09,alzheimer disease,PLCG2,16:81870119,0.13084795321637427
142,rs593742-<b>A</b>,7.000000000000001e-09,late-onset alzheimers disease,ADAM10,15:58753575,0.6961603613777527
142,rs593742-<b>A</b>,7.000000000000001e-09,late-onset alzheimers disease,SNORD3P1,15:58753575,0.6961603613777527
215,rs11168036-<b>T</b>,7.000000000000001e-09,alzheimer disease,HBEGF,5:140327854,0.5129188762270112
215,rs11168036-<b>T</b>,7.000000000000001e-09,alzheimer disease,PFDN1,5:140327854,0.5129188762270112
310,rs640345-<b>T</b>,8e-09,alzheimer disease,KIR3DL2,19:54851404,0.445994599459946
484,rs17125944-<b>C</b>,8e-09,alzheimer disease,FERMT2,14:52933911,0.08903812824956672
321,rs192775394-<b>C</b>,8e-09,alzheimer disease,MARK4,19:45168224,0.0021704605611434623
321,rs192775394-<b>C</b>,8e-09,alzheimer disease,TRAPPC6A,19:45168224,0.0021704605611434623
510,rs9349407-<b>C</b>,9.000000000000001e-09,alzheimer disease,CD2AP,6:47485642,0.2478030704076231
183,rs3740688-<b>?</b>,9.000000000000001e-09,late-onset alzheimers disease,SPI1,11:47358789,-1.0
426,rs6738962-<b>?</b>,1e-08,alzheimer disease,CTNNA2,2:80054047,-1.0
729,rs10409808-<b>G</b>,1e-08,alzheimer disease,APOC4,19:44943004,0.0035810205908683975
729,rs10409808-<b>G</b>,1e-08,alzheimer disease,APOC4-APOC2,19:44943004,0.0035810205908683975
483,rs10838725-<b>C</b>,1e-08,alzheimer disease,CELF1,11:47536319,0.25849655902593965
312,rs3851179-<b>C</b>,1e-08,alzheimer disease,RNU6-560P,11:86157598,0.6389482980282841
312,rs3851179-<b>C</b>,1e-08,alzheimer disease,LINC02695,11:86157598,0.6389482980282841
439,rs11154851-<b>?</b>,1e-08,alzheimer disease,PDE7B,6:136046867,-1.0
437,rs148763909-<b>?</b>,1e-08,alzheimer disease,SAP30L,5:154457546,-1.0
431,rs4700060-<b>?</b>,1e-08,alzheimer disease,ANKRD55,5:56214829,-1.0
730,rs2927439-<b>G</b>,1e-08,alzheimer disease,BCL3,19:44739483,0.3590473725084132
730,rs2927439-<b>G</b>,1e-08,alzheimer disease,CEACAM16-AS1,19:44739483,0.3590473725084132
277,rs4704171-<b>?</b>,1e-08,alzheimer disease,ANKRD31,5:75072429,-1.0
167,rs115186657-<b>?</b>,1e-08,late-onset alzheimers disease,FHL2,2:105618971,-1.0
167,rs115186657-<b>?</b>,1e-08,late-onset alzheimers disease,NCK2,2:105618971,-1.0
267,rs7225151-<b>?</b>,1e-08,alzheimer disease,SCIMP,17:5233752,-1.0
267,rs7225151-<b>?</b>,1e-08,alzheimer disease,ZNF594-DT,17:5233752,-1.0
218,rs9749589-<b>T</b>,2e-08,alzheimer disease,NFIC,19:3405594,0.9244530244530245
394,rs17817600-<b>?</b>,2e-08,alzheimer disease,PICALM,11:85966428,-1.0
205,rs2280575-<b>?</b>,2e-08,late-onset alzheimers disease,LRIG1,3:66492439,-1.0
204,rs189753894-<b>?</b>,2e-08,late-onset alzheimers disease,CACNA1A,19:13513675,-1.0
198,rs2452170-<b>?</b>,2e-08,late-onset alzheimers disease,MAMSTR,19:48710247,-1.0
198,rs2452170-<b>?</b>,2e-08,late-onset alzheimers disease,FUT2,19:48710247,-1.0
455,rs17393344-<b>?</b>,2e-08,alzheimer disease,MYO16,13:108821598,-1.0
232,rs7657553-<b>A</b>,2e-08,alzheimer disease,LINC02360,4:11721611,0.2686606670195871
