,variant_and_allele,p_value,trait,gene
42,rs112968809-<b>A</b>,3.0000000000000004e-08,bipolar I disorder,TTBK2
41,rs12226877-<b>A</b>,3.0000000000000004e-08,bipolar I disorder,FADS1
41,rs12226877-<b>A</b>,3.0000000000000004e-08,bipolar I disorder,FADS2
89,rs4748468-<b>G</b>,3.0000000000000004e-08,bipolar I disorder,CACNB2
86,rs7013693-<b>G</b>,3.0000000000000004e-08,bipolar I disorder,MSRA
43,rs71395455-<b>A</b>,4e-08,bipolar I disorder,UNKNOWN
97,rs12315174-<b>G</b>,4e-08,bipolar I disorder,IFT81
99,rs1924817-<b>A</b>,4e-08,bipolar I disorder,B3GLCT
44,rs2240917-<b>T</b>,5e-08,bipolar I disorder,ITIH4
104,rs11650008-<b>C</b>,5e-08,bipolar I disorder,PIGW
104,rs11650008-<b>C</b>,5e-08,bipolar I disorder,MYO19
112,rs11127876-<b>?</b>,5e-08,bipolar I disorder,CADM2
45,rs1850-<b>C</b>,6.000000000000001e-08,bipolar I disorder,KCNG1
46,rs9295358-<b>A</b>,7e-08,bipolar I disorder,RPS6KA2
111,rs75928006-<b>?</b>,9e-08,bipolar I disorder,RNU6-751P
111,rs75928006-<b>?</b>,9e-08,bipolar I disorder,MIR522
48,rs6848834-<b>T</b>,1e-07,bipolar I disorder,IL21
47,rs4794820-<b>G</b>,1e-07,bipolar I disorder,LRRC3C
114,rs10106565-<b>?</b>,1e-07,bipolar I disorder,ERI1
114,rs10106565-<b>?</b>,1e-07,bipolar I disorder,RPL10P19
6,rs960145-<b>A</b>,2e-07,bipolar I disorder,RPS6KA2
49,rs10147900-<b>T</b>,2e-07,bipolar I disorder,LINC02280
49,rs10147900-<b>T</b>,2e-07,bipolar I disorder,TMEM179
50,rs57681866-<b>G</b>,2e-07,bipolar I disorder,ACTG1P22
51,rs10092482-<b>T</b>,2e-07,bipolar I disorder,RRS1-AS1
52,rs2052387-<b>A</b>,2e-07,bipolar I disorder,RPSAP12
52,rs2052387-<b>A</b>,2e-07,bipolar I disorder,LINC02384
53,rs10058613-<b>C</b>,2e-07,bipolar I disorder,KDM3B
54,rs11972012-<b>G</b>,2e-07,bipolar I disorder,MYO1G
54,rs11972012-<b>G</b>,2e-07,bipolar I disorder,PURB
55,rs13231398-<b>G</b>,2e-07,bipolar I disorder,UNKNOWN
13,chr2_181742430_D-<b>?</b>,3e-07,bipolar I disorder,UNKNOWN
15,rs138321-<b>A</b>,3e-07,bipolar I disorder,SLC25A17
14,rs12754946-<b>T</b>,3e-07,bipolar I disorder,AK5
7,rs181957530-<b>C</b>,3e-07,bipolar I disorder,FSTL5
12,rs73222936-<b>A</b>,3e-07,bipolar I disorder,MESTP3
12,rs73222936-<b>A</b>,3e-07,bipolar I disorder,LINC02364
11,rs2388334-<b>G</b>,3e-07,bipolar I disorder,EIF4EBP2P3
11,rs2388334-<b>G</b>,3e-07,bipolar I disorder,HLA-DRB5
10,rs6065777-<b>T</b>,3e-07,bipolar I disorder,STK4
9,rs17395886-<b>C</b>,3e-07,bipolar I disorder,FSTL5
8,rs6090435-<b>G</b>,3e-07,bipolar I disorder,EEF1A2
8,rs6090435-<b>G</b>,3e-07,bipolar I disorder,PPDPF
16,rs73496688-<b>A</b>,4e-07,bipolar I disorder,TENM4
17,rs60960031-<b>G</b>,4e-07,bipolar I disorder,NUTF2P8
18,rs4301023-<b>T</b>,4e-07,bipolar I disorder,UNKNOWN
19,rs35755081-<b>A</b>,4e-07,bipolar I disorder,RNU4-74P
19,rs35755081-<b>A</b>,4e-07,bipolar I disorder,TMEM178B
20,rs56158970-<b>G</b>,4e-07,bipolar I disorder,LINC01392
21,rs546671-<b>A</b>,4e-07,bipolar I disorder,LINC01748
22,rs1331621-<b>T</b>,4e-07,bipolar I disorder,BRINP1
23,rs78014668-<b>C</b>,5e-07,bipolar I disorder,MAPK8IP1
26,rs10745843-<b>A</b>,5e-07,bipolar I disorder,ANKS1B
25,rs8047469-<b>G</b>,5e-07,bipolar I disorder,PRSS36
27,rs11647445-<b>G</b>,5e-07,bipolar I disorder,GRIN2A
28,rs7314975-<b>A</b>,5e-07,bipolar I disorder,DHH
28,rs7314975-<b>A</b>,5e-07,bipolar I disorder,RHEBL1
24,rs78381888-<b>A</b>,5e-07,bipolar I disorder,ANKRD23
24,rs78381888-<b>A</b>,5e-07,bipolar I disorder,CNNM3
56,rs1948223-<b>C</b>,6e-07,bipolar I disorder,LINC01378
29,rs3026433-<b>G</b>,6e-07,bipolar I disorder,ATP2A2
30,rs55648125-<b>G</b>,6e-07,bipolar I disorder,UNKNOWN
113,rs7914868-<b>?</b>,7e-07,bipolar I disorder,CUBN
57,rs7613933-<b>G</b>,7e-07,bipolar I disorder,WDR49
60,rs115858175-<b>G</b>,8e-07,bipolar I disorder,LINC01221
58,rs6079463-<b>G</b>,8e-07,bipolar I disorder,MACROD2
59,rs998817-<b>T</b>,8e-07,bipolar I disorder,LINC01378
61,rs111998037-<b>C</b>,8e-07,bipolar I disorder,ANKHD1-EIF4EBP3
61,rs111998037-<b>C</b>,8e-07,bipolar I disorder,ANKHD1
62,rs9521159-<b>G</b>,8e-07,bipolar I disorder,MYO16
63,rs11917269-<b>G</b>,9e-07,bipolar I disorder,CACNA2D2
64,rs7858026-<b>T</b>,1e-06,bipolar I disorder,ASTN2
66,rs9371601-<b>T</b>,1e-06,bipolar I disorder,SYNE1
65,rs143685090-<b>C</b>,1e-06,bipolar I disorder,RPSAP74
