"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs9627183-<b>C</b>,"3 x 10-6",,0.03,'-,'-,'-,'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000235,22:47888765
rs11134178-<b>T</b>,"3 x 10-6",,0.05,'-,'-,'-,"LINC02196, LINC02236","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000235,5:6834054
rs3047819-<b>T</b>,"2 x 10-8",(males),NR,'-,"0.097 unit decrease",[0.064-0.13],MEF2C,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,5:88879383
rs8039398-<b>T</b>,"3 x 10-8",(males),NR,'-,"0.094 unit decrease",[0.061-0.127],SEMA6D,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,15:47438673
rs200508662-<b>T</b>,"3 x 10-8",(males),NR,'-,"0.131 unit increase",[0.084-0.178],'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,5:121055487
rs145108385-<b>A</b>,"2 x 10-7",(males),NR,'-,"0.098 unit increase",[0.061-0.135],"ZNF131, ANXA2R","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,5:43054645
rs112984125-<b>A</b>,"2 x 10-7",(males),NR,'-,"0.097 unit decrease",[0.06-0.134],"KDM4A-AS1, ST3GAL3","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,1:43707752
rs142458453-<b>T</b>,"5 x 10-7",(males),NR,'-,"0.104 unit increase",[0.063-0.145],"DENND5B, LINC02387","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,12:31377392
rs56135409-<b>A</b>,"6 x 10-7",(males),NR,'-,"0.087 unit decrease",[0.054-0.12],SGO1-AS1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,3:20683524
rs11317767-<b>G</b>,"6 x 10-7",(males),NR,'-,"0.087 unit increase",[0.054-0.12],"MFSD6L, SPDYE4","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,17:8770824
rs9746958-<b>A</b>,"7 x 10-7",(males),NR,'-,"0.311 unit increase",[0.19-0.43],GNPATP,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,16:60584735
rs74129883-<b>A</b>,"7 x 10-7",(males),NR,'-,"0.218 unit decrease",[0.13-0.3],"ZNF488, ANXA8","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST005362,10:47411236
rs7181782-<b>C</b>,"9 x 10-8",(females),NR,'-,"0.17 unit decrease",[0.11-0.23],"ARNT2, LINC00927","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,15:80394651
rs4984687-<b>T</b>,"2 x 10-7",(females),NR,'-,"0.168 unit decrease",[0.11-0.23],FBXL16,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,16:704314
rs28600876-<b>C</b>,"7 x 10-7",(females),NR,'-,"0.134 unit increase",[0.081-0.187],"ANO1, FGF3","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,11:69890712
rs114247285-<b>A</b>,"8 x 10-7",(females),NR,'-,"0.339 unit increase",[0.2-0.47],"BIN2P2, SAP18P1","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,5:76044157
rs9941217-<b>C</b>,"9 x 10-7",(females),NR,'-,"0.128 unit increase",[0.077-0.179],"NPIPA8, RPL7P47","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,16:17957069
rs142295881-<b>A</b>,"1 x 10-6",(females),NR,'-,"0.465 unit decrease",[0.28-0.65],"MLIP-AS1, MLIP","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,6:54034290
rs79891548-<b>T</b>,"1 x 10-6",(females),NR,'-,"0.216 unit decrease",[0.13-0.3],CSRNP3,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,2:165481308
rs150844750-<b>T</b>,"2 x 10-6",(females),NR,'-,"0.25 unit decrease",[0.15-0.35],RANBP2,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,2:108742827
rs71450738-<b>T</b>,"2 x 10-6",(females),NR,'-,"0.118 unit decrease",[0.069-0.167],SOX5,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,12:24045898
rs770082-<b>A</b>,"2 x 10-6",(females),NR,'-,"0.12 unit increase",[0.071-0.169],"DUSP6, POC1B","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012597,12:89382708
rs117354149-<b>C</b>,"3 x 10-6",,0.085,'-,'-,'-,SETD5,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010221,3:9464601
rs9513794-<b>T</b>,"8 x 10-6",,0.326,'-,'-,'-,NALCN-AS1,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010221,13:100749970
rs61913097-<b>C</b>,"3 x 10-6",,0.182,'-,'-,'-,ERC1,"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)","attention deficit hyperactivity disorder",'-,GCST010220,12:1340033
rs11917999-<b>G</b>,"4 x 10-6",,0.222,'-,'-,'-,SOX2-OT,"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)","attention deficit hyperactivity disorder",'-,GCST010220,3:181538459
rs117059665-<b>T</b>,"5 x 10-6",,0.048,'-,'-,'-,FGFR2,"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)","attention deficit hyperactivity disorder",'-,GCST010220,10:121570923
rs609728-<b>T</b>,"6 x 10-6",,0.164,'-,'-,'-,ANO4,"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)","attention deficit hyperactivity disorder",'-,GCST010220,12:100981868
rs74490514-<b>T</b>,"9 x 10-6",,0.038,'-,'-,'-,"MTND5P15, LINC01208","Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)","attention deficit hyperactivity disorder",'-,GCST010220,3:176923607
rs6699651-<b>T</b>,"8 x 10-7",,0.106,'-,'-,'-,CAMTA1,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,1:7592327
rs2817619-<b>T</b>,"6 x 10-7",,0.442,'-,'-,'-,"DISP3, LINC01647","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,1:11543006
rs214220-<b>C</b>,"1 x 10-6",,0.5,'-,'-,'-,SKINT1L,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,1:48156510
rs10800919-<b>C</b>,"4 x 10-7",,0.371,'-,'-,'-,"LARP7P1, FMOD","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,1:203367680
rs11119570-<b>A</b>,"1 x 10-7",,0.396,'-,'-,'-,IL19,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,1:206794890
rs16823921-<b>G</b>,"6 x 10-7",,0.333,'-,'-,'-,"TEX41, LINC01412","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,2:144618549
rs7684645-<b>A</b>,"1 x 10-8",,0.387,'-,'-,'-,"APELA, SMIM31","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,4:164874994
rs3116816-<b>A</b>,"2 x 10-7",,0.398,'-,'-,'-,OR2J4P,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,6:29181665
rs6796-<b>C</b>,"3 x 10-7",,0.491,'-,'-,'-,"DAGLB, KDELR2","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,7:6462736
rs12538843-<b>A</b>,"2 x 10-8",,0.287,'-,'-,'-,"POU6F2, YAE1","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,7:39560498
rs6954881-<b>G</b>,"2 x 10-7",,0.472,'-,'-,'-,"RNU6-1335P, CCNJP1","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,7:56302123
rs10868138-<b>C</b>,"7 x 10-7",,0.093,'-,'-,'-,SLC28A3,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,9:84302386
rs74120710-<b>T</b>,"3 x 10-7",,0.157,'-,'-,'-,"CCDC3, CAMK1D","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,10:12895634
rs4945333-<b>G</b>,"9 x 10-7",,0.245,'-,'-,'-,TENM4,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,11:79209774
rs9316596-<b>A</b>,"8 x 10-7",,0.343,'-,'-,'-,LINC00424,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,13:21895101
rs1239704-<b>G</b>,"8 x 10-8",,0.324,'-,'-,'-,"DLEU7, DLEU1","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,13:50578475
rs11074258-<b>C</b>,"4 x 10-8",,0.17,'-,'-,'-,"H3P40, MCTP2","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,15:94227570
rs34396552-<b>G</b>,"5 x 10-8",,0.359,'-,'-,'-,"CIDEA, RNU6-170P","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,18:12286114
rs35493881-<b>?</b>,"8 x 10-8",,0.359,'-,'-,'-,"RPS2P6, RN7SL795P","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,18:70486327
rs6073330-<b>A</b>,"3 x 10-7",,0.481,'-,'-,'-,JPH2,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,20:44108854
rs62214554-<b>G</b>,"3 x 10-7",,0.25,'-,'-,'-,"PFDN4, CYP24A1","Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,20:54190723
rs6015071-<b>A</b>,"2 x 10-7",,0.274,'-,'-,'-,NKILA,"Attention deficit hyperactivity disorder (inattention symptoms)","attention deficit hyperactivity disorder",'-,GCST010219,20:57739583
rs9464011-<b>C</b>,"7 x 10-7",,0.102,'-,'-,'-,"MLIP, MLIP-IT1, MLIP-AS1","Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)","attention deficit hyperactivity disorder",'-,GCST010218,6:54001468
rs34442475-<b>C</b>,"2 x 10-6",,0.412,2.3,'-,[1.41-3.78],UBBP1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST010222,2:136306815
rs2238652-<b>T</b>,"3 x 10-6",,0.289,4.79,'-,[2.28-10.0],"COMP, UPF1","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST010222,19:18831750
rs2015560-<b>?</b>,"2 x 10-6",,NR,2.7808676,'-,[1.83-4.23],'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,21:24656576
rs6686722-<b>?</b>,"3 x 10-8",,NR,2.399808,'-,[1.76-3.27],TNR,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,1:175764827
rs28609353-<b>?</b>,"4 x 10-6",,NR,2.1285653,'-,[1.55-2.93],TRIM51,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,11:55884182
rs61975260-<b>?</b>,"6 x 10-7",,NR,2.0242915,'-,[1.53-2.67],SPATA7,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,14:88429597
rs2410116-<b>?</b>,"4 x 10-7",,NR,2.0036066,'-,[1.53-2.62],'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,8:13815938
rs4778174-<b>?</b>,"1 x 10-6",,NR,1.8681113,'-,[1.45-2.4],OCA2,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,15:27724420
rs28612433-<b>?</b>,"1 x 10-6",,NR,1.8570102,'-,[1.45-2.38],PI4K2B,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,4:25262751
rs4673294-<b>?</b>,"5 x 10-6",,NR,1.8308313,'-,[1.41-2.38],DSTNP5,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,2:204324360
rs35624673-<b>?</b>,"2 x 10-6",,NR,1.819174,'-,[1.42-2.33],FBN3,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,19:8069732
rs9545903-<b>C</b>,"7 x 10-6",,NR,1.747,'-,[1.37-2.228],'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,13:81872778
rs10767556-<b>G</b>,"3 x 10-6",,NR,2.029,'-,[1.509-2.728],ANO3,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,11:26602166
rs13439086-<b>C</b>,"6 x 10-6",,NR,2.162,'-,[1.549-3.018],RN7SL178P,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,8:8516736
rs112686226-<b>G</b>,"6 x 10-6",,NR,2.903,'-,[1.831-4.602],"OLIG1, LINC01548","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,21:33155073
rs77224013-<b>A</b>,"1 x 10-6",,NR,3.869,'-,[2.252-6.647],"LINC01548, IFNAR2","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST006916,21:33171540
rs2842198-<b>A</b>,"8 x 10-9",,0.3976,'-,"0.07193137 unit decrease",[0.047-0.096],"PTPRF, HYI-AS1","Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,1:43465067
rs112361411-<b>T</b>,"2 x 10-13",,0.2913,'-,"0.09819496 unit decrease",[0.072-0.124],"ST3GAL3-AS1, ST3GAL3","Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,1:43718252
rs10789368-<b>A</b>,"1 x 10-9",,0.5467,'-,"0.07337476 unit increase",[0.05-0.097],LINC01360,"Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,1:73348476
rs13023832-<b>A</b>,"2 x 10-9",,0.0924,'-,"0.11864455 unit increase",[0.08-0.157],SPAG16,"Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,2:214355084
rs1484144-<b>T</b>,"2 x 10-8",,0.4821,'-,"0.067868955 unit increase",[0.044-0.092],"LINC01088, NAA11","Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,4:79296443
rs349588-<b>A</b>,"1 x 10-8",,0.6402,'-,"0.07392576 unit decrease",[0.048-0.099],LINC02163,"Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,5:104336166
rs12658032-<b>A</b>,"1 x 10-13",,0.3559,'-,"0.094267026 unit increase",[0.069-0.119],"LINC02163, RNU6-334P","Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,5:104568525
rs78648104-<b>T</b>,"1 x 10-9",,0.8827,'-,"0.12905386 unit increase",[0.088-0.171],TFAP2D,"Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,6:50715296
rs12265655-<b>T</b>,"2 x 10-11",,0.7704,'-,"0.098355666 unit increase",[0.07-0.127],SORCS3,"Attention deficit hyperactivity disorder (MTAG)","attention deficit hyperactivity disorder",'-,GCST012093,10:104984776
rs2823819-<b>C</b>,"7 x 10-7",,0.18,1.65,'-,[NR],MIR99AHG,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,21:16455971
rs1859156-<b>?</b>,"2 x 10-6",,0.79,1.54,'-,[NR],BMPR1B,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,4:94912883
rs438259-<b>?</b>,"4 x 10-6",,0.28,1.49,'-,[NR],HULC,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,6:9030103
rs9810857-<b>T</b>,"6 x 10-6",,0.49,1.41,'-,[NR],"SLC9A9, PBX2P1","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,3:143264057
rs11074889-<b>A</b>,"7 x 10-7",,0.16,1.68,'-,[NR],EMP2,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,16:10539308
rs8074751-<b>?</b>,"1 x 10-6",,0.61,1.45,'-,[NR],CEP112,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,17:65646424
rs4923705-<b>C</b>,"2 x 10-6",,0.27,1.51,'-,[NR],LINC02853,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,15:36001404
rs2602381-<b>A</b>,"4 x 10-6",,0.48,1.42,'-,[NR],"UGT1A10, UGT1A8, UGT1A9","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,2:233675678
rs10487524-<b>T</b>,"9 x 10-6",,0.15,1.6,'-,[NR],'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,7:145144438
rs10011926-<b>?</b>,"8 x 10-6",,0.78,1.49,'-,[NR],ELOVL6,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000684,4:110105771
rs930421-<b>?</b>,"6 x 10-6",(binary),NR,'-,'-,'-,MTA3,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,2:42754099
rs7577925-<b>?</b>,"3 x 10-6",(binary),NR,'-,'-,'-,"NCKAP5, NCKAP5-AS2","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,2:133282947
rs272000-<b>?</b>,"9 x 10-6",(count),NR,'-,'-,'-,DPP10,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,2:115898219
rs17651978-<b>?</b>,"6 x 10-6",(count),NR,'-,'-,'-,FOXP1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,3:70971339
rs8047014-<b>?</b>,"4 x 10-6",(binary),NR,'-,'-,'-,"HAS3, TANGO6","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,16:69101146
rs2290416-<b>?</b>,"9 x 10-6",(count),NR,'-,'-,'-,NAPRT,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,8:143575430
rs7992643-<b>?</b>,"5 x 10-6",(count),NR,'-,'-,'-,"ZIC5, CLYBL","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,13:99902784
rs10767942-<b>?</b>,"8 x 10-6",(count),NR,'-,'-,'-,"WT1-AS, EIF3M","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,11:32500461
rs130575-<b>?</b>,"5 x 10-6",(binary),NR,'-,'-,'-,'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,22:34463801
rs1514928-<b>?</b>,"3 x 10-6",(binary),NR,'-,'-,'-,LINC00644,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,14:62211585
rs1018040-<b>?</b>,"5 x 10-6",(binary),NR,'-,'-,'-,"LINC02869, U3","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,1:218532472
rs11719664-<b>?</b>,"2 x 10-6",(count),NR,'-,'-,'-,ZNF385D,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,3:21913706
rs4147141-<b>?</b>,"6 x 10-6",(count),NR,'-,'-,'-,LINC01707,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,1:69113569
rs522958-<b>?</b>,"1 x 10-6",(binary),NR,'-,'-,'-,CCDC91,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,12:28075634
rs1350666-<b>?</b>,"8 x 10-6",(binary),NR,'-,'-,'-,"EPGN, EREG","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,4:74358873
rs6791644-<b>?</b>,"8 x 10-6",(count),NR,'-,'-,'-,FHIT,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,3:60785375
rs260461-<b>?</b>,"8 x 10-6",(binary),NR,'-,'-,'-,"ZNF8-DT, ZNF544","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,19:58259517
rs17367118-<b>?</b>,"9 x 10-6",(count),NR,'-,'-,'-,'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,2:122884035
rs1918172-<b>?</b>,"5 x 10-6",(count),NR,'-,'-,'-,LINC01876,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000281,2:156031988
rs6968385-<b>T</b>,"2 x 10-6","(earlier onset)",NR,'-,'-,'-,'-,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,7:110407414
rs874426-<b>C</b>,"4 x 10-6","(earlier onset)",NR,'-,'-,'-,NAV2,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,11:19548016
rs17658378-<b>A</b>,"9 x 10-6","(later onset)",NR,'-,'-,'-,TRPS1,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,8:115381846
rs1335515-<b>C</b>,"8 x 10-6","(earlier onset)",NR,'-,'-,'-,SLC35F4,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,14:57918647
rs4810685-<b>C</b>,"7 x 10-6","(earlier onset)",NR,'-,'-,'-,SULF2,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,20:47771969
rs1517484-<b>C</b>,"5 x 10-7","(earlier onset)",NR,'-,'-,'-,NYAP2,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,2:225373194
rs9845475-<b>G</b>,"4 x 10-6","(later onset)",NR,'-,'-,'-,"RPL23AP43, TRIM71","Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,3:32800609
rs3892715-<b>C</b>,"6 x 10-6","(earlier onset)",NR,'-,'-,'-,"MIR1263, XXYLT1","Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,3:195037281
rs1325154-<b>C</b>,"5 x 10-6","(later onset)",NR,'-,'-,'-,'-,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,9:12582565
rs806276-<b>A</b>,"3 x 10-7","(later onset)",NR,'-,'-,'-,MAP3K7,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,6:90497632
rs10039254-<b>A</b>,"8 x 10-6","(later onset)",NR,'-,'-,'-,ADAMTS2,"Attention deficit hyperactivity disorder (time to onset)","attention deficit hyperactivity disorder",'-,GCST000280,5:179143913
rs7442317-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,RPS3AP17,"Attention deficit hyperactivity disorder motor coordination","attention deficit hyperactivity disorder",'-,GCST001030,4:29901430
rs412050-<b>?</b>,"6 x 10-6",,NR,'-,'-,'-,PPM1F-AS1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000246,22:21953147
rs11243897-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,AK8,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000246,9:132742896
rs2587695-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,CFAP221,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST000246,2:119564241
