"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6539267-<b>T</b>,"6 x 10-6",,0.69,1.27,'-,[NR],POLR3B,"Tourette syndrome","Tourette syndrome",'-,GCST001635,12:106391776
rs621942-<b>A</b>,"9 x 10-6",,.24,1.22,'-,[NR],"RNU6-560P, PICALM","Tourette syndrome","Tourette syndrome",'-,GCST001635,11:86072696
rs9393366-<b>A</b>,"8 x 10-6",,0.28,1.27,'-,[NR],RNU6-1060P,"Tourette syndrome","Tourette syndrome",'-,GCST001635,6:23077083
rs5951698-<b>G</b>,"6 x 10-6",,0.0032,5.65,'-,[NR],PHEX,"Tourette syndrome","Tourette syndrome",'-,GCST001635,X:22116540
rs10990268-<b>C</b>,"5 x 10-6",,0.12,1.29,'-,[NR],LINC00587,"Tourette syndrome","Tourette syndrome",'-,GCST001635,9:102740216
rs769111-<b>T</b>,"6 x 10-6",,0.62,1.23,'-,[NR],FZD9,"Tourette syndrome","Tourette syndrome",'-,GCST001635,7:12020180
rs7524258-<b>T</b>,"8 x 10-6",,0.40,1.16,'-,[NR],CAMTA1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,1:7232169
rs35881094-<b>G</b>,"7 x 10-6",,0.43,1.16,'-,[NR],LINC01122,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,2:58695786
rs73070160-<b>T</b>,"3 x 10-6",,0.14,1.24,'-,[NR],FECHP1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,3:34883533
rs4988462-<b>T</b>,"4 x 10-7",,0.42,1.18,'-,[NR],POU1F1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,3:87264203
rs149183310-<b>T</b>,"2 x 10-6",,0.044,1.52,'-,[NR],LSAMP,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,3:116214742
rs61792199-<b>G</b>,"9 x 10-6",,0.15,1.23,'-,[NR],DMP1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,4:22921626
rs859980-<b>C</b>,"7 x 10-6",,0.53,1.15,'-,[NR],NPM1P10,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,6:104053323
rs10973956-<b>A</b>,"7 x 10-6",,0.16,1.23,'-,[NR],"YWHABP1, RNU6-765P","Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,9:38645058
rs7848024-<b>A</b>,"5 x 10-6",,0.27,1.19,'-,[NR],'-,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,9:102810755
rs11021169-<b>G</b>,"8 x 10-6",,0.92,1.3,'-,[NR],'-,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,11:95467263
rs4271390-<b>T</b>,"1 x 10-6",,0.25,1.2,'-,[NR],NECTIN1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,11:119655426
rs6563569-<b>C</b>,"6 x 10-6",,0.44,1.16,'-,[NR],TRPC4,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,13:37686271
rs11149058-<b>T</b>,"1 x 10-6",,0.78,1.22,'-,[NR],"RPL7P44, ACOD1","Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,13:76978136
rs12959570-<b>G</b>,"4 x 10-6",,0.23,1.2,'-,[NR],WDR7,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,18:56666353
rs55797066-<b>C</b>,"8 x 10-6",,0.06,1.33,'-,[NR],"ATP9A, NFATC2","Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,20:51593381
rs28754845-<b>?</b>,"1 x 10-8",,NR,'-,"0.0131 unit increase",NR,NUBPL,"Obsessive compulsive disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","obsessive-compulsive disorder, Tourette syndrome",'-,GCST90016617,14:31560176
rs159961-<b>?</b>,"4 x 10-10",,NR,'-,"0.023 unit increase",NR,RERE,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,1:8424168
rs778371-<b>?</b>,"3 x 10-15",,NR,'-,"0.0291 unit increase",NR,SNORC,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,2:232878399
rs7632834-<b>?</b>,"2 x 10-8",,NR,'-,"0.0206 unit increase",NR,TBC1D5,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,3:17845186
rs1884117-<b>?</b>,"5 x 10-8",,NR,'-,"0.0201 unit decrease",NR,PHF3,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,6:63657468
rs9401593-<b>?</b>,"8 x 10-11",,NR,'-,"0.0239 unit increase",NR,"MIR2113, EIF4EBP2P3","Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,6:98101925
rs7845911-<b>?</b>,"8 x 10-9",,NR,'-,"0.0213 unit decrease",NR,NSD3,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,8:38277894
rs1727302-<b>?</b>,"3 x 10-16",,NR,'-,"0.0301 unit decrease",NR,PITPNM2,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,12:123148383
rs10846580-<b>?</b>,"1 x 10-8",,NR,'-,"0.0209 unit increase",NR,"CCDC92, DNAH10, DNAH10OS","Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,12:123930906
rs12941866-<b>?</b>,"3 x 10-8",,NR,'-,"0.0204 unit increase",NR,"GGNBP2, MYO19","Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,17:36544271
rs4808967-<b>?</b>,"4 x 10-10",,NR,'-,"0.0231 unit increase",NR,YJEFN3,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,19:19529715
rs2053079-<b>?</b>,"2 x 10-8",,NR,'-,"0.0207 unit increase",NR,ZNF536,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,19:30496516
rs1008677-<b>?</b>,"1 x 10-11",,NR,'-,"0.025 unit increase",NR,CACNA1I,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,22:39613331
rs6002655-<b>?</b>,"5 x 10-10",,NR,'-,"0.023 unit increase",NR,TCF20,"Schizophrenia vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, schizophrenia",'-,GCST90016624,22:42207808
rs1222064-<b>?</b>,"4 x 10-8",,NR,'-,"0.0186 unit increase",NR,RNU1-130P,"ADHD vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","attention deficit hyperactivity disorder, Tourette syndrome",'-,GCST90016598,1:96136829
rs933738-<b>?</b>,"3 x 10-8",,NR,'-,"0.0187 unit decrease",NR,KCNH3,"ADHD vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","attention deficit hyperactivity disorder, Tourette syndrome",'-,GCST90016598,12:49549339
rs2011503-<b>?</b>,"6 x 10-9",,NR,'-,"0.0225 unit decrease",NR,'-,"Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, bipolar disorder",'-,GCST90016609,"Mapping not available"
rs12563424-<b>?</b>,"3 x 10-8",,NR,'-,"0.0213 unit increase",NR,'-,"Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, bipolar disorder",'-,GCST90016609,"Mapping not available"
rs3804640-<b>?</b>,"1 x 10-8",,NR,'-,"0.0221 unit decrease",NR,CD47,"Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, bipolar disorder",'-,GCST90016609,3:108074862
rs2388334-<b>?</b>,"1 x 10-12",,NR,'-,"0.0274 unit increase",NR,"EIF4EBP2P3, HLA-DRB5","Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, bipolar disorder",'-,GCST90016609,6:98143746
rs1511237-<b>?</b>,"5 x 10-8",,NR,'-,"0.0211 unit increase",NR,TENM4,"Bipolar disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, bipolar disorder",'-,GCST90016609,11:79403640
rs9847154-<b>?</b>,"4 x 10-9",,NR,'-,"0.0214 unit increase",NR,FOXP1,"Anorexia nervosa vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","anorexia nervosa, Tourette syndrome",'-,GCST90016601,3:70944855
rs1906252-<b>?</b>,"7 x 10-11",,NR,'-,"0.0236 unit decrease",NR,"MIR2113, EIF4EBP2P3","Anorexia nervosa vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","anorexia nervosa, Tourette syndrome",'-,GCST90016601,6:98102413
rs1906252-<b>?</b>,"2 x 10-11",,NR,'-,"0.0213 unit decrease",NR,"MIR2113, EIF4EBP2P3","Autism spectrum disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","Tourette syndrome, autism spectrum disorder",'-,GCST90016603,6:98102413
rs11688767-<b>?</b>,"2 x 10-14",,'-,'-,'-,'-,ACTG1P22,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:57761059
rs11693528-<b>?</b>,"1 x 10-12",,'-,'-,'-,'-,"FTCDNL1, RN7SL717P","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:199871784
rs11866581-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,16:66130620
rs11874716-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,LINC01929,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,18:55083457
rs11887562-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,LINC01830,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:22400520
rs12129573-<b>?</b>,"5 x 10-17",,'-,'-,'-,'-,"RN7SKP19, LINC01360","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,1:73302683
rs12474906-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,"Mapping not available"
rs12658451-<b>?</b>,"2 x 10-16",,'-,'-,'-,'-,"RNU6-334P, LINC02163","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,5:104568336
rs12668848-<b>?</b>,"1 x 10-13",,'-,'-,'-,'-,MAD1L1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,7:1981360
rs12704290-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,"GRM3-AS1, GRM3","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,7:86798310
rs12712388-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,RNA5SP87,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:22323759
rs12826178-<b>?</b>,"6 x 10-10",,'-,'-,'-,'-,"NXPH4, SHMT2","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,12:57228588
rs12894153-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,RTN1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,14:59689975
rs12898460-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,LINC02694,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,15:38694612
rs12958048-<b>?</b>,"1 x 10-12",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,"Mapping not available"
rs13217619-<b>?</b>,"1 x 10-27",,'-,'-,'-,'-,ZSCAN31,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,6:28338894
rs13240464-<b>?</b>,"6 x 10-11",,'-,'-,'-,'-,IMMP2L,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,7:111258859
rs28669119-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,MEF2C-AS1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,5:88909036
rs28681284-<b>?</b>,"6 x 10-12",,'-,'-,'-,'-,CHRNA3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,15:78616223
rs34215985-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,SLC30A9,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,4:42045761
rs35225200-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,"SLC39A8, BANK1","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,4:102225731
rs35346733-<b>?</b>,"8 x 10-10",,'-,'-,'-,'-,CNTN4,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,3:2479638
rs35610290-<b>?</b>,"2 x 10-10",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:193514178
rs35774874-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,"SNX19, RN7SL167P","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,11:130941461
rs36063234-<b>?</b>,"5 x 10-10",,'-,'-,'-,'-,NPAS3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,14:32940606
rs55648125-<b>?</b>,"9 x 10-9",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,"Mapping not available"
rs55661361-<b>?</b>,"2 x 10-11",,'-,'-,'-,'-,NRGN,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,11:124744061
rs58235352-<b>?</b>,"5 x 10-8",,'-,'-,'-,'-,"ACADS, SPPL3","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,12:120748443
rs59979824-<b>?</b>,"4 x 10-9",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:192983614
