"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs56009889-<b>?</b>,"6 x 10-7",,NR,3.0578122,'-,[1.96-4.76],"ATM, C11orf65","Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,11:108326169
rs148619105-<b>?</b>,"1 x 10-7",,NR,1.8587084,'-,[1.47-2.33],TECTA,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,11:121146015
rs186542490-<b>A</b>,"8 x 10-6","(liability model)",0.006,'-,"0.6 unit increase",[0.35-0.85],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:78644638
rs186076999-<b>T</b>,"7 x 10-6","(liability model)",0.006,'-,"0.62 unit increase",[0.35-0.89],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:20013543
rs141521929-<b>T</b>,"4 x 10-6","(liability model)",0.005,'-,"0.62 unit increase",[0.37-0.87],TUSC1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:25669750
rs73865608-<b>A</b>,"1 x 10-6","(liability model)",0.004,'-,"0.63 unit increase",[0.38-0.88],"LINC02273, RNA5SP169","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,4:152043740
rs184614511-<b>T</b>,"6 x 10-6","(liability model)",0.005,'-,"0.64 unit increase",[0.37-0.91],KSR2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:117861676
rs193129245-<b>A</b>,"1 x 10-6","(liability model)",0.005,'-,"0.67 unit increase",[0.4-0.94],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:23318629
rs150061627-<b>T</b>,"5 x 10-6","(liability model)",0.004,'-,"0.68 unit increase",[0.39-0.97],"MIR548Y, MDGA2","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,14:47737481
rs190457471-<b>A</b>,"5 x 10-6","(liability model)",0.004,'-,"0.68 unit increase",[0.39-0.97],"OSER1-DT, GDAP1L1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,20:44233181
rs141387448-<b>T</b>,"4 x 10-6","(liability model)",0.005,'-,"0.68 unit increase",[0.39-0.97],"ZNF438, LINC02664","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,10:31115466
rs117760708-<b>T</b>,"3 x 10-6","(liability model)",0.004,'-,"0.73 unit increase",[0.42-1.04],JPH3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,16:87653662
rs187423924-<b>A</b>,"4 x 10-6","(liability model)",0.004,'-,"0.74 unit increase",[0.43-1.05],AQP4-AS1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,18:26735845
rs181634374-<b>T</b>,"8 x 10-6","(liability model)",0.003,'-,"0.77 unit increase",[0.44-1.1],RPL23AP44,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:121563422
rs145228677-<b>C</b>,"7 x 10-6","(liability model)",0.004,'-,"0.79 unit increase",[0.44-1.14],RPS18P12,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,17:14641688
rs188699384-<b>A</b>,"5 x 10-6","(liability model)",0.003,'-,"0.79 unit increase",[0.46-1.12],MIR924HG,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,18:39619094
rs148003968-<b>A</b>,"5 x 10-6","(liability model)",0.003,'-,"0.81 unit increase",[0.46-1.16],TFEB,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:41696609
rs185867524-<b>A</b>,"5 x 10-6","(liability model)",0.004,'-,"0.86 unit increase",[0.49-1.23],DNAH6,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:84597852
rs117756856-<b>A</b>,"9 x 10-6","(liability model)",0.003,'-,"0.89 unit increase",[0.5-1.28],HDAC9,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:18212452
rs184457411-<b>A</b>,"8 x 10-6","(liability model)",0.003,'-,"0.92 unit increase",[0.51-1.33],SHANK2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,11:70820116
rs180751169-<b>T</b>,"5 x 10-6","(liability model)",0.002,'-,"0.94 unit increase",[0.53-1.35],"ADAM18, ADAM3A","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:39576416
rs188392327-<b>A</b>,"2 x 10-6","(liability model)",0.002,'-,"0.99 unit increase",[0.58-1.4],"UGT1A8, UGT1A10","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:233651485
rs192232892-<b>T</b>,"3 x 10-6","(liability model)",0.002,'-,"0.99 unit increase",[0.58-1.4],TBXAS1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:139942249
rs149839710-<b>A</b>,"9 x 10-6","(liability model)",0.002,'-,"1 unit increase",[0.55-1.45],"KIFC3, CNGB1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,16:57869386
rs150631144-<b>T</b>,"1 x 10-7","(liability model)",0.002,'-,"1.13 unit increase",[0.72-1.54],RNU6-909P,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:28577827
rs8077028-<b>T</b>,"1 x 10-6","(liability model)",0.751,'-,"0.09 unit decrease",[0.051-0.129],"CEP295NL, TIMP2","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,17:78891959
rs2244526-<b>T</b>,"6 x 10-6","(liability model)",0.824,'-,"0.09 unit decrease",[0.051-0.129],SELP,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:169617708
rs17022021-<b>T</b>,"8 x 10-6","(liability model)",0.843,'-,"0.09 unit decrease",[0.051-0.129],RBMS3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,3:28837197
rs1034435-<b>A</b>,"3 x 10-6","(liability model)",0.659,'-,"0.07 unit decrease",[0.031-0.109],TAFA5,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,22:48492443
rs4760243-<b>A</b>,"8 x 10-6","(liability model)",0.566,'-,"0.07 unit decrease",[0.031-0.109],"LINC02388, LRIG3","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:58828030
rs7260181-<b>T</b>,"8 x 10-6","(liability model)",0.57,'-,"0.07 unit decrease",[0.031-0.109],PPP5D1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,19:46595170
rs12716755-<b>A</b>,"6 x 10-6","(liability model)",0.608,'-,"0.07 unit increase",[0.031-0.109],"USP10, KLHL36","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,16:84699678
rs3820443-<b>T</b>,"1 x 10-6","(liability model)",0.611,'-,"0.07 unit increase",[0.031-0.109],PIFO,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:111350283
rs846858-<b>A</b>,"3 x 10-6","(liability model)",0.272,'-,"0.08 unit increase",[0.041-0.119],IGSF23,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,19:44625528
rs5771225-<b>T</b>,"5 x 10-6","(liability model)",0.217,'-,"0.09 unit increase",[0.051-0.129],SELENOO,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,22:50201044
rs7313581-<b>T</b>,"8 x 10-7","(liability model)",0.218,'-,"0.09 unit increase",[0.051-0.129],KRAS,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:25269783
rs2699450-<b>A</b>,"4 x 10-6","(liability model)",0.211,'-,"0.09 unit increase",[0.051-0.129],"CDCA7L, RAPGEF5","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:22018573
rs6945197-<b>T</b>,"6 x 10-6","(liability model)",0.16,'-,"0.09 unit increase",[0.051-0.129],"ZP3P2, PLXNA4","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:136477062
rs184992198-<b>T</b>,"2 x 10-6","(liability model)",0.816,'-,"0.11 unit increase",[0.071-0.149],"BNIP3P13, ZNF90","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,19:20064649
rs115972394-<b>A</b>,"6 x 10-6","(liability model)",0.147,'-,"0.11 unit increase",[0.051-0.169],ATP6V0E2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:149924921
rs73215707-<b>T</b>,"8 x 10-6","(liability model)",0.908,'-,"0.12 unit increase",[0.061-0.179],CYRIA,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:16736702
rs79926713-<b>T</b>,"8 x 10-6","(liability model)",0.082,'-,"0.13 unit increase",[0.071-0.189],SYNGAP1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:33427745
rs73732514-<b>A</b>,"2 x 10-6","(liability model)",0.929,'-,"0.14 unit increase",[0.081-0.199],CTD-2194D22.4,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:1983817
rs62177277-<b>T</b>,"2 x 10-6","(liability model)",0.056,'-,"0.16 unit increase",[0.1-0.22],SESTD1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:179139721
rs73681522-<b>A</b>,"4 x 10-6","(liability model)",0.051,'-,"0.16 unit increase",[0.082-0.238],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:13656708
rs2234017-<b>C</b>,"7 x 10-6","(liability model)",0.056,'-,"0.17 unit increase",[0.092-0.248],TAS2R5,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:141791266
rs147597631-<b>T</b>,"2 x 10-6","(liability model)",0.061,'-,"0.18 unit increase",[0.1-0.26],"TCF15, CSNK2A1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,20:566915
rs145848414-<b>A</b>,"3 x 10-6","(liability model)",0.04,'-,"0.21 unit increase",[0.13-0.29],"HIGD1AP3, SUMO2P6","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:174587111
rs147985478-<b>A</b>,"3 x 10-6","(liability model)",0.977,'-,"0.25 unit increase",[0.15-0.35],PRANCR,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:69997949
rs116050881-<b>T</b>,"6 x 10-7","(liability model)",0.026,'-,"0.25 unit increase",[0.15-0.35],LINC01725,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:29684252
rs144573434-<b>T</b>,"5 x 10-7","(liability model)",0.997,'-,"1.14 unit decrease",[0.69-1.59],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:81079667
rs181228315-<b>A</b>,"2 x 10-6","(liability model)",0.986,'-,"0.35 unit decrease",[0.21-0.49],TMEM94,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,17:75453551
rs147285445-<b>T</b>,"4 x 10-6","(liability model)",0.998,'-,"1.03 unit decrease",[0.6-1.46],ANKRD22,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,10:88850285
rs187295598-<b>T</b>,"6 x 10-6","(liability model)",0.988,'-,"0.34 unit decrease",[0.18-0.5],GPR180,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,13:94628579
rs141976661-<b>A</b>,"5 x 10-7","(liability model)",0.997,'-,"0.88 unit decrease",[0.55-1.21],LINC00624,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:147483513
rs77544685-<b>T</b>,"5 x 10-6","(liability model)",0.013,'-,"0.33 unit decrease",[0.19-0.47],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,11:116082456
rs185170954-<b>A</b>,"9 x 10-6","(liability model)",0.997,'-,"0.82 unit decrease",[0.47-1.17],SEMA3A,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:83870966
rs75635567-<b>T</b>,"5 x 10-6","(liability model)",0.985,'-,"0.3 unit decrease",[0.16-0.44],"BAALC-AS1, BAALC","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:103186989
rs181696879-<b>A</b>,"4 x 10-7","(liability model)",0.994,'-,"0.67 unit decrease",[0.42-0.92],MCPH1-AS1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:6680850
rs146322114-<b>A</b>,"2 x 10-6","(liability model)",0.029,'-,"0.25 unit decrease",[0.15-0.35],PCSK6,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,15:101501820
rs141846544-<b>T</b>,"9 x 10-6","(liability model)",0.996,'-,"0.65 unit decrease",[0.36-0.94],"RNU6-1213P, Y_RNA","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:80432793
rs186588455-<b>A</b>,"6 x 10-6","(liability model)",0.964,'-,"0.22 unit decrease",[0.12-0.32],"MRPL45, NPEPPSP1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,17:38287606
rs140587050-<b>C</b>,"5 x 10-6","(liability model)",0.995,'-,"0.63 unit decrease",[0.36-0.9],IRAK1BP1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:78889320
rs114179644-<b>T</b>,"8 x 10-6","(liability model)",0.969,'-,"0.21 unit decrease",[0.11-0.31],CPSF6,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:69160349
rs145840463-<b>A</b>,"6 x 10-6","(liability model)",0.036,'-,"0.21 unit decrease",[0.11-0.31],CFAP74,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:1950293
rs10075047-<b>A</b>,"5 x 10-6","(liability model)",0.032,'-,"0.21 unit decrease",[0.11-0.31],"CCDC112, CTNNA1P1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:115357977
rs10060040-<b>A</b>,"8 x 10-6","(liability model)",0.053,'-,"0.17 unit decrease",[0.092-0.248],"ADGRV1, CTNND2","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:11930025
rs62179067-<b>T</b>,"8 x 10-7","(liability model)",0.941,'-,"0.16 unit decrease",[0.1-0.22],SESTD1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:179270456
rs56249755-<b>A</b>,"5 x 10-7","(liability model)",0.939,'-,"0.16 unit decrease",[0.1-0.22],FAM240B,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:38711009
rs115317194-<b>T</b>,"2 x 10-6","(liability model)",0.067,'-,"0.15 unit decrease",[0.091-0.209],SLMAP,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,3:57830215
rs75770912-<b>A</b>,"8 x 10-6","(liability model)",0.074,'-,"0.14 unit decrease",[0.081-0.199],AOX1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:200653321
rs7698880-<b>C</b>,"2 x 10-6","(liability model)",0.124,'-,"0.14 unit decrease",[0.081-0.199],UNC93B4,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,4:4148701
rs76816469-<b>T</b>,"1 x 10-6","(liability model)",0.101,'-,"0.12 unit decrease",[0.061-0.179],CDH1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,16:68759780
rs61233297-<b>A</b>,"8 x 10-6","(liability model)",0.094,'-,"0.11 unit decrease",[0.051-0.169],IQGAP2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:76567335
rs853656-<b>T</b>,"4 x 10-6","(liability model)",0.167,'-,"0.09 unit decrease",[0.051-0.129],RASSF8,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:25965239
rs116530595-<b>T</b>,"9 x 10-6","(liability model)",0.018,'-,"0.26 unit increase",[0.14-0.38],"TXN, C9orf152","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:110213589
rs147582129-<b>T</b>,"9 x 10-6","(liability model)",0.016,'-,"0.28 unit increase",[0.16-0.4],FAT3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,11:92422052
rs72998574-<b>T</b>,"2 x 10-6","(liability model)",0.022,'-,"0.28 unit increase",[0.16-0.4],R3HDM2P2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:103969846
rs144471255-<b>A</b>,"3 x 10-6","(liability model)",0.018,'-,"0.31 unit increase",[0.17-0.45],RDX,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,11:110058188
rs144216026-<b>A</b>,"8 x 10-6","(liability model)",0.017,'-,"0.31 unit increase",[0.17-0.45],ABCA8,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,17:68920354
rs137869973-<b>T</b>,"2 x 10-7","(liability model)",0.025,'-,"0.31 unit increase",[0.19-0.43],KCTD9P6,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:31236084
rs72840936-<b>C</b>,"5 x 10-7","(liability model)",0.018,'-,"0.32 unit increase",[0.2-0.44],STEAP3-AS1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:119266116
rs148587130-<b>T</b>,"7 x 10-6","(liability model)",0.013,'-,"0.36 unit increase",[0.2-0.52],NEK10,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,3:27236975
rs185126971-<b>A</b>,"8 x 10-6","(liability model)",0.011,'-,"0.37 unit increase",[0.21-0.53],"ERO1A, PSMC6","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,14:52702250
rs73239797-<b>A</b>,"2 x 10-6","(liability model)",0.013,'-,"0.39 unit increase",[0.23-0.55],"RNU7-188P, SEM1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:96446404
rs113884973-<b>C</b>,"8 x 10-6","(liability model)",0.008,'-,"0.43 unit increase",[0.23-0.63],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:53256902
rs182972826-<b>T</b>,"4 x 10-6","(liability model)",0.007,'-,"0.44 unit increase",[0.24-0.64],SEC24B,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,4:109534350
rs112920270-<b>A</b>,"9 x 10-6","(liability model)",0.008,'-,"0.45 unit increase",[0.25-0.65],STK31,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:23931916
rs141104697-<b>A</b>,"8 x 10-6","(liability model)",0.007,'-,"0.46 unit increase",[0.26-0.66],GTF2H3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:123635804
rs144464515-<b>C</b>,"2 x 10-6","(liability model)",0.01,'-,"0.46 unit increase",[0.26-0.66],"ZNRF4, PTPRS","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,19:5417482
rs191707442-<b>T</b>,"6 x 10-6","(liability model)",0.008,'-,"0.47 unit increase",[0.27-0.67],PPP1R3B,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:9182000
rs150269952-<b>T</b>,"6 x 10-6","(liability model)",0.009,'-,"0.48 unit increase",[0.26-0.7],RASSF5,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:206526352
rs144998240-<b>A</b>,"8 x 10-7","(liability model)",0.006,'-,"0.5 unit increase",[0.3-0.7],COL25A1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,4:109251730
rs138543081-<b>T</b>,"1 x 10-6","(liability model)",0.009,'-,"0.5 unit increase",[0.3-0.7],ZNF462,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:107043881
rs192013290-<b>T</b>,"1 x 10-6","(liability model)",0.006,'-,"0.51 unit increase",[0.29-0.73],HMCN1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:185780742
rs144077517-<b>A</b>,"2 x 10-6","(liability model)",0.005,'-,"0.54 unit increase",[0.32-0.76],SCAPER,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,15:76352686
rs142835438-<b>A</b>,"8 x 10-7","(liability model)",0.007,'-,"0.54 unit increase",[0.32-0.76],"ZBTB10, RPSAP47","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:80555470
rs184695264-<b>T</b>,"4 x 10-6","(liability model)",0.005,'-,"0.58 unit increase",[0.33-0.83],LINC02421,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:67780260
rs921390-<b>T</b>,"1 x 10-6","(liability model)",0.005,'-,"0.58 unit increase",[0.34-0.82],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,5:4515659
rs150291119-<b>A</b>,"3 x 10-6","(liability model)",0.005,'-,"0.6 unit increase",[0.35-0.85],NAALADL2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,3:174769522
rs181990369-<b>A</b>,"4 x 10-6","(liability model)",0.988,'-,"0.37 unit decrease",[0.21-0.53],DLC1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,8:13182155
rs145282773-<b>T</b>,"2 x 10-6","(liability model)",0.997,'-,"1.04 unit decrease",[0.61-1.47],"HMGA2, HMGA2-AS1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,12:65859519
rs147150305-<b>A</b>,"4 x 10-7","(liability model)",0.984,'-,"0.35 unit decrease",[0.21-0.49],PLCL1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:198252846
rs186891871-<b>C</b>,"9 x 10-6","(liability model)",0.998,'-,"0.98 unit decrease",[0.55-1.41],ADGRL2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:81589710
rs142660142-<b>T</b>,"2 x 10-6","(liability model)",0.986,'-,"0.34 unit decrease",[0.2-0.48],LINGO1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,15:77611050
rs139638356-<b>T</b>,"2 x 10-6","(liability model)",0.996,'-,"0.83 unit decrease",[0.48-1.18],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,9:80903300
rs144167489-<b>T</b>,"2 x 10-6","(liability model)",0.017,'-,"0.32 unit decrease",[0.18-0.46],"SUMO1P2, LINC00626","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:168874774
rs115798104-<b>A</b>,"9 x 10-7","(liability model)",0.997,'-,"0.8 unit decrease",[0.49-1.11],MECOM,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,3:169273046
rs146997164-<b>C</b>,"9 x 10-6","(liability model)",0.97,'-,"0.26 unit decrease",[0.14-0.38],"OR7E39P, CCZ1B","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,7:6830481
rs138449900-<b>C</b>,"3 x 10-6","(liability model)",0.996,'-,"0.66 unit decrease",[0.39-0.93],"CNTNAP5, RN7SKP102","Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,2:123951121
rs12661302-<b>C</b>,"3 x 10-6","(liability model)",0.977,'-,"0.25 unit decrease",[0.15-0.35],'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,6:103817252
rs117022236-<b>A</b>,"4 x 10-6","(liability model)",0.995,'-,"0.63 unit decrease",[0.36-0.9],AKR7A3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,1:19288434
rs115443594-<b>T</b>,"4 x 10-6","(liability model)",0.966,'-,"0.22 unit decrease",[0.12-0.32],PRPF19P1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,18:65993723
rs183291664-<b>T</b>,"3 x 10-6","(liability model)",0.996,'-,"0.58 unit decrease",[0.34-0.82],SCAPER,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,15:76713822
rs142076474-<b>A</b>,"4 x 10-6","(liability model)",0.994,'-,"0.58 unit decrease",[0.34-0.82],CEP63,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST003815,3:134501479
