"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs59093387-<b>A</b>,"7 x 10-6",,NR,'-,"52.5822 unit increase",[29.65-75.52],RHOJ,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,14:63217357
rs12045323-<b>T</b>,"7 x 10-6",,NR,'-,"57.5469 unit increase",[32.42-82.68],DRAXIN,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,1:11704224
rs9731813-<b>A</b>,"7 x 10-6",,NR,'-,"27.618 unit decrease",[15.56-39.68],LRRC20,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,10:70368301
rs8032150-<b>C</b>,"7 x 10-6",,NR,'-,"59.4319 unit decrease",[33.47-85.39],FOXB1,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,15:60080022
rs6034559-<b>T</b>,"8 x 10-6",,NR,'-,"66.7955 unit decrease",[37.45-96.14],"RPLP0P1, Y_RNA","Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,20:16640453
rs78907274-<b>A</b>,"9 x 10-6",,NR,'-,"33.5591 unit decrease",[18.75-48.37],PTH2R,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,2:208389154
rs767619-<b>T</b>,"9 x 10-6",,NR,'-,"45.9769 unit decrease",[25.63-66.32],UFL1-AS1,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,6:96391163
rs2077613-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,LINC01987,"Obsessive-compulsive disorder x sex interaction","obsessive-compulsive disorder, sex interaction measurement",'-,GCST007207,17:77643885
rs79886445-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,"LINC01526, SNORA70","Obsessive-compulsive disorder x sex interaction","obsessive-compulsive disorder, sex interaction measurement",'-,GCST007207,6:81808083
rs7578149-<b>?</b>,"2 x 10-6",,NR,'-,"1.917254 unit increase",NR,"RPS16P2, LAPTM4A-DT","Obsessive compulsive disorder severity","obsessive-compulsive disorder, obsessive-compulsive symptom measurement",'-,GCST009818,2:20112677
rs6436908-<b>?</b>,"8 x 10-6",,NR,'-,"1.754016 unit decrease",NR,"SLC16A14, SP110","Obsessive compulsive disorder severity","obsessive-compulsive disorder, obsessive-compulsive symptom measurement",'-,GCST009818,2:230130731
rs11924650-<b>?</b>,"6 x 10-6",,NR,'-,"1.979962 unit increase",NR,CACNA2D3,"Obsessive compulsive disorder severity","obsessive-compulsive disorder, obsessive-compulsive symptom measurement",'-,GCST009818,3:54224911
rs229836-<b>?</b>,"8 x 10-6",,NR,'-,"1.950295 unit increase",NR,'-,"Obsessive compulsive disorder severity","obsessive-compulsive disorder, obsessive-compulsive symptom measurement",'-,GCST009818,14:83401191
rs9615637-<b>?</b>,"2 x 10-6",,NR,'-,"2.343338 unit decrease",NR,'-,"Obsessive compulsive disorder severity","obsessive-compulsive disorder, obsessive-compulsive symptom measurement",'-,GCST009818,22:47789133
rs12504244-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,"KIT, LINC02260","Anorexia nervosa or obsessive-compulsive disorder","anorexia nervosa, obsessive-compulsive disorder",'-,GCST006576,4:54619021
rs75063949-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,CARMIL1,"Anorexia nervosa or obsessive-compulsive disorder","anorexia nervosa, obsessive-compulsive disorder",'-,GCST006576,6:25590813
rs11174202-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,TAFA2,"Anorexia nervosa or obsessive-compulsive disorder","anorexia nervosa, obsessive-compulsive disorder",'-,GCST006576,12:61858476
rs28754845-<b>?</b>,"1 x 10-8",,NR,'-,"0.0131 unit increase",NR,NUBPL,"Obsessive compulsive disorder vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))","obsessive-compulsive disorder, Tourette syndrome",'-,GCST90016617,14:31560176
rs227378-<b>?</b>,"2 x 10-8",,NR,'-,"0.0235 unit decrease",NR,MANBA,"ADHD vs obsessive compulsive disorder (ordinary least squares (OLS))","obsessive-compulsive disorder, attention deficit hyperactivity disorder",'-,GCST90016597,4:102699228
rs9961367-<b>?</b>,"2 x 10-8",,NR,'-,"0.0237 unit increase",NR,KC6,"ADHD vs obsessive compulsive disorder (ordinary least squares (OLS))","obsessive-compulsive disorder, attention deficit hyperactivity disorder",'-,GCST90016597,18:41672373
rs6675366-<b>?</b>,"4 x 10-8",,NR,'-,"0.018 unit increase",NR,"PTPRC, ATP6V1G3","Bipolar disorder vs obsessive compulsive disorder (ordinary least squares (OLS))","obsessive-compulsive disorder, bipolar disorder",'-,GCST90016608,1:198548178
rs12568997-<b>?</b>,"3 x 10-8",,NR,'-,"0.018 unit increase",NR,PKN2-AS1,"Autism spectrum disorder vs obsessive compulsive disorder (ordinary least squares (OLS))","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST90016602,1:88401502
rs11688767-<b>?</b>,"2 x 10-14",,'-,'-,'-,'-,ACTG1P22,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:57761059
rs11693528-<b>?</b>,"1 x 10-12",,'-,'-,'-,'-,"FTCDNL1, RN7SL717P","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:199871784
rs11866581-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,16:66130620
rs11874716-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,LINC01929,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,18:55083457
rs11887562-<b>?</b>,"3 x 10-8",,'-,'-,'-,'-,LINC01830,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:22400520
rs12129573-<b>?</b>,"5 x 10-17",,'-,'-,'-,'-,"RN7SKP19, LINC01360","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,1:73302683
rs12474906-<b>?</b>,"8 x 10-9",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,"Mapping not available"
rs12658451-<b>?</b>,"2 x 10-16",,'-,'-,'-,'-,"RNU6-334P, LINC02163","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,5:104568336
rs12668848-<b>?</b>,"1 x 10-13",,'-,'-,'-,'-,MAD1L1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,7:1981360
rs12704290-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,"GRM3-AS1, GRM3","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,7:86798310
rs12712388-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,RNA5SP87,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:22323759
rs12826178-<b>?</b>,"6 x 10-10",,'-,'-,'-,'-,"NXPH4, SHMT2","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,12:57228588
rs12894153-<b>?</b>,"2 x 10-8",,'-,'-,'-,'-,RTN1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,14:59689975
rs12898460-<b>?</b>,"4 x 10-8",,'-,'-,'-,'-,LINC02694,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,15:38694612
rs12958048-<b>?</b>,"1 x 10-12",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,"Mapping not available"
rs13217619-<b>?</b>,"1 x 10-27",,'-,'-,'-,'-,ZSCAN31,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,6:28338894
rs13240464-<b>?</b>,"6 x 10-11",,'-,'-,'-,'-,IMMP2L,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,7:111258859
rs28669119-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,MEF2C-AS1,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,5:88909036
rs28681284-<b>?</b>,"6 x 10-12",,'-,'-,'-,'-,CHRNA3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,15:78616223
rs34215985-<b>?</b>,"3 x 10-10",,'-,'-,'-,'-,SLC30A9,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,4:42045761
rs35225200-<b>?</b>,"1 x 10-10",,'-,'-,'-,'-,"SLC39A8, BANK1","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,4:102225731
rs35346733-<b>?</b>,"8 x 10-10",,'-,'-,'-,'-,CNTN4,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,3:2479638
rs35610290-<b>?</b>,"2 x 10-10",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,2:193514178
rs35774874-<b>?</b>,"2 x 10-9",,'-,'-,'-,'-,"SNX19, RN7SL167P","Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,11:130941461
rs36063234-<b>?</b>,"5 x 10-10",,'-,'-,'-,'-,NPAS3,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,14:32940606
rs55648125-<b>?</b>,"9 x 10-9",,'-,'-,'-,'-,'-,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,"Mapping not available"
rs55661361-<b>?</b>,"2 x 10-11",,'-,'-,'-,'-,NRGN,"Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)","anorexia nervosa, obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, unipolar depression, autism spectrum disorder, schizophrenia, bipolar disorder",'-,GCST009600,11:124744061
