"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
"rs7893291-<b>C</b>, rs10904299-<b>A</b>, rs11252672-<b>G</b>, rs1901632-<b>A</b>, rs11252715-<b>G</b>, rs11818567-<b>A</b>, rs11252622-<b>G</b>, rs7906409-<b>A</b>, rs416990-<b>A</b>, rs10904323-<b>G</b>, rs1039197-<b>C</b>, rs12251644-<b>C</b>, rs10795187-<b>A</b>, rs313452-<b>C</b>, rs4881340-<b>A</b>, rs11252688-<b>A</b>, rs12775823-<b>A</b>, rs7896112-<b>G</b>, rs10508287-<b>A</b>, rs1838238-<b>A</b>, rs11252674-<b>G</b>, rs313462-<b>G</b>, rs12413638-<b>G</b>, rs2165953-<b>G</b>, rs313435-<b>G</b>, rs2028690-<b>A</b>, rs11252631-<b>G</b>, rs10508290-<b>G</b>, rs387673-<b>G</b>, rs11252679-<b>A</b>, rs372744-<b>A</b>, rs10904321-<b>G</b>, rs10904300-<b>A</b>, rs10904328-<b>G</b>, rs1008042-<b>A</b>, rs1498273-<b>A</b>, rs2088500-<b>G</b>, rs17297024-<b>G</b>, rs7082636-<b>A</b>, rs7900146-<b>A</b>, rs17133585-<b>A</b>, rs313500-<b>G</b>, rs11598678-<b>C</b>, rs2397839-<b>A</b>, rs11252717-<b>G</b>, rs11814411-<b>A</b>, rs10904333-<b>G</b>, rs1498274-<b>A</b>, rs745782-<b>A</b>, rs433430-<b>G</b>, rs2647337-<b>A</b>, rs2123348-<b>G</b>, rs7899916-<b>G</b>, rs10904319-<b>A</b>, rs2894969-<b>G</b>, rs17372054-<b>G</b>, rs569744-<b>G</b>, rs7089195-<b>A</b>, rs374802-<b>G</b>, rs17298157-<b>G</b>, rs7068675-<b>C</b>, rs11252615-<b>A</b>, rs12357812-<b>A</b>, rs313451-<b>A</b>, rs715987-<b>A</b>, rs313445-<b>A</b>, rs1869210-<b>A</b>, rs7080649-<b>A</b>, rs10458787-<b>G</b>, rs1353703-<b>A</b>, rs1838239-<b>G</b>, rs11252607-<b>G</b>, rs7096965-<b>G</b>, rs313438-<b>A</b>, rs10904332-<b>C</b>, rs4146653-<b>A</b>, rs6601855-<b>G</b>, rs11596789-<b>A</b>, rs313455-<b>G</b>, rs1391511-<b>G</b>, rs12255709-<b>A</b>, rs381443-<b>A</b>, rs6601853-<b>G</b>, rs7916170-<b>G</b>, rs17133449-<b>G</b>, rs1443852-<b>A</b>, rs1498271-<b>A</b>, rs10508288-<b>A</b>, rs9423544-<b>A</b>, rs313430-<b>A</b>, rs10904290-<b>A</b>, rs167511-<b>A</b>","8 x 10-8",,NR,1.67,'-,[1.4-1.98],"LINC00705 - AKR1E2; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; LINC00705 - AKR1E2; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; MANCR; LINC00705; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes","Major depressive disorder","unipolar depression",'-,GCST005108,10:4769511|10:4706048|10:4674350
"rs11070668-A,rs11070670-A, rs12440434-A, rs11636875-A, rs2413923-A, rs16961929-G, rs934741-G, rs8031813-A, rs7178573-G, rs11070665-G, rs10519201-C, rs12593599-G, rs12915940-G, rs16952958-A, rs11070664-A, rs4608275-G, rs1007662-G, rs17384124-A, rs12915772-A, rs4775789-A, rs10851473-G, rs4491452-A, rs11638748-G, rs4774529-G, rs7178085-C, rs7164451-A, rs4474633-G, rs10519199-<b>A</b>","4 x 10-6",,NR,1.41,'-,[1.22-1.61],SHC4,"Major depressive disorder","unipolar depression",'-,GCST005108,15:48946587
rs4435501-<b>A</b>,"4 x 10-6",,NR,'-,"0.13 unit increase",[0.071-0.189],SNRNP200,"Major depressive disorder","unipolar depression",'-,GCST005231,2:96315631
rs1874256-<b>A</b>,"9 x 10-6",,NR,'-,"0.07 unit increase",[0.031-0.109],RBMS3,"Major depressive disorder","unipolar depression",'-,GCST005231,3:28952692
rs73063271-<b>A</b>,"6 x 10-6",,NR,'-,"0.17 unit decrease",[0.092-0.248],"ACVR2B-AS1, XYLB","Major depressive disorder","unipolar depression",'-,GCST005231,3:38425758
rs11099341-<b>A</b>,"7 x 10-6",,NR,'-,"0.09 unit decrease",[0.051-0.129],KRT18P54,"Major depressive disorder","unipolar depression",'-,GCST005231,4:135407047
rs342318-<b>A</b>,"6 x 10-6",,NR,'-,"0.1 unit increase",[0.061-0.139],PDGFC,"Major depressive disorder","unipolar depression",'-,GCST005231,4:156867803
rs115981586-<b>A</b>,"8 x 10-6",,NR,'-,"0.21 unit increase",[0.11-0.31],RPS14P7,"Major depressive disorder","unipolar depression",'-,GCST005231,4:160773745
rs56390503-<b>T</b>,"9 x 10-7",,0.11,'-,"0.13 unit increase",[0.071-0.189],FAT1,"Major depressive disorder","unipolar depression",'-,GCST005231,4:186631422
rs2964802-<b>T</b>,"7 x 10-7",,0.28,'-,"0.09 unit increase",[0.051-0.129],DAP-DT,"Major depressive disorder","unipolar depression",'-,GCST005231,5:10820731
rs11743328-<b>T</b>,"7 x 10-6",,NR,'-,"0.1 unit decrease",[0.061-0.139],"APC, LINC02200","Major depressive disorder","unipolar depression",'-,GCST005231,5:112679858
rs144735131-<b>A</b>,"2 x 10-6",,NR,'-,"0.4 unit decrease",[0.24-0.56],H2BC4,"Major depressive disorder","unipolar depression",'-,GCST005231,6:26121050
rs9648182-<b>A</b>,"8 x 10-6",,NR,'-,"0.11 unit decrease",[0.051-0.169],'-,"Major depressive disorder","unipolar depression",'-,GCST005231,7:13755224
rs117715236-<b>A</b>,"4 x 10-6",,NR,'-,"0.24 unit decrease",[0.14-0.34],NRG1,"Major depressive disorder","unipolar depression",'-,GCST005231,8:32600452
rs12547341-<b>A</b>,"5 x 10-6",,NR,'-,"0.08 unit increase",[0.041-0.119],"COLEC10, RN7SKP231","Major depressive disorder","unipolar depression",'-,GCST005231,8:91690290
rs145478122-<b>A</b>,"9 x 10-6",,NR,'-,"0.3 unit decrease",[0.16-0.44],C8orf37-AS1,"Major depressive disorder","unipolar depression",'-,GCST005231,8:95436361
rs10959631-<b>T</b>,"4 x 10-6",,NR,'-,"0.1 unit decrease",[0.061-0.139],'-,"Major depressive disorder","unipolar depression",'-,GCST005231,9:11220986
rs12240686-<b>A</b>,"6 x 10-6",,NR,'-,"0.18 unit decrease",[0.1-0.26],ENO4,"Major depressive disorder","unipolar depression",'-,GCST005231,10:116878671
rs11033303-<b>A</b>,"2 x 10-7",,0.37,'-,"0.09 unit increase",[0.051-0.129],"TRIM44, KRT18P14","Major depressive disorder","unipolar depression",'-,GCST005231,11:35849716
rs80208956-<b>A</b>,"6 x 10-6",,NR,'-,"0.3 unit increase",[0.16-0.44],"FGF19, LTO1","Major depressive disorder","unipolar depression",'-,GCST005231,11:69682501
rs10736455-<b>A</b>,"4 x 10-6",,NR,'-,"0.16 unit decrease",[0.082-0.238],"LINC02550, C11orf53","Major depressive disorder","unipolar depression",'-,GCST005231,11:111193999
rs8050755-<b>T</b>,"9 x 10-6",,NR,'-,"0.11 unit increase",[0.071-0.149],TSC2,"Major depressive disorder","unipolar depression",'-,GCST005231,16:2069186
rs35888008-<b>A</b>,"4 x 10-6",,NR,'-,"0.09 unit increase",[0.051-0.129],"C16orf78, LINC02179","Major depressive disorder","unipolar depression",'-,GCST005231,16:49443361
rs140555-<b>T</b>,"2 x 10-6",,NR,'-,"0.09 unit decrease",[0.051-0.129],PHF21B,"Major depressive disorder","unipolar depression",'-,GCST005231,22:45020016
rs12464040-<b>T</b>,"2 x 10-6",(females),NR,'-,"0.15 unit increase",[0.091-0.209],DNAH6,"Major depressive disorder","unipolar depression",'-,GCST005231,2:84628488
rs1874256-<b>A</b>,"4 x 10-6",(females),NR,'-,"0.1 unit increase",[0.061-0.139],RBMS3,"Major depressive disorder","unipolar depression",'-,GCST005231,3:28952692
rs116569570-<b>A</b>,"5 x 10-6",(females),NR,'-,"0.16 unit decrease",[0.082-0.238],NPFFR2,"Major depressive disorder","unipolar depression",'-,GCST005231,4:71950372
rs187279821-<b>A</b>,"5 x 10-6",(females),NR,'-,"0.42 unit decrease",[0.24-0.6],HSPA4L,"Major depressive disorder","unipolar depression",'-,GCST005231,4:127836228
rs6893200-<b>T</b>,"5 x 10-6",(females),NR,'-,"0.11 unit decrease",[0.071-0.149],DAP-DT,"Major depressive disorder","unipolar depression",'-,GCST005231,5:10806645
rs111404313-<b>A</b>,"4 x 10-6",(females),NR,'-,"0.32 unit decrease",[0.18-0.46],CASP8AP2,"Major depressive disorder","unipolar depression",'-,GCST005231,6:89859111
rs9648182-<b>A</b>,"9 x 10-8",(females),0.12,'-,"0.17 unit decrease",[0.11-0.23],'-,"Major depressive disorder","unipolar depression",'-,GCST005231,7:13755224
rs10227749-<b>T</b>,"4 x 10-6",(females),NR,'-,"0.12 unit increase",[0.061-0.179],DGKB,"Major depressive disorder","unipolar depression",'-,GCST005231,7:14404267
rs17176546-<b>A</b>,"8 x 10-7",(females),0.04,'-,"0.26 unit increase",[0.16-0.36],CACNA2D1,"Major depressive disorder","unipolar depression",'-,GCST005231,7:82251598
rs79225303-<b>T</b>,"2 x 10-6",(females),NR,'-,"0.17 unit decrease",[0.092-0.248],TRAPPC9,"Major depressive disorder","unipolar depression",'-,GCST005231,8:140119737
rs61842316-<b>T</b>,"3 x 10-6",(females),NR,'-,"0.27 unit increase",[0.15-0.39],RSU1,"Major depressive disorder","unipolar depression",'-,GCST005231,10:16711721
rs11613048-<b>A</b>,"8 x 10-6",(females),NR,'-,"0.1 unit decrease",[0.061-0.139],LINC02386,"Major depressive disorder","unipolar depression",'-,GCST005231,12:30201042
rs1448094-<b>T</b>,"1 x 10-6",(females),NR,'-,"0.1 unit increase",[0.061-0.139],"MGAT4C, NTS","Major depressive disorder","unipolar depression",'-,GCST005231,12:85949356
rs73228161-<b>A</b>,"6 x 10-6",(females),NR,'-,"0.19 unit increase",[0.11-0.27],PLXNC1,"Major depressive disorder","unipolar depression",'-,GCST005231,12:94268895
rs139073054-<b>T</b>,"2 x 10-6",(females),NR,'-,"0.35 unit increase",[0.21-0.49],LINC00430,"Major depressive disorder","unipolar depression",'-,GCST005231,13:86999003
rs79306025-<b>A</b>,"2 x 10-6",(females),NR,'-,"0.44 unit increase",[0.26-0.62],'-,"Major depressive disorder","unipolar depression",'-,GCST005231,14:85132448
rs17705482-<b>T</b>,"9 x 10-6",(females),NR,'-,"0.11 unit decrease",[0.051-0.169],COX6CP4,"Major depressive disorder","unipolar depression",'-,GCST005231,15:36543587
rs74031748-<b>A</b>,"7 x 10-6",(females),NR,'-,"0.19 unit decrease",[0.11-0.27],"LINC00923, ARRDC4","Major depressive disorder","unipolar depression",'-,GCST005231,15:97950924
rs35888008-<b>A</b>,"6 x 10-6",(females),NR,'-,"0.12 unit increase",[0.061-0.179],"C16orf78, LINC02179","Major depressive disorder","unipolar depression",'-,GCST005231,16:49443361
rs41287894-<b>T</b>,"3 x 10-6",(males),NR,'-,"0.45 unit increase",[0.25-0.65],SKINT1L,"Major depressive disorder","unipolar depression",'-,GCST005231,1:48161782
rs115736167-<b>C</b>,"2 x 10-7",(males),0.02,'-,"0.46 unit decrease",[0.28-0.64],PKLR,"Major depressive disorder","unipolar depression",'-,GCST005231,1:155296818
rs4478037-<b>A</b>,"2 x 10-8",(males),0.08,'-,"0.29 unit increase",[0.19-0.39],CRTAP,"Major depressive disorder","unipolar depression",'-,GCST005231,3:33118915
rs40493-<b>C</b>,"4 x 10-6",(males),NR,'-,"0.13 unit increase",[0.071-0.189],PTPRG,"Major depressive disorder","unipolar depression",'-,GCST005231,3:61989275
rs73108923-<b>A</b>,"6 x 10-6",(males),NR,'-,"0.3 unit decrease",[0.16-0.44],SYNPR,"Major depressive disorder","unipolar depression",'-,GCST005231,3:63339904
rs13127214-<b>C</b>,"7 x 10-6",(males),NR,'-,"0.19 unit increase",[0.11-0.27],GABRB1,"Major depressive disorder","unipolar depression",'-,GCST005231,4:47278539
rs6822806-<b>T</b>,"5 x 10-6",(males),NR,'-,"0.18 unit decrease",[0.1-0.26],UNC5C,"Major depressive disorder","unipolar depression",'-,GCST005231,4:95377791
rs116233998-<b>A</b>,"7 x 10-6",(males),NR,'-,"0.47 unit decrease",[0.27-0.67],MRPS33P3,"Major depressive disorder","unipolar depression",'-,GCST005231,4:115213661
rs255428-<b>A</b>,"3 x 10-6",(males),NR,'-,"0.13 unit increase",[0.071-0.189],'-,"Major depressive disorder","unipolar depression",'-,GCST005231,5:63551062
rs116078874-<b>A</b>,"4 x 10-6",(males),NR,'-,"0.47 unit increase",[0.27-0.67],GLO1,"Major depressive disorder","unipolar depression",'-,GCST005231,6:38684649
rs10758202-<b>A</b>,"2 x 10-6",(males),NR,'-,"0.14 unit increase",[0.081-0.199],"AQP3, AQP7","Major depressive disorder","unipolar depression",'-,GCST005231,9:33420010
rs78245978-<b>T</b>,"6 x 10-6",(males),NR,'-,"0.43 unit increase",[0.25-0.61],LINC02645,"Major depressive disorder","unipolar depression",'-,GCST005231,10:2564784
rs117778141-<b>T</b>,"1 x 10-6",(males),NR,'-,"0.5 unit decrease",[0.3-0.7],'-,"Major depressive disorder","unipolar depression",'-,GCST005231,10:55896368
rs150439352-<b>A</b>,"4 x 10-6",(males),NR,'-,"0.47 unit increase",[0.27-0.67],MS4A13,"Major depressive disorder","unipolar depression",'-,GCST005231,11:60524031
rs113485090-<b>A</b>,"2 x 10-7",(males),0.04,'-,"0.32 unit decrease",[0.2-0.44],MRPL48,"Major depressive disorder","unipolar depression",'-,GCST005231,11:73861450
rs666723-<b>A</b>,"7 x 10-6",(males),NR,'-,"0.12 unit increase",[0.061-0.179],CASP4,"Major depressive disorder","unipolar depression",'-,GCST005231,11:104955877
rs1380551-<b>A</b>,"4 x 10-7",(males),0.15,'-,"0.18 unit decrease",[0.1-0.26],PWRN4,"Major depressive disorder","unipolar depression",'-,GCST005231,15:23879557
rs74002781-<b>T</b>,"7 x 10-6",(males),NR,'-,"0.21 unit decrease",[0.11-0.31],PKD1,"Major depressive disorder","unipolar depression",'-,GCST005231,16:2096287
rs117621296-<b>T</b>,"9 x 10-6",(males),NR,'-,"0.31 unit decrease",[0.17-0.45],MARCHF2,"Major depressive disorder","unipolar depression",'-,GCST005231,19:8417300
rs114508355-<b>C</b>,"9 x 10-6",,NR,'-,"0.46 unit decrease",[0.26-0.66],"CLCC1, AKNAD1","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,1:108957621
rs13011737-<b>A</b>,"1 x 10-6",,NR,'-,"0.1 unit increase",[0.061-0.139],SLC8A1-AS1,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,2:39839482
rs288342-<b>T</b>,"7 x 10-6",,NR,'-,"0.09 unit decrease",[0.051-0.129],"Y_RNA, DNAJC10","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,2:182800480
rs507385-<b>A</b>,"9 x 10-6",,NR,'-,"0.13 unit decrease",[0.071-0.189],GRM7,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,3:6969030
rs2291479-<b>A</b>,"1 x 10-6",,0.4,'-,"0.1 unit decrease",[0.061-0.139],"LINC01014, KCNMB2","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,3:178457156
rs2964802-<b>T</b>,"2 x 10-6",,NR,'-,"0.1 unit increase",[0.061-0.139],DAP-DT,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,5:10820731
rs114927772-<b>A</b>,"3 x 10-6",,NR,'-,"0.35 unit increase",[0.21-0.49],"MAK, TMEM14B","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,6:10818696
rs117901488-<b>T</b>,"6 x 10-6",,NR,'-,"0.2 unit increase",[0.12-0.28],SLC22A2,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,6:160182100
rs7835340-<b>A</b>,"3 x 10-6",,NR,'-,"0.09 unit increase",[0.051-0.129],TRIM55,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,8:66140334
rs79802045-<b>A</b>,"5 x 10-6",,NR,'-,"0.25 unit decrease",[0.13-0.37],"MIR4471, RNF19A","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,8:100336905
rs10959631-<b>T</b>,"8 x 10-7",,0.2,'-,"0.12 unit decrease",[0.081-0.159],'-,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,9:11220986
rs2460546-<b>A</b>,"4 x 10-6",,NR,'-,"0.29 unit increase",[0.17-0.41],RASGEF1A,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,10:43241126
rs11033303-<b>A</b>,"6 x 10-7",,0.37,'-,"0.11 unit increase",[0.071-0.149],"TRIM44, KRT18P14","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,11:35849716
rs17615103-<b>T</b>,"6 x 10-6",,NR,'-,"0.22 unit increase",[0.12-0.32],"MS4A1, MS4A12","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,11:60470932
rs1031396-<b>T</b>,"5 x 10-6",,NR,'-,"0.4 unit decrease",[0.22-0.58],LINC00410,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,13:90907558
rs9300648-<b>T</b>,"6 x 10-6",,NR,'-,"0.16 unit decrease",[0.1-0.22],NALCN,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,13:101106989
rs4438172-<b>A</b>,"9 x 10-7",,0.25,'-,"0.11 unit increase",[0.071-0.149],"LINC00567, RPL21P107","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,13:110796311
rs60716536-<b>A</b>,"3 x 10-6",,NR,'-,"0.13 unit decrease",[0.071-0.189],LINC02304,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,14:97156881
rs1486437-<b>A</b>,"9 x 10-6",,NR,'-,"0.13 unit decrease",[0.071-0.189],LINC01571,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,16:51865949
rs1792737-<b>C</b>,"2 x 10-6",,NR,'-,"0.1 unit decrease",[0.061-0.139],LINC01539,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,18:56179136
rs4941058-<b>C</b>,"1 x 10-6",,NR,'-,"0.13 unit decrease",[0.071-0.189],"LINC01544, RNF152","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,18:61780992
rs8140097-<b>T</b>,"2 x 10-6",,NR,'-,"0.12 unit increase",[0.081-0.159],"LINC00895, CLDN5","Recurrent major depressive disorder","unipolar depression",'-,GCST005230,22:19549739
rs5760842-<b>A</b>,"2 x 10-6",,NR,'-,"0.09 unit decrease",[0.051-0.129],KIAA1671,"Recurrent major depressive disorder","unipolar depression",'-,GCST005230,22:25087024
rs41310573-<b>?</b>,"4 x 10-20",,NR,'-,'-,'-,OR2T12,"Major depressive disorder","unipolar depression",'-,GCST005547,1:248295464
rs201935337-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,TMEM150B,"Major depressive disorder","unipolar depression",'-,GCST005547,19:55320451
rs140395831-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,"ARHGAP8, PRR5-ARHGAP8","Major depressive disorder","unipolar depression",'-,GCST005547,22:44859739
rs56293203-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,MUC5B,"Major depressive disorder","unipolar depression",'-,GCST005547,11:1226857
rs78562453-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,MAB21L4,"Major depressive disorder","unipolar depression",'-,GCST005547,2:240891738
rs115054458-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,TRIO,"Major depressive disorder","unipolar depression",'-,GCST005547,5:14488019
rs143696449-<b>?</b>,"5 x 10-7",,NR,'-,'-,'-,ANO8,"Major depressive disorder","unipolar depression",'-,GCST005547,19:17324842
rs748441912-<b>?</b>,"5 x 10-7",,NR,'-,'-,'-,KRBA1,"Major depressive disorder","unipolar depression",'-,GCST005547,7:149733387
rs62001028-<b>?</b>,"5 x 10-7",,NR,'-,'-,'-,BCAR3,"Major depressive disorder","unipolar depression",'-,GCST005547,1:93589086
rs150952348-<b>?</b>,"7 x 10-7",,NR,'-,'-,'-,UNC13D,"Major depressive disorder","unipolar depression",'-,GCST005547,17:75828078
rs782472239-<b>?</b>,"9 x 10-7",,NR,'-,'-,'-,ORAI1,"Major depressive disorder","unipolar depression",'-,GCST005547,12:121641369
rs112610420-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,ADGRE2,"Major depressive disorder","unipolar depression",'-,GCST005547,19:14765351
rs142029931-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,CNTNAP1,"Major depressive disorder","unipolar depression",'-,GCST005547,17:42691962
rs201483250-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,LILRA1,"Major depressive disorder","unipolar depression",'-,GCST005547,19:54595276
rs200897153-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,FASN,"Major depressive disorder","unipolar depression",'-,GCST005547,17:82082645
rs3744550-<b>?</b>,"4 x 10-6",,NR,'-,'-,'-,MYH13,"Major depressive disorder","unipolar depression",'-,GCST005547,17:10303278
rs115668237-<b>?</b>,"6 x 10-6",,NR,'-,'-,'-,SLC2A8,"Major depressive disorder","unipolar depression",'-,GCST005547,9:127405508
rs2422320-<b>T</b>,"2 x 10-11",,0.43,'-,'-,'-,LINC02797,"Broad depression or major depressive disorder (self-reported)","unipolar depression",'-,GCST007254,1:72827649
rs7714851-<b>T</b>,"8 x 10-16",,0.52,'-,'-,'-,'-,"Broad depression or major depressive disorder (self-reported)","unipolar depression",'-,GCST007254,5:165048768
rs9368649-<b>A</b>,"1 x 10-8",,0.14,'-,'-,'-,"MUC21, NAPGP2","Broad depression or major depressive disorder (self-reported)","unipolar depression",'-,GCST007254,6:30971106
rs9323497-<b>T</b>,"4 x 10-9",,0.05,'-,'-,'-,PLEK2,"Broad depression or major depressive disorder (recurrent)","unipolar depression",'-,GCST007256,14:67406411
rs7647854-<b>G</b>,"5 x 10-11","(50% oldest-onset cases)",0.16,1.16,'-,[1.11-1.21],"C3orf70, EHHADH-AS1","Major depressive disorder","unipolar depression",'-,GCST003558,3:185158995
