"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs214467-<b>A</b>,"8 x 10-13",,NR,1.073,'-,[1.05-1.09],IMMP2L,Schizophrenia,schizophrenia,'-,GCST004946,7:111218212
rs6670165-<b>T</b>,"3 x 10-9",,NR,1.073,'-,[1.05-1.1],"BRINP2, LINC01645",Schizophrenia,schizophrenia,'-,GCST004946,1:177310985
rs7405404-<b>T</b>,"8 x 10-10",,NR,1.073,'-,[1.05-1.1],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
rs10510653-<b>A</b>,"3 x 10-8",,NR,1.074,'-,[1.05-1.1],OSBPL10,Schizophrenia,schizophrenia,'-,GCST004946,3:32017067
rs1191551-<b>T</b>,"2 x 10-8",,NR,1.074,'-,[1.05-1.1],"RNU11-5P, PRKD1",Schizophrenia,schizophrenia,'-,GCST004946,14:29531199
rs3732386-<b>T</b>,"3 x 10-11",,NR,1.075,'-,[1.05-1.1],TRANK1,Schizophrenia,schizophrenia,'-,GCST004946,3:36830502
rs112537273-<b>T</b>,"1 x 10-11",,NR,1.077,'-,[1.06-1.1],LETM2,Schizophrenia,schizophrenia,'-,GCST004946,8:38390788
rs73219805-<b>A</b>,"2 x 10-11",,NR,1.078,'-,[1.06-1.1],BNIP3L,Schizophrenia,schizophrenia,'-,GCST004946,8:26415252
rs2383377-<b>A</b>,"2 x 10-8",,NR,1.081,'-,[1.05-1.11],AKAP6,Schizophrenia,schizophrenia,'-,GCST004946,14:32788708
rs112509803-<b>C</b>,"5 x 10-8",,NR,1.09,'-,[1.06-1.12],"GSDME, MPP6",Schizophrenia,schizophrenia,'-,GCST004946,7:24695385
rs9607782-<b>A</b>,"1 x 10-12",,NR,1.09,'-,[1.07-1.11],EP300-AS1,Schizophrenia,schizophrenia,'-,GCST004946,22:41191552
rs35607894-<b>A</b>,"5 x 10-11",,NR,1.094,'-,[1.07-1.12],RGS6,Schizophrenia,schizophrenia,'-,GCST004946,14:71941921
rs9859557-<b>A</b>,"6 x 10-14",,NR,1.094,'-,[1.07-1.12],SOX2-OT,Schizophrenia,schizophrenia,'-,GCST004946,3:181113122
rs9882618-<b>T</b>,"1 x 10-6",,NR,1.095,'-,[1.06-1.13],"SLC38A3, GNAT1",Schizophrenia,schizophrenia,'-,GCST004946,3:50200112
rs12129037-<b>T</b>,"5 x 10-9",,NR,1.096,'-,[1.06-1.13],"FALEC, ADAMTSL4-AS2",Schizophrenia,schizophrenia,'-,GCST004946,1:150519638
rs75059851-<b>A</b>,"9 x 10-13",,NR,1.098,'-,[1.07-1.12],IGSF9B,Schizophrenia,schizophrenia,'-,GCST004946,11:133952674
rs12543645-<b>C</b>,"3 x 10-8",,NR,1.058,'-,[1.04-1.08],MSRA,Schizophrenia,schizophrenia,'-,GCST004946,8:10388815
rs1506297-<b>T</b>,"8 x 10-7",,NR,1.058,'-,[1.04-1.08],RBMS3,Schizophrenia,schizophrenia,'-,GCST004946,3:30030816
rs56775891-<b>T</b>,"2 x 10-8",,NR,1.058,'-,[1.04-1.08],"KCNG2, CTDP1",Schizophrenia,schizophrenia,'-,GCST004946,18:79815613
rs9970077-<b>A</b>,"2 x 10-6",,NR,1.058,'-,[1.03-1.08],LINC01741,Schizophrenia,schizophrenia,'-,GCST004946,1:177791783
rs10878577-<b>A</b>,"9 x 10-7",,NR,1.059,'-,[1.04-1.08],"GGTA2P, RAB11AP2",Schizophrenia,schizophrenia,'-,GCST004946,12:67200061
rs12911832-<b>A</b>,"8 x 10-8",,NR,1.059,'-,[1.04-1.08],ADAM10,Schizophrenia,schizophrenia,'-,GCST004946,15:58693705
rs2944823-<b>A</b>,"3 x 10-8",,NR,1.059,'-,[1.04-1.08],CALN1,Schizophrenia,schizophrenia,'-,GCST004946,7:72330485
rs56007784-<b>C</b>,"1 x 10-9",,NR,1.059,'-,[1.04-1.08],YWHAE,Schizophrenia,schizophrenia,'-,GCST004946,17:1387656
rs56873913-<b>T</b>,"4 x 10-7",,NR,1.061,'-,[1.04-1.08],"NOSIP, PRRG2",Schizophrenia,schizophrenia,'-,GCST004946,19:49587942
rs9420-<b>A</b>,"9 x 10-9",,NR,1.061,'-,[1.04-1.08],SELENOH,Schizophrenia,schizophrenia,'-,GCST004946,11:57742822
rs1075195-<b>T</b>,"9 x 10-7",,NR,1.062,'-,[1.04-1.09],"Metazoa_SRP, SLC32A1",Schizophrenia,schizophrenia,'-,GCST004946,20:38718108
rs17002069-<b>C</b>,"2 x 10-7",,NR,1.062,'-,[1.04-1.09],"MRTFA, GAPDHP37",Schizophrenia,schizophrenia,'-,GCST004946,22:40654982
rs3756766-<b>A</b>,"8 x 10-8",,NR,1.062,'-,[1.04-1.08],"FAM53C, CDC25C",Schizophrenia,schizophrenia,'-,GCST004946,5:138337478
rs3845702-<b>A</b>,"6 x 10-8",,NR,1.063,'-,[1.04-1.08],CWC22,Schizophrenia,schizophrenia,'-,GCST004946,2:179983761
rs77502336-<b>C</b>,"1 x 10-9",,NR,1.063,'-,[1.04-1.08],GRAMD1B,Schizophrenia,schizophrenia,'-,GCST004946,11:123523928
rs113568682-<b>A</b>,"4 x 10-8",,NR,1.064,'-,[1.04-1.09],LINC01470,Schizophrenia,schizophrenia,'-,GCST004946,5:152920194
rs7012816-<b>A</b>,"4 x 10-7",,NR,1.064,'-,[1.04-1.09],PRDM14,Schizophrenia,schizophrenia,'-,GCST004946,8:70052508
rs7372960-<b>T</b>,"3 x 10-7",,NR,1.064,'-,[1.04-1.09],FOXP1,Schizophrenia,schizophrenia,'-,GCST004946,3:71205600
rs4766428-<b>T</b>,"3 x 10-9",,NR,1.065,'-,[1.04-1.09],ATP2A2,Schizophrenia,schizophrenia,'-,GCST004946,12:110285440
rs4949526-<b>T</b>,"3 x 10-10",,NR,1.065,'-,[1.05-1.08],LINC01648,Schizophrenia,schizophrenia,'-,GCST004946,1:29959372
rs62152284-<b>T</b>,"6 x 10-9",,NR,1.065,'-,[1.04-1.09],AHCYP3,Schizophrenia,schizophrenia,'-,GCST004946,2:104367929
rs9922678-<b>A</b>,"3 x 10-9",,NR,1.065,'-,[1.04-1.09],GRIN2A,Schizophrenia,schizophrenia,'-,GCST004946,16:9852462
rs35065479-<b>A</b>,"2 x 10-8",,NR,1.066,'-,[1.04-1.09],MSI2,Schizophrenia,schizophrenia,'-,GCST004946,17:57659374
rs4388249-<b>T</b>,"8 x 10-9",,NR,1.066,'-,[1.04-1.09],MAN2A1,Schizophrenia,schizophrenia,'-,GCST004946,5:109700365
rs7438-<b>A</b>,"7 x 10-11",,NR,1.066,'-,[1.05-1.09],CLCN3,Schizophrenia,schizophrenia,'-,GCST004946,4:169721095
rs2159100-<b>T</b>,"3 x 10-19",,NR,1.102,'-,[1.08-1.12],CACNA1C,Schizophrenia,schizophrenia,'-,GCST004946,12:2237227
rs7893279-<b>T</b>,"3 x 10-13",,NR,1.117,'-,[1.09-1.15],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
rs17630293-<b>T</b>,"3 x 10-12",,NR,1.124,'-,[1.09-1.16],SPATS2L,Schizophrenia,schizophrenia,'-,GCST004946,2:200282053
rs76091702-<b>T</b>,"1 x 10-7",,NR,1.124,'-,[1.08-1.17],LINC01470,Schizophrenia,schizophrenia,'-,GCST004946,5:153103403
rs115329265-<b>A</b>,"5 x 10-36",,NR,1.21,'-,[1.18-1.24],"NOP56P1, RPSAP2",Schizophrenia,schizophrenia,'-,GCST004946,6:28744470
rs61041384-<b>C</b>,"6 x 10-13",,NR,1.1223345,'-,[1.09-1.15],MPHOSPH9,Schizophrenia,schizophrenia,'-,GCST004946,12:123159496
rs10786736-<b>G</b>,"4 x 10-17",,NR,1.1148272,'-,[1.09-1.14],"CNNM2, NT5C2",Schizophrenia,schizophrenia,'-,GCST004946,10:103089359
rs80256351-<b>C</b>,"5 x 10-8",,NR,1.1135857,'-,[1.07-1.15],"ACTG1P22, VRK2",Schizophrenia,schizophrenia,'-,GCST004946,2:57844458
rs75575209-<b>T</b>,"1 x 10-8",,NR,1.1086475,'-,[1.07-1.14],VRK2,Schizophrenia,schizophrenia,'-,GCST004946,2:57911057
rs111364339-<b>C</b>,"5 x 10-9",,NR,1.1037527,'-,[1.07-1.14],RNU6-543P,Schizophrenia,schizophrenia,'-,GCST004946,10:63098112
rs1198589-<b>C</b>,"1 x 10-13",,NR,1.1025358,'-,[1.08-1.13],NFU1P2,Schizophrenia,schizophrenia,'-,GCST004946,1:98084855
rs12704290-<b>G</b>,"3 x 10-10",,NR,1.1013216,'-,[1.07-1.13],"GRM3-AS1, GRM3",Schizophrenia,schizophrenia,'-,GCST004946,7:86798310
rs796364-<b>C</b>,"2 x 10-16",,NR,1.0964912,'-,[1.07-1.12],"RN7SL717P, FTCDNL1",Schizophrenia,schizophrenia,'-,GCST004946,2:199851396
rs61882743-<b>G</b>,"7 x 10-12",,NR,1.0940919,'-,[1.07-1.12],AMBRA1,Schizophrenia,schizophrenia,'-,GCST004946,11:46527204
rs1615350-<b>C</b>,"6 x 10-18",,NR,1.091703,'-,[1.07-1.11],MPHOSPH9,Schizophrenia,schizophrenia,'-,GCST004946,12:123165788
rs11191424-<b>G</b>,"4 x 10-20",,NR,1.0905125,'-,[1.07-1.11],BORCS7-ASMT,Schizophrenia,schizophrenia,'-,GCST004946,10:102866129
rs7619427-<b>G</b>,"2 x 10-7",,NR,1.0857763,'-,[1.05-1.12],RNU6-367P,Schizophrenia,schizophrenia,'-,GCST004946,3:44035549
rs12668848-<b>G</b>,"4 x 10-17",,NR,1.0834236,'-,[1.06-1.1],MAD1L1,Schizophrenia,schizophrenia,'-,GCST004946,7:1981360
rs778371-<b>G</b>,"2 x 10-13",,NR,1.0834236,'-,[1.06-1.1],SNORC,Schizophrenia,schizophrenia,'-,GCST004946,2:232878399
rs950169-<b>C</b>,"5 x 10-12",,NR,1.0834236,'-,[1.06-1.11],ADAMTSL3,Schizophrenia,schizophrenia,'-,GCST004946,15:84037709
rs999494-<b>C</b>,"2 x 10-10",,NR,1.0822511,'-,[1.06-1.11],EMX1,Schizophrenia,schizophrenia,'-,GCST004946,2:72930266
rs11708578-<b>G</b>,"7 x 10-11",,NR,1.081081,'-,[1.06-1.1],CNTN4,Schizophrenia,schizophrenia,'-,GCST004946,3:2474210
rs17687067-<b>C</b>,"3 x 10-12",,NR,1.081081,'-,[1.06-1.1],ZDHHC2,Schizophrenia,schizophrenia,'-,GCST004946,8:17178692
rs66691851-<b>C</b>,"4 x 10-15",,NR,1.0799136,'-,[1.06-1.1],STAG1,Schizophrenia,schizophrenia,'-,GCST004946,3:136435986
rs7801375-<b>G</b>,"6 x 10-8",,NR,1.0799136,'-,[1.05-1.11],CAPZA1P4,Schizophrenia,schizophrenia,'-,GCST004946,7:131882504
rs2514218-<b>C</b>,"5 x 10-11",,NR,1.0775862,'-,[1.06-1.1],DRD2,Schizophrenia,schizophrenia,'-,GCST004946,11:113522272
rs715170-<b>C</b>,"5 x 10-12",,NR,1.0775862,'-,[1.06-1.1],"LINC01539, LINC01905",Schizophrenia,schizophrenia,'-,GCST004946,18:56128283
rs9841616-<b>T</b>,"5 x 10-9",,NR,1.0775862,'-,[1.05-1.1],SOX2-OT,Schizophrenia,schizophrenia,'-,GCST004946,3:181449797
rs2381759-<b>T</b>,"9 x 10-9",,NR,1.0764263,'-,[1.05-1.1],'-,Schizophrenia,schizophrenia,'-,GCST004946,2:145670463
rs16880831-<b>G</b>,"4 x 10-10",,NR,1.0752687,'-,[1.05-1.1],STAU2,Schizophrenia,schizophrenia,'-,GCST004946,8:110549276
rs172531-<b>G</b>,"5 x 10-11",,NR,1.0741138,'-,[1.05-1.1],RERE,Schizophrenia,schizophrenia,'-,GCST004946,1:8435530
rs35430959-<b>C</b>,"6 x 10-8",,NR,1.0729614,'-,[1.05-1.1],PNPP1,Schizophrenia,schizophrenia,'-,GCST004946,2:76238162
rs3825845-<b>C</b>,"2 x 10-10",,NR,1.0729614,'-,[1.05-1.09],CHRNA3,Schizophrenia,schizophrenia,'-,GCST004946,15:78617916
rs55661361-<b>G</b>,"1 x 10-12",,NR,1.0729614,'-,[1.05-1.09],NRGN,Schizophrenia,schizophrenia,'-,GCST004946,11:124744061
rs9292918-<b>G</b>,"4 x 10-11",,NR,1.0729614,'-,[1.05-1.09],HCN1,Schizophrenia,schizophrenia,'-,GCST004946,5:45300933
rs221780-<b>G</b>,"3 x 10-7",,NR,1.0718113,'-,[1.05-1.1],"POP7, GIGYF1",Schizophrenia,schizophrenia,'-,GCST004946,7:100699412
rs5757730-<b>G</b>,"2 x 10-10",,NR,1.0718113,'-,[1.05-1.09],CACNA1I,Schizophrenia,schizophrenia,'-,GCST004946,22:39571425
rs11685299-<b>C</b>,"5 x 10-12",,NR,1.0706638,'-,[1.05-1.09],CUL3,Schizophrenia,schizophrenia,'-,GCST004946,2:224526579
rs11790388-<b>G</b>,"8 x 10-8",,NR,1.0706638,'-,[1.05-1.1],RALGPS1,Schizophrenia,schizophrenia,'-,GCST004946,9:126978004
rs13261217-<b>G</b>,"2 x 10-9",,NR,1.0706638,'-,[1.05-1.09],CSMD1,Schizophrenia,schizophrenia,'-,GCST004946,8:4325535
rs217331-<b>G</b>,"2 x 10-13",,NR,1.0706638,'-,[1.05-1.09],SNAP91,Schizophrenia,schizophrenia,'-,GCST004946,6:83634970
rs34102591-<b>G</b>,"5 x 10-8",,NR,1.0706638,'-,[1.05-1.09],"ZNF664, RFLNA",Schizophrenia,schizophrenia,'-,GCST004946,12:123996254
rs12622667-<b>C</b>,"1 x 10-6",,NR,1.0695187,'-,[1.04-1.1],EPC2,Schizophrenia,schizophrenia,'-,GCST004946,2:148762617
rs35225048-<b>C</b>,"8 x 10-13",,NR,1.0695187,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST004946,15:61564064
rs9398171-<b>C</b>,"2 x 10-11",,NR,1.0695187,'-,[1.05-1.09],FOXO3,Schizophrenia,schizophrenia,'-,GCST004946,6:108662324
rs2577831-<b>C</b>,"5 x 10-13",,NR,1.0683761,'-,[1.05-1.09],PBRM1,Schizophrenia,schizophrenia,'-,GCST004946,3:52594040
rs3814881-<b>G</b>,"8 x 10-13",,NR,1.0683761,'-,[1.05-1.09],TAOK2,Schizophrenia,schizophrenia,'-,GCST004946,16:29989580
rs6430491-<b>G</b>,"1 x 10-9",,NR,1.0683761,'-,[1.05-1.09],MGAT5,Schizophrenia,schizophrenia,'-,GCST004946,2:134083396
rs8082590-<b>G</b>,"7 x 10-10",,NR,1.0683761,'-,[1.05-1.09],GID4,Schizophrenia,schizophrenia,'-,GCST004946,17:18055088
rs895526-<b>C</b>,"9 x 10-10",,NR,1.0683761,'-,[1.05-1.09],SATB2,Schizophrenia,schizophrenia,'-,GCST004946,2:199297702
rs10803138-<b>G</b>,"8 x 10-8",,NR,1.0672358,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
rs302321-<b>C</b>,"2 x 10-11",,NR,1.0672358,'-,[1.05-1.09],TMTC1,Schizophrenia,schizophrenia,'-,GCST004946,12:29775455
rs2053079-<b>G</b>,"5 x 10-9",,NR,1.066098,'-,[1.04-1.09],ZNF536,Schizophrenia,schizophrenia,'-,GCST004946,19:30496516
rs11778040-<b>C</b>,"8 x 10-7",,NR,1.0649627,'-,[1.04-1.09],GULOP,Schizophrenia,schizophrenia,'-,GCST004946,8:27562290
rs12190758-<b>G</b>,"4 x 10-7",,NR,1.0649627,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST004946,6:92438623
rs6500596-<b>G</b>,"5 x 10-9",,NR,1.0649627,'-,[1.04-1.09],"CORO7-PAM16, CORO7",Schizophrenia,schizophrenia,'-,GCST004946,16:4420026
rs7010876-<b>T</b>,"1 x 10-8",,NR,1.0649627,'-,[1.04-1.09],MMP16,Schizophrenia,schizophrenia,'-,GCST004946,8:88252522
rs11740474-<b>T</b>,"2 x 10-8",,NR,1.0626993,'-,[1.04-1.08],GALNT10,Schizophrenia,schizophrenia,'-,GCST004946,5:154301187
rs2693698-<b>G</b>,"2 x 10-8",,NR,1.0626993,'-,[1.04-1.08],BCL11B,Schizophrenia,schizophrenia,'-,GCST004946,14:99252882
rs2767713-<b>C</b>,"2 x 10-8",,NR,1.0626993,'-,[1.04-1.08],DDX10P2,Schizophrenia,schizophrenia,'-,GCST004946,9:82184622
rs28735056-<b>G</b>,"5 x 10-10",,NR,1.0626993,'-,[1.04-1.08],KCNG2,Schizophrenia,schizophrenia,'-,GCST004946,18:79862879
rs35978510-<b>C</b>,"7 x 10-10",,NR,1.0626993,'-,[1.04-1.08],AKT3,Schizophrenia,schizophrenia,'-,GCST004946,1:243612815
rs758117-<b>C</b>,"2 x 10-8",,NR,1.0626993,'-,[1.04-1.08],CACNA1C,Schizophrenia,schizophrenia,'-,GCST004946,12:2404143
rs4330281-<b>C</b>,"3 x 10-8",,NR,1.0615711,'-,[1.04-1.08],TBC1D5,Schizophrenia,schizophrenia,'-,GCST004946,3:17817874
rs11210195-<b>C</b>,"2 x 10-9",,NR,1.0604454,'-,[1.04-1.08],"RN7SKP19, LINC01360",Schizophrenia,schizophrenia,'-,GCST004946,1:73283600
rs12623170-<b>C</b>,"3 x 10-8",,NR,1.0604454,'-,[1.04-1.08],"RBKS, MRPL33",Schizophrenia,schizophrenia,'-,GCST004946,2:27797290
rs13164092-<b>G</b>,"1 x 10-9",,NR,1.0604454,'-,[1.04-1.08],"ETF1, RPL7P19",Schizophrenia,schizophrenia,'-,GCST004946,5:138505171
rs17234749-<b>G</b>,"5 x 10-9",,NR,1.0604454,'-,[1.04-1.08],"Y_RNA, LINC02686",Schizophrenia,schizophrenia,'-,GCST004946,11:24360352
rs2910032-<b>C</b>,"1 x 10-9",,NR,1.0604454,'-,[1.04-1.08],LINC01470,Schizophrenia,schizophrenia,'-,GCST004946,5:153160794
rs3824451-<b>C</b>,"2 x 10-6",,NR,1.0604454,'-,[1.04-1.08],GABBR2,Schizophrenia,schizophrenia,'-,GCST004946,9:98309240
rs61847307-<b>C</b>,"4 x 10-7",,NR,1.0604454,'-,[1.04-1.08],PRKG1,Schizophrenia,schizophrenia,'-,GCST004946,10:52184682
rs6804239-<b>C</b>,"8 x 10-10",,NR,1.0604454,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST004946,3:162062700
rs714031-<b>C</b>,"8 x 10-8",,NR,1.059322,'-,[1.04-1.08],CACNA1I,Schizophrenia,schizophrenia,'-,GCST004946,22:39674229
rs12421382-<b>C</b>,"2 x 10-8",,NR,1.0582011,'-,[1.04-1.08],C11orf87,Schizophrenia,schizophrenia,'-,GCST004946,11:109507345
rs758129-<b>G</b>,"3 x 10-8",,NR,1.0582011,'-,[1.04-1.08],"POLG-DT, MIR9-3HG",Schizophrenia,schizophrenia,'-,GCST004946,15:89357656
rs867743-<b>G</b>,"5 x 10-9",,NR,1.0582011,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST004946,8:59782088
rs9695226-<b>G</b>,"2 x 10-7",,NR,1.0582011,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
rs12139672-<b>G</b>,"3 x 10-7",,NR,1.0570824,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST004946,1:190971497
rs12327082-<b>T</b>,"7 x 10-8",,NR,1.0570824,'-,[1.04-1.08],NOL4,Schizophrenia,schizophrenia,'-,GCST004946,18:34011495
rs28607014-<b>C</b>,"2 x 10-8",,NR,1.0570824,'-,[1.04-1.08],NOS1,Schizophrenia,schizophrenia,'-,GCST004946,12:117270806
rs323167-<b>C</b>,"4 x 10-8",,NR,1.0570824,'-,[1.04-1.08],MAGI2,Schizophrenia,schizophrenia,'-,GCST004946,7:78707361
rs10148671-<b>C</b>,"4 x 10-8",,NR,1.0559661,'-,[1.04-1.08],LINC02326,Schizophrenia,schizophrenia,'-,GCST004946,14:29000167
rs10894308-<b>G</b>,"2 x 10-8",,NR,1.0559661,'-,[1.04-1.08],RN7SL167P,Schizophrenia,schizophrenia,'-,GCST004946,11:131022000
rs13266463-<b>G</b>,"2 x 10-8",,NR,1.0559661,'-,[1.04-1.08],TSNARE1,Schizophrenia,schizophrenia,'-,GCST004946,8:142322332
rs160593-<b>G</b>,"8 x 10-9",,NR,1.0559661,'-,[1.04-1.07],LIN28B,Schizophrenia,schizophrenia,'-,GCST004946,6:105018457
rs619091-<b>T</b>,"6 x 10-9",,NR,1.0559661,'-,[1.04-1.07],LINC02730,Schizophrenia,schizophrenia,'-,GCST004946,11:134014242
rs6903570-<b>C</b>,"3 x 10-8",,NR,1.0559661,'-,[1.04-1.08],EYS,Schizophrenia,schizophrenia,'-,GCST004946,6:64156964
rs7267348-<b>C</b>,"3 x 10-7",,NR,1.0559661,'-,[1.03-1.08],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
rs1838472-<b>C</b>,"2 x 10-7",,NR,1.0548522,'-,[1.04-1.07],KALRN,Schizophrenia,schizophrenia,'-,GCST004946,3:124332814
rs4240748-<b>G</b>,"5 x 10-8",,NR,1.0548522,'-,[1.04-1.07],LINC02404,Schizophrenia,schizophrenia,'-,GCST004946,12:91853010
rs7934083-<b>C</b>,"2 x 10-7",,NR,1.0548522,'-,[1.04-1.07],MTND4LP18,Schizophrenia,schizophrenia,'-,GCST004946,11:81492479
rs8058130-<b>G</b>,"5 x 10-8",,NR,1.0548522,'-,[1.04-1.07],'-,Schizophrenia,schizophrenia,'-,GCST004946,16:64337259
rs832190-<b>C</b>,"4 x 10-8",,NR,1.0548522,'-,[1.04-1.07],THOC7,Schizophrenia,schizophrenia,'-,GCST004946,3:63856953
rs10940346-<b>G</b>,"1 x 10-8",,NR,1.0537407,'-,[1.04-1.07],EMB,Schizophrenia,schizophrenia,'-,GCST004946,5:50510208
rs192812-<b>C</b>,"9 x 10-8",,NR,1.0537407,'-,[1.03-1.07],'-,Schizophrenia,schizophrenia,'-,GCST004946,3:161774043
rs2358740-<b>G</b>,"7 x 10-8",,NR,1.0537407,'-,[1.03-1.07],CACNA1D,Schizophrenia,schizophrenia,'-,GCST004946,3:53421542
rs7560272-<b>T</b>,"6 x 10-7",,NR,1.0537407,'-,[1.03-1.07],"RNU6-111P, RPSAP28",Schizophrenia,schizophrenia,'-,GCST004946,2:73334357
rs11625793-<b>G</b>,"2 x 10-7",,NR,1.0526316,'-,[1.03-1.07],NCOA4P1,Schizophrenia,schizophrenia,'-,GCST004946,14:65849165
rs783540-<b>G</b>,"3 x 10-8",,NR,1.0526316,'-,[1.03-1.07],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
rs11722779-<b>G</b>,"3 x 10-8",,NR,1.0515248,'-,[1.03-1.07],SLC9B1,Schizophrenia,schizophrenia,'-,GCST004946,4:102906331
rs319204-<b>T</b>,"4 x 10-7",,NR,1.051,'-,[1.03-1.07],PPP2R2B,Schizophrenia,schizophrenia,'-,GCST004946,5:146882926
rs4632195-<b>T</b>,"2 x 10-6",,NR,1.051,'-,[1.03-1.07],DCC,Schizophrenia,schizophrenia,'-,GCST004946,18:53220378
rs10199182-<b>A</b>,"7 x 10-7",,NR,1.052,'-,[1.03-1.07],LINC01884,Schizophrenia,schizophrenia,'-,GCST004946,2:22524252
rs12541020-<b>T</b>,"4 x 10-7",,NR,1.052,'-,[1.03-1.07],CSMD1,Schizophrenia,schizophrenia,'-,GCST004946,8:4960070
rs13074132-<b>T</b>,"2 x 10-6",,NR,1.052,'-,[1.03-1.07],FHIT,Schizophrenia,schizophrenia,'-,GCST004946,3:60335351
rs2247870-<b>A</b>,"3 x 10-8",,NR,1.052,'-,[1.03-1.07],ADGRV1,Schizophrenia,schizophrenia,'-,GCST004946,5:90855772
rs7733403-<b>A</b>,"2 x 10-8",,NR,1.052,'-,[1.03-1.07],"PCDHA1, VTRNA1-3",Schizophrenia,schizophrenia,'-,GCST004946,5:140774630
rs1411740-<b>A</b>,"2 x 10-7",,NR,1.053,'-,[1.03-1.07],LINC00571,Schizophrenia,schizophrenia,'-,GCST004946,13:38256005
rs7099380-<b>A</b>,"7 x 10-8",,NR,1.054,'-,[1.03-1.07],CACNB2,Schizophrenia,schizophrenia,'-,GCST004946,10:18260087
rs7807720-<b>A</b>,"1 x 10-7",,NR,1.054,'-,[1.03-1.07],'-,Schizophrenia,schizophrenia,'-,GCST004946,7:110433698
rs248083-<b>A</b>,"6 x 10-8",,NR,1.055,'-,[1.04-1.07],"MRPS5P3, SELENOTP2",Schizophrenia,schizophrenia,'-,GCST004946,5:127174476
rs2764766-<b>C</b>,"2 x 10-8",,NR,1.055,'-,[1.04-1.07],CCDC192,Schizophrenia,schizophrenia,'-,GCST004946,5:127877933
rs7523273-<b>A</b>,"6 x 10-7",,NR,1.055,'-,[1.03-1.08],MIR29B2CHG,Schizophrenia,schizophrenia,'-,GCST004946,1:207803738
rs8012642-<b>C</b>,"5 x 10-8",,NR,1.055,'-,[1.04-1.07],MTCYBP27,Schizophrenia,schizophrenia,'-,GCST004946,14:84203137
rs9384900-<b>T</b>,"1 x 10-6",,NR,1.055,'-,[1.03-1.08],HDAC2-AS2,Schizophrenia,schizophrenia,'-,GCST004946,6:114389931
